Format Version,1.23,Take Name,Take 2025-03-06 06.38.58 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-03-06 06.38.58.708 PM,Capture Start Frame,23655,Total Frames in Take,17051,Total Exported Frames,17051,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010
,ID,"EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.285004,-0.569064,-0.691444,0.341825,-0.568975,0.065249,0.014605
1,0.010000,0.285982,-0.567657,-0.691718,0.342791,-0.569270,0.065096,0.014751
2,0.020000,0.285157,-0.569028,-0.691499,0.341646,-0.568998,0.065242,0.014596
3,0.030000,0.285955,-0.567561,-0.691638,0.343134,-0.569255,0.065087,0.014745
4,0.040000,0.285101,-0.569026,-0.691538,0.341618,-0.568998,0.065242,0.014601
5,0.050000,0.286139,-0.568972,-0.691070,0.341787,-0.569141,0.065083,0.014546
6,0.060000,0.285103,-0.568964,-0.691519,0.341758,-0.569013,0.065233,0.014597
7,0.070000,0.286044,-0.567641,-0.691717,0.342768,-0.569266,0.065077,0.014753
8,0.080000,0.285106,-0.569013,-0.691495,0.341722,-0.569001,0.065242,0.014609
9,0.090000,0.286005,-0.567599,-0.691740,0.342823,-0.569285,0.065083,0.014737
10,0.100000,0.285093,-0.568929,-0.691499,0.341865,-0.568994,0.065224,0.014610
11,0.110000,0.284921,-0.569079,-0.691461,0.341833,-0.568991,0.065241,0.014605
12,0.120000,0.285217,-0.569029,-0.691541,0.341509,-0.569012,0.065224,0.014599
13,0.130000,0.285156,-0.569049,-0.691476,0.341658,-0.569010,0.065253,0.014606
14,0.140000,0.285980,-0.567621,-0.691641,0.343009,-0.569249,0.065091,0.014746
15,0.150000,0.285983,-0.567648,-0.691677,0.342889,-0.569266,0.065081,0.014750
16,0.160000,0.285993,-0.567660,-0.691674,0.342867,-0.569251,0.065099,0.014750
17,0.170000,0.285090,-0.569060,-0.691468,0.341712,-0.569017,0.065238,0.014605
18,0.180000,0.285114,-0.568971,-0.691533,0.341708,-0.569009,0.065235,0.014600
19,0.190000,0.285130,-0.568977,-0.691431,0.341889,-0.569011,0.065211,0.014601
20,0.200000,0.286233,-0.568978,-0.691065,0.341707,-0.569148,0.065085,0.014527
21,0.210000,0.285062,-0.569061,-0.691443,0.341784,-0.568997,0.065237,0.014597
22,0.220000,0.285921,-0.567600,-0.691689,0.342995,-0.569263,0.065087,0.014750
23,0.230000,0.285122,-0.569032,-0.691476,0.341715,-0.569011,0.065221,0.014593
24,0.240000,0.286086,-0.567616,-0.691794,0.342618,-0.569280,0.065085,0.014749
25,0.250000,0.285977,-0.567688,-0.691668,0.342847,-0.569270,0.065093,0.014742
