acc_s001_004 Accelerometer-Uncalibrated Non-wakeup,STMicro,2025-03-06_18-45-09.848_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc_uncal_x[m/s^2],acc_uncal_y[m/s^2],acc_uncal_z[m/s^2],acc_bias_x[m/s^2],acc_bias_y[m/s^2],acc_bias_z[m/s^2]
801439235,3,1741275913063118038,0.104087785,-9.766904,0.1477568,0.0,0.0,0.0
801439245,3,1741275913073153350,0.098703936,-9.766006,0.14955142,0.0,0.0,0.0
801439255,3,1741275913083187778,0.096909314,-9.778868,0.15104693,0.0,0.0,0.0
801439265,3,1741275913093198871,0.10767702,-9.763314,0.1585245,0.0,0.0,0.0
801439275,3,1741275913103182830,0.11425728,-9.768399,0.15373886,0.0,0.0,0.0
801439285,3,1741275913113258298,0.106480606,-9.768699,0.14356937,0.0,0.0,0.0
801439295,3,1741275913123372257,0.09361918,-9.775877,0.17018951,0.0,0.0,0.0
801439305,3,1741275913133355173,0.103190474,-9.763314,0.16181463,0.0,0.0,0.0
801439315,3,1741275913143339496,0.10857433,-9.768699,0.15553348,0.0,0.0,0.0
801439325,3,1741275913153323975,0.11156536,-9.748958,0.15433706,0.0,0.0,0.0
801439335,3,1741275913163308298,0.09990034,-9.771989,0.17108682,0.0,0.0,0.0
801439345,3,1741275913173293142,0.10199407,-9.766904,0.16630118,0.0,0.0,0.0
801439355,3,1741275913183277986,0.112761766,-9.769297,0.15672988,0.0,0.0,0.0
801439365,3,1741275913193262830,0.10109676,-9.762417,0.16360925,0.0,0.0,0.0
801439375,3,1741275913203247309,0.11694921,-9.757333,0.16630118,0.0,0.0,0.0
801439385,3,1741275913213231632,0.112761766,-9.760024,0.17228323,0.0,0.0,0.0
801439395,3,1741275913223216475,0.11216356,-9.761221,0.16031912,0.0,0.0,0.0
801439405,3,1741275913233201319,0.10109676,-9.754043,0.16002001,0.0,0.0,0.0
801439415,3,1741275913243185798,0.0948156,-9.77139,0.18813568,0.0,0.0,0.0
801439425,3,1741275913253170121,0.106480606,-9.758828,0.17168503,0.0,0.0,0.0
801439435,3,1741275913263154965,0.10677971,-9.7681,0.17557336,0.0,0.0,0.0
801439445,3,1741275913273139809,0.09661021,-9.757631,0.16390835,0.0,0.0,0.0
801439455,3,1741275913283124653,0.104087785,-9.768699,0.16331014,0.0,0.0,0.0
801439465,3,1741275913293109132,0.10049855,-9.752547,0.1689931,0.0,0.0,0.0
801439475,3,1741275913303093455,0.110368945,-9.759128,0.16779669,0.0,0.0,0.0
801439485,3,1741275913313077934,0.10289137,-9.764811,0.16031912,0.0,0.0,0.0
801439495,3,1741275913323061996,0.104985096,-9.765707,0.1698904,0.0,0.0,0.0
801439505,3,1741275913333139705,0.10079765,-9.766306,0.16510476,0.0,0.0,0.0
801439515,3,1741275913343229132,0.11006984,-9.768399,0.16420746,0.0,0.0,0.0
801439525,3,1741275913353283403,0.11515459,-9.751051,0.17796618,0.0,0.0,0.0
801439535,3,1741275913363466580,0.11485548,-9.761221,0.1692922,0.0,0.0,0.0
801439545,3,1741275913373564340,0.10917253,-9.768399,0.16331014,0.0,0.0,0.0
801439555,3,1741275913383558090,0.104985096,-9.764811,0.16360925,0.0,0.0,0.0
801439565,3,1741275913393542934,0.1058824,-9.768399,0.1683949,0.0,0.0,0.0
801439575,3,1741275913403527361,0.10468599,-9.772587,0.17108682,0.0,0.0,0.0
801439585,3,1741275913413511736,0.10079765,-9.764511,0.17138593,0.0,0.0,0.0
801439595,3,1741275913423496580,0.11006984,-9.764511,0.17437695,0.0,0.0,0.0
801439605,3,1741275913433481423,0.11335997,-9.766904,0.16241284,0.0,0.0,0.0
801439615,3,1741275913443466267,0.10887343,-9.763614,0.16540386,0.0,0.0,0.0
801439625,3,1741275913453450694,0.10857433,-9.761819,0.16869399,0.0,0.0,0.0
801439635,3,1741275913463435069,0.100199446,-9.761221,0.17647067,0.0,0.0,0.0
801439645,3,1741275913473419496,0.10827523,-9.768997,0.1797608,0.0,0.0,0.0
801439655,3,1741275913483404184,0.08823533,-9.766006,0.18305093,0.0,0.0,0.0
801439665,3,1741275913493389496,0.101694964,-9.753743,0.17407785,0.0,0.0,0.0
801439675,3,1741275913503373923,0.11694921,-9.764212,0.17377874,0.0,0.0,0.0
801439685,3,1741275913513357882,0.10797612,-9.753743,0.1680958,0.0,0.0,0.0
801439695,3,1741275913523342361,0.09361918,-9.755837,0.17527425,0.0,0.0,0.0
801439705,3,1741275913533327673,0.10438689,-9.757333,0.17467605,0.0,0.0,0.0
801439715,3,1741275913543312517,0.0951147,-9.77498,0.17138593,0.0,0.0,0.0
801439725,3,1741275913553297361,0.11515459,-9.761221,0.16749759,0.0,0.0,0.0
801439735,3,1741275913563281788,0.10707881,-9.756435,0.16211374,0.0,0.0,0.0
801439745,3,1741275913573266163,0.10079765,-9.751948,0.18424734,0.0,0.0,0.0
801439755,3,1741275913583251007,0.09032906,-9.764511,0.17228323,0.0,0.0,0.0
801439765,3,1741275913593235850,0.11006984,-9.761819,0.17377874,0.0,0.0,0.0
801439775,3,1741275913603220278,0.10917253,-9.758529,0.17347965,0.0,0.0,0.0
801439785,3,1741275913613204653,0.10707881,-9.753743,0.17856438,0.0,0.0,0.0
801439795,3,1741275913623189496,0.11515459,-9.763016,0.18095721,0.0,0.0,0.0
801439805,3,1741275913633174340,0.10139586,-9.759426,0.17736799,0.0,0.0,0.0
801439815,3,1741275913643159184,0.11425728,-9.747761,0.180359,0.0,0.0,0.0
801439825,3,1741275913653143611,0.104985096,-9.763314,0.1680958,0.0,0.0,0.0
801439835,3,1741275913663127986,0.102592275,-9.765109,0.17138593,0.0,0.0,0.0
