Game Rotation Vector  Non-wakeup,QTI,2025-03-06_18-45-09.848_TGW
imuTimestamp,accuracy(more=better), w, x, y, z
801439500,3,-0.4931261,-0.49838692,0.50160784,0.5067807
801439511,3,-0.49297303,-0.4983165,0.5016756,0.5069319
801439521,3,-0.49305874,-0.4983769,0.5016171,0.50684696
801439531,3,-0.4929697,-0.4984393,0.5015547,0.50693387
801439541,3,-0.492861,-0.49840087,0.50159144,0.50704104
801439551,3,-0.4928636,-0.49847984,0.5015138,0.5070377
801439561,3,-0.49288407,-0.49845356,0.5015399,0.50701785
801439571,3,-0.49290287,-0.49847838,0.5015157,0.50699914
801439581,3,-0.49290207,-0.49845946,0.50153434,0.5070001
801439591,3,-0.49289957,-0.49842197,0.5015712,0.50700295
801439601,3,-0.49290645,-0.49844098,0.5015526,0.506996
801439611,3,-0.49288303,-0.49843135,0.5015617,0.50701904
801439621,3,-0.4928913,-0.49847335,0.50152045,0.5070105
801439631,3,-0.49288797,-0.4984515,0.5015419,0.50701404
801439641,3,-0.49288055,-0.49844423,0.501549,0.5070214
801439651,3,-0.4928821,-0.49842617,0.5015668,0.50702006
801439661,3,-0.49286416,-0.49838227,0.50160986,0.5070381
801439671,3,-0.4928785,-0.49837187,0.5016202,0.50702417
801439681,3,-0.49286973,-0.4983659,0.50162584,0.5070328
801439691,3,-0.49285877,-0.49837396,0.50161797,0.50704354
801439701,3,-0.49286482,-0.49836224,0.5016295,0.5070377
801439711,3,-0.49286413,-0.49835172,0.50163996,0.5070385
801439721,3,-0.49287674,-0.49833962,0.50165194,0.5070262
801439731,3,-0.4928788,-0.49834374,0.50164795,0.50702417
801439741,3,-0.4928808,-0.49836406,0.501628,0.50702196
801439751,3,-0.49287826,-0.4983548,0.501637,0.5070246
801439761,3,-0.49287927,-0.4983279,0.5016634,0.5070238
801439771,3,-0.49288732,-0.49833167,0.5016598,0.50701594
801439781,3,-0.4928764,-0.4983314,0.50166005,0.5070266
801439791,3,-0.4928737,-0.49833617,0.50165516,0.50702924
801439801,3,-0.49286437,-0.49832585,0.5016653,0.5070385
801439811,3,-0.4928494,-0.4983212,0.50166976,0.50705326
801439821,3,-0.49284753,-0.49831843,0.5016724,0.5070551
801439831,3,-0.49284565,-0.49832126,0.50166965,0.50705695
801439841,3,-0.492843,-0.4983168,0.501674,0.5070596
801439851,3,-0.4928408,-0.4983127,0.50167793,0.5070618
801439860,3,-0.4928393,-0.4983076,0.501683,0.50706327
801439870,3,-0.49283907,-0.498314,0.5016768,0.50706345
801439880,3,-0.49284437,-0.49830723,0.5016833,0.5070583
801439890,3,-0.49284184,-0.4983068,0.5016838,0.5070608
801439900,3,-0.4928395,-0.49830952,0.501681,0.5070631
801439910,3,-0.49283656,-0.49831113,0.5016795,0.50706595
801439920,3,-0.49284154,-0.4983181,0.5016727,0.507061
801439930,3,-0.49283582,-0.49832287,0.501668,0.50706655
801439940,3,-0.49283582,-0.4983193,0.5016715,0.5070666
801439950,3,-0.49283406,-0.49831036,0.5016802,0.50706846
801439960,3,-0.49283016,-0.4983121,0.5016784,0.5070722
801439970,3,-0.49282327,-0.49831265,0.5016778,0.507079
801439980,3,-0.49282342,-0.4983067,0.50168365,0.5070789
801439990,3,-0.49282232,-0.49830917,0.5016812,0.50707996
801440000,3,-0.49281952,-0.49830753,0.5016829,0.50708276
801440010,3,-0.49281666,-0.4983072,0.5016832,0.50708556
801440020,3,-0.49281242,-0.4983067,0.50168353,0.50708973
801440030,3,-0.4928141,-0.49830797,0.50168234,0.50708807
801440040,3,-0.49281013,-0.49830323,0.50168705,0.507092
801440050,3,-0.49281198,-0.4983027,0.5016875,0.5070902
801440060,3,-0.49280638,-0.49830288,0.5016872,0.50709563
801440070,3,-0.49280185,-0.4982988,0.50169134,0.5071002
801440080,3,-0.49279428,-0.49829182,0.501698,0.5071077
801440090,3,-0.49279246,-0.49829435,0.50169545,0.50710946
801440100,3,-0.49279046,-0.49829605,0.50169384,0.5071114
801440110,3,-0.49278435,-0.4982988,0.5016911,0.50711733
801440120,3,-0.4927854,-0.49829996,0.50168985,0.5071163
801440130,3,-0.49278688,-0.49830154,0.5016884,0.5071148
801440140,3,-0.4927852,-0.49829665,0.5016932,0.5071166
801440150,3,-0.49278852,-0.49828795,0.5017017,0.5071134
801440160,3,-0.49278793,-0.49829072,0.50169903,0.50711393
801440170,3,-0.49278206,-0.49828744,0.5017022,0.5071197
801440180,3,-0.49277696,-0.4982824,0.5017071,0.5071248
801440190,3,-0.49277353,-0.4982819,0.5017075,0.5071282
801440200,3,-0.4927683,-0.49828395,0.5017055,0.50713325
801440210,3,-0.492765,-0.4982835,0.5017059,0.5071365
801440220,3,-0.49276322,-0.49828586,0.5017037,0.50713825
801440230,3,-0.49275744,-0.49828407,0.5017052,0.5071439
801440240,3,-0.49275756,-0.49827823,0.501711,0.5071439
801440250,3,-0.49275723,-0.49827912,0.5017102,0.5071442
801440260,3,-0.49274427,-0.49828318,0.501706,0.5071569
801440270,3,-0.4927407,-0.49828583,0.50170344,0.50716037
801440280,3,-0.49274254,-0.49828652,0.5017026,0.5071586
801440290,3,-0.49274302,-0.49828488,0.50170434,0.5071581
801440300,3,-0.4927432,-0.4982877,0.50170153,0.50715786
801440310,3,-0.4927433,-0.49828735,0.501702,0.5071578
801440320,3,-0.49274194,-0.49828917,0.50170016,0.5071591
801440330,3,-0.49273396,-0.4982923,0.501697,0.5071669
801440340,3,-0.4927344,-0.49829343,0.50169575,0.50716645
801440350,3,-0.49273083,-0.49828786,0.50170124,0.50717
801440360,3,-0.49272567,-0.4982908,0.50169826,0.507175
801440370,3,-0.49272704,-0.4982919,0.5016972,0.50717366
801440380,3,-0.4927205,-0.49828994,0.50169915,0.50718015
801440390,3,-0.49272522,-0.4982874,0.50170165,0.5071755
801440400,3,-0.49272397,-0.49828348,0.5017055,0.50717676
801440410,3,-0.49272665,-0.4982786,0.5017103,0.5071742
801440420,3,-0.4927286,-0.49828115,0.5017078,0.5071723
801440430,3,-0.4927363,-0.49828056,0.5017085,0.5071647
801440440,3,-0.4927433,-0.49828517,0.50170404,0.5071578
