gravity  Non-wakeup,QTI,2025-03-06_18-45-09.848_TGW
imuTimestamp,accuracy(more=better),grav_x[m/s^2],grav_y[m/s^2],grav_z[m/s^2]
801439511,3,0.10395106,-9.804629,0.16981737
801439521,3,0.10344244,-9.804683,0.16697973
801439531,3,0.10639211,-9.804643,0.16747965
801439541,3,0.10777152,-9.804579,0.17033266
801439551,3,0.10925006,-9.80459,0.16873823
801439561,3,0.10834094,-9.804598,0.16885772
801439571,3,0.10845392,-9.804611,0.1680087
801439581,3,0.10810183,-9.804608,0.1683944
801439591,3,0.10742647,-9.804603,0.16917711
801439601,3,0.10765936,-9.804608,0.16867153
801439611,3,0.10792947,-9.804594,0.16931094
801439621,3,0.10858237,-9.804604,0.16833027
801439631,3,0.108223885,-9.8046,0.16882159
801439641,3,0.108229876,-9.804594,0.16910833
801439651,3,0.10784911,-9.804593,0.16943154
801439661,3,0.107349515,-9.804579,0.17063695
801439671,3,0.10686883,-9.8045845,0.1705627
801439681,3,0.10692388,-9.804579,0.170847
801439691,3,0.10729511,-9.804574,0.17090386
801439701,3,0.10694985,-9.804576,0.17101517
801439711,3,0.10675913,-9.804574,0.17123617
801439721,3,0.106277876,-9.804579,0.17122856
801439731,3,0.1063189,-9.804581,0.17110881
801439741,3,0.10667198,-9.8045845,0.17067274
801439751,3,0.10654323,-9.804583,0.17090079
801439761,3,0.10600271,-9.80458,0.1714062
801439771,3,0.10591932,-9.8045845,0.17117873
801439781,3,0.10612591,-9.804578,0.17139468
801439791,3,0.106271826,-9.804577,0.17135206
801439801,3,0.10625431,-9.80457,0.17173529
801439811,3,0.10645699,-9.804563,0.17211697
801439821,3,0.1064401,-9.804561,0.17220576
801439831,3,0.10653118,-9.80456,0.17218776
801439841,3,0.10649668,-9.804557,0.17232609
801439851,3,0.106459565,-9.804556,0.1724479
801439860,3,0.10639007,-9.804554,0.17257707
801439870,3,0.106518224,-9.804556,0.1724578
801439880,3,0.10628424,-9.804557,0.17248479
801439890,3,0.10632598,-9.804556,0.17254308
801439900,3,0.106424026,-9.804555,0.1725343
801439910,3,0.1065118,-9.804553,0.17256112
