gyro_s001_004 Gyroscope-Uncalibrated Non-wakeup,STMicro,2025-03-06_18-45-09.848_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel_uncal_x[rad/s],ang_vel_uncal_y[rad/s],ang_vel_uncal_z[rad/s],ang_vel_drift_x[rad/s],ang_vel_drift_y[rad/s],ang_vel_drift_z[rad/s]
801439402,3,1741275913230741944,0.0058032153,-0.0024434591,0.0012217296,0.0053031044,-0.0022775796,0.0014542363
801439412,3,1741275913240726632,0.0048869182,-0.0016798781,0.0010690134,0.0053031044,-0.0022775796,0.0014542363
801439422,3,1741275913250710746,0.0048869182,-0.0015271619,0.0013744457,0.0053031044,-0.0022775796,0.0014542363
801439432,3,1741275913260695590,0.0044287695,-0.0013744457,0.0015271619,0.0053031044,-0.0022775796,0.0014542363
801439442,3,1741275913270680434,0.0048869182,-0.0016798781,0.0010690134,0.0053031044,-0.0022775796,0.0014542363
801439452,3,1741275913280665278,0.0050396346,-0.0016798781,0.0015271619,0.0053031044,-0.0022775796,0.0014542363
801439462,3,1741275913290649965,0.0051923506,-0.0016798781,0.0021380268,0.0053031044,-0.0022775796,0.0014542363
801439472,3,1741275913300634080,0.004734202,-0.0025961753,0.0015271619,0.0053031044,-0.0022775796,0.0014542363
801439482,3,1741275913310618767,0.0048869182,-0.0024434591,0.0013744457,0.0053031044,-0.0022775796,0.0014542363
801439492,3,1741275913320602725,0.0051923506,-0.0015271619,0.0012217296,0.0053031044,-0.0022775796,0.0014542363
801439502,3,1741275913330633663,0.0051923506,-0.0021380268,9.162972E-4,0.0053031044,-0.0022775796,0.0014542363
801439512,3,1741275913340769965,0.004734202,-0.0018325944,0.0013744457,0.0053031044,-0.0022775796,0.0014542363
801439522,3,1741275913350777361,0.003970621,-0.0013744457,7.6358096E-4,0.0053031044,-0.0022775796,0.0014542363
801439533,3,1741275913360960538,0.0048869182,-0.0010690134,0.0015271619,0.0053031044,-0.0022775796,0.0014542363
801439543,3,1741275913371101007,0.004734202,-0.0018325944,0.0010690134,0.0053031044,-0.0022775796,0.0014542363
801439553,3,1741275913381098715,0.005497783,-0.002290743,6.108648E-4,0.0053031044,-0.0022775796,0.0014542363
801439563,3,1741275913391083559,0.004734202,-0.0024434591,0.0015271619,0.0053031044,-0.0022775796,0.0014542363
801439573,3,1741275913401068194,0.0051923506,-0.0029016077,0.0012217296,0.0053031044,-0.0022775796,0.0014542363
801439583,3,1741275913411052361,0.0042760535,-0.0018325944,0.0010690134,0.0053031044,-0.0022775796,0.0014542363
801439593,3,1741275913421037205,0.0044287695,-0.0024434591,9.162972E-4,0.0053031044,-0.0022775796,0.0014542363
801439603,3,1741275913431022048,0.0051923506,-0.0019853106,0.0018325944,0.0053031044,-0.0022775796,0.0014542363
801439613,3,1741275913441006892,0.004734202,-0.0021380268,7.6358096E-4,0.0053031044,-0.0022775796,0.0014542363
801439623,3,1741275913450991528,0.005497783,-0.0013744457,0.0015271619,0.0053031044,-0.0022775796,0.0014542363
801439633,3,1741275913460975694,0.0051923506,-0.0021380268,0.0012217296,0.0053031044,-0.0022775796,0.0014542363
801439643,3,1741275913470960330,0.0051923506,-0.0024434591,0.0013744457,0.0053031044,-0.0022775796,0.0014542363
801439653,3,1741275913480944600,0.0050396346,-0.0015271619,0.0010690134,0.0053031044,-0.0022775796,0.0014542363
801439663,3,1741275913490930121,0.004734202,-0.0021380268,0.0010690134,0.0053031044,-0.0022775796,0.0014542363
801439673,3,1741275913500914757,0.0050396346,-0.0019853106,0.0015271619,0.0053031044,-0.0022775796,0.0014542363
801439683,3,1741275913510898715,0.004734202,-0.0025961753,0.0010690134,0.0053031044,-0.0022775796,0.0014542363
801439693,3,1741275913520882778,0.003970621,-0.0016798781,0.0016798781,0.0053031044,-0.0022775796,0.0014542363
801439703,3,1741275913530868298,0.005497783,-0.0016798781,0.0012217296,0.0053031044,-0.0022775796,0.0014542363
801439712,3,1741275913540853142,0.005345067,-0.0018325944,9.162972E-4,0.0053031044,-0.0022775796,0.0014542363
801439722,3,1741275913550837986,0.005345067,-0.0021380268,0.0015271619,0.0053031044,-0.0022775796,0.0014542363
801439732,3,1741275913560822621,0.0050396346,-0.0018325944,0.0013744457,0.0053031044,-0.0022775796,0.0014542363
801439742,3,1741275913570806788,0.005345067,-0.0019853106,0.0018325944,0.0053031044,-0.0022775796,0.0014542363
801439752,3,1741275913580791632,0.0051923506,-0.0021380268,0.0016798781,0.0053031044,-0.0022775796,0.0014542363
801439762,3,1741275913590776475,0.0042760535,-0.0018325944,4.581486E-4,0.0053031044,-0.0022775796,0.0014542363
801439772,3,1741275913600761111,0.0048869182,-0.0018325944,0.0013744457,0.0053031044,-0.0022775796,0.0014542363
801439782,3,1741275913610745278,0.0050396346,-0.0018325944,6.108648E-4,0.0053031044,-0.0022775796,0.0014542363
801439792,3,1741275913620730121,0.0044287695,-0.0030543238,0.0015271619,0.0053031044,-0.0022775796,0.0014542363
801439802,3,1741275913630714965,0.005345067,-0.002290743,0.0012217296,0.0053031044,-0.0022775796,0.0014542363
801439812,3,1741275913640699809,0.0048869182,-0.0018325944,0.0016798781,0.0053031044,-0.0022775796,0.0014542363
801439822,3,1741275913650684444,0.0050396346,-0.0018325944,0.0012217296,0.0053031044,-0.0022775796,0.0014542363
801439832,3,1741275913660668611,0.0048869182,-0.0021380268,0.0018325944,0.0053031044,-0.0022775796,0.0014542363
801439842,3,1741275913670653455,0.005497783,-0.0029016077,0.0012217296,0.0053031044,-0.0022775796,0.0014542363
