linear_acceleration,QTI,2025-03-06_18-45-09.848_TGW
imuTimestamp,accuracy(more=better),acc_lin_x[m/s^2],acc_lin_y[m/s^2],acc_lin_z[m/s^2]
801439531,3,0.008736268,0.008413315,0.0016392767
801439541,3,0.0053984374,0.0025644302,0.011335462
801439551,3,0.0070164874,-0.0029067993,-0.007636845
801439561,3,-0.0054579526,-0.0044202805,9.583533E-4
801439571,3,4.849434E-4,0.0017986298,-0.005651504
801439581,3,-0.0026937202,-0.007534027,0.0038009286
801439591,3,-0.0066658333,1.8692017E-4,0.0075258017
801439601,3,0.002388157,-0.003540039,-0.004363045
801439611,3,0.002546005,0.004755974,0.006830722
801439621,3,0.0076607913,-0.0065259933,-0.01148513
801439631,3,-0.004646495,0.004266739,0.0068921745
801439641,3,-4.278645E-4,0.0025367737,0.003372267
801439651,3,-0.0053988025,-0.0019769669,0.00586316
801439661,3,-0.009404436,0.0015830994,0.019302607
801439671,3,-0.007795587,0.0062818527,-4.633069E-4
801439681,3,5.970895E-4,0.003818512,0.0048873425
801439691,3,0.006561719,8.2206726E-4,0.003986776
801439701,3,-0.0066035017,0.006146431,0.0028960258
801439711,3,-0.006267287,0.010703087,0.003670156
801439721,3,-0.010294519,-0.0048418045,-1.2639165E-4
801439731,3,0.0012047514,-0.0036964417,-0.0022620112
801439741,3,0.008739345,0.00861454,-0.01012595
801439751,3,-0.002672203,0.0048980713,0.0056963265
801439761,3,-0.015785217,0.0047187805,0.014626697
801439771,3,-0.002188526,0.0030584335,-0.0031612813
801439781,3,0.0030946955,-0.0011253357,0.0052088946
801439791,3,0.005061634,0.002450943,7.4864924E-4
801439801,3,-0.0018152893,0.007411003,0.012616888
801439811,3,0.005866654,0.004590988,0.012943044
801439821,3,-3.0758977E-4,0.0063619614,0.0028645545
801439831,3,0.0039669424,0.0056295395,0.0010556132
801439841,3,-0.0023332015,-0.0016412735,0.0042951256
801439851,3,-0.0014518872,-5.00679E-4,0.004173532
801439860,3,-0.005182199,0.0029382706,0.008128196
801439870,3,0.0025701374,-0.007829666,-0.0024540573
801439880,3,-0.008314244,0.0077314377,0.0013230145
801439890,3,-0.0010376349,-0.0038528442,-1.4425814E-4
801439900,3,0.0015375093,-0.0056829453,5.657077E-4
801439910,3,0.0051102266,0.0018701553,0.0020880997
801439920,3,-0.0029516518,-0.003121376,-0.008519769
801439930,3,0.0058543608,0.001625061,0.0011750609
801439940,3,-0.002519466,0.011772156,6.879121E-4
801439950,3,-0.006324813,-0.0034923553,0.008925393
801439960,3,0.004124187,1.6403198E-4,0.0033946782
801439970,3,0.006232992,0.010084152,0.0063731074
801439980,3,-0.0030772015,0.009187698,0.003871262
801439990,3,0.005296491,-0.008237839,-0.004126996
801440000,3,0.0023176298,3.3950806E-4,0.0021182746
801440010,3,0.0026898086,-0.0065689087,0.0059964955
801440020,3,0.005851835,-0.011415482,0.0074492246
801440030,3,-0.0039931983,-0.0013952255,-0.0012198538
801440040,3,-3.5837293E-5,0.006368637,0.012124568
801440050,3,-0.0019620433,-0.002729416,-6.5903366E-4
801440060,3,0.0011655986,0.0056142807,0.0081065595
801440070,3,0.0043912753,-0.0022277832,0.008640572
801440080,3,-0.0033617392,0.008048058,0.012867123
801440090,3,0.0061232224,-0.012845993,0.005418822
801440100,3,0.007178627,9.3364716E-4,0.0014716834
801440110,3,0.008694731,-0.008770943,0.0025309026
801440120,3,0.0037636757,-0.008482933,0.0045424104
801440130,3,0.002353996,-0.009309769,0.0020639151
801440140,3,-0.00997179,0.011883736,0.0063030273
801440150,3,-0.008190781,-0.007000923,0.005916059
801440160,3,0.0049728975,-0.014909744,0.0010259598
801440170,3,0.0019656867,-0.003312111,0.010278925
801440180,3,0.0028084666,0.007265091,0.014871478
801440190,3,0.0035956278,-0.002544403,0.008039191
801440200,3,0.007255487,-2.8800964E-4,0.0051612854
801440210,3,0.004526548,0.011481285,0.0035450459
801440220,3,0.0019123107,-0.0057344437,-3.8819015E-4
801440230,3,0.002256751,-0.0025930405,0.0114308
801440240,3,-0.004527062,-0.0036582947,0.004843712
801440250,3,3.7445128E-4,-0.003733635,0.004430726
801440260,3,0.020314306,0.003663063,0.006513208
801440270,3,0.0056941733,-0.010378838,2.989173E-4
801440280,3,-0.0010413453,-0.0036993027,-0.003170088
801440290,3,9.710267E-4,-7.314682E-4,-9.415746E-4
801440300,3,-0.0042875707,-0.0032100677,-0.0017288774
801440310,3,0.0020552054,0.0048704147,0.0019250661
801440320,3,0.0034000725,-0.00600338,0.0010893196
801440330,3,0.008252293,0.0051670074,0.0040943027
801440340,3,0.004297398,-0.00820446,0.0021547228
801440350,3,-0.004110463,-5.912781E-4,0.016333386
801440360,3,0.010513097,0.0039873123,0.004469037
801440370,3,-0.0021510124,-0.0074281693,-0.0028045774
801440380,3,0.005922392,-0.001906395,0.013779998
801440390,3,-0.008430123,0.020132065,-0.001655668
801440400,3,-0.0048607737,-0.0030384064,0.009643689
801440410,3,-0.010063954,-0.0040950775,0.0045327097
801440420,3,-0.002054572,-0.004026413,-0.0053753257
801440430,3,-0.009070337,-7.753372E-4,-0.006927237
801440440,3,-0.003393598,-0.0035295486,-0.007830173
801440450,3,-0.0033153296,0.0010967255,0.0030743629
801440460,3,-0.0038051084,0.008137703,8.070618E-4
801440470,3,-0.010480225,-0.0072231293,-0.007673621
801440480,3,-0.004792489,-4.2915344E-5,0.0011222512
801440490,3,0.0017331019,0.003004074,-0.005477771
801440500,3,-8.3324313E-4,0.008906364,-9.979308E-5
801440509,3,0.008055188,0.006128311,-0.001276046
801440519,3,0.0023514628,-0.0029716492,0.0016447306
801440529,3,0.0016022399,-0.008316994,-2.9481947E-4
801440539,3,-0.004243672,0.0067682266,-0.008185878
801440549,3,-0.010274172,0.009285927,-0.013041943
801440559,3,0.00403776,-0.009553909,-0.0013113022
801440569,3,0.0022703484,-0.0010900497,0.007755518
801440579,3,0.0048721284,-0.011727333,0.0065577477
801440589,3,6.067902E-4,-0.0019845963,0.00563702
801440599,3,0.002973333,0.008984566,5.773902E-4
801440609,3,7.8839064E-4,-0.008051872,-0.008949071
801440619,3,-1.0087341E-4,-0.005428314,0.004417941
801440629,3,-0.01715529,-2.1362305E-4,-7.649809E-4
801440639,3,-0.0024368763,7.581711E-4,-0.0022660643
801440649,3,-0.0023310333,0.0024051666,0.0041866302
801440659,3,-4.6966225E-4,-0.006075859,0.0016363263
801440669,3,0.013859503,-0.009020805,0.0048760474
801440679,3,0.0015952885,-0.0011196136,0.007373795
801440689,3,-0.008443132,-0.005115509,0.009333506
801440699,3,-0.010051899,2.2888184E-4,-0.0032524318
801440709,3,0.0065060705,-6.0272217E-4,0.0042778105
801440719,3,-0.011571594,-0.0026693344,-0.00464195
801440729,3,0.009667732,0.015506744,0.0016626567
801440739,3,-0.0019658133,-0.0027456284,-0.005957812
801440749,3,-0.0049476624,-0.008234978,-0.0033498108
801440759,3,0.004923612,-0.012942314,0.01017803
801440769,3,0.009155452,6.9999695E-4,-0.007931188
801440779,3,-0.010538742,-0.009138107,-0.007792428
801440789,3,-0.004424028,0.006375313,4.6762824E-4
801440799,3,-0.015046783,-0.014489174,0.01200293
801440809,3,-0.009410068,-0.0069122314,-0.00216344
801440819,3,-0.0015837252,0.014242172,0.0097729415
801440829,3,-0.012365155,-0.0062036514,0.0037140697
801440839,3,-0.0033181235,-0.00360775,-0.0073679835
801440849,3,-0.0040782243,-7.801056E-4,0.0032057017
801440859,3,-0.0031220317,-0.005607605,0.0037942082
801440869,3,0.0018251687,8.5258484E-4,-0.0048259497
801440879,3,0.0070986375,-0.007047653,0.0015848726
801440889,3,0.0036339313,-0.012329102,-0.0038498342
801440899,3,0.004738882,-0.007279396,-0.0034604222
801440909,3,0.0029035732,0.0012865067,0.002685219
801440919,3,-0.0051498264,-0.0057935715,3.065318E-4
801440929,3,0.0010211468,0.0020542145,8.459538E-4
801440939,3,0.0010051727,-0.015144348,-0.004229188
801440949,3,0.0019516274,0.0048999786,0.0012530684
801440959,3,0.00488396,0.0013580322,-0.0015160441
801440969,3,0.0033036917,0.010056496,-0.0061581284
801440979,3,0.004428625,0.0039367676,8.160025E-4
801440989,3,-0.0066189244,-5.722046E-6,-0.005899012
801440999,3,0.0057923645,-0.0071992874,0.0023225397
801441009,3,0.009330466,-0.0012655258,-0.0028461665
801441019,3,0.0062292293,0.009275436,0.0012491643
801441029,3,0.0017262325,0.00579834,0.004838139
801441039,3,6.1219186E-4,-0.011182785,9.3078613E-4
801441049,3,0.002812989,0.00658226,-0.0034612566
801441059,3,0.0036131963,0.0041208267,0.011444971
801441069,3,-0.0035511032,0.009171486,-0.0039522946
801441079,3,0.00496687,0.0063905716,0.0021125525
801441089,3,-0.0022130758,0.0047597885,-0.0030539185
801441099,3,-0.0030595511,0.0073108673,-0.0073551834
801441109,3,-7.694885E-4,0.006082535,-0.0016309917
801441119,3,0.00847242,0.007089615,0.0059010237
801441129,3,0.0016840249,0.0071105957,-0.007882744
801441139,3,-0.0012071952,-0.0061569214,-0.0046451986
801441149,3,-9.2884153E-4,-0.01449585,0.002095446
801441159,3,-0.004370056,0.0033226013,-0.010241285
801441168,3,-0.002462037,-0.002407074,5.853176E-4
801441178,3,0.014107496,-0.008732796,-0.00993374
