location due to GPS and WiFi+Cell,2025-03-06_18-45-09.848_TGW
time,provider,lat (deg),long (deg),has accuracy,accuracy (m),has altitude,altitude (m above sea level),has bearing,bearing (degrees),has speed,speed (m/s over ground),UTC,realtime
801439698,network,55.69938710763467,37.36081750001589,1,1.6402009,0,0.0,0,0.0,0,0.0,1741275913293,801439465705458
801440016,gps,55.69938710763467,37.36081750001589,1,1.6402009,1,0.0,1,0.0,1,0.0,1741275913302,801439947649364
801450019,gps,55.69938710763467,37.36081750001589,1,1.6402009,1,0.0,1,0.0,1,0.0,1741275913302,801449959671808
801460022,gps,55.69938710763467,37.36081750001589,1,1.6402009,1,0.0,1,0.0,1,0.0,1741275913302,801459958355815
801461711,network,55.69938596642218,37.36081120145986,1,1.6564902,0,0.0,0,0.0,0,0.0,1741275935517,801461689544304
801470074,gps,55.69938596642218,37.36081120145986,1,1.6564902,1,0.0,1,0.0,1,0.0,1741275935533,801469997316853
801480074,gps,55.69938596642218,37.36081120145986,1,1.6564902,1,0.0,1,0.0,1,0.0,1741275935533,801479998460234
801481923,network,55.699385913149904,37.36081232420683,1,1.6520983,0,0.0,0,0.0,0,0.0,1741275955737,801481908993619
801490067,gps,55.699385913149904,37.36081232420683,1,1.6520983,1,0.0,1,0.0,1,0.0,1741275955745,801489997655804
801500068,gps,55.699385913149904,37.36081232420683,1,1.6520983,1,0.0,1,0.0,1,0.0,1741275955745,801499999692154
801501720,network,55.69938620217627,37.36081803029506,1,1.6704968,0,0.0,0,0.0,0,0.0,1741275975537,801501709435018
801510100,gps,55.69938620217627,37.36081803029506,1,1.6704968,1,0.0,1,0.0,1,0.0,1741275975545,801510017794077
801520084,gps,55.69938620217627,37.36081803029506,1,1.6704968,1,0.0,1,0.0,1,0.0,1741275975545,801520007445219
801521838,network,55.69938620217627,37.36081803029506,1,1.6704968,0,0.0,0,0.0,0,0.0,1741275995649,801521821706781
801530103,gps,55.69938620217627,37.36081803029506,1,1.6704968,1,0.0,1,0.0,1,0.0,1741275995661,801530018283340
801540088,gps,55.69938620217627,37.36081803029506,1,1.6704968,1,0.0,1,0.0,1,0.0,1741275995661,801540018012816
801541866,network,55.69938574716655,37.360818670225854,1,1.5865171,0,0.0,0,0.0,0,0.0,1741276015680,801541852719586
801550087,gps,55.69938574716655,37.360818670225854,1,1.5865171,1,0.0,1,0.0,1,0.0,1741276015689,801550011162656
801560104,gps,55.69938574716655,37.360818670225854,1,1.5865171,1,0.0,1,0.0,1,0.0,1741276015689,801560023731714
801561993,network,55.699386124710415,37.36081845758869,1,1.5979509,0,0.0,0,0.0,0,0.0,1741276035807,801561979447078
801570132,gps,55.699386124710415,37.36081845758869,1,1.5979509,1,0.0,1,0.0,1,0.0,1741276035816,801570044364315
801580117,gps,55.699386124710415,37.36081845758869,1,1.5979509,1,0.0,1,0.0,1,0.0,1741276035816,801580038049780
801581979,network,55.69938584824182,37.36081209939163,1,1.6101692,0,0.0,0,0.0,0,0.0,1741276055790,801581962600560
801590124,gps,55.69938584824182,37.36081209939163,1,1.6101692,1,0.0,1,0.0,1,0.0,1741276055799,801590040992692
801600126,gps,55.69938584824182,37.36081209939163,1,1.6101692,1,0.0,1,0.0,1,0.0,1741276055799,801600040040709
801602078,network,55.69938634042278,37.360810865241646,1,1.874984,0,0.0,0,0.0,0,0.0,1741276075893,801602065111438
801610130,gps,55.69938634042278,37.360810865241646,1,1.874984,1,0.0,1,0.0,1,0.0,1741276075902,801610031792112
801620112,gps,55.69938634042278,37.360810865241646,1,1.874984,1,0.0,1,0.0,1,0.0,1741276075902,801620041803671
801621957,network,55.69938602473087,37.36081083270709,1,1.6418511,0,0.0,0,0.0,0,0.0,1741276095770,801621942207107
801630129,gps,55.69938602473087,37.36081083270709,1,1.6418511,1,0.0,1,0.0,1,0.0,1741276095778,801630051923302
801640144,gps,55.69938602473087,37.36081083270709,1,1.6418511,1,0.0,1,0.0,1,0.0,1741276095778,801640062521319
801641976,network,55.699385457552886,37.360819427446906,1,1.6724913,0,0.0,0,0.0,0,0.0,1741276115790,801641961900798
801650151,gps,55.699385457552886,37.360819427446906,1,1.6724913,1,0.0,1,0.0,1,0.0,1741276115798,801650071180170
801660159,gps,55.699385457552886,37.360819427446906,1,1.6724913,1,0.0,1,0.0,1,0.0,1741276115798,801660087854280
801662090,network,55.699386589878706,37.36081879558107,1,1.7948984,0,0.0,0,0.0,0,0.0,1741276135904,801662076446884
801670153,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276135913,801670081459120
