mag_s004_001 Magnetometer-Uncalibrated Non-wakeup,QST,2025-03-06_18-45-09.848_TGW
imuTimestamp,accuracy(more=better),mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
801439387,3,3.5625,8.650001,151.675,-27.0,-69.0,177.0
801439397,3,3.6125,8.6,151.725,-27.0,-69.0,177.0
801439406,3,3.5625,8.6125,151.71251,-27.0,-69.0,177.0
801439416,3,3.5375001,8.575,151.7,-27.0,-69.0,177.0
801439425,3,3.5625,8.587501,151.7,-27.0,-69.0,177.0
801439435,3,3.575,8.6,151.71251,-27.0,-69.0,177.0
801439444,3,3.6125,8.6125,151.71251,-27.0,-69.0,177.0
801439454,3,3.625,8.6125,151.7,-27.0,-69.0,177.0
801439463,3,3.6375,8.587501,151.6875,-27.0,-69.0,177.0
801439473,3,3.65,8.587501,151.6375,-27.0,-69.0,177.0
801439482,3,3.7,8.5625,151.58751,-27.0,-69.0,177.0
801439492,3,3.75,8.587501,151.55,-27.0,-69.0,177.0
801439501,3,3.7625,8.575,151.5,-27.0,-69.0,177.0
801439511,3,3.7625,8.55,151.45,-27.0,-69.0,177.0
801439520,3,3.75,8.5375,151.4375,-27.0,-69.0,177.0
801439530,3,3.7375,8.5,151.4125,-27.0,-69.0,177.0
801439539,3,3.75,8.5,151.4125,-27.0,-69.0,177.0
801439549,3,3.7375,8.4875,151.45,-27.0,-69.0,177.0
801439558,3,3.7125,8.4875,151.5125,-27.0,-69.0,177.0
801439568,3,3.7,8.4375,151.5625,-27.0,-69.0,177.0
801439577,3,3.6875,8.4125,151.625,-27.0,-69.0,177.0
801439587,3,3.7,8.3875,151.6875,-27.0,-69.0,177.0
801439596,3,3.7,8.3625,151.71251,-27.0,-69.0,177.0
801439606,3,3.7125,8.3875,151.7625,-27.0,-69.0,177.0
801439615,3,3.7250001,8.3875,151.7625,-27.0,-69.0,177.0
801439625,3,3.7625,8.400001,151.7625,-27.0,-69.0,177.0
801439634,3,3.775,8.400001,151.75,-27.0,-69.0,177.0
801439644,3,3.775,8.45,151.725,-27.0,-69.0,177.0
801439653,3,3.7625,8.462501,151.71251,-27.0,-69.0,177.0
