baro_s002_001 Pressure Sensor Non-wakeup,Goertek,2025-03-06_18-45-09.848_TGW
imuTimestamp,accuracy(more=better),pressure[millibar]
801439465,3,977.3461
801439497,3,977.3738
801439528,3,977.3679
801439559,3,977.36523
801439590,3,977.3748
801439622,3,977.36426
801439653,3,977.3707
801439684,3,977.36957
801439715,3,977.3558
801439747,3,977.3766
801439778,3,977.36584
801439809,3,977.3633
801439840,3,977.375
801439872,3,977.37866
801439903,3,977.3685
801439934,3,977.3925
801439965,3,977.3872
801439997,3,977.3803
801440028,3,977.37866
801440059,3,977.3782
801440090,3,977.3771
801440122,3,977.40265
801440153,3,977.3852
801440184,3,977.38824
801440215,3,977.40265
801440247,3,977.3915
801440278,3,977.3915
801440309,3,977.38245
801440340,3,977.3915
801440372,3,977.40265
801440403,3,977.3925
801440434,3,977.3915
801440465,3,977.3975
801440497,3,977.3915
801440528,3,977.3975
801440559,3,977.3925
801440590,3,977.38776
801440622,3,977.38245
801440653,3,977.40485
801440684,3,977.39856
801440715,3,977.3782
801440747,3,977.3782
801440778,3,977.3782
801440809,3,977.3782
801440840,3,977.392
801440872,3,977.3718
801440903,3,977.4011
801440934,3,977.3825
801440965,3,977.3925
801440997,3,977.38086
801441028,3,977.38354
801441059,3,977.3819
801441090,3,977.3654
801441122,3,977.3863
801441153,3,977.3878
801441184,3,977.3863
801441216,3,977.3792
801441247,3,977.38135
801441278,3,977.38354
801441309,3,977.3777
801441340,3,977.3772
801441372,3,977.3798
801441403,3,977.36957
801441434,3,977.38135
801441465,3,977.3686
801441497,3,977.3627
801441528,3,977.35956
801441559,3,977.3739
801441590,3,977.375
801441622,3,977.36957
801441653,3,977.3665
801441684,3,977.3894
801441715,3,977.3799
801441747,3,977.3739
801441778,3,977.37885
801441809,3,977.36957
801441840,3,977.3717
801441872,3,977.3665
801441903,3,977.3713
801441934,3,977.3766
801441965,3,977.3632
801441997,3,977.37555
801442028,3,977.3772
801442059,3,977.3552
801442090,3,977.36163
801442122,3,977.3654
801442153,3,977.3579
801442185,3,977.36804
801442215,3,977.36115
801442247,3,977.36804
801442278,3,977.3638
801442309,3,977.3541
801442340,3,977.3558
801442372,3,977.3541
801442403,3,977.3515
801442434,3,977.3552
801442465,3,977.3541
801442497,3,977.3541
801442528,3,977.3515
801442559,3,977.3541
801442590,3,977.3484
801442622,3,977.3435
801442653,3,977.3738
801442684,3,977.37274
801442715,3,977.369
801442747,3,977.3738
801442778,3,977.36523
801442809,3,977.35986
801442840,3,977.37805
801442872,3,977.3588
801442903,3,977.3711
801442934,3,977.36847
801442965,3,977.3679
801442997,3,977.3546
801443028,3,977.35986
801443059,3,977.3546
801443090,3,977.3605
801443122,3,977.3711
801443153,3,977.35297
801443184,3,977.36426
801443215,3,977.3626
801443247,3,977.34924
801443278,3,977.3679
801443309,3,977.3571
801443340,3,977.34656
801443372,3,977.36426
801443403,3,977.35297
801443434,3,977.35144
801443465,3,977.3626
801443497,3,977.34924
801443528,3,977.3487
801443559,3,977.35144
801443590,3,977.3476
801443622,3,977.35187
801443653,3,977.3456
801443684,3,977.3633
801443715,3,977.3622
801443747,3,977.3617
801443778,3,977.359
801443809,3,977.3558
801443840,3,977.3579
801443872,3,977.3633
801443903,3,977.3579
801443934,3,977.3516
801443965,3,977.3622
801443997,3,977.3718
801444028,3,977.3558
801444059,3,977.35425
801444090,3,977.3516
801444122,3,977.3521
801444153,3,977.3425
801444184,3,977.3521
801444215,3,977.34674
801444247,3,977.3579
801444278,3,977.3579
801444309,3,977.3552
801444340,3,977.3558
801444372,3,977.3552
801444403,3,977.3633
801444434,3,977.34784
801444465,3,977.35425
801444497,3,977.34784
801444528,3,977.3397
801444559,3,977.35046
801444590,3,977.3414
801444622,3,977.3558
801444653,3,977.3516
801444684,3,977.36365
801444715,3,977.35565
801444747,3,977.35364
801444778,3,977.3599
801444809,3,977.3509
801444840,3,977.3577
801444872,3,977.35675
801444903,3,977.3663
801444934,3,977.35364
801444965,3,977.3626
801444997,3,977.35675
801445028,3,977.35675
801445059,3,977.3471
801445090,3,977.3526
801445122,3,977.3498
801445153,3,977.3551
801445184,3,977.3429
801445215,3,977.3407
801445247,3,977.3551
801445278,3,977.34814
801445309,3,977.3471
801445340,3,977.35675
801445372,3,977.3498
801445403,3,977.3526
801445434,3,977.34875
801445465,3,977.35675
801445497,3,977.34393
801445528,3,977.3577
801445559,3,977.3526
801445590,3,977.34875
801445622,3,977.3498
801445653,3,977.3471
801445684,3,977.3498
801445715,3,977.3544
801445747,3,977.35065
801445778,3,977.3534
801445809,3,977.3534
801445840,3,977.3619
801445872,3,977.3544
801445903,3,977.3544
801445934,3,977.363
801445966,3,977.3635
801445997,3,977.363
801446028,3,977.35175
801446059,3,977.34973
801446090,3,977.3534
801446122,3,977.3705
801446153,3,977.356
801446184,3,977.3544
801446215,3,977.3635
801446247,3,977.37
801446278,3,977.3534
801446309,3,977.3523
801446340,3,977.3492
801446372,3,977.35767
801446403,3,977.363
801446434,3,977.3417
801446465,3,977.3534
801446497,3,977.3534
801446528,3,977.3492
801446559,3,977.3534
801446590,3,977.3619
801446622,3,977.3544
801446653,3,977.34973
801446684,3,977.3662
801446715,3,977.3481
801446747,3,977.35986
801446778,3,977.3454
801446809,3,977.3481
801446840,3,977.3571
801446872,3,977.35986
801446903,3,977.35547
801446934,3,977.3534
801446965,3,977.36676
801446997,3,977.3502
801447028,3,977.3641
801447059,3,977.3641
801447090,3,977.34973
801447122,3,977.3571
801447153,3,977.35986
801447184,3,977.3571
801447215,3,977.3571
801447247,3,977.3582
801447278,3,977.4121
801447309,3,977.3588
801447340,3,977.34015
801447372,3,977.3412
801447403,3,977.35547
801447434,3,977.3432
801447465,3,977.3481
801447497,3,977.3545
801447528,3,977.3481
801447559,3,977.3278
801447590,3,977.3492
801447622,3,977.3454
801447653,3,977.3571
801447684,3,977.3454
801447716,3,977.33954
801447747,3,977.4296
801447778,3,977.3901
801447809,3,977.3666
801447840,3,977.34686
801447872,3,977.31757
801447903,3,977.3122
801447934,3,977.31757
801447965,3,977.3251
801447997,3,977.3048
801448028,3,977.3101
801448059,3,977.3016
801448090,3,977.31494
801448122,3,977.3182
801448153,3,977.3101
801448184,3,977.4078
801448215,3,977.3944
801448247,3,977.34955
801448278,3,977.37305
801448309,3,977.34686
801448340,3,977.3038
801448372,3,977.30585
801448403,3,977.29614
801448434,3,977.3096
801448465,3,977.3069
801448497,3,977.3021
801448528,3,977.31433
801448559,3,977.30585
801448590,3,977.31494
801448622,3,977.31433
801448653,3,977.3191
801448684,3,977.3208
801448715,3,977.3357
801448747,3,977.3133
801448778,3,977.32983
801448809,3,977.32825
801448840,3,977.3346
801448872,3,977.3373
801448903,3,977.3217
801448935,3,977.34375
801448965,3,977.33997
801448997,3,977.33777
801449028,3,977.341
801449059,3,977.34375
801449090,3,977.349
801449122,3,977.33673
801449153,3,977.341
801449184,3,977.33563
801449215,3,977.34265
801449247,3,977.3325
801449278,3,977.32135
801449309,3,977.3234
801449340,3,977.3464
801449372,3,977.34375
801449403,3,977.33997
801449434,3,977.32446
801449465,3,977.33673
801449497,3,977.33563
801449528,3,977.333
801449559,3,977.3361
801449590,3,977.32715
801449622,3,977.3361
801449653,3,977.3373
801449684,3,977.35175
801449715,3,977.341
801449747,3,977.351
801449778,3,977.3356
801449809,3,977.3297
801449840,3,977.32166
801449872,3,977.3495
801449903,3,977.3367
801449934,3,977.3132
801449965,3,977.3127
801449997,3,977.3009
801450028,3,977.3063
801450059,3,977.2919
801450090,3,977.2971
801450122,3,977.29565
801450153,3,977.31104
801450184,3,977.3089
801450215,3,977.2945
801450247,3,977.2982
801450278,3,977.30524
801450309,3,977.3089
801450340,3,977.28485
801450372,3,977.2678
801450403,3,977.2865
801450435,3,977.2881
801450465,3,977.27155
801450497,3,977.3036
801450528,3,977.2982
801450559,3,977.2838
801450590,3,977.28284
801450622,3,977.2945
801450653,3,977.2919
801450684,3,977.2758
801450716,3,977.29297
801450747,3,977.2838
801450778,3,977.2742
801450809,3,977.2725
801450840,3,977.25867
801450872,3,977.28485
801450903,3,977.2673
801450934,3,977.2806
801450965,3,977.2652
801450997,3,977.26196
801451028,3,977.25604
801451059,3,977.2512
801451090,3,977.24915
801451122,3,977.2438
801451153,3,977.2412
801451184,3,977.239
801451215,3,977.2379
801451247,3,977.2443
801451278,3,977.2374
801451309,3,977.231
801451340,3,977.2374
801451372,3,977.2374
801451403,3,977.239
801451434,3,977.2321
801451465,3,977.215
801451497,3,977.207
801451528,3,977.21765
801451559,3,977.21295
801451590,3,977.1984
801451622,3,977.198
801451653,3,977.207
801451685,3,977.2107
801451715,3,977.20917
801451747,3,977.2027
801451778,3,977.1927
801451809,3,977.2067
801451840,3,977.2029
801451872,3,977.2002
801451903,3,977.1896
801451934,3,977.17035
801451965,3,977.1896
801451997,3,977.19543
801452028,3,977.1896
801452059,3,977.2013
801452090,3,977.1788
801452122,3,977.16284
801452153,3,977.1896
801452184,3,977.1991
801452215,3,977.17664
801452247,3,977.1842
801452278,3,977.1991
801452309,3,977.1927
801452340,3,977.18317
801452372,3,977.1751
801452403,3,977.173
801452434,3,977.173
801452465,3,977.1879
801452497,3,977.1842
801452528,3,977.173
801452559,3,977.19543
801452590,3,977.17725
801452622,3,977.1838
801452653,3,977.1842
801452684,3,977.18207
801452715,3,977.2013
801452747,3,977.22095
801452778,3,977.20764
801452809,3,977.18524
801452840,3,977.1907
801452872,3,977.1938
801452903,3,977.204
801452934,3,977.18805
801452965,3,977.1751
801452997,3,977.16547
801453028,3,977.1682
801453059,3,977.17566
801453090,3,977.1788
801453122,3,977.18207
801453153,3,977.1816
801453184,3,977.17566
801453215,3,977.17993
801453247,3,977.16876
801453278,3,977.16986
801453309,3,977.18805
801453340,3,977.1938
801453372,3,977.17566
801453403,3,977.1869
801453434,3,977.17615
801453465,3,977.18805
801453497,3,977.1922
801453528,3,977.19696
801453559,3,977.19434
801453590,3,977.18805
801453622,3,977.1816
801453653,3,977.1911
801453684,3,977.1885
801453715,3,977.20874
801453747,3,977.221
801453778,3,977.212
801453809,3,977.2108
801453840,3,977.205
801453872,3,977.2193
801453903,3,977.2135
801453934,3,977.212
801453965,3,977.2397
801453997,3,977.2689
801454028,3,977.2637
801454059,3,977.29144
801454090,3,977.29675
