Rotation Vector  Non-wakeup,QTI,2025-03-06_18-45-09.848_TGW
imuTimestamp,accuracy(more=better),x*sin(a/2)[],y*sin(a/2)[],z*sin(a/2)[],cos(a/2)[],heading_accuracy[rad]
801439561,3,-0.3089192,-0.6292532,0.6366713,0.3213394,-1.0
801439571,3,-0.30889025,-0.6293018,0.63666224,0.32129,-1.0
801439581,3,-0.30890745,-0.62927777,0.63667417,0.321297,-1.0
801439591,3,-0.30893013,-0.6292349,0.63670325,0.32130137,-1.0
801439601,3,-0.3089186,-0.629261,0.63668954,0.3212885,-1.0
801439611,3,-0.30894068,-0.6292243,0.6366846,0.32134905,-1.0
801439621,3,-0.30891338,-0.6292774,0.63665384,0.32133216,-1.0
801439631,3,-0.3089327,-0.629248,0.6366674,0.3213443,-1.0
801439641,3,-0.3089369,-0.6292344,0.63667184,0.3213582,-1.0
801439651,3,-0.30895287,-0.6292134,0.6366838,0.32136008,-1.0
801439661,3,-0.30898777,-0.6291474,0.63671094,0.32140192,-1.0
801439671,3,-0.3089883,-0.62915015,0.6367247,0.32136887,-1.0
801439681,3,-0.3089968,-0.6291345,0.6367253,0.32139024,-1.0
801439691,3,-0.30900884,-0.62912625,0.6367083,0.32142836,-1.0
801439701,3,-0.3090152,-0.6291186,0.63671905,0.321416,-1.0
801439711,3,-0.30901706,-0.6291088,0.63672954,0.32141262,-1.0
801439721,3,-0.3090149,-0.62911016,0.6367463,0.32137892,-1.0
801439731,3,-0.30901402,-0.6291154,0.63674253,0.32137686,-1.0
801439741,3,-0.30900362,-0.62913823,0.63672596,0.32137513,-1.0
801439751,3,-0.30901307,-0.62912434,0.63673073,0.3213837,-1.0
801439761,3,-0.30902916,-0.6290959,0.6367522,0.32138124,-1.0
801439771,3,-0.30902734,-0.62910604,0.63675046,0.3213666,-1.0
801439781,3,-0.30903214,-0.62909496,0.63674635,0.3213919,-1.0
801439791,3,-0.30903533,-0.6290951,0.63673896,0.32140324,-1.0
801439801,3,-0.30904725,-0.6290737,0.63674253,0.32142654,-1.0
801439811,3,-0.30906445,-0.6290498,0.63673615,0.32146946,-1.0
801439821,3,-0.309069,-0.62904394,0.63673645,0.32147586,-1.0
801439831,3,-0.3090749,-0.6290418,0.63673,0.32148716,-1.0
801439841,3,-0.3090742,-0.62903655,0.6367348,0.32148868,-1.0
801439851,3,-0.3090789,-0.6290293,0.6367365,0.32149497,-1.0
801439860,3,-0.30908552,-0.6290208,0.6367385,0.3215013,-1.0
801439870,3,-0.30908266,-0.62902707,0.63673294,0.3215029,-1.0
801439880,3,-0.3090846,-0.629025,0.6367402,0.32149053,-1.0
801439890,3,-0.30907995,-0.6290249,0.6367426,0.3214904,-1.0
801439900,3,-0.30907923,-0.62902564,0.63673955,0.3214958,-1.0
801439910,3,-0.3090848,-0.62902176,0.6367345,0.321508,-1.0
801439920,3,-0.30907562,-0.6290357,0.6367324,0.32149366,-1.0
801439930,3,-0.30907932,-0.62903315,0.63672423,0.3215112,-1.0
801439940,3,-0.309077,-0.6290315,0.63672936,0.32150665,-1.0
801439950,3,-0.30908373,-0.6290198,0.6367353,0.32151127,-1.0
801439960,3,-0.30908862,-0.6290157,0.63673025,0.3215246,-1.0
801439970,3,-0.30909693,-0.6290067,0.6367241,0.32154644,-1.0
801439980,3,-0.3090982,-0.62900144,0.63673,0.32154366,-1.0
801439990,3,-0.30909678,-0.6290033,0.6367278,0.3215459,-1.0
801440000,3,-0.30910066,-0.62899774,0.63672715,0.3215542,-1.0
801440010,3,-0.30910644,-0.62899244,0.63672405,0.3215652,-1.0
801440020,3,-0.30911368,-0.62898517,0.6367201,0.32158026,-1.0
801440030,3,-0.3091112,-0.62898874,0.6367203,0.3215753,-1.0
801440040,3,-0.3091187,-0.62897813,0.636721,0.32158744,-1.0
801440050,3,-0.309118,-0.62897956,0.6367222,0.32158297,-1.0
801440060,3,-0.3091204,-0.62897414,0.6367198,0.321596,-1.0
801440070,3,-0.30912948,-0.6289628,0.6367188,0.32161143,-1.0
801440080,3,-0.30913198,-0.6289502,0.63672376,0.32162392,-1.0
801440090,3,-0.30913907,-0.6289473,0.636717,0.32163605,-1.0
801440100,3,-0.30914268,-0.6289453,0.63671297,0.3216445,-1.0
801440110,3,-0.3091453,-0.6289414,0.63670754,0.32166046,-1.0
801440120,3,-0.3091524,-0.6289397,0.6367028,0.32166642,-1.0
801440130,3,-0.30915043,-0.628943,0.63670236,0.32166255,-1.0
801440140,3,-0.3091545,-0.6289358,0.6367053,0.32166702,-1.0
801440150,3,-0.3091568,-0.62893045,0.6367142,0.32165748,-1.0
801440160,3,-0.30915576,-0.62893265,0.6367117,0.32165927,-1.0
801440170,3,-0.30916208,-0.62892234,0.636711,0.3216747,-1.0
801440180,3,-0.3091688,-0.6289111,0.6367121,0.32168806,-1.0
801440190,3,-0.30917165,-0.6289066,0.6367105,0.32169712,-1.0
801440200,3,-0.30917454,-0.6289027,0.63670594,0.3217112,-1.0
801440210,3,-0.30917728,-0.6288984,0.6367044,0.32172,-1.0
801440220,3,-0.30917734,-0.62889874,0.63670146,0.32172498,-1.0
801440230,3,-0.3091827,-0.6288903,0.6366996,0.32174012,-1.0
801440240,3,-0.30918592,-0.62888414,0.6367044,0.32173958,-1.0
801440250,3,-0.30918568,-0.6288847,0.63670343,0.32174057,-1.0
