acc_s003_002 QTI-Accelerometer Non-wakeup,TDK-Invensense,2025-03-06_18-45-09.848_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc2_x[m/s^2],acc2_y[m/s^2],acc2_z[m/s^2]
801439751,3,1741275913579155330,-0.10882731,-9.788629,0.01950153
801439761,3,1741275913589159236,-0.11361571,-9.788629,0.029078335
801439771,3,1741275913599164392,-0.10882731,-9.78384,0.048231952
801439781,3,1741275913609170746,-0.1040389,-9.788629,0.062597156
801439791,3,1741275913618976163,-0.1040389,-9.78384,0.043443546
801439795,3,1741275913622888923,-0.1040389,-9.788629,0.05302035
801439804,3,1741275913632715955,-0.10882731,-9.779052,0.057808757
801439814,3,1741275913642566475,-0.10882731,-9.793417,0.048231952
801439824,3,1741275913652440850,-0.10882731,-9.793417,0.043443546
801439834,3,1741275913662339496,-0.11361571,-9.793417,0.03386674
801439844,3,1741275913672262673,-0.10882731,-9.788629,0.024289936
801439854,3,1741275913682210746,-0.11840411,-9.78384,0.043443546
801439864,3,1741275913692182986,-0.11840411,-9.78384,0.05302035
801439874,3,1741275913702177778,-0.11361571,-9.788629,0.029078335
801439884,3,1741275913711983194,-0.0992505,-9.798205,0.03386674
801439893,3,1741275913721788611,-0.1040389,-9.788629,0.01950153
801439903,3,1741275913731617986,-0.11361571,-9.78384,0.03386674
801439913,3,1741275913741472673,-0.11361571,-9.78384,0.03386674
801439923,3,1741275913751353246,-0.10882731,-9.78384,0.01950153
801439933,3,1741275913761259913,-0.0992505,-9.793417,0.03865514
801439943,3,1741275913771193038,-0.11361571,-9.78384,0.043443546
801439953,3,1741275913781152830,-0.1040389,-9.779052,0.03865514
801439963,3,1741275913791139184,-0.1040389,-9.788629,0.01950153
801439973,3,1741275913801151996,-0.0992505,-9.788629,0.024289936
801439983,3,1741275913811194236,-0.11361571,-9.793417,0.029078335
801439993,3,1741275913821262517,-0.11361571,-9.802994,0.03865514
801440003,3,1741275913831358142,-0.1040389,-9.78384,0.029078335
801440013,3,1741275913841480798,-0.10882731,-9.779052,0.024289936
801440023,3,1741275913851629861,-0.10882731,-9.798205,0.03865514
801440033,3,1741275913861805173,-0.1040389,-9.788629,0.03386674
801440044,3,1741275913872005173,-0.1040389,-9.788629,0.03865514
801440054,3,1741275913882205173,-0.1040389,-9.798205,0.014713123
801440064,3,1741275913892405173,-0.1040389,-9.798205,0.03386674
801440074,3,1741275913902605173,-0.10882731,-9.788629,0.03865514
801440084,3,1741275913912410590,-0.11361571,-9.78384,0.01950153
801440094,3,1741275913922129080,-0.10882731,-9.78384,0.01950153
801440104,3,1741275913931958194,-0.1040389,-9.793417,0.03386674
801440113,3,1741275913941811632,-0.0944621,-9.78384,0.024289936
801440123,3,1741275913951689705,-0.1040389,-9.78384,0.01950153
801440133,3,1741275913961592725,-0.1040389,-9.793417,0.024289936
801440143,3,1741275913971519913,-0.1040389,-9.788629,0.01950153
801440153,3,1741275913981472361,-0.11361571,-9.779052,0.014713123
801440163,3,1741275913991450225,-0.10882731,-9.78384,0.014713123
801440173,3,1741275914001453611,-0.0992505,-9.793417,0.0051363185
801440183,3,1741275914011487257,-0.10882731,-9.793417,0.024289936
801440193,3,1741275914021547673,-0.10882731,-9.793417,0.009924725
