gyro_s003_002 QTI-Gyroscope Non-wakeup,TDK-Invensense,2025-03-06_18-45-09.848_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel2_x[rad/s],ang_vel2_y[rad/s],ang_vel2_z[rad/s]
801439771,3,1741275913599164392,-9.0759806E-4,-2.0026858E-4,-4.687151E-4
801439781,3,1741275913609170746,-9.0759806E-4,-2.0026858E-4,-4.687151E-4
801439791,3,1741275913618976163,-9.0759806E-4,-2.0026858E-4,5.9654843E-4
801439795,3,1741275913622888923,-0.0019728616,-2.0026858E-4,0.001661812
801439804,3,1741275913632715955,-0.0019728616,-2.0026858E-4,0.001661812
801439814,3,1741275913642566475,-9.0759806E-4,-2.0026858E-4,-4.687151E-4
801439824,3,1741275913652440850,-9.0759806E-4,-2.0026858E-4,-4.687151E-4
801439834,3,1741275913662339496,-9.0759806E-4,-2.0026858E-4,5.9654843E-4
801439844,3,1741275913672262673,1.5766546E-4,-2.0026858E-4,5.9654843E-4
801439854,3,1741275913682210746,-9.0759806E-4,8.6499495E-4,5.9654843E-4
801439864,3,1741275913692182986,1.5766546E-4,-2.0026858E-4,5.9654843E-4
801439874,3,1741275913702177778,-9.0759806E-4,-2.0026858E-4,-4.687151E-4
801439884,3,1741275913711983194,-9.0759806E-4,8.6499495E-4,-4.687151E-4
801439893,3,1741275913721788611,-9.0759806E-4,8.6499495E-4,5.9654843E-4
801439903,3,1741275913731617986,-9.0759806E-4,8.6499495E-4,0.001661812
801439913,3,1741275913741472673,-9.0759806E-4,8.6499495E-4,5.9654843E-4
801439923,3,1741275913751353246,-9.0759806E-4,-2.0026858E-4,5.9654843E-4
801439933,3,1741275913761259913,-9.0759806E-4,-2.0026858E-4,-4.687151E-4
801439943,3,1741275913771193038,-9.0759806E-4,-2.0026858E-4,-4.687151E-4
801439953,3,1741275913781152830,-9.0759806E-4,8.6499495E-4,5.9654843E-4
801439963,3,1741275913791139184,-9.0759806E-4,8.6499495E-4,-4.687151E-4
801439973,3,1741275913801151996,-9.0759806E-4,8.6499495E-4,-0.0015339786
801439983,3,1741275913811194236,1.5766546E-4,8.6499495E-4,-4.687151E-4
801439993,3,1741275913821262517,-9.0759806E-4,-0.0012655321,0.001661812
801440003,3,1741275913831358142,1.5766546E-4,-2.0026858E-4,5.9654843E-4
801440013,3,1741275913841480798,1.5766546E-4,8.6499495E-4,5.9654843E-4
801440023,3,1741275913851629861,-9.0759806E-4,-2.0026858E-4,5.9654843E-4
801440033,3,1741275913861805173,1.5766546E-4,-2.0026858E-4,-4.687151E-4
801440044,3,1741275913872005173,-9.0759806E-4,-2.0026858E-4,5.9654843E-4
801440054,3,1741275913882205173,1.5766546E-4,8.6499495E-4,-4.687151E-4
801440064,3,1741275913892405173,-9.0759806E-4,-2.0026858E-4,-4.687151E-4
801440074,3,1741275913902605173,-0.0019728616,-2.0026858E-4,5.9654843E-4
801440084,3,1741275913912410590,-9.0759806E-4,-2.0026858E-4,5.9654843E-4
801440094,3,1741275913922129080,-9.0759806E-4,-2.0026858E-4,-4.687151E-4
801440104,3,1741275913931958194,-9.0759806E-4,-2.0026858E-4,-4.687151E-4
801440113,3,1741275913941811632,1.5766546E-4,-0.0012655321,5.9654843E-4
801440123,3,1741275913951689705,-9.0759806E-4,-2.0026858E-4,5.9654843E-4
801440133,3,1741275913961592725,-9.0759806E-4,-2.0026858E-4,5.9654843E-4
801440143,3,1741275913971519913,-9.0759806E-4,-2.0026858E-4,5.9654843E-4
801440153,3,1741275913981472361,1.5766546E-4,-2.0026858E-4,5.9654843E-4
801440163,3,1741275913991450225,-9.0759806E-4,-0.0012655321,-4.687151E-4
801440173,3,1741275914001453611,1.5766546E-4,-2.0026858E-4,5.9654843E-4
801440183,3,1741275914011487257,1.5766546E-4,-2.0026858E-4,5.9654843E-4
801440193,3,1741275914021547673,-9.0759806E-4,-2.0026858E-4,5.9654843E-4
801440203,3,1741275914031634653,-9.0759806E-4,8.6499495E-4,0.001661812
801440213,3,1741275914041747569,1.5766546E-4,8.6499495E-4,-4.687151E-4
801440224,3,1741275914051886059,-9.0759806E-4,-2.0026858E-4,-4.687151E-4
801440234,3,1741275914062050121,-9.0759806E-4,-0.0012655321,-4.687151E-4
801440244,3,1741275914072238038,-9.0759806E-4,-2.0026858E-4,-4.687151E-4
801440254,3,1741275914082438038,-9.0759806E-4,-2.0026858E-4,-4.687151E-4
801440264,3,1741275914092638038,-9.0759806E-4,-2.0026858E-4,5.9654843E-4
801440274,3,1741275914102838038,-9.0759806E-4,8.6499495E-4,5.9654843E-4
801440285,3,1741275914113038038,-9.0759806E-4,8.6499495E-4,-4.687151E-4
801440295,3,1741275914123238038,-9.0759806E-4,-2.0026858E-4,-4.687151E-4
801440305,3,1741275914133438038,1.5766546E-4,-2.0026858E-4,5.9654843E-4
801440315,3,1741275914143638038,1.5766546E-4,8.6499495E-4,5.9654843E-4
801440325,3,1741275914153838038,-9.0759806E-4,-2.0026858E-4,-4.687151E-4
801440336,3,1741275914164038038,1.5766546E-4,-2.0026858E-4,-4.687151E-4
801440346,3,1741275914174238038,-9.0759806E-4,-2.0026858E-4,5.9654843E-4
801440356,3,1741275914184438038,-9.0759806E-4,-2.0026858E-4,-4.687151E-4
801440366,3,1741275914194638038,1.5766546E-4,-2.0026858E-4,5.9654843E-4
801440376,3,1741275914204838038,-9.0759806E-4,-2.0026858E-4,5.9654843E-4
801440387,3,1741275914215038038,-9.0759806E-4,-2.0026858E-4,5.9654843E-4
801440397,3,1741275914225238038,-9.0759806E-4,-2.0026858E-4,5.9654843E-4
801440407,3,1741275914235438038,-9.0759806E-4,-2.0026858E-4,5.9654843E-4
801440417,3,1741275914245638038,-9.0759806E-4,-2.0026858E-4,5.9654843E-4
801440427,3,1741275914255838038,1.5766546E-4,-2.0026858E-4,5.9654843E-4
801440438,3,1741275914266038038,1.5766546E-4,-2.0026858E-4,5.9654843E-4
801440448,3,1741275914276238038,1.5766546E-4,-2.0026858E-4,5.9654843E-4
801440458,3,1741275914286438038,-9.0759806E-4,-2.0026858E-4,-4.687151E-4
801440468,3,1741275914296638038,-9.0759806E-4,8.6499495E-4,-4.687151E-4
801440478,3,1741275914306838038,-9.0759806E-4,8.6499495E-4,5.9654843E-4
801440489,3,1741275914317038038,-9.0759806E-4,-2.0026858E-4,5.9654843E-4
801440499,3,1741275914327238038,-9.0759806E-4,8.6499495E-4,-4.687151E-4
