acc_s001_004 Accelerometer-Uncalibrated Non-wakeup,STMicro,2025-03-06_19-02-36.207_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc_uncal_x[m/s^2],acc_uncal_y[m/s^2],acc_uncal_z[m/s^2],acc_bias_x[m/s^2],acc_bias_y[m/s^2],acc_bias_z[m/s^2]
802485604,3,1741276959432219430,0.100199446,-9.7704935,0.13848461,0.0,0.0,0.0
802485615,3,1741276959442254742,0.10857433,-9.771091,0.12801601,0.0,0.0,0.0
802485625,3,1741276959452288284,0.093918286,-9.775279,0.13190435,0.0,0.0,0.0
802485635,3,1741276959462310315,0.09840483,-9.758828,0.13339986,0.0,0.0,0.0
802485645,3,1741276959472303024,0.11006984,-9.771091,0.14267205,0.0,0.0,0.0
802485655,3,1741276959482285524,0.10827523,-9.771091,0.14267205,0.0,0.0,0.0
802485665,3,1741276959492327972,0.11784652,-9.77139,0.1381855,0.0,0.0,0.0
802485675,3,1741276959502461305,0.09661021,-9.763614,0.13758731,0.0,0.0,0.0
802485685,3,1741276959512445263,0.10887343,-9.759426,0.13280165,0.0,0.0,0.0
802485695,3,1741276959522429482,0.11395818,-9.766306,0.15014961,0.0,0.0,0.0
802485705,3,1741276959532414326,0.109471634,-9.758529,0.14446667,0.0,0.0,0.0
802485715,3,1741276959542398909,0.11784652,-9.763016,0.14925231,0.0,0.0,0.0
802485725,3,1741276959552382867,0.10139586,-9.756734,0.15194423,0.0,0.0,0.0
802485735,3,1741276959562319742,0.09092726,-9.769596,0.1480559,0.0,0.0,0.0
802485744,3,1741276959572221149,0.11455639,-9.766306,0.14985052,0.0,0.0,0.0
802485755,3,1741276959582404326,0.09840483,-9.763614,0.14416756,0.0,0.0,0.0
802485765,3,1741276959592587503,0.10887343,-9.763614,0.13998012,0.0,0.0,0.0
802485775,3,1741276959602768492,0.11006984,-9.763913,0.1477568,0.0,0.0,0.0
802485785,3,1741276959612877347,0.1058824,-9.773185,0.14327025,0.0,0.0,0.0
802485795,3,1741276959622861722,0.10079765,-9.765707,0.14895321,0.0,0.0,0.0
802485805,3,1741276959632846826,0.116351,-9.7681,0.15523437,0.0,0.0,0.0
802485815,3,1741276959642831097,0.1052842,-9.771091,0.15284155,0.0,0.0,0.0
802485825,3,1741276959652815628,0.10289137,-9.761819,0.14895321,0.0,0.0,0.0
802485835,3,1741276959662799795,0.1055833,-9.757333,0.14087744,0.0,0.0,0.0
802485845,3,1741276959672784638,0.09272188,-9.76152,0.14895321,0.0,0.0,0.0
802485855,3,1741276959682769170,0.10977074,-9.760623,0.1471586,0.0,0.0,0.0
802485865,3,1741276959692753440,0.10677971,-9.7654085,0.1471586,0.0,0.0,0.0
802485875,3,1741276959702738284,0.09810573,-9.758529,0.15672988,0.0,0.0,0.0
802485885,3,1741276959712722815,0.10677971,-9.76152,0.1582254,0.0,0.0,0.0
802485895,3,1741276959722707034,0.10857433,-9.752547,0.15672988,0.0,0.0,0.0
802485905,3,1741276959732691565,0.1058824,-9.766306,0.14955142,0.0,0.0,0.0
802485915,3,1741276959742675836,0.11964113,-9.76152,0.15493527,0.0,0.0,0.0
802485925,3,1741276959752660680,0.09750752,-9.762417,0.15613168,0.0,0.0,0.0
802485935,3,1741276959762645211,0.11425728,-9.762417,0.15613168,0.0,0.0,0.0
802485945,3,1741276959772629482,0.10139586,-9.762716,0.15284155,0.0,0.0,0.0
802485955,3,1741276959782614326,0.109471634,-9.75135,0.13908282,0.0,0.0,0.0
802485965,3,1741276959792598857,0.1058824,-9.760024,0.15523437,0.0,0.0,0.0
802485975,3,1741276959802583128,0.10438689,-9.766006,0.14626129,0.0,0.0,0.0
802485985,3,1741276959812567659,0.10139586,-9.759128,0.15194423,0.0,0.0,0.0
802485995,3,1741276959822551930,0.111864455,-9.766006,0.15343975,0.0,0.0,0.0
