timestamp_global[ms],timestampImu[ms],ang_vel_uncal_x[rad/s],ang_vel_uncal_y[rad/s],ang_vel_uncal_z[rad/s],acc_uncal_x[m/s^2],acc_uncal_y[m/s^2],acc_uncal_z[m/s^2],mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],ang_vel_drift_x[rad/s],ang_vel_drift_y[rad/s],ang_vel_drift_z[rad/s],acc_bias_x[m/s^2],acc_bias_y[m/s^2],acc_bias_z[m/s^2],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
357,802485774,0.005497783,-0.0016798781,0.0019853106,0.10887343,-9.763614,0.13998012,3.7625,9.3,151.3,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
367,802485784,0.005345067,-0.0013744457,0.0013744457,0.11006984,-9.763913,0.1477568,3.75,9.275001,151.33751,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
377,802485794,0.004123337,-0.0015271619,9.162972E-4,0.1058824,-9.773185,0.14327025,3.75,9.25,151.4375,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
387,802485804,0.0048869182,-0.002290743,0.0015271619,0.10079765,-9.765707,0.14895321,3.775,9.2375,151.375,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
397,802485814,0.005497783,-0.0027488915,0.0018325944,0.116351,-9.7681,0.15523437,3.7625,9.1875,151.55,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
407,802485824,0.0044287695,-0.0018325944,9.162972E-4,0.1052842,-9.771091,0.15284155,3.775,9.1625,151.6,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
417,802485834,0.005497783,-0.0018325944,0.0012217296,0.10289137,-9.761819,0.14895321,3.7875001,9.150001,151.6375,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
427,802485844,0.0058032153,-0.0021380268,0.0015271619,0.1055833,-9.757333,0.14087744,3.775,9.150001,151.6375,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
437,802485854,0.0051923506,-0.0010690134,0.0013744457,0.09272188,-9.76152,0.14895321,3.7625,9.175,151.65001,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
447,802485864,0.004581486,-0.0019853106,0.0018325944,0.10977074,-9.760623,0.1471586,3.7625,9.1625,151.6625,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
457,802485874,0.0051923506,-0.0025961753,0.0010690134,0.10677971,-9.7654085,0.1471586,3.75,9.150001,151.725,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
467,802485884,0.0051923506,-0.0010690134,0.0015271619,0.09810573,-9.758529,0.15672988,3.7250001,9.125,151.8125,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
477,802485894,0.005497783,-0.0016798781,0.0016798781,0.10677971,-9.76152,0.1582254,3.7250001,9.125,151.875,0.005240746,-0.0017869712,0.0013365636,0.0,0.0,0.0,-27.0,-69.0,177.0
