Game Rotation Vector  Non-wakeup,QTI,2025-03-06_19-02-36.207_TGW
imuTimestamp,accuracy(more=better), w, x, y, z
802485813,3,-0.49331212,-0.4991317,0.5008669,0.5065996
802485823,3,-0.49322578,-0.4990189,0.5009769,0.5066859
802485833,3,-0.4933035,-0.49894387,0.5010516,0.5066102
802485843,3,-0.4933847,-0.4989375,0.5010589,0.50653034
802485853,3,-0.49347848,-0.4989049,0.50109196,0.50643826
802485863,3,-0.4934614,-0.4989109,0.501086,0.506455
802485873,3,-0.49346605,-0.4989134,0.5010835,0.5064504
802485883,3,-0.49346793,-0.49888805,0.50110847,0.5064488
802485893,3,-0.49345443,-0.49885184,0.501144,0.5064626
802485903,3,-0.49341276,-0.49883392,0.5011611,0.5065038
802485912,3,-0.49340865,-0.4988573,0.501138,0.50650764
802485922,3,-0.4933732,-0.49885407,0.50114083,0.5065426
802485932,3,-0.49337438,-0.49882895,0.5011655,0.5065417
802485942,3,-0.49336284,-0.4988591,0.5011358,0.50655276
802485952,3,-0.49336505,-0.4988345,0.50115997,0.50655085
802485962,3,-0.4933777,-0.49885142,0.5011434,0.5065382
802485972,3,-0.49336392,-0.49885157,0.5011432,0.5065518
802485982,3,-0.4933855,-0.49885547,0.50113964,0.50653046
802485992,3,-0.49339,-0.4988515,0.50114375,0.5065261
802486002,3,-0.49336982,-0.4988449,0.5011498,0.506546
802486012,3,-0.49337012,-0.49884444,0.5011503,0.5065457
802486022,3,-0.4933609,-0.4988371,0.50115734,0.5065549
802486032,3,-0.49336052,-0.49884504,0.50114954,0.5065552
802486042,3,-0.49336433,-0.4988531,0.5011417,0.5065513
802486052,3,-0.49336895,-0.4988425,0.5011521,0.50654685
802486062,3,-0.49337694,-0.4988397,0.5011549,0.50653905
802486072,3,-0.49338683,-0.49884644,0.50114846,0.5065293
802486082,3,-0.49340102,-0.49884242,0.50115263,0.5065153
802486092,3,-0.49339294,-0.49884298,0.50115204,0.50652325
802486102,3,-0.4934003,-0.49884385,0.50115126,0.506516
802486113,3,-0.4933898,-0.49882433,0.5011703,0.5065266
802486123,3,-0.49339107,-0.4988271,0.50116754,0.5065253
802486133,3,-0.49338847,-0.49881768,0.5011768,0.5065279
802486143,3,-0.49339217,-0.4988185,0.5011762,0.5065243
802486153,3,-0.49339935,-0.498813,0.50118154,0.5065173
802486163,3,-0.49339768,-0.49880472,0.50118965,0.506519
802486174,3,-0.49339736,-0.4988032,0.5011912,0.5065194
802486184,3,-0.49338952,-0.49881768,0.50117683,0.50652695
802486194,3,-0.4933949,-0.49881643,0.5011782,0.50652164
802486204,3,-0.49338374,-0.49881533,0.5011791,0.50653267
802486214,3,-0.49337918,-0.49881852,0.5011758,0.50653714
802486224,3,-0.4933763,-0.49882066,0.50117373,0.5065399
802486234,3,-0.493369,-0.49882948,0.5011649,0.506547
802486244,3,-0.49335778,-0.49883994,0.50115454,0.50655794
802486254,3,-0.49335402,-0.49883983,0.5011546,0.50656164
802486264,3,-0.49335456,-0.49883157,0.5011627,0.5065612
802486274,3,-0.49335152,-0.4988313,0.5011629,0.5065642
802486284,3,-0.4933424,-0.4988195,0.50117445,0.5065733
802486294,3,-0.4933385,-0.4988222,0.5011717,0.50657713
802486304,3,-0.4933507,-0.49882406,0.5011701,0.5065651
802486314,3,-0.49334475,-0.49881312,0.50118077,0.5065711
802486324,3,-0.4933398,-0.49880633,0.5011874,0.506576
802486334,3,-0.49333778,-0.4988067,0.501187,0.506578
802486345,3,-0.4933358,-0.49880505,0.50118864,0.50658
802486355,3,-0.4933419,-0.49880156,0.5011923,0.50657403
802486365,3,-0.4933449,-0.49879444,0.50119925,0.5065712
802486375,3,-0.4933439,-0.49879095,0.5012026,0.5065722
802486385,3,-0.4933362,-0.4987868,0.50120664,0.5065798
802486395,3,-0.49333104,-0.49878576,0.50120753,0.5065849
802486405,3,-0.49333742,-0.4987824,0.5012109,0.5065786
802486415,3,-0.49333557,-0.49878493,0.5012085,0.5065805
802486425,3,-0.4933401,-0.49878708,0.50120634,0.50657594
802486435,3,-0.49334076,-0.49878156,0.5012119,0.50657535
802486445,3,-0.4933363,-0.49878705,0.50120634,0.5065797
802486455,3,-0.49334058,-0.49879038,0.50120306,0.50657547
802486465,3,-0.49333307,-0.49878427,0.50120914,0.5065829
802486475,3,-0.49332407,-0.49878782,0.5012054,0.50659174
802486485,3,-0.493313,-0.49878538,0.50120765,0.50660264
802486495,3,-0.49331674,-0.49878314,0.5012099,0.506599
802486505,3,-0.49331653,-0.49878755,0.50120556,0.5065992
802486516,3,-0.49331647,-0.49878955,0.5012037,0.5065992
802486526,3,-0.4933184,-0.49878713,0.50120604,0.50659734
802486536,3,-0.49331874,-0.49878138,0.50121176,0.50659704
802486546,3,-0.49332505,-0.49877876,0.50121427,0.50659084
802486556,3,-0.4933261,-0.4987787,0.5012144,0.50658983
802486566,3,-0.49331838,-0.498784,0.50120914,0.50659734
802486577,3,-0.49332002,-0.49878556,0.5012076,0.50659573
802486587,3,-0.4933165,-0.49878225,0.50121087,0.50659925
802486597,3,-0.4933135,-0.49878296,0.5012101,0.5066022
802486607,3,-0.49331683,-0.49878162,0.5012114,0.50659895
802486617,3,-0.49331686,-0.49878368,0.5012095,0.5065989
802486627,3,-0.49332273,-0.49878278,0.50121045,0.5065931
802486637,3,-0.4933208,-0.4987811,0.50121194,0.506595
802486647,3,-0.49331588,-0.49878472,0.5012084,0.50659984
