gravity  Non-wakeup,QTI,2025-03-06_19-02-36.207_TGW
imuTimestamp,accuracy(more=better),grav_x[m/s^2],grav_y[m/s^2],grav_z[m/s^2]
802485823,3,0.11279825,-9.804836,0.15118735
802485833,3,0.109825626,-9.80487,0.15115297
802485843,3,0.108112514,-9.804912,0.14970793
802485853,3,0.105645075,-9.8049555,0.14852928
802485863,3,0.10609505,-9.804949,0.14874442
802485873,3,0.10605386,-9.804952,0.14860336
802485883,3,0.105525106,-9.804949,0.14906321
802485893,3,0.10508943,-9.804939,0.15003435
802485903,3,0.10555854,-9.804916,0.15119056
802485912,3,0.10609189,-9.804916,0.15081148
802485922,3,0.106724136,-9.804898,0.15156233
802485932,3,0.10621431,-9.804896,0.15203023
802485942,3,0.10702334,-9.8048935,0.15166564
802485952,3,0.10650497,-9.804893,0.15210246
802485962,3,0.10658416,-9.8049,0.15152635
802485972,3,0.106858045,-9.8048935,0.15179127
802485982,3,0.1065098,-9.804905,0.15129837
802485992,3,0.106345125,-9.804907,0.15129055
802486002,3,0.10661191,-9.804895,0.15180649
802486012,3,0.10659694,-9.804895,0.15181078
802486022,3,0.10663593,-9.804891,0.15213111
802486032,3,0.10679704,-9.804891,0.15198475
802486042,3,0.10687815,-9.8048935,0.15175283
802486052,3,0.10658188,-9.804894,0.15186934
802486062,3,0.10637246,-9.804898,0.15176828
802486072,3,0.106310375,-9.804904,0.15144776
802486082,3,0.10595379,-9.804912,0.15125135
802486092,3,0.106121585,-9.804907,0.15139808
802486102,3,0.105994016,-9.804911,0.15123852
802486113,3,0.10582353,-9.804904,0.1518235
802486123,3,0.1058505,-9.804904,0.15174378
802486133,3,0.10571917,-9.804902,0.15197846
802486143,3,0.105663486,-9.804905,0.15189333
802486153,3,0.10541703,-9.804908,0.15186043
802486163,3,0.10528879,-9.804906,0.15205368
802486174,3,0.105266966,-9.804906,0.15209122
802486184,3,0.105700076,-9.804903,0.1519596
802486194,3,0.105569996,-9.804906,0.15188065
802486204,3,0.10576827,-9.8049,0.15211706
802486214,3,0.105919085,-9.804898,0.15214114
802486224,3,0.10601584,-9.804896,0.152156
802486234,3,0.10632931,-9.8048935,0.15212336
802486244,3,0.10675147,-9.804889,0.15213665
802486254,3,0.106822945,-9.804887,0.15221147
802486264,3,0.106653765,-9.804887,0.15236208
802486274,3,0.10670717,-9.804885,0.15242605
802486284,3,0.10665745,-9.804879,0.15283392
802486294,3,0.106786095,-9.804877,0.15285672
802486304,3,0.10658367,-9.804884,0.15258504
802486314,3,0.10648961,-9.80488,0.15291427
802486324,3,0.10645269,-9.804877,0.15314223
802486334,3,0.106500044,-9.804875,0.1531748
802486345,3,0.10650729,-9.804874,0.15324403
802486355,3,0.10632033,-9.804877,0.15319744
802486365,3,0.10612403,-9.804878,0.15327798
802486375,3,0.10607725,-9.804877,0.15336482
802486385,3,0.10614653,-9.8048725,0.1535952
802486395,3,0.10622708,-9.804871,0.15371482
802486405,3,0.10603594,-9.804873,0.15365672
802486415,3,0.10612235,-9.804872,0.15364471
802486425,3,0.10607511,-9.804875,0.15351352
802486435,3,0.10595493,-9.804874,0.15360923
802486445,3,0.10614875,-9.804873,0.1535878
802486455,3,0.10613095,-9.804874,0.15343918
802486465,3,0.10615877,-9.804871,0.15370618
802486475,3,0.106403716,-9.804867,0.15380926
802486485,3,0.106572784,-9.80486,0.15407096
802486495,3,0.106456295,-9.804862,0.15404136
802486505,3,0.10654664,-9.804863,0.1539602
802486516,3,0.10658553,-9.804863,0.1539239
802486526,3,0.10650193,-9.804864,0.1539326
802486536,3,0.10638271,-9.804863,0.1540391
802486546,3,0.10620909,-9.804866,0.15396558
802486556,3,0.10618756,-9.804867,0.15394682
802486566,3,0.10644072,-9.804863,0.15399349
802486577,3,0.106438555,-9.804865,0.15393114
802486587,3,0.10644411,-9.804862,0.1540649
802486597,3,0.10651769,-9.804861,0.15410908
802486607,3,0.10642522,-9.804862,0.15407015
802486617,3,0.1064637,-9.804863,0.15403111
802486627,3,0.10633191,-9.804866,0.15393461
802486637,3,0.1063382,-9.804864,0.15400197
802486647,3,0.10650343,-9.804862,0.15402855
802486657,3,0.106389895,-9.804865,0.15389392
802486667,3,0.10629837,-9.804864,0.1540519
802486677,3,0.10660364,-9.804855,0.15440091
802486687,3,0.106568925,-9.804854,0.15447907
802486697,3,0.10643403,-9.804854,0.15460064
802486707,3,0.10640297,-9.804853,0.15467545
802486717,3,0.106323615,-9.8048525,0.15474363
802486727,3,0.10628861,-9.804852,0.15484054
802486738,3,0.10617468,-9.804854,0.15472725
802486748,3,0.10610366,-9.8048525,0.15489243
802486758,3,0.1061578,-9.804853,0.15485604
802486768,3,0.10619656,-9.8048525,0.15484196
802486778,3,0.106213056,-9.80485,0.15499756
802486788,3,0.10620258,-9.80485,0.15503322
802486799,3,0.10615203,-9.804849,0.15512748
802486809,3,0.106111325,-9.80485,0.15511219
802486819,3,0.1061298,-9.80485,0.15509471
802486829,3,0.10621183,-9.804847,0.15517917
802486839,3,0.106226325,-9.804849,0.15504844
802486849,3,0.10646355,-9.804847,0.15502766
802486859,3,0.10645101,-9.804844,0.15515023
802486869,3,0.10642679,-9.804849,0.15491758
802486879,3,0.10640491,-9.804849,0.15493901
802486889,3,0.10642126,-9.80485,0.15489581
802486899,3,0.10642142,-9.804848,0.1549681
802486909,3,0.10645018,-9.804847,0.15503411
802486919,3,0.106348835,-9.804846,0.15514395
802486929,3,0.10632777,-9.804844,0.15530644
802486939,3,0.10611922,-9.804844,0.15549806
802486949,3,0.106274895,-9.804839,0.15563074
802486959,3,0.10630162,-9.80484,0.15557665
802486969,3,0.106274575,-9.804843,0.15537977
802486979,3,0.10642853,-9.804841,0.15538484
802486989,3,0.10640864,-9.804842,0.1553753
802486999,3,0.10652092,-9.804839,0.15547958
802487009,3,0.10656616,-9.804842,0.1552738
802487019,3,0.10647043,-9.804842,0.15530969
802487029,3,0.10648168,-9.804845,0.15510711
802487039,3,0.106362194,-9.804847,0.15510142
802487049,3,0.106228285,-9.804851,0.15496634
802487059,3,0.10616962,-9.8048525,0.15489472
802487069,3,0.10629555,-9.804849,0.15501976
802487079,3,0.106399946,-9.80485,0.1549
802487089,3,0.10620836,-9.804853,0.15478133
802487099,3,0.10614647,-9.804855,0.1546598
802487109,3,0.10619218,-9.804856,0.15462737
802487119,3,0.10627648,-9.804855,0.1545861
802487129,3,0.106268324,-9.804855,0.15462326
802487139,3,0.106272094,-9.804854,0.15468866
802487149,3,0.10632796,-9.804857,0.15446326
802487159,3,0.106378846,-9.804857,0.15442185
802487169,3,0.10624858,-9.804857,0.15449725
802487179,3,0.10616871,-9.804858,0.15447845
802487189,3,0.106154665,-9.804862,0.15427807
802487199,3,0.10632525,-9.80486,0.15429826
802487209,3,0.10638929,-9.80486,0.15419644
802487219,3,0.10645944,-9.80486,0.15414995
802487229,3,0.10640462,-9.804862,0.15415461
802487239,3,0.10641336,-9.804862,0.1540967
802487249,3,0.10631569,-9.804859,0.15431274
802487259,3,0.10621302,-9.804863,0.1541791
802487269,3,0.10632656,-9.804861,0.15420209
802487279,3,0.106309034,-9.804859,0.15431061
802487289,3,0.106370136,-9.804858,0.15433744
802487299,3,0.10635329,-9.804859,0.15429981
802487309,3,0.10630539,-9.80486,0.15429826
802487319,3,0.10626347,-9.804862,0.154189
802487329,3,0.10613381,-9.804867,0.15399927
802487339,3,0.10606628,-9.804868,0.15397099
802487349,3,0.10609276,-9.804868,0.15392496
802487359,3,0.10614514,-9.804871,0.15376568
802487369,3,0.10615629,-9.80487,0.15377702
802487379,3,0.10620235,-9.80487,0.15372884
802487389,3,0.10622155,-9.804871,0.15364544
802487399,3,0.10634356,-9.804872,0.15349296
802487409,3,0.10639553,-9.804872,0.15346673
802487419,3,0.10623369,-9.804874,0.15341204
802487429,3,0.10652929,-9.804873,0.15325727
802487439,3,0.10625885,-9.804879,0.15314716
802487449,3,0.105915226,-9.804882,0.1531439
802487459,3,0.10568666,-9.804885,0.15310699
802487469,3,0.105682984,-9.804884,0.15319036
802487479,3,0.10582986,-9.804884,0.15308532
802487489,3,0.10588053,-9.804884,0.15309832
802487499,3,0.10587056,-9.804885,0.15305161
802487509,3,0.10583594,-9.804888,0.15283373
802487519,3,0.10587138,-9.804891,0.15266804
802487529,3,0.105912596,-9.804889,0.15269513
802487539,3,0.105812006,-9.804892,0.15258704
802487549,3,0.105833605,-9.804895,0.15235697
802487559,3,0.10586363,-9.8048935,0.15242448
802487569,3,0.10576669,-9.804894,0.15245523
802487579,3,0.10593505,-9.8048935,0.15239142
802487589,3,0.10596137,-9.804897,0.15218742
802487599,3,0.10605976,-9.804896,0.15214717
802487609,3,0.10606294,-9.804899,0.15203896
802487619,3,0.10616982,-9.804901,0.1517855
802487629,3,0.10611294,-9.804902,0.15174378
802487639,3,0.10602379,-9.804905,0.15154149
802487649,3,0.10597297,-9.804905,0.1516069
802487659,3,0.10611464,-9.804904,0.15159021
802487669,3,0.106374815,-9.804904,0.15141201
802487679,3,0.1062914,-9.804909,0.15113525
802487689,3,0.1062271,-9.804911,0.1510331
802487699,3,0.106327,-9.804911,0.15099834
802487709,3,0.106359765,-9.804909,0.15115045
802487719,3,0.10662383,-9.804907,0.15107182
802487728,3,0.10659871,-9.804909,0.15099274
802487738,3,0.106551595,-9.80491,0.15091515
802487748,3,0.106478244,-9.80491,0.1509988
802487758,3,0.10643608,-9.8049135,0.15075657
802487768,3,0.10628818,-9.804915,0.15072457
802487778,3,0.10618653,-9.804918,0.15061375
802487788,3,0.10611097,-9.804919,0.15060623
802487798,3,0.106327005,-9.804921,0.15037091
802487808,3,0.10622292,-9.804921,0.15039392
802487818,3,0.106138006,-9.804926,0.15013254
802487828,3,0.10617125,-9.804925,0.15015891
802487838,3,0.10607488,-9.804932,0.14992742
802487848,3,0.1060853,-9.804932,0.14981882
802487858,3,0.10602473,-9.804934,0.14972904
802487868,3,0.106046304,-9.804937,0.14943536
