linear_acceleration,QTI,2025-03-06_19-02-36.207_TGW
imuTimestamp,accuracy(more=better),acc_lin_x[m/s^2],acc_lin_y[m/s^2],acc_lin_z[m/s^2]
802485843,3,-0.0052361935,0.011892319,-0.0046111494
802485853,3,-0.009948805,0.0029830933,-0.0046921223
802485863,3,0.002699539,0.0029554367,0.0012956262
802485873,3,-3.5946816E-4,-0.0019292831,-6.800294E-4
802485883,3,-0.0037689283,0.003361702,0.0032326728
802485893,3,-0.003326483,0.0064897537,0.0073450953
802485903,3,0.0043725222,0.002166748,0.010560647
802485912,3,0.0059517473,-9.717941E-4,-0.0028573573
802485922,3,0.0067322776,0.0027227402,0.007940441
802485932,3,-0.0057133734,-0.004242897,0.006061524
802485942,3,0.011078268,0.0035123825,-0.0039871484
802485952,3,-0.0067061186,-0.0031585693,0.0052864403
802485962,3,0.0013849288,0.008385658,-0.008628875
802485972,3,0.0042166635,0.011602402,0.0039271265
802485982,3,-0.0047312826,-0.0077848434,-0.0067086816
802485992,3,-0.002315864,-9.727478E-4,4.7674775E-4
802486002,3,0.0054402575,-0.0019950867,0.008969575
802486012,3,6.686449E-4,-0.0016307831,-1.8499792E-4
802486022,3,6.775558E-5,0.0019369125,0.0075204074
802486032,3,0.003989272,1.04904175E-4,-0.0012013018
802486042,3,0.0020751506,-0.007590294,-0.0060426444
802486052,3,-0.006636061,0.004606247,0.004400894
802486062,3,-0.0051643923,-0.008428574,-0.0012745559
802486072,3,-0.0021477044,-0.0024223328,-0.0071499944
802486082,3,-0.008125305,0.0030956268,-0.004418999
802486092,3,0.0052221343,0.005572319,0.0075427443
802486102,3,-0.004504852,-0.0033216476,-0.0037011951
802486113,3,-0.0039104745,0.0068655014,0.01866272
802486123,3,-5.587116E-4,0.0014705658,-0.0015257746
802486133,3,-0.003244035,-0.002943039,0.008373454
802486143,3,-0.0019185394,0.009985924,-4.0459633E-4
802486153,3,-0.0066022724,-0.008620262,-0.0015017688
802486163,3,-0.0023944154,-0.0053682327,0.008719206
802486174,3,-2.6078522E-4,0.002038002,0.004600793
802486184,3,0.016480155,6.1416626E-4,-8.981377E-4
802486194,3,-0.00492654,-0.0029678345,-0.0049025565
802486204,3,0.008247748,4.014969E-4,0.010767341
802486214,3,0.0048606396,0.0014896393,0.0017356575
802486224,3,0.007155277,-0.0069236755,0.002984956
802486234,3,0.011909284,-0.003876686,-0.002473414
802486244,3,0.018385269,-0.002275467,0.0014535487
802486254,3,0.0045228004,0.010712624,0.0033533424
802486264,3,-0.0067093,0.0022172928,0.0070045292
802486274,3,-3.941357E-6,0.009881973,-9.351969E-5
802486284,3,-0.001080811,-0.0013504028,0.01709415
802486294,3,0.0065316632,-0.0039405823,0.0024317056
802486304,3,-0.010579146,0.0016565323,-0.009824336
802486314,3,-0.006966129,0.0025901794,0.016873464
802486324,3,0.0013748109,-0.0013246536,0.0107343495
802486334,3,0.0021700636,-0.010138512,-5.6146085E-4
802486345,3,0.0020197034,-0.011609077,0.0064038634
802486355,3,-0.006944433,-0.006280899,0.0013812631
802486365,3,-0.010692142,-0.010314941,0.00692831
802486375,3,-0.0034672841,-0.0010070801,0.005715534
802486385,3,0.003921509,-0.011367798,0.0080165565
802486395,3,0.0014480501,-0.002319336,0.008037567
802486405,3,-0.009621821,7.658005E-4,0.0017617196
802486415,3,0.0016923919,-0.004509926,-0.0010426342
802486425,3,-0.0027646944,-1.411438E-4,-0.0044308454
802486435,3,-0.0020825267,-0.00262928,0.005888894
802486445,3,0.012504786,0.005993843,-5.6284666E-4
802486455,3,0.002669558,-7.46727E-4,-0.003793165
802486465,3,0.006160356,-0.001701355,0.018461093
802486475,3,0.013939552,8.1920624E-4,0.0072390586
802486485,3,0.0051860064,0.0046777725,0.013735831
802486495,3,-0.0034259707,-0.006468773,0.0015179664
802486505,3,0.003945589,0.008309364,-2.2882223E-4
802486516,3,0.0026398152,-0.0013780594,5.107522E-4
802486526,3,-7.952675E-4,0.0029363632,3.6208332E-4
802486536,3,-0.0049002916,-0.005970955,0.006729156
802486546,3,-0.009655423,-0.008915901,-0.0013637394
802486556,3,0.00317619,0.008257866,4.8694015E-4
802486566,3,0.014325671,0.002861023,0.001004219
802486577,3,-5.9146434E-4,0.0035057068,-0.003436923
802486587,3,-4.5791268E-4,-0.009009361,0.008391604
802486597,3,0.0021439493,0.0042886734,0.0034223348
802486607,3,-0.004521303,-0.005885124,0.0027557313
802486617,3,0.0017738789,-0.0024642944,-0.0039622486
802486627,3,-0.0042894483,-0.0075416565,0.0011989921
802486637,3,-0.0014792308,0.007809639,0.006060347
802486647,3,0.010882951,-0.002146721,0.0046257377
802486657,3,-0.005611241,0.009515762,-0.0055127293
802486667,3,-0.0024252534,-0.0093250275,0.011358723
802486677,3,0.017116413,-0.00335598,0.01917389
802486687,3,0.0012457818,3.004074E-4,0.005724475
802486697,3,-0.009599254,-0.0027484894,0.005461931
802486707,3,-0.0035162792,-0.002152443,0.0018680096
802486717,3,-1.98856E-4,0.0057725906,8.163899E-4
802486727,3,-0.0017117485,0.0030460358,0.00381729
802486738,3,-0.004132293,-0.0024032593,-0.0042342693
802486748,3,-0.0034977198,0.0046977997,0.008833364
802486758,3,0.0039090216,0.0036497116,-0.0030935109
802486768,3,0.0030272305,0.0073280334,0.0028341115
802486778,3,0.0059668124,0.001115799,0.010280162
802486788,3,6.2704086E-4,-0.008313179,0.0013749152
802486799,3,-2.6471913E-5,-2.822876E-4,0.011415228
802486809,3,0.0031086057,-0.011071205,0.0022784024
802486819,3,-5.6990236E-4,-0.0027217865,-0.0019275248
802486829,3,0.004698038,0.0054893494,0.0074203163
802486839,3,0.0036979392,-0.002213478,-0.003006637
802486849,3,0.013877898,0.0021152496,0.0016594529
802486859,3,0.0015059933,0.010937691,0.0036516339
802486869,3,-0.0018487945,-0.0046072006,-0.009771064
802486879,3,4.2411685E-4,-0.005083084,0.004563123
802486889,3,0.008290753,0.0037240982,2.437532E-4
802486899,3,0.0044915974,0.0076761246,0.004818678
802486909,3,0.002069272,-0.004631996,0.006159246
802486919,3,-0.005287774,0.011088371,0.009712428
802486929,3,0.0012067184,-0.006259918,0.00926742
802486939,3,-0.011534549,0.0025644302,0.009499565
802486949,3,0.009562671,-0.008828163,0.00711295
802486959,3,0.0029193386,-0.00688076,0.002660796
802486969,3,9.736568E-4,-0.011333466,-0.010236293
802486979,3,0.009267256,0.008924484,-6.6767633E-4
802486989,3,5.5867434E-4,-0.00880146,0.00328058
802486999,3,0.0067842677,0.018888474,0.0065598637
802487009,3,0.005472325,-6.637573E-4,-0.010407388
802487019,3,-0.0018939525,-0.008818626,0.0039114356
802487029,3,0.005132504,-2.2697449E-4,-0.008132517
802487039,3,-0.0037570447,-0.0013284683,0.0017255843
802487049,3,-0.005314052,-0.007256508,-0.005461037
802487059,3,-0.0027207658,0.0069828033,-0.0010244846
802487069,3,0.0074277,-0.006280899,0.009546608
802487079,3,0.0047908947,0.003929138,-0.00454928
802487089,3,-0.010784037,-0.0069322586,-0.0061219335
802487099,3,-3.0760467E-4,-0.005431175,-0.0037503242
802487109,3,2.092272E-4,-0.0036792755,-0.001889199
802487119,3,0.011104554,0.0024719238,-0.0022697449
802487129,3,0.0022469684,0.009906769,6.51747E-4
802487139,3,0.0030870065,-0.0039606094,0.0025560856
802487149,3,0.002890095,-0.0029249191,-0.008199051
802487159,3,0.0070620105,-1.0681152E-4,-0.0016831607
802487169,3,-0.004067078,0.008337975,0.0041556507
802487179,3,-0.0056754425,0.0064001083,-0.0015948266
802487189,3,0.0012349039,-0.0036716461,-0.010545239
802487199,3,0.008805282,-0.006655693,0.0012561679
802487209,3,0.0026873574,-0.00931263,-0.005260363
802487219,3,0.009090692,-0.008188248,-0.0022604316
802487229,3,-0.0025360286,0.0068979263,5.518794E-4
802487239,3,0.004071705,0.0055379868,-0.0013595521
802487249,3,-0.0037128478,0.0025405884,0.013768166
802487259,3,-0.0010776743,-0.0035905838,-0.0045384914
802487269,3,0.008239731,-2.07901E-4,0.0013501793
802487279,3,-0.0015946925,0.0050525665,0.0033548027
802487289,3,0.0011582151,-0.007209778,0.0016370863
802487299,3,0.0044119954,-0.0018291473,0.0018147826
802487309,3,-0.0028588623,0.0036001205,5.505532E-4
802487319,3,-0.003379196,0.005063057,-0.0022951514
802487329,3,-0.004797235,0.006088257,-0.0067494363
802487339,3,-0.0034653693,-0.011865616,0.0018615574
802487349,3,0.0028410852,-0.0059947968,-0.0014723241
802487359,3,0.0067302883,0.0011663437,-0.007788047
802487369,3,2.437383E-4,-0.0039749146,-6.2197447E-4
802487379,3,0.0087853,0.007857323,6.9487095E-4
802487389,3,0.0048247427,-0.0018224716,-0.003304422
802487399,3,0.009206779,-0.003314972,-0.0055463016
802487409,3,0.0071835592,-0.004920006,-0.0011580884
802487419,3,-0.007573575,0.008864403,-0.003916323
802487429,3,0.009163626,0.0015182495,-0.0054508597
802487439,3,-0.012665778,-0.00182724,-0.0073121786
802487449,3,-0.012745932,-2.7275085E-4,0.005499631
802487459,3,-0.009987779,-0.016736984,-0.0037577748
802487469,3,-0.0019608587,0.0013961792,0.0031972826
