mag_s004_001 Magnetometer-Uncalibrated Non-wakeup,QST,2025-03-06_19-02-36.207_TGW
imuTimestamp,accuracy(more=better),mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
802485712,3,3.6625001,9.375,150.7375,-27.0,-69.0,177.0
802485721,3,3.6625001,9.275001,151.3625,-27.0,-69.0,177.0
802485731,3,3.7625,9.375,151.0125,-27.0,-69.0,177.0
802485740,3,3.7625,9.35,151.125,-27.0,-69.0,177.0
802485750,3,3.7625,9.325,151.1875,-27.0,-69.0,177.0
802485759,3,3.7625,9.325,151.27501,-27.0,-69.0,177.0
802485769,3,3.7625,9.3,151.3,-27.0,-69.0,177.0
802485778,3,3.75,9.275001,151.33751,-27.0,-69.0,177.0
802485788,3,3.75,9.25,151.4375,-27.0,-69.0,177.0
802485797,3,3.775,9.2375,151.375,-27.0,-69.0,177.0
802485807,3,3.7625,9.1875,151.55,-27.0,-69.0,177.0
802485816,3,3.775,9.1625,151.6,-27.0,-69.0,177.0
802485826,3,3.7875001,9.150001,151.6375,-27.0,-69.0,177.0
802485835,3,3.775,9.150001,151.6375,-27.0,-69.0,177.0
802485845,3,3.7625,9.1625,151.6375,-27.0,-69.0,177.0
802485854,3,3.7625,9.175,151.65001,-27.0,-69.0,177.0
802485864,3,3.7625,9.1625,151.6625,-27.0,-69.0,177.0
802485873,3,3.75,9.150001,151.725,-27.0,-69.0,177.0
802485883,3,3.7250001,9.125,151.8125,-27.0,-69.0,177.0
802485892,3,3.7250001,9.125,151.875,-27.0,-69.0,177.0
802485902,3,3.7250001,9.1125,151.95,-27.0,-69.0,177.0
802485911,3,3.75,9.1,152.02501,-27.0,-69.0,177.0
802485921,3,3.7625,9.0625,152.1,-27.0,-69.0,177.0
802485930,3,3.7875001,9.025001,152.125,-27.0,-69.0,177.0
802485940,3,3.8125,9.0125,152.1375,-27.0,-69.0,177.0
802485949,3,3.8375,9.025001,152.125,-27.0,-69.0,177.0
802485959,3,3.8500001,9.0625,152.05,-27.0,-69.0,177.0
802485968,3,3.8375,9.075,151.9875,-27.0,-69.0,177.0
802485978,3,3.825,9.1,151.925,-27.0,-69.0,177.0
802485987,3,3.775,9.087501,151.875,-27.0,-69.0,177.0
802485997,3,3.775,9.1,151.8625,-27.0,-69.0,177.0
802486006,3,3.75,9.1,151.85,-27.0,-69.0,177.0
802486016,3,3.7125,9.125,151.83751,-27.0,-69.0,177.0
802486025,3,3.6625001,9.150001,151.7875,-27.0,-69.0,177.0
802486035,3,3.6000001,9.1375,151.7625,-27.0,-69.0,177.0
802486044,3,3.5625,9.150001,151.7375,-27.0,-69.0,177.0
802486054,3,3.5375001,9.1375,151.71251,-27.0,-69.0,177.0
802486063,3,3.575,9.150001,151.725,-27.0,-69.0,177.0
802486073,3,3.6000001,9.150001,151.77501,-27.0,-69.0,177.0
802486082,3,3.625,9.175,151.825,-27.0,-69.0,177.0
802486092,3,3.65,9.1625,151.8875,-27.0,-69.0,177.0
802486101,3,3.65,9.125,151.975,-27.0,-69.0,177.0
802486111,3,3.6625001,9.1125,152.02501,-27.0,-69.0,177.0
802486120,3,3.65,9.087501,152.0375,-27.0,-69.0,177.0
802486130,3,3.6625001,9.087501,152.0375,-27.0,-69.0,177.0
802486139,3,3.6375,9.087501,151.96251,-27.0,-69.0,177.0
802486149,3,3.5875,9.1,151.875,-27.0,-69.0,177.0
802486158,3,3.55,9.087501,151.8,-27.0,-69.0,177.0
802486168,3,3.5125,9.075,151.7375,-27.0,-69.0,177.0
802486177,3,3.5,9.087501,151.675,-27.0,-69.0,177.0
802486187,3,3.5,9.087501,151.6625,-27.0,-69.0,177.0
802486196,3,3.5375001,9.1125,151.7,-27.0,-69.0,177.0
802486206,3,3.5125,9.1125,151.7625,-27.0,-69.0,177.0
802486215,3,3.55,9.125,151.85,-27.0,-69.0,177.0
