baro_s002_001 Pressure Sensor Non-wakeup,Goertek,2025-03-06_19-02-36.207_TGW
imuTimestamp,accuracy(more=better),pressure[millibar]
802485778,3,977.3881
802485809,3,977.3908
802485840,3,977.37964
802485872,3,977.3822
802485903,3,977.3993
802485934,3,977.39557
802485965,3,977.3982
802485997,3,977.39777
802486028,3,977.3854
802486059,3,977.3908
802486090,3,977.4015
802486122,3,977.4031
802486153,3,977.4046
802486184,3,977.3993
802486215,3,977.41315
802486247,3,977.41003
802486278,3,977.3945
802486309,3,977.409
802486340,3,977.4057
802486372,3,977.404
802486403,3,977.41315
802486434,3,977.40515
802486466,3,977.4105
802486497,3,977.411
802486528,3,977.4068
802486559,3,977.404
802486590,3,977.4021
802486622,3,977.409
802486653,3,977.4082
802486684,3,977.41565
802486715,3,977.4151
802486747,3,977.3954
802486778,3,977.4119
802486809,3,977.3986
802486840,3,977.4082
802486872,3,977.3981
802486903,3,977.4124
802486934,3,977.4151
802486965,3,977.41296
802486997,3,977.41675
802487028,3,977.3996
802487059,3,977.4151
802487090,3,977.4151
802487122,3,977.4146
802487153,3,977.4124
802487184,3,977.4113
802487215,3,977.4007
802487247,3,977.3975
802487278,3,977.4093
802487309,3,977.4093
802487340,3,977.40546
802487372,3,977.40875
802487403,3,977.4151
802487434,3,977.41077
802487465,3,977.3986
802487497,3,977.4071
802487528,3,977.40393
802487559,3,977.40985
802487590,3,977.40985
802487622,3,977.39166
802487653,3,977.41174
802487684,3,977.408
802487715,3,977.4048
802487747,3,977.41705
802487778,3,977.3984
802487809,3,977.40375
802487840,3,977.4224
802487872,3,977.41064
802487903,3,977.40955
802487934,3,977.39685
802487965,3,977.40375
802487997,3,977.41174
802488028,3,977.3984
802488059,3,977.41644
802488090,3,977.4054
802488122,3,977.4101
802488153,3,977.4197
802488184,3,977.41644
802488215,3,977.408
802488247,3,977.4138
802488278,3,977.4218
802488309,3,977.4218
802488340,3,977.41437
802488372,3,977.401
802488403,3,977.408
802488434,3,977.4148
802488466,3,977.40686
802488497,3,977.40375
802488528,3,977.40955
802488559,3,977.4127
802488590,3,977.37695
802488622,3,977.3995
802488653,3,977.40424
802488684,3,977.41534
802488715,3,977.4137
802488747,3,977.4031
802488778,3,977.4117
802488809,3,977.39886
802488840,3,977.4143
802488872,3,977.3928
802488903,3,977.4117
802488934,3,977.4005
802488965,3,977.3877
802488997,3,977.3786
802489028,3,977.409
802489059,3,977.3851
802489090,3,977.3995
802489122,3,977.3892
802489153,3,977.3903
802489184,3,977.3984
802489216,3,977.39996
802489247,3,977.3844
802489278,3,977.3786
802489309,3,977.376
802489340,3,977.3984
802489372,3,977.3806
802489403,3,977.3663
802489434,3,977.38226
802489465,3,977.37695
802489497,3,977.37164
802489528,3,977.3888
802489559,3,977.38226
802489590,3,977.37
802489622,3,977.37
802489653,3,977.37164
802489684,3,977.3856
802489715,3,977.3935
802489747,3,977.37274
802489778,3,977.3792
802489809,3,977.38293
802489840,3,977.38824
802489872,3,977.3713
802489903,3,977.3845
802489934,3,977.38293
802489965,3,977.3866
802489997,3,977.3845
802490028,3,977.38293
802490059,3,977.37494
802490090,3,977.369
802490122,3,977.3713
802490153,3,977.3872
802490184,3,977.37494
802490215,3,977.37756
802490247,3,977.3739
802490278,3,977.369
802490309,3,977.3675
802490340,3,977.3765
802490372,3,977.3701
802490403,3,977.384
802490434,3,977.35736
802490465,3,977.3765
802490497,3,977.3701
802490528,3,977.3765
802490559,3,977.37274
802490590,3,977.3802
802490622,3,977.36426
802490653,3,977.37756
802490684,3,977.3739
802490715,3,977.3887
802490747,3,977.37915
802490778,3,977.37915
802490809,3,977.37915
802490840,3,977.394
802490872,3,977.37
802490903,3,977.37854
802490934,3,977.37915
802490965,3,977.3808
802490997,3,977.37
802491028,3,977.37
802491059,3,977.39136
802491090,3,977.39136
802491122,3,977.37317
802491153,3,977.3769
802491184,3,977.37415
802491216,3,977.3828
802491247,3,977.3646
802491278,3,977.3758
802491309,3,977.39136
802491340,3,977.39136
802491372,3,977.3902
802491403,3,977.37
802491434,3,977.3636
802491465,3,977.36835
802491497,3,977.37
802491528,3,977.37476
802491559,3,977.37274
802491590,3,977.37274
802491622,3,977.3902
802491653,3,977.3646
802491684,3,977.37
802491716,3,977.3758
802491747,3,977.38824
802491778,3,977.3786
802491809,3,977.37415
802491841,3,977.3758
802491872,3,977.36957
802491903,3,977.3733
802491934,3,977.3748
802491965,3,977.38495
802491997,3,977.3738
802492028,3,977.39087
802492059,3,977.37054
802492090,3,977.37415
802492122,3,977.37415
802492153,3,977.36957
802492184,3,977.3738
802492215,3,977.3722
802492247,3,977.3808
802492278,3,977.36957
802492309,3,977.3786
802492340,3,977.37415
802492372,3,977.3733
802492403,3,977.3738
802492434,3,977.3621
802492466,3,977.36523
802492497,3,977.38184
802492528,3,977.3733
802492559,3,977.3668
802492590,3,977.3626
802492622,3,977.3786
802492653,3,977.3733
802492684,3,977.3626
802492716,3,977.3798
802492747,3,977.3782
802492778,3,977.3798
802492809,3,977.3798
802492840,3,977.38354
802492872,3,977.3937
802492903,3,977.38086
802492934,3,977.37445
802492965,3,977.3863
802492997,3,977.3878
802493028,3,977.3904
802493059,3,977.3894
802493090,3,977.38135
802493122,3,977.37665
802493153,3,977.3772
802493184,3,977.3792
802493216,3,977.3782
802493247,3,977.3825
802493278,3,977.3798
802493309,3,977.38086
802493340,3,977.3729
802493372,3,977.3761
802493403,3,977.3627
802493434,3,977.38135
802493466,3,977.3798
802493497,3,977.38354
802493528,3,977.38086
802493559,3,977.3772
802493590,3,977.3819
802493622,3,977.3686
802493653,3,977.3782
802493684,3,977.38086
802493715,3,977.3792
802493747,3,977.3726
802493778,3,977.37634
802493809,3,977.37634
802493840,3,977.38165
802493872,3,977.36456
802493903,3,977.3694
802493934,3,977.3795
802493965,3,977.3747
802493997,3,977.3849
802494028,3,977.3769
802494059,3,977.37524
802494090,3,977.3657
802494122,3,977.38116
802494153,3,977.37744
802494184,3,977.38116
802494216,3,977.3795
802494247,3,977.3726
802494278,3,977.3705
802494309,3,977.3758
802494340,3,977.3657
802494372,3,977.3747
802494403,3,977.38324
802494434,3,977.3806
802494466,3,977.3694
802494497,3,977.38116
802494528,3,977.36676
802494559,3,977.3758
802494590,3,977.37634
802494622,3,977.3641
802494653,3,977.3657
802494684,3,977.3607
802494715,3,977.3715
802494747,3,977.37744
802494778,3,977.38226
802494809,3,977.3733
802494840,3,977.3764
802494872,3,977.3663
802494903,3,977.3887
802494934,3,977.3898
802494966,3,977.38556
802494997,3,977.3711
802495028,3,977.3621
802495059,3,977.369
802495090,3,977.352
802495122,3,977.4639
802495153,3,977.37744
802495184,3,977.37067
802495215,3,977.3722
802495247,3,977.3588
802495278,3,977.3588
802495309,3,977.34595
802495340,3,977.34595
802495372,3,977.5455
802495403,3,977.40686
802495435,3,977.35565
802495465,3,977.33057
802495497,3,977.3449
802495528,3,977.3407
802495559,3,977.3403
802495590,3,977.3332
802495622,3,977.3444
802495653,3,977.3476
802495684,3,977.34595
802495715,3,977.35034
802495747,3,977.3449
802495778,3,977.3585
802495809,3,977.3552
802495840,3,977.3526
802495872,3,977.3558
802495903,3,977.35425
802495934,3,977.36115
802495965,3,977.3718
802495997,3,977.3703
802496028,3,977.3894
802496059,3,977.38354
802496090,3,977.36914
802496122,3,977.36163
802496153,3,977.344
802496184,3,977.33136
802496215,3,977.3303
802496247,3,977.34454
802496278,3,977.3307
802496309,3,977.3761
802496340,3,977.4337
802496372,3,977.5681
802496403,3,977.5958
802496434,3,977.63947
802496465,3,977.6647
802496497,3,977.5915
802496528,3,977.558
802496559,3,977.4785
802496590,3,977.4022
802496622,3,977.3089
802496653,3,977.2737
802496684,3,977.2454
802496715,3,977.18994
802496747,3,977.2699
802496778,3,977.40375
802496809,3,977.3595
802496840,3,977.24805
802496872,3,977.2501
802496903,3,977.4267
802496934,3,977.3302
802496965,3,977.281
802496997,3,977.2517
802497028,3,977.26984
802497059,3,977.27527
802497090,3,977.26984
802497122,3,977.27527
802497153,3,977.2912
802497184,3,977.3189
802497215,3,977.3189
802497247,3,977.3339
802497278,3,977.3435
802497309,3,977.3382
802497340,3,977.36487
802497372,3,977.36053
802497403,3,977.31573
802497434,3,977.3051
802497465,3,977.31464
802497497,3,977.30237
802497528,3,977.304
802497559,3,977.2955
802497590,3,977.3126
802497622,3,977.2981
802497653,3,977.3126
802497684,3,977.31573
802497715,3,977.3051
802497747,3,977.3126
802497778,3,977.3061
802497809,3,977.2961
802497840,3,977.30676
802497872,3,977.31165
802497903,3,977.2977
802497934,3,977.3132
802497965,3,977.2977
802497997,3,977.28284
802498028,3,977.2555
802498059,3,977.2876
802498090,3,977.2887
802498122,3,977.31433
802498153,3,977.31696
802498184,3,977.3516
802498215,3,977.32495
802498247,3,977.3058
802498278,3,977.3153
802498309,3,977.2897
802498340,3,977.3089
802498372,3,977.3195
802498403,3,977.3058
802498434,3,977.30835
802498465,3,977.3394
802498497,3,977.35754
802498528,3,977.36285
802498559,3,977.31433
802498590,3,977.214
802498622,3,977.2167
802498653,3,977.2648
802498684,3,977.2471
802498715,3,977.222
802498747,3,977.2273
802498778,3,977.23694
802498809,3,977.23315
802498840,3,977.25134
802498872,3,977.31055
802498903,3,977.28394
802498934,3,977.2209
802498965,3,977.2519
802498997,3,977.24335
802499028,3,977.23645
802499059,3,977.2519
802499090,3,977.2636
802499122,3,977.3158
802499153,3,977.3863
802499184,3,977.41675
802499215,3,977.4104
802499247,3,977.41296
802499278,3,977.3949
802499309,3,977.2902
802499340,3,977.28125
802499372,3,977.2833
802499403,3,977.2226
802499434,3,977.26575
802499465,3,977.3074
802499497,3,977.23267
802499528,3,977.20337
802499559,3,977.157
802499590,3,977.2172
802499622,3,977.3251
802499653,3,977.2386
802499684,3,977.21405
802499715,3,977.1953
802499747,3,977.1885
802499778,3,977.176
802499809,3,977.1922
802499840,3,977.20795
802499872,3,977.2122
802499903,3,977.216
802499934,3,977.2171
802499965,3,977.232
802499997,3,977.51685
802500028,3,977.4544
802500059,3,977.3633
802500090,3,977.3852
802500122,3,977.48804
802500153,3,977.58673
802500184,3,977.4832
802500215,3,977.41455
802500247,3,977.3328
802500278,3,977.2598
802500309,3,977.288
802500340,3,977.2427
802500372,3,977.1861
802500403,3,977.18353
802500434,3,977.1904
802500465,3,977.1904
802500497,3,977.18665
802500528,3,977.16644
802500559,3,977.1557
802500590,3,977.2182
802500622,3,977.2145
802500653,3,977.2438
802500684,3,977.2404
802500715,3,977.23737
802500747,3,977.2629
802500778,3,977.264
802500809,3,977.2404
802500840,3,977.2342
802500872,3,977.2193
802500903,3,977.2193
802500934,3,977.2524
802500965,3,977.28595
802500997,3,977.38525
802501028,3,977.5521
802501059,3,977.4503
802501090,3,977.3425
802501122,3,977.31433
802501153,3,977.25183
802501184,3,977.2065
802501215,3,977.1793
802501247,3,977.19855
802501278,3,977.1927
802501309,3,977.15643
802501340,3,977.11957
802501372,3,977.1158
802501403,3,977.1138
802501434,3,977.12915
802501465,3,977.1233
802501497,3,977.15
802501528,3,977.15
802501559,3,977.15204
802501590,3,977.16534
802501622,3,977.15643
802501653,3,977.16534
802501684,3,977.184
802501715,3,977.1868
802501747,3,977.16534
802501778,3,977.19635
802501809,3,977.1995
802501840,3,977.1992
802501872,3,977.2025
802501903,3,977.2025
802501934,3,977.19714
802501965,3,977.20886
802501997,3,977.2025
802502028,3,977.21844
802502059,3,977.22534
802502090,3,977.2078
802502122,3,977.2041
802502153,3,977.22534
802502184,3,977.21
802502215,3,977.21796
802502247,3,977.21265
802502278,3,977.2142
802502309,3,977.21313
802502340,3,977.2094
802502372,3,977.2158
802502403,3,977.21954
802502434,3,977.21313
802502465,3,977.21313
802502497,3,977.22595
802502528,3,977.2115
802502559,3,977.20197
802502590,3,977.21844
802502622,3,977.2206
802502653,3,977.2307
802502684,3,977.21533
802502715,3,977.22534
802502747,3,977.2323
802502778,3,977.21844
802502809,3,977.2222
802502840,3,977.2206
802502872,3,977.21747
802502903,3,977.2212
802502934,3,977.22284
802502965,3,977.2068
802502997,3,977.21484
802503028,3,977.21747
802503059,3,977.21747
802503090,3,977.21643
802503122,3,977.21747
802503153,3,977.21643
802503184,3,977.22284
802503215,3,977.22656
802503247,3,977.22284
802503278,3,977.2302
802503309,3,977.2132
802503340,3,977.2261
802503372,3,977.21747
802503403,3,977.21643
802503434,3,977.21265
802503465,3,977.21747
802503497,3,977.2277
802503528,3,977.22546
802503559,3,977.21155
802503590,3,977.20844
802503622,3,977.21265
802503653,3,977.21747
802503684,3,977.2078
802503715,3,977.19666
802503747,3,977.2064
802503778,3,977.2313
802503809,3,977.22345
802503840,3,977.2302
802503872,3,977.22455
802503903,3,977.20105
802503934,3,977.22614
802503965,3,977.2272
802503997,3,977.2096
802504028,3,977.2229
802504059,3,977.22614
802504090,3,977.2106
802504122,3,977.21704
802504153,3,977.2027
802504184,3,977.20856
802504215,3,977.21387
802504247,3,977.2096
802504278,3,977.2187
802504309,3,977.2182
802504340,3,977.2272
802504372,3,977.21387
802504403,3,977.2059
802504434,3,977.2048
802504465,3,977.21497
802504497,3,977.2128
802504528,3,977.2229
802504559,3,977.224
802504590,3,977.2182
802504622,3,977.2251
802504653,3,977.2304
802504684,3,977.2182
802504715,3,977.2053
802504747,3,977.2187
802504778,3,977.21704
802504809,3,977.22614
802504840,3,977.2346
802504872,3,977.2182
802504903,3,977.2301
802504934,3,977.22205
802504965,3,977.2376
802504997,3,977.2382
802505028,3,977.22845
802505059,3,977.23065
802505091,3,977.2333
802505122,3,977.23175
802505153,3,977.22534
802505184,3,977.20984
802505215,3,977.2355
802505247,3,977.22754
802505278,3,977.221
802505309,3,977.22156
802505341,3,977.2205
802505372,3,977.2237
802505403,3,977.22754
802505434,3,977.22534
802505465,3,977.23175
802505497,3,977.22534
802505528,3,977.2301
802505559,3,977.2115
802505590,3,977.2205
802505622,3,977.2131
802505653,3,977.2179
802505684,3,977.2131
802505715,3,977.2205
802505747,3,977.21893
802505778,3,977.2205
802505809,3,977.22644
802505840,3,977.2382
802505872,3,977.2157
802505903,3,977.21875
802505934,3,977.21295
802505965,3,977.20593
802505997,3,977.22784
802506028,3,977.2284
802506059,3,977.21875
802506090,3,977.22784
802506122,3,977.21985
802506153,3,977.2348
802506184,3,977.2295
802506215,3,977.231
802506247,3,977.2295
802506278,3,977.2295
802506309,3,977.22565
802506340,3,977.2363
802506372,3,977.2402
802506403,3,977.23004
802506434,3,977.2358
802506465,3,977.2368
802506497,3,977.2374
802506528,3,977.23956
802506559,3,977.21875
802506590,3,977.23254
802506622,3,977.2235
802506653,3,977.23315
802506684,3,977.2246
802506715,3,977.2423
802506747,3,977.2235
802506778,3,977.21234
802506809,3,977.2235
802506840,3,977.2295
802506872,3,977.22675
802506903,3,977.23004
802506934,3,977.22845
802506965,3,977.2455
802506997,3,977.23157
802507028,3,977.2333
802507059,3,977.2413
802507090,3,977.2343
802507122,3,977.23755
802507153,3,977.22205
802507184,3,977.2273
802507215,3,977.22363
802507247,3,977.23157
802507278,3,977.23376
802507310,3,977.2349
802507340,3,977.22845
802507372,3,977.2311
802507403,3,977.2273
802507434,3,977.2247
802507465,3,977.22363
802507497,3,977.2349
802507528,3,977.2242
802507559,3,977.2343
802507590,3,977.23065
802507622,3,977.22845
802507653,3,977.22894
802507684,3,977.2386
802507715,3,977.2301
802507747,3,977.2424
802507778,3,977.24493
802507809,3,977.23694
802507840,3,977.2247
802507872,3,977.2146
802507903,3,977.2151
802507934,3,977.23395
802507965,3,977.22705
802507997,3,977.2201
802508028,3,977.22754
802508059,3,977.2194
802508090,3,977.2105
802508122,3,977.2105
802508153,3,977.23285
802508184,3,977.2201
802508215,3,977.21265
802508247,3,977.2105
802508278,3,977.2157
802508309,3,977.2194
802508340,3,977.2488
802508372,3,977.2371
802508403,3,977.2424
802508434,3,977.24567
802508465,3,977.284
802508497,3,977.2744
802508528,3,977.27234
802508559,3,977.2676
802508590,3,977.2483
802508622,3,977.26807
802508653,3,977.2829
802508684,3,977.244
802508715,3,977.2424
802508747,3,977.2499
802508778,3,977.2525
802508809,3,977.2543
802508840,3,977.23285
802508872,3,977.2376
802508903,3,977.23285
802508934,3,977.20074
802508965,3,977.2072
802508997,3,977.212
802509028,3,977.2301
802509059,3,977.20776
802509090,3,977.2263
802509122,3,977.2259
802509153,3,977.2407
802509184,3,977.2301
802509215,3,977.24445
802509247,3,977.2558
802509278,3,977.2547
802509309,3,977.23706
802509340,3,977.2595
802509372,3,977.276
802509403,3,977.2521
802509434,3,977.2168
802509465,3,977.1955
802509497,3,977.2168
802509528,3,977.2194
802509559,3,977.212
802509590,3,977.22205
802509622,3,977.2349
802509653,3,977.23596
802509684,3,977.2349
802509715,3,977.2194
802509747,3,977.2349
802509778,3,977.2407
802509809,3,977.2259
802509840,3,977.22107
802509872,3,977.2072
802509903,3,977.2226
802509934,3,977.20074
802509965,3,977.2073
802509997,3,977.19824
802510028,3,977.2009
802510059,3,977.21265
802510090,3,977.21155
802510122,3,977.21
802510153,3,977.2287
802510184,3,977.20526
802510215,3,977.233
802510247,3,977.244
802510278,3,977.2287
802510309,3,977.2313
802510340,3,977.2302
802510372,3,977.233
802510403,3,977.2106
802510434,3,977.2084
802510465,3,977.21
802510497,3,977.21533
802510528,3,977.233
802510559,3,977.233
802510590,3,977.2452
802510622,3,977.2436
802510653,3,977.25366
802510684,3,977.24194
802510715,3,977.2383
802510747,3,977.233
802510778,3,977.2158
802510809,3,977.233
802510840,3,977.234
802510872,3,977.2553
802510903,3,977.2511
802510934,3,977.234
802510965,3,977.2343
802510997,3,977.2252
802511028,3,977.2039
802511059,3,977.22626
802511091,3,977.23065
802511122,3,977.24384
802511153,3,977.2733
802511184,3,977.2674
802511215,3,977.2583
802511247,3,977.23157
802511278,3,977.23157
802511309,3,977.21295
802511340,3,977.22894
802511372,3,977.23157
802511403,3,977.207
802511434,3,977.205
802511465,3,977.19434
802511497,3,977.17346
802511528,3,977.18317
802511559,3,977.19214
802511591,3,977.2012
802511622,3,977.1995
802511653,3,977.1889
802511684,3,977.18317
802511715,3,977.1889
802511747,3,977.16064
802511778,3,977.12384
802511809,3,977.1099
802511840,3,977.1233
802511872,3,977.12714
802511903,3,977.16064
802511934,3,977.1617
802511965,3,977.167
802511997,3,977.2147
802512028,3,977.2569
802512059,3,977.2515
802512090,3,977.26105
802512122,3,977.3002
802512153,3,977.4692
802512184,3,977.7518
802512215,3,977.745
802512247,3,977.59607
802512278,3,977.3545
802512309,3,977.4116
802512340,3,977.48676
802512372,3,977.46814
802512403,3,977.44135
802512434,3,977.44135
802512465,3,977.4046
802512497,3,977.34814
802512528,3,977.2931
802512559,3,977.2921
802512590,3,977.3619
802512622,3,977.35767
802512653,3,977.42065
802512684,3,977.41644
802512715,3,977.378
802512747,3,977.3556
802512778,3,977.3838
802512809,3,977.4654
802512840,3,977.3818
802512872,3,977.19604
802512903,3,977.13837
802512934,3,977.1838
802512965,3,977.20776
802512997,3,977.2243
802513028,3,977.2056
802513059,3,977.2345
802513090,3,977.2393
802513122,3,977.3705
802513153,3,977.4777
802513184,3,977.43823
802513215,3,977.2873
802513247,3,977.1378
802513278,3,977.11975
802513309,3,977.28937
802513340,3,977.2675
802513372,3,977.3902
802513403,3,977.2595
802513434,3,977.2622
802513465,3,977.2297
802513497,3,977.37213
802513528,3,977.41315
802513559,3,977.44824
802513590,3,977.522
802513622,3,977.56085
802513653,3,977.5844
802513684,3,977.6201
802513715,3,977.6286
802513747,3,977.8216
802513778,3,977.8675
802513809,3,977.77423
802513840,3,977.5145
802513872,3,977.5438
802513903,3,977.818
802513934,3,977.8126
802513965,3,977.75336
802513997,3,977.65094
802514028,3,977.6193
802514059,3,977.6465
802514090,3,977.34564
802514122,3,977.1242
802514153,3,977.18994
802514184,3,977.29767
802514215,3,977.2241
802514247,3,977.2684
802514278,3,977.46045
802514309,3,977.3622
802514340,3,977.4241
802514372,3,977.45135
802514403,3,977.43915
802514434,3,977.6199
802514465,3,977.57556
802514497,3,977.471
802514528,3,977.4924
802514559,3,977.2592
802514590,3,976.9872
802514622,3,976.8319
802514653,3,976.79395
802514684,3,976.85803
802514715,3,976.91895
802514747,3,977.0261
802514778,3,977.02454
802514809,3,977.0373
802514840,3,976.9765
802514872,3,976.9477
802514903,3,976.9898
802514934,3,976.92633
802514965,3,976.8992
802514997,3,976.9311
802515028,3,976.8616
802515059,3,976.8157
802515090,3,976.77985
802515122,3,976.78314
802515153,3,976.7794
802515184,3,976.83484
802515215,3,977.0105
802515247,3,977.1919
802515278,3,977.21
802515309,3,977.2009
802515340,3,977.1695
802515372,3,977.244
802515403,3,977.18915
802515434,3,977.2313
802515465,3,977.32416
