Rotation Vector  Non-wakeup,QTI,2025-03-06_19-02-36.207_TGW
imuTimestamp,accuracy(more=better),x*sin(a/2)[],y*sin(a/2)[],z*sin(a/2)[],cos(a/2)[],heading_accuracy[rad]
802485883,3,-0.30959857,-0.62972105,0.6359469,0.32120338,-1.0
802485893,3,-0.3096283,-0.6296671,0.6359691,0.32123658,-1.0
802485903,3,-0.30967447,-0.6295976,0.6359576,0.32135102,-1.0
802485912,3,-0.30967128,-0.62961453,0.6359328,0.32137012,-1.0
802485922,3,-0.3096989,-0.62957054,0.63591576,0.32146332,-1.0
802485932,3,-0.3097152,-0.62954354,0.63593525,0.32146186,-1.0
802485942,3,-0.3097138,-0.62955904,0.6359008,0.32150114,-1.0
802485952,3,-0.30972695,-0.62953484,0.6359214,0.32149494,-1.0
802485962,3,-0.30970696,-0.62956804,0.6359154,0.32146123,-1.0
802485972,3,-0.309716,-0.62955284,0.63590807,0.32149667,-1.0
802485982,3,-0.30970517,-0.6295782,0.6359133,0.3214472,-1.0
802485992,3,-0.30970743,-0.62957734,0.63591737,0.32143855,-1.0
802486002,3,-0.30972448,-0.6295481,0.6359122,0.32148978,-1.0
802486012,3,-0.30972418,-0.629548,0.63591295,0.32148865,-1.0
802486022,3,-0.30973777,-0.6295284,0.6359123,0.32151526,-1.0
802486032,3,-0.30973858,-0.62953395,0.6359032,0.32152176,-1.0
802486042,3,-0.30972952,-0.6295478,0.6358996,0.3215104,-1.0
802486052,3,-0.30973533,-0.6295402,0.63590914,0.3215008,-1.0
802486062,3,-0.30972943,-0.6295472,0.6359166,0.321478,-1.0
802486072,3,-0.3097182,-0.6295657,0.63591677,0.32145226,-1.0
802486082,3,-0.30971304,-0.6295762,0.6359264,0.32141754,-1.0
802486092,3,-0.30972624,-0.62956375,0.63591766,0.32144654,-1.0
802486102,3,-0.30971876,-0.6295739,0.6359219,0.32142553,-1.0
802486113,3,-0.3097401,-0.62953967,0.6359305,0.32145497,-1.0
802486123,3,-0.30973452,-0.6295457,0.63593054,0.3214485,-1.0
802486133,3,-0.30974522,-0.6295309,0.63593495,0.3214584,-1.0
802486143,3,-0.3097473,-0.6295333,0.6359337,0.32145414,-1.0
802486153,3,-0.3097447,-0.629536,0.63594234,0.3214344,-1.0
802486163,3,-0.30975744,-0.62952185,0.6359446,0.32144526,-1.0
802486174,3,-0.30976546,-0.62951636,0.6359421,0.32145312,-1.0
802486184,3,-0.30976877,-0.62952006,0.6359231,0.32148033,-1.0
802486194,3,-0.30976352,-0.62952584,0.63592815,0.32146403,-1.0
802486204,3,-0.30977628,-0.62951,0.63592076,0.32149744,-1.0
802486214,3,-0.3097785,-0.6295079,0.6359152,0.32151026,-1.0
802486224,3,-0.30978432,-0.62950444,0.63590944,0.32152286,-1.0
802486234,3,-0.30978093,-0.6295075,0.63590014,0.32153872,-1.0
802486244,3,-0.30978537,-0.62950474,0.63588434,0.32157102,-1.0
802486254,3,-0.30978987,-0.6294995,0.6358815,0.32158262,-1.0
802486264,3,-0.30979428,-0.6294912,0.63588834,0.32158095,-1.0
802486274,3,-0.30978978,-0.62949085,0.6358904,0.32158193,-1.0
802486284,3,-0.3098014,-0.6294686,0.6358958,0.3216037,-1.0
802486294,3,-0.30980566,-0.6294656,0.63588995,0.32161704,-1.0
802486304,3,-0.30979913,-0.6294798,0.63589346,0.32158855,-1.0
802486314,3,-0.30980456,-0.6294638,0.6359016,0.32159856,-1.0
802486324,3,-0.30981418,-0.62944984,0.6359033,0.32161328,-1.0
802486334,3,-0.30981496,-0.6294481,0.6359021,0.3216182,-1.0
