acc_s003_002 QTI-Accelerometer-Uncalibrated Non-wakeup,TDK-Invensense,2025-03-06_19-02-36.207_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc2_uncal_x[m/s^2],acc2_uncal_y[m/s^2],acc2_uncal_z[m/s^2]
802486070,3,1741276959897984951,-0.11361571,-9.793417,0.009924725
802486080,3,1741276959907986617,-0.11840411,-9.798205,0.01950153
802486090,3,1741276959917995315,-0.12319252,-9.78384,0.029078335
802486100,3,1741276959928005211,-0.10882731,-9.779052,0.03386674
802486110,3,1741276959937806670,-0.12319252,-9.788629,0.009924725
802486120,3,1741276959947608180,-0.11361571,-9.798205,0.024289936
802486130,3,1741276959957410472,-0.11840411,-9.788629,0.0051363185
802486139,3,1741276959967213857,-0.10882731,-9.788629,0.009924725
802486149,3,1741276959977018232,-0.0992505,-9.78384,0.014713123
802486159,3,1741276959986825836,-0.10882731,-9.793417,0.01950153
802486169,3,1741276959996636930,-0.1040389,-9.793417,0.014713123
802486179,3,1741276960006452086,-0.11361571,-9.779052,3.479123E-4
802486189,3,1741276960016277711,-0.1040389,-9.798205,0.024289936
802486198,3,1741276960026107711,-0.0992505,-9.793417,0.024289936
802486208,3,1741276960035943440,-0.1040389,-9.78384,0.024289936
802486218,3,1741276960045785576,-0.1040389,-9.78384,0.014713123
802486228,3,1741276960055634586,-0.1040389,-9.802994,0.009924725
802486238,3,1741276960065491565,-0.1040389,-9.798205,0.014713123
802486248,3,1741276960075357190,-0.11361571,-9.788629,0.014713123
802486258,3,1741276960085233909,-0.11361571,-9.788629,0.0051363185
802486267,3,1741276960095122711,-0.11361571,-9.788629,3.479123E-4
802486277,3,1741276960105021565,-0.1040389,-9.793417,0.01950153
802486287,3,1741276960114936565,-0.10882731,-9.788629,0.009924725
802486297,3,1741276960124861461,-0.0992505,-9.788629,0.009924725
802486307,3,1741276960134828909,-0.11361571,-9.788629,0.0051363185
802486317,3,1741276960144838284,-0.10882731,-9.78384,0.014713123
802486327,3,1741276960154852503,-0.1040389,-9.78384,3.479123E-4
802486337,3,1741276960164866722,-0.1040389,-9.78384,0.01950153
802486347,3,1741276960174890367,-0.1040389,-9.788629,0.01950153
802486357,3,1741276960184956565,-0.10882731,-9.78384,0.01950153
802486367,3,1741276960195064951,-0.0992505,-9.798205,0.0051363185
802486377,3,1741276960205180784,-0.10882731,-9.788629,0.014713123
802486388,3,1741276960215296617,-0.11361571,-9.798205,3.479123E-4
802486398,3,1741276960225416565,-0.1040389,-9.788629,0.009924725
802486408,3,1741276960235536513,-0.11840411,-9.798205,0.014713123
802486418,3,1741276960245664170,-0.11361571,-9.788629,0.01950153
802486428,3,1741276960255800367,-0.10882731,-9.793417,0.009924725
802486438,3,1741276960265945732,-0.11361571,-9.779052,0.009924725
802486448,3,1741276960276099690,-0.10882731,-9.788629,3.479123E-4
802486459,3,1741276960286261930,-0.1040389,-9.78384,-0.009228885
802486469,3,1741276960296431513,-0.10882731,-9.779052,-0.009228885
802486479,3,1741276960306607190,-0.10882731,-9.788629,0.009924725
802486489,3,1741276960316794430,-0.11361571,-9.78384,0.0051363185
802486499,3,1741276960326994430,-0.11361571,-9.78384,0.01950153
802486509,3,1741276960337194430,-0.10882731,-9.78384,-0.0044404864
802486520,3,1741276960347394430,-0.10882731,-9.78384,0.0051363185
802486530,3,1741276960357594430,-0.11361571,-9.788629,0.009924725
802486540,3,1741276960367794430,-0.1040389,-9.802994,-0.0044404864
802486550,3,1741276960377994430,-0.1040389,-9.793417,-0.0044404864
802486560,3,1741276960388194430,-0.11361571,-9.793417,-0.0044404864
802486571,3,1741276960398394430,-0.10882731,-9.78384,3.479123E-4
802486581,3,1741276960408594430,-0.1040389,-9.779052,0.009924725
802486591,3,1741276960418794430,-0.0944621,-9.788629,0.014713123
802486601,3,1741276960428994430,-0.11361571,-9.798205,-0.009228885
802486611,3,1741276960439194430,-0.10882731,-9.793417,-0.0044404864
802486622,3,1741276960449394430,-0.11361571,-9.788629,0.0051363185
802486632,3,1741276960459594430,-0.10882731,-9.793417,3.479123E-4
802486642,3,1741276960469794430,-0.1040389,-9.78384,-0.0044404864
802486652,3,1741276960479994430,-0.11361571,-9.78384,0.009924725
802486662,3,1741276960490194430,-0.10882731,-9.78384,0.009924725
802486673,3,1741276960500394430,-0.11361571,-9.78384,-0.009228885
802486683,3,1741276960510594430,-0.10882731,-9.793417,0.0051363185
802486693,3,1741276960520794430,-0.11840411,-9.793417,0.0051363185
802486703,3,1741276960530994430,-0.11840411,-9.793417,0.009924725
802486713,3,1741276960541194430,-0.11361571,-9.779052,0.0051363185
