gyro_s003_002 QTI-Gyroscope Non-wakeup,TDK-Invensense,2025-03-06_19-02-36.207_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel2_x[rad/s],ang_vel2_y[rad/s],ang_vel2_z[rad/s]
802486090,3,1741276959917995315,6.6046324E-4,1.4487782E-4,-9.544743E-4
802486100,3,1741276959928005211,-4.048003E-4,1.4487782E-4,0.0011760527
802486110,3,1741276959937806670,-4.048003E-4,1.4487782E-4,1.107892E-4
802486120,3,1741276959947608180,6.6046324E-4,1.4487782E-4,1.107892E-4
802486130,3,1741276959957410472,6.6046324E-4,1.4487782E-4,0.0011760527
802486139,3,1741276959967213857,6.6046324E-4,-9.203857E-4,0.0011760527
802486149,3,1741276959977018232,-4.048003E-4,1.4487782E-4,0.0022413163
802486159,3,1741276959986825836,-4.048003E-4,0.0012101413,0.0011760527
802486169,3,1741276959996636930,6.6046324E-4,0.0012101413,0.0022413163
802486179,3,1741276960006452086,-4.048003E-4,1.4487782E-4,1.107892E-4
802486189,3,1741276960016277711,-4.048003E-4,1.4487782E-4,0.0011760527
802486198,3,1741276960026107711,-4.048003E-4,1.4487782E-4,0.0011760527
802486208,3,1741276960035943440,-0.0014700638,1.4487782E-4,0.0011760527
802486218,3,1741276960045785576,-4.048003E-4,1.4487782E-4,0.0011760527
802486228,3,1741276960055634586,6.6046324E-4,1.4487782E-4,1.107892E-4
802486238,3,1741276960065491565,6.6046324E-4,1.4487782E-4,-9.544743E-4
802486248,3,1741276960075357190,-4.048003E-4,0.0012101413,0.0011760527
802486258,3,1741276960085233909,6.6046324E-4,1.4487782E-4,1.107892E-4
802486267,3,1741276960095122711,-4.048003E-4,1.4487782E-4,1.107892E-4
802486277,3,1741276960105021565,6.6046324E-4,1.4487782E-4,0.0011760527
802486287,3,1741276960114936565,-0.0014700638,1.4487782E-4,0.0011760527
802486297,3,1741276960124861461,6.6046324E-4,0.0012101413,0.0011760527
802486307,3,1741276960134828909,6.6046324E-4,1.4487782E-4,-9.544743E-4
802486317,3,1741276960144838284,6.6046324E-4,1.4487782E-4,1.107892E-4
802486327,3,1741276960154852503,6.6046324E-4,1.4487782E-4,0.0011760527
802486337,3,1741276960164866722,6.6046324E-4,1.4487782E-4,1.107892E-4
802486347,3,1741276960174890367,0.0017257268,0.0012101413,1.107892E-4
802486357,3,1741276960184956565,-4.048003E-4,0.0012101413,0.0011760527
802486367,3,1741276960195064951,6.6046324E-4,1.4487782E-4,1.107892E-4
802486377,3,1741276960205180784,-4.048003E-4,1.4487782E-4,1.107892E-4
802486388,3,1741276960215296617,-4.048003E-4,1.4487782E-4,1.107892E-4
802486398,3,1741276960225416565,-4.048003E-4,1.4487782E-4,0.0022413163
802486408,3,1741276960235536513,-4.048003E-4,1.4487782E-4,0.0011760527
802486418,3,1741276960245664170,6.6046324E-4,0.0012101413,0.0011760527
802486428,3,1741276960255800367,6.6046324E-4,-9.203857E-4,0.0011760527
802486438,3,1741276960265945732,-4.048003E-4,1.4487782E-4,0.0011760527
802486448,3,1741276960276099690,-4.048003E-4,-9.203857E-4,0.0011760527
802486459,3,1741276960286261930,-4.048003E-4,1.4487782E-4,1.107892E-4
802486469,3,1741276960296431513,6.6046324E-4,1.4487782E-4,0.0011760527
802486479,3,1741276960306607190,6.6046324E-4,-9.203857E-4,1.107892E-4
802486489,3,1741276960316794430,-4.048003E-4,1.4487782E-4,0.0011760527
802486499,3,1741276960326994430,-0.0014700638,1.4487782E-4,0.0011760527
802486509,3,1741276960337194430,-4.048003E-4,0.0012101413,0.0011760527
802486520,3,1741276960347394430,-4.048003E-4,1.4487782E-4,0.0011760527
802486530,3,1741276960357594430,-0.0014700638,1.4487782E-4,0.0011760527
802486540,3,1741276960367794430,-4.048003E-4,1.4487782E-4,0.0011760527
802486550,3,1741276960377994430,-0.0014700638,1.4487782E-4,0.0011760527
802486560,3,1741276960388194430,-4.048003E-4,1.4487782E-4,0.0011760527
802486571,3,1741276960398394430,-4.048003E-4,1.4487782E-4,1.107892E-4
802486581,3,1741276960408594430,-4.048003E-4,-9.203857E-4,1.107892E-4
802486591,3,1741276960418794430,6.6046324E-4,1.4487782E-4,1.107892E-4
802486601,3,1741276960428994430,-4.048003E-4,1.4487782E-4,1.107892E-4
802486611,3,1741276960439194430,-4.048003E-4,1.4487782E-4,1.107892E-4
802486622,3,1741276960449394430,-4.048003E-4,1.4487782E-4,0.0022413163
802486632,3,1741276960459594430,6.6046324E-4,1.4487782E-4,0.0011760527
802486642,3,1741276960469794430,-4.048003E-4,1.4487782E-4,1.107892E-4
802486652,3,1741276960479994430,-4.048003E-4,-9.203857E-4,0.0011760527
802486662,3,1741276960490194430,6.6046324E-4,-9.203857E-4,0.0011760527
802486673,3,1741276960500394430,-4.048003E-4,1.4487782E-4,0.0011760527
802486683,3,1741276960510594430,-4.048003E-4,1.4487782E-4,1.107892E-4
802486693,3,1741276960520794430,-4.048003E-4,1.4487782E-4,0.0011760527
802486703,3,1741276960530994430,-4.048003E-4,1.4487782E-4,1.107892E-4
802486713,3,1741276960541194430,-0.0014700638,1.4487782E-4,0.0011760527
802486724,3,1741276960551394430,6.6046324E-4,1.4487782E-4,0.0022413163
802486734,3,1741276960561594430,-4.048003E-4,1.4487782E-4,1.107892E-4
802486744,3,1741276960571794430,-4.048003E-4,1.4487782E-4,0.0011760527
802486754,3,1741276960581994430,6.6046324E-4,1.4487782E-4,0.0011760527
802486764,3,1741276960592194430,-4.048003E-4,1.4487782E-4,0.0011760527
802486775,3,1741276960602394430,-4.048003E-4,0.0012101413,0.0022413163
802486785,3,1741276960612594430,-4.048003E-4,1.4487782E-4,0.0011760527
802486795,3,1741276960622794430,-4.048003E-4,1.4487782E-4,0.0011760527
802486805,3,1741276960632994430,-4.048003E-4,1.4487782E-4,0.0022413163
802486815,3,1741276960643194430,-4.048003E-4,1.4487782E-4,1.107892E-4
802486826,3,1741276960653394430,-4.048003E-4,1.4487782E-4,0.0011760527
802486836,3,1741276960663594430,-4.048003E-4,1.4487782E-4,0.0022413163
802486846,3,1741276960673794430,-4.048003E-4,1.4487782E-4,0.0011760527
802486856,3,1741276960683994430,6.6046324E-4,1.4487782E-4,0.0011760527
802486866,3,1741276960694194430,-0.0014700638,1.4487782E-4,0.0011760527
802486877,3,1741276960704394430,-4.048003E-4,1.4487782E-4,1.107892E-4
802486887,3,1741276960714594430,6.6046324E-4,1.4487782E-4,1.107892E-4
802486897,3,1741276960724794430,-4.048003E-4,0.0012101413,1.107892E-4
802486907,3,1741276960734994430,6.6046324E-4,1.4487782E-4,1.107892E-4
802486917,3,1741276960745194430,-4.048003E-4,0.0012101413,0.0011760527
802486928,3,1741276960755394430,6.6046324E-4,1.4487782E-4,0.0011760527
802486938,3,1741276960765594430,0.0017257268,1.4487782E-4,0.0011760527
802486948,3,1741276960775794430,6.6046324E-4,0.0012101413,0.0022413163
802486958,3,1741276960785994430,0.0017257268,0.0012101413,0.0011760527
802486968,3,1741276960796194430,6.6046324E-4,1.4487782E-4,0.0011760527
802486979,3,1741276960806394430,6.6046324E-4,1.4487782E-4,0.0011760527
802486988,3,1741276960816199847,-4.048003E-4,1.4487782E-4,0.0011760527
802486993,3,1741276960820908545,-4.048003E-4,1.4487782E-4,1.107892E-4
802487003,3,1741276960830739170,6.6046324E-4,1.4487782E-4,1.107892E-4
802487013,3,1741276960840595315,-4.048003E-4,1.4487782E-4,0.0011760527
802487023,3,1741276960850477867,6.6046324E-4,-9.203857E-4,1.107892E-4
802487033,3,1741276960860386930,6.6046324E-4,1.4487782E-4,0.0011760527
802487043,3,1741276960870322607,0.0017257268,1.4487782E-4,1.107892E-4
802487053,3,1741276960880284586,6.6046324E-4,1.4487782E-4,1.107892E-4
802487063,3,1741276960890270628,-4.048003E-4,1.4487782E-4,0.0011760527
802487073,3,1741276960900280263,0.0017257268,1.4487782E-4,1.107892E-4
802487083,3,1741276960910321045,-0.0014700638,1.4487782E-4,0.0011760527
802487093,3,1741276960920386670,-4.048003E-4,1.4487782E-4,1.107892E-4
802487103,3,1741276960930476461,6.6046324E-4,1.4487782E-4,0.0011760527
802487113,3,1741276960940589378,6.6046324E-4,0.0012101413,0.0011760527
802487123,3,1741276960950725367,6.6046324E-4,1.4487782E-4,1.107892E-4
802487133,3,1741276960960883909,-4.048003E-4,0.0012101413,0.0022413163
802487143,3,1741276960971063024,-4.048003E-4,1.4487782E-4,1.107892E-4
802487154,3,1741276960981263024,-4.048003E-4,1.4487782E-4,1.107892E-4
802487164,3,1741276960991463024,6.6046324E-4,0.002275405,0.0022413163
802487174,3,1741276961001663024,-4.048003E-4,1.4487782E-4,1.107892E-4
802487184,3,1741276961011863024,6.6046324E-4,1.4487782E-4,0.0011760527
802487194,3,1741276961022063024,-4.048003E-4,1.4487782E-4,0.0011760527
802487205,3,1741276961032263024,-4.048003E-4,1.4487782E-4,1.107892E-4
802487215,3,1741276961042463024,6.6046324E-4,1.4487782E-4,0.0011760527
802487225,3,1741276961052663024,6.6046324E-4,1.4487782E-4,1.107892E-4
802487235,3,1741276961062863024,6.6046324E-4,1.4487782E-4,1.107892E-4
802487245,3,1741276961073063024,-4.048003E-4,1.4487782E-4,0.0011760527
802487256,3,1741276961083263024,-4.048003E-4,1.4487782E-4,0.0022413163
802487266,3,1741276961093463024,-4.048003E-4,1.4487782E-4,1.107892E-4
802487276,3,1741276961103663024,6.6046324E-4,1.4487782E-4,0.0011760527
802487286,3,1741276961113863024,6.6046324E-4,1.4487782E-4,0.0011760527
802487296,3,1741276961124063024,-0.0014700638,1.4487782E-4,0.0011760527
802487307,3,1741276961134263024,-4.048003E-4,1.4487782E-4,1.107892E-4
802487317,3,1741276961144463024,-4.048003E-4,1.4487782E-4,0.0011760527
802487327,3,1741276961154663024,-4.048003E-4,1.4487782E-4,0.0011760527
802487337,3,1741276961164863024,-4.048003E-4,0.0012101413,0.0022413163
802487347,3,1741276961175063024,-4.048003E-4,1.4487782E-4,1.107892E-4
802487358,3,1741276961185263024,-4.048003E-4,1.4487782E-4,1.107892E-4
802487368,3,1741276961195463024,-4.048003E-4,-9.203857E-4,0.0011760527
802487378,3,1741276961205663024,6.6046324E-4,1.4487782E-4,1.107892E-4
802487388,3,1741276961215863024,6.6046324E-4,1.4487782E-4,0.0011760527
802487398,3,1741276961226063024,-4.048003E-4,1.4487782E-4,0.0022413163
802487409,3,1741276961236263024,-4.048003E-4,1.4487782E-4,0.0011760527
802487419,3,1741276961246463024,-4.048003E-4,1.4487782E-4,1.107892E-4
802487429,3,1741276961256663024,-4.048003E-4,1.4487782E-4,0.0011760527
802487439,3,1741276961266863024,6.6046324E-4,0.0012101413,0.0011760527
802487449,3,1741276961277063024,6.6046324E-4,0.0012101413,1.107892E-4
802487460,3,1741276961287263024,-4.048003E-4,1.4487782E-4,1.107892E-4
802487470,3,1741276961297463024,-4.048003E-4,1.4487782E-4,1.107892E-4
802487480,3,1741276961307479065,-4.048003E-4,1.4487782E-4,0.0011760527
802487490,3,1741276961317501565,-4.048003E-4,0.0012101413,0.0011760527
802487500,3,1741276961327525263,0.0017257268,1.4487782E-4,0.0011760527
802487510,3,1741276961337549847,6.6046324E-4,1.4487782E-4,0.0011760527
802487520,3,1741276961347575055,-4.048003E-4,0.0012101413,1.107892E-4
802487530,3,1741276961357380472,-0.0014700638,1.4487782E-4,1.107892E-4
