gyro_s003_002 QTI-Gyroscope-Uncalibrated Non-wakeup,TDK-Invensense,2025-03-06_19-02-36.207_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel2_uncal_x[rad/s],ang_vel2_uncal_y[rad/s],ang_vel2_uncal_z[rad/s],ang_vel2_drift_x[rad/s],ang_vel2_drift_y[rad/s],ang_vel2_drift_z[rad/s]
802486090,3,1741276959917995315,-0.0037923334,-0.0011717929,5.539395E-4,-0.0044527967,-0.0013166707,0.0015084138
802486100,3,1741276959928005211,-0.004857597,-0.0011717929,0.0026844665,-0.0044527967,-0.0013166707,0.0015084138
802486110,3,1741276959937806670,-0.004857597,-0.0011717929,0.001619203,-0.0044527967,-0.0013166707,0.0015084138
802486120,3,1741276959947608180,-0.0037923334,-0.0011717929,0.001619203,-0.0044527967,-0.0013166707,0.0015084138
802486130,3,1741276959957410472,-0.0037923334,-0.0011717929,0.0026844665,-0.0044527967,-0.0013166707,0.0015084138
802486139,3,1741276959967213857,-0.0037923334,-0.0022370564,0.0026844665,-0.0044527967,-0.0013166707,0.0015084138
802486149,3,1741276959977018232,-0.004857597,-0.0011717929,0.00374973,-0.0044527967,-0.0013166707,0.0015084138
802486159,3,1741276959986825836,-0.004857597,-1.0652933E-4,0.0026844665,-0.0044527967,-0.0013166707,0.0015084138
802486169,3,1741276959996636930,-0.0037923334,-1.0652933E-4,0.00374973,-0.0044527967,-0.0013166707,0.0015084138
802486179,3,1741276960006452086,-0.004857597,-0.0011717929,0.001619203,-0.0044527967,-0.0013166707,0.0015084138
802486189,3,1741276960016277711,-0.004857597,-0.0011717929,0.0026844665,-0.0044527967,-0.0013166707,0.0015084138
802486198,3,1741276960026107711,-0.004857597,-0.0011717929,0.0026844665,-0.0044527967,-0.0013166707,0.0015084138
802486208,3,1741276960035943440,-0.0059228605,-0.0011717929,0.0026844665,-0.0044527967,-0.0013166707,0.0015084138
802486218,3,1741276960045785576,-0.004857597,-0.0011717929,0.0026844665,-0.0044527967,-0.0013166707,0.0015084138
802486228,3,1741276960055634586,-0.0037923334,-0.0011717929,0.001619203,-0.0044527967,-0.0013166707,0.0015084138
802486238,3,1741276960065491565,-0.0037923334,-0.0011717929,5.539395E-4,-0.0044527967,-0.0013166707,0.0015084138
802486248,3,1741276960075357190,-0.004857597,-1.0652933E-4,0.0026844665,-0.0044527967,-0.0013166707,0.0015084138
802486258,3,1741276960085233909,-0.0037923334,-0.0011717929,0.001619203,-0.0044527967,-0.0013166707,0.0015084138
802486267,3,1741276960095122711,-0.004857597,-0.0011717929,0.001619203,-0.0044527967,-0.0013166707,0.0015084138
802486277,3,1741276960105021565,-0.0037923334,-0.0011717929,0.0026844665,-0.0044527967,-0.0013166707,0.0015084138
802486287,3,1741276960114936565,-0.0059228605,-0.0011717929,0.0026844665,-0.0044527967,-0.0013166707,0.0015084138
802486297,3,1741276960124861461,-0.0037923334,-1.0652933E-4,0.0026844665,-0.0044527967,-0.0013166707,0.0015084138
802486307,3,1741276960134828909,-0.0037923334,-0.0011717929,5.539395E-4,-0.0044527967,-0.0013166707,0.0015084138
802486317,3,1741276960144838284,-0.0037923334,-0.0011717929,0.001619203,-0.0044527967,-0.0013166707,0.0015084138
802486327,3,1741276960154852503,-0.0037923334,-0.0011717929,0.0026844665,-0.0044527967,-0.0013166707,0.0015084138
802486337,3,1741276960164866722,-0.0037923334,-0.0011717929,0.001619203,-0.0044527967,-0.0013166707,0.0015084138
802486347,3,1741276960174890367,-0.00272707,-1.0652933E-4,0.001619203,-0.0044527967,-0.0013166707,0.0015084138
802486357,3,1741276960184956565,-0.004857597,-1.0652933E-4,0.0026844665,-0.0044527967,-0.0013166707,0.0015084138
802486367,3,1741276960195064951,-0.0037923334,-0.0011717929,0.001619203,-0.0044527967,-0.0013166707,0.0015084138
802486377,3,1741276960205180784,-0.004857597,-0.0011717929,0.001619203,-0.0044527967,-0.0013166707,0.0015084138
802486388,3,1741276960215296617,-0.004857597,-0.0011717929,0.001619203,-0.0044527967,-0.0013166707,0.0015084138
802486398,3,1741276960225416565,-0.004857597,-0.0011717929,0.00374973,-0.0044527967,-0.0013166707,0.0015084138
802486408,3,1741276960235536513,-0.004857597,-0.0011717929,0.0026844665,-0.0044527967,-0.0013166707,0.0015084138
802486418,3,1741276960245664170,-0.0037923334,-1.0652933E-4,0.0026844665,-0.0044527967,-0.0013166707,0.0015084138
802486428,3,1741276960255800367,-0.0037923334,-0.0022370564,0.0026844665,-0.0044527967,-0.0013166707,0.0015084138
802486438,3,1741276960265945732,-0.004857597,-0.0011717929,0.0026844665,-0.0044527967,-0.0013166707,0.0015084138
802486448,3,1741276960276099690,-0.004857597,-0.0022370564,0.0026844665,-0.0044527967,-0.0013166707,0.0015084138
802486459,3,1741276960286261930,-0.004857597,-0.0011717929,0.001619203,-0.0044527967,-0.0013166707,0.0015084138
