pedometer  Non-wakeup,huawei,2025-03-06_19-02-36.207_TGW
imuTimestamp,accuracy(more=better),unknown
800927562,3,1151.0
802516562,3,1152.0
802517062,3,1155.0
802517562,3,1158.0
802518062,3,1160.0
802518562,3,1162.0
802519062,3,1164.0
802519562,3,1166.0
802520062,3,1168.0
802520562,3,1170.0
802521062,3,1172.0
802521562,3,1174.0
802522062,3,1175.0
802522562,3,1177.0
802523062,3,1180.0
802523562,3,1182.0
802524062,3,1183.0
802525062,3,1184.0
802526062,3,1185.0
802526562,3,1186.0
802527562,3,1188.0
802528562,3,1189.0
802529562,3,1190.0
802530062,3,1191.0
802531062,3,1192.0
802532062,3,1194.0
802532562,3,1196.0
802533562,3,1197.0
802625062,3,1198.0
802625562,3,1201.0
802626062,3,1203.0
802626562,3,1204.0
802627062,3,1206.0
802627562,3,1208.0
802628062,3,1209.0
802628562,3,1211.0
802629562,3,1212.0
802630062,3,1213.0
802657062,3,1215.0
802657562,3,1217.0
802658062,3,1219.0
802658562,3,1221.0
802659062,3,1223.0
802659562,3,1225.0
802660062,3,1227.0
802660562,3,1229.0
802661062,3,1231.0
802661562,3,1233.0
802662062,3,1235.0
802662562,3,1237.0
802663062,3,1239.0
802664562,3,1240.0
802665562,3,1242.0
802666062,3,1244.0
802667562,3,1246.0
802669062,3,1248.0
802670062,3,1249.0
802671062,3,1251.0
