pedometer  Non-wakeup,huawei,2025-03-06_19-02-36.207_TGW
imuTimestamp,accuracy(more=better),unknown
802516562,3,1.0
802517062,3,1.0
802517562,3,1.0
802518062,3,1.0
802518562,3,1.0
802519062,3,1.0
802519562,3,1.0
802520062,3,1.0
802520562,3,1.0
802521062,3,1.0
802521562,3,1.0
802522062,3,1.0
802522562,3,1.0
802523062,3,1.0
802523562,3,1.0
802524062,3,1.0
802525062,3,1.0
802526062,3,1.0
802526562,3,1.0
802527562,3,1.0
802528562,3,1.0
802529562,3,1.0
802530062,3,1.0
802531062,3,1.0
802532062,3,1.0
802532562,3,1.0
802533562,3,1.0
802625062,3,1.0
802625562,3,1.0
802626062,3,1.0
802626562,3,1.0
802627062,3,1.0
802627562,3,1.0
802628062,3,1.0
802628562,3,1.0
802629562,3,1.0
802630062,3,1.0
802657062,3,1.0
802657562,3,1.0
802658062,3,1.0
802658562,3,1.0
802659062,3,1.0
802659562,3,1.0
802660062,3,1.0
802660562,3,1.0
802661062,3,1.0
802661562,3,1.0
802662062,3,1.0
802662562,3,1.0
802663062,3,1.0
802664562,3,1.0
802665562,3,1.0
802666062,3,1.0
802667562,3,1.0
802669062,3,1.0
802670062,3,1.0
802671062,3,1.0
