acc_s001_004 Accelerometer Non-wakeup,STMicro,2025-03-06_18-50-19.416_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc_x[m/s^2],acc_y[m/s^2],acc_z[m/s^2]
801748780,3,1741276222608197467,0.10348958,-9.7681,0.1794617
801748790,3,1741276222618238978,0.106480606,-9.757631,0.18364914
801748800,3,1741276222628279603,0.1055833,-9.760324,0.17497516
801748810,3,1741276222638321998,0.10139586,-9.767502,0.18424734
801748820,3,1741276222648363509,0.10707881,-9.769297,0.16749759
801748831,3,1741276222658405905,0.109471634,-9.771689,0.18305093
801748841,3,1741276222668447415,0.08644072,-9.7681,0.18095721
801748851,3,1741276222678468613,0.104087785,-9.7654085,0.16271193
801748861,3,1741276222688474446,0.115752794,-9.763314,0.18065812
801748871,3,1741276222698622363,0.1055833,-9.760324,0.1896312
801748881,3,1741276222708605540,0.11096715,-9.762118,0.19680966
801748891,3,1741276222718589707,0.09810573,-9.755538,0.19591236
801748901,3,1741276222728575228,0.1061815,-9.768997,0.180359
801748911,3,1741276222738559290,0.10857433,-9.755538,0.19651055
801748921,3,1741276222748544915,0.116650105,-9.759426,0.1902294
801748931,3,1741276222758529863,0.1160519,-9.763913,0.19262223
801748941,3,1741276222768515488,0.09720842,-9.762716,0.18514465
801748951,3,1741276222778500332,0.10079765,-9.764511,0.19172491
801748961,3,1741276222788485175,0.09212367,-9.7609215,0.18484555
801748971,3,1741276222798470123,0.10049855,-9.757631,0.19322042
801748981,3,1741276222808455748,0.102592275,-9.766904,0.18125631
801748991,3,1741276222818440592,0.10917253,-9.764811,0.18454644
801749001,3,1741276222828425540,0.095413804,-9.765707,0.18544376
801749011,3,1741276222838411165,0.10767702,-9.768399,0.20219351
801749020,3,1741276222848396009,0.10797612,-9.75494,0.1902294
801749030,3,1741276222858380853,0.10797612,-9.7681,0.1911267
801749040,3,1741276222868365800,0.10797612,-9.766904,0.19381863
801749050,3,1741276222878351425,0.097806625,-9.773185,0.1893321
801749060,3,1741276222888336269,0.101694964,-9.7681,0.1893321
801749070,3,1741276222898321009,0.115752794,-9.766306,0.19202402
801749080,3,1741276222908305123,0.104985096,-9.771689,0.19800608
801749090,3,1741276222918291530,0.109471634,-9.75165,0.19172491
801749100,3,1741276222928276373,0.10707881,-9.7609215,0.19142582
801749110,3,1741276222938261113,0.10289137,-9.769895,0.19950159
801749120,3,1741276222948245228,0.101694964,-9.76152,0.19920248
801749130,3,1741276222958231634,0.11694921,-9.766904,0.19680966
801749140,3,1741276222968216582,0.10707881,-9.766006,0.19800608
801749150,3,1741276222978202207,0.10737792,-9.760324,0.19591236
801749160,3,1741276222988187050,0.09571291,-9.75494,0.19471595
801749170,3,1741276222998171894,0.09840483,-9.764212,0.21026929
801749180,3,1741276223008156842,0.10857433,-9.765109,0.19381863
801749190,3,1741276223018142467,0.10049855,-9.764212,0.19351953
801749200,3,1741276223028127311,0.09990034,-9.764511,0.20638095
801749210,3,1741276223038112155,0.12023934,-9.756136,0.19322042
801749220,3,1741276223048097103,0.09990034,-9.75823,0.20129621
801749230,3,1741276223058082728,0.0951147,-9.761819,0.20309082
801749240,3,1741276223068067571,0.10977074,-9.773185,0.19651055
801749250,3,1741276223078052519,0.109471634,-9.768997,0.20309082
