acc_s001_004 Accelerometer-Uncalibrated Non-wakeup,STMicro,2025-03-06_18-50-19.416_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc_uncal_x[m/s^2],acc_uncal_y[m/s^2],acc_uncal_z[m/s^2],acc_bias_x[m/s^2],acc_bias_y[m/s^2],acc_bias_z[m/s^2]
801748800,3,1741276222628279603,0.1055833,-9.760324,0.17497516,0.0,0.0,0.0
801748810,3,1741276222638321998,0.10139586,-9.767502,0.18424734,0.0,0.0,0.0
801748820,3,1741276222648363509,0.10707881,-9.769297,0.16749759,0.0,0.0,0.0
801748831,3,1741276222658405905,0.109471634,-9.771689,0.18305093,0.0,0.0,0.0
801748841,3,1741276222668447415,0.08644072,-9.7681,0.18095721,0.0,0.0,0.0
801748851,3,1741276222678468613,0.104087785,-9.7654085,0.16271193,0.0,0.0,0.0
801748861,3,1741276222688474446,0.115752794,-9.763314,0.18065812,0.0,0.0,0.0
801748871,3,1741276222698622363,0.1055833,-9.760324,0.1896312,0.0,0.0,0.0
801748881,3,1741276222708605540,0.11096715,-9.762118,0.19680966,0.0,0.0,0.0
801748891,3,1741276222718589707,0.09810573,-9.755538,0.19591236,0.0,0.0,0.0
801748901,3,1741276222728575228,0.1061815,-9.768997,0.180359,0.0,0.0,0.0
801748911,3,1741276222738559290,0.10857433,-9.755538,0.19651055,0.0,0.0,0.0
801748921,3,1741276222748544915,0.116650105,-9.759426,0.1902294,0.0,0.0,0.0
801748931,3,1741276222758529863,0.1160519,-9.763913,0.19262223,0.0,0.0,0.0
801748941,3,1741276222768515488,0.09720842,-9.762716,0.18514465,0.0,0.0,0.0
801748951,3,1741276222778500332,0.10079765,-9.764511,0.19172491,0.0,0.0,0.0
801748961,3,1741276222788485175,0.09212367,-9.7609215,0.18484555,0.0,0.0,0.0
801748971,3,1741276222798470123,0.10049855,-9.757631,0.19322042,0.0,0.0,0.0
801748981,3,1741276222808455748,0.102592275,-9.766904,0.18125631,0.0,0.0,0.0
801748991,3,1741276222818440592,0.10917253,-9.764811,0.18454644,0.0,0.0,0.0
801749001,3,1741276222828425540,0.095413804,-9.765707,0.18544376,0.0,0.0,0.0
801749011,3,1741276222838411165,0.10767702,-9.768399,0.20219351,0.0,0.0,0.0
801749020,3,1741276222848396009,0.10797612,-9.75494,0.1902294,0.0,0.0,0.0
801749030,3,1741276222858380853,0.10797612,-9.7681,0.1911267,0.0,0.0,0.0
801749040,3,1741276222868365800,0.10797612,-9.766904,0.19381863,0.0,0.0,0.0
801749050,3,1741276222878351425,0.097806625,-9.773185,0.1893321,0.0,0.0,0.0
801749060,3,1741276222888336269,0.101694964,-9.7681,0.1893321,0.0,0.0,0.0
801749070,3,1741276222898321009,0.115752794,-9.766306,0.19202402,0.0,0.0,0.0
