Game Rotation Vector  Non-wakeup,QTI,2025-03-06_18-50-19.416_TGW
imuTimestamp,accuracy(more=better), w, x, y, z
801749059,3,-0.49274775,-0.4976299,0.5023589,0.50714856
801749069,3,-0.49259207,-0.49764144,0.50234604,0.50730115
801749079,3,-0.49242765,-0.49778765,0.50220114,0.5074609
801749089,3,-0.4923448,-0.49774832,0.50223887,0.50754243
801749099,3,-0.4923279,-0.4977816,0.502206,0.50755864
801749109,3,-0.49233148,-0.49778083,0.5022069,0.5075551
801749119,3,-0.49231246,-0.49775696,0.5022301,0.50757396
801749129,3,-0.49230978,-0.49772838,0.5022581,0.5075769
801749139,3,-0.49225396,-0.49773937,0.502247,0.5076315
801749149,3,-0.49224105,-0.49773368,0.5022523,0.5076442
801749159,3,-0.49222556,-0.49773157,0.50225425,0.5076593
801749169,3,-0.49225602,-0.49771354,0.5022723,0.5076297
801749179,3,-0.4922269,-0.49766418,0.5023204,0.50765866
801749189,3,-0.4922244,-0.49768052,0.5023043,0.507661
801749199,3,-0.49224156,-0.49767378,0.502311,0.50764424
801749209,3,-0.49223617,-0.49765527,0.50232923,0.5076497
801749219,3,-0.49221486,-0.4976739,0.50231063,0.50767034
801749229,3,-0.49220225,-0.49767402,0.5023104,0.5076827
801749239,3,-0.4922137,-0.49764726,0.50233674,0.5076717
801749249,3,-0.49220762,-0.49765223,0.50233185,0.5076777
801749259,3,-0.4921962,-0.49765357,0.5023304,0.5076888
801749269,3,-0.49219295,-0.49764302,0.50234085,0.5076921
801749279,3,-0.49217892,-0.4976435,0.50234014,0.5077058
801749289,3,-0.49216574,-0.49763504,0.50234854,0.5077188
801749299,3,-0.4921362,-0.4976354,0.5023477,0.5077477
801749309,3,-0.4921171,-0.49763638,0.5023465,0.5077664
801749319,3,-0.4921179,-0.49763086,0.50235194,0.50776565
801749329,3,-0.4921202,-0.49762404,0.50235873,0.50776345
801749339,3,-0.49212977,-0.49761513,0.5023676,0.5077542
801749349,3,-0.4921288,-0.4976119,0.5023707,0.50775516
801749359,3,-0.492123,-0.49760982,0.50237274,0.5077609
801749369,3,-0.49211514,-0.49762294,0.5023597,0.50776845
801749379,3,-0.49211472,-0.4976265,0.5023562,0.5077688
801749389,3,-0.49211136,-0.4976309,0.50235194,0.5077721
801749399,3,-0.4921147,-0.49763075,0.50235206,0.5077688
801749409,3,-0.49210337,-0.4976281,0.50235456,0.5077799
801749419,3,-0.49211007,-0.49763682,0.50234604,0.5077733
801749429,3,-0.4921031,-0.49763533,0.5023476,0.5077801
801749439,3,-0.49210274,-0.49764425,0.50233877,0.5077803
801749449,3,-0.4920972,-0.49763963,0.5023433,0.50778586
801749459,3,-0.49209148,-0.49764287,0.50233996,0.5077914
801749469,3,-0.492081,-0.49763846,0.50234413,0.5078017
801749479,3,-0.49208182,-0.4976326,0.50235003,0.50780094
801749489,3,-0.49207684,-0.49763897,0.50234365,0.5078057
801749498,3,-0.49206984,-0.49763936,0.5023432,0.5078126
801749508,3,-0.49206293,-0.4976358,0.50234663,0.5078194
801749518,3,-0.492063,-0.49763563,0.50234675,0.50781935
801749528,3,-0.4920587,-0.49763295,0.50234926,0.5078235
801749538,3,-0.4920612,-0.49763703,0.5023454,0.5078211
801749548,3,-0.49206337,-0.49763945,0.5023431,0.50781894
801749558,3,-0.49205348,-0.49763685,0.5023455,0.50782865
801749568,3,-0.4920567,-0.49764404,0.50233847,0.5078254
801749578,3,-0.49206132,-0.4976492,0.5023335,0.5078209
801749588,3,-0.49205834,-0.49764773,0.50233495,0.50782377
801749598,3,-0.49205315,-0.4976483,0.50233424,0.50782883
801749608,3,-0.49204797,-0.49764803,0.50233454,0.50783396
801749618,3,-0.4920492,-0.497644,0.50233847,0.50783277
801749628,3,-0.49204597,-0.49764186,0.5023406,0.5078359
801749638,3,-0.4920406,-0.49763674,0.50234556,0.5078412
801749648,3,-0.49203783,-0.49763516,0.50234705,0.5078439
801749658,3,-0.4920357,-0.49763486,0.5023473,0.50784606
801749668,3,-0.49203765,-0.49762663,0.50235546,0.5078442
801749678,3,-0.4920333,-0.49762225,0.5023596,0.5078485
801749688,3,-0.49203673,-0.49762455,0.5023574,0.50784516
801749698,3,-0.4920352,-0.49762636,0.50235564,0.5078466
801749708,3,-0.49203253,-0.49763137,0.50235075,0.5078492
801749718,3,-0.49202746,-0.49762046,0.50236124,0.5078542
801749728,3,-0.492034,-0.4976134,0.50236833,0.5078479
801749738,3,-0.49203968,-0.4976166,0.50236535,0.5078423
801749748,3,-0.49203983,-0.49761596,0.50236595,0.5078422
801749758,3,-0.4920351,-0.49760905,0.5023727,0.5078469
801749768,3,-0.4920335,-0.4976045,0.50237703,0.5078485
801749778,3,-0.49203485,-0.49759844,0.502383,0.5078472
801749788,3,-0.49203494,-0.49759802,0.5023834,0.50784713
801749798,3,-0.49202874,-0.49759606,0.5023853,0.5078532
801749808,3,-0.4920213,-0.49759373,0.5023875,0.50786054
801749818,3,-0.49201724,-0.49759406,0.50238705,0.5078645
801749828,3,-0.49201745,-0.49759242,0.50238883,0.5078643
801749838,3,-0.4920157,-0.49758995,0.5023912,0.507866
801749848,3,-0.49201593,-0.49759576,0.50238556,0.5078658
801749858,3,-0.4920176,-0.497596,0.5023853,0.5078641
801749868,3,-0.49201867,-0.49759874,0.5023825,0.50786304
801749878,3,-0.49202082,-0.49759743,0.5023838,0.50786096
801749888,3,-0.49201572,-0.497602,0.50237936,0.5078659
801749898,3,-0.49201024,-0.4976007,0.50238055,0.50787127
801749908,3,-0.49200842,-0.49760044,0.50238085,0.50787306
801749918,3,-0.491998,-0.49759766,0.50238353,0.5078833
801749928,3,-0.49199885,-0.49759814,0.502383,0.5078824
801749938,3,-0.49199447,-0.49759552,0.5023856,0.50788677
801749948,3,-0.4919897,-0.49759495,0.502386,0.5078914
801749958,3,-0.49198824,-0.49759004,0.502391,0.5078929
801749968,3,-0.4919898,-0.49759078,0.50239015,0.50789136
801749978,3,-0.4919954,-0.4975968,0.5023842,0.5078858
801749988,3,-0.4919965,-0.49760482,0.5023765,0.5078847
801749998,3,-0.49198475,-0.49760675,0.5023743,0.5078961
801750008,3,-0.49198657,-0.497605,0.50237614,0.5078944
801750018,3,-0.49199003,-0.49760467,0.50237656,0.507891
801750028,3,-0.4919903,-0.49759507,0.502386,0.5078908
801750038,3,-0.4919843,-0.4975952,0.5023857,0.50789666
801750048,3,-0.4919863,-0.49758968,0.50239116,0.5078948
801750058,3,-0.49198765,-0.49759337,0.5023875,0.50789344
801750068,3,-0.49198443,-0.4975955,0.50238544,0.5078966
801750078,3,-0.4919872,-0.49759743,0.5023836,0.50789386
801750088,3,-0.491993,-0.49759534,0.5023857,0.5078882
801750098,3,-0.4919889,-0.49759495,0.502386,0.5078922
801750108,3,-0.49199042,-0.49759787,0.5023833,0.5078907
801750118,3,-0.49198458,-0.4975969,0.502384,0.5078964
801750128,3,-0.4919822,-0.4975965,0.5023844,0.50789875
801750138,3,-0.4919834,-0.49759674,0.5023842,0.50789756
801750148,3,-0.4919835,-0.49759316,0.50238776,0.5078975
801750158,3,-0.4919772,-0.49759564,0.5023852,0.50790364
801750167,3,-0.4919846,-0.4975965,0.5023845,0.5078964
801750177,3,-0.49198607,-0.49759609,0.50238484,0.50789493
801750187,3,-0.49198604,-0.49759513,0.50238585,0.507895
801750197,3,-0.49198496,-0.49759156,0.50238925,0.50789607
801750207,3,-0.49198323,-0.49758792,0.5023927,0.5078978
801750217,3,-0.49198562,-0.49759108,0.5023897,0.5078954
801750227,3,-0.4919873,-0.49759054,0.50239027,0.50789386
801750237,3,-0.49198687,-0.49759102,0.50238985,0.5078942
801750247,3,-0.4919744,-0.49758393,0.50239664,0.50790644
801750257,3,-0.49198112,-0.49758893,0.502392,0.5078999
801750267,3,-0.49197683,-0.49758413,0.5023964,0.5079041
801750277,3,-0.49197194,-0.49758688,0.5023937,0.5079089
801750287,3,-0.49197033,-0.4975853,0.5023953,0.50791043
801750297,3,-0.4919716,-0.497585,0.5023956,0.5079092
801750307,3,-0.49197257,-0.4975858,0.50239486,0.5079083
801750317,3,-0.49197513,-0.49758285,0.5023977,0.5079058
801750327,3,-0.49197853,-0.49757776,0.50240284,0.5079025
801750337,3,-0.49198392,-0.49756876,0.5024116,0.5078973
801750347,3,-0.4919818,-0.49756378,0.5024165,0.50789946
801750357,3,-0.4919853,-0.49756086,0.5024194,0.50789607
801750367,3,-0.4919808,-0.49755397,0.5024261,0.50790054
801750377,3,-0.49197978,-0.49755368,0.5024265,0.5079015
801750387,3,-0.49197343,-0.49755678,0.50242335,0.50790775
801750397,3,-0.49196744,-0.49755862,0.5024215,0.50791353
801750407,3,-0.49196595,-0.49755475,0.5024253,0.507915
801750417,3,-0.49196818,-0.49755284,0.50242716,0.5079129
801750427,3,-0.49196878,-0.49755192,0.50242805,0.5079123
801750437,3,-0.4919696,-0.4975583,0.50242174,0.50791144
801750447,3,-0.49197233,-0.49755806,0.50242203,0.50790876
801750457,3,-0.4919741,-0.49755836,0.5024217,0.50790703
801750467,3,-0.491973,-0.49755612,0.50242394,0.5079081
801750477,3,-0.49197415,-0.49755242,0.5024277,0.50790703
801750487,3,-0.4919696,-0.49755508,0.502425,0.5079115
801750497,3,-0.49196872,-0.49755058,0.50242937,0.5079124
801750507,3,-0.49196717,-0.49754858,0.5024313,0.5079139
801750517,3,-0.49196133,-0.49755007,0.5024298,0.5079196
801750527,3,-0.49196398,-0.49754584,0.5024339,0.5079171
801750537,3,-0.4919681,-0.49754933,0.5024306,0.507913
801750547,3,-0.4919651,-0.4975499,0.50243,0.5079159
801750557,3,-0.49196398,-0.497548,0.5024318,0.507917
801750567,3,-0.49196938,-0.49755052,0.50242937,0.50791174
801750577,3,-0.49196875,-0.49755403,0.5024259,0.5079123
801750587,3,-0.49196896,-0.49755847,0.5024216,0.50791204
801750597,3,-0.49197054,-0.4975597,0.5024205,0.50791055
801750607,3,-0.4919737,-0.4975563,0.5024237,0.50790745
801750617,3,-0.4919755,-0.4975523,0.50242776,0.5079057
801750627,3,-0.49197733,-0.49755585,0.5024243,0.5079039
801750637,3,-0.49197438,-0.49755636,0.50242376,0.5079068
801750647,3,-0.49197093,-0.49755937,0.5024207,0.50791013
801750657,3,-0.49197912,-0.49756366,0.5024167,0.5079021
801750667,3,-0.4919834,-0.49756706,0.50241333,0.50789785
801750677,3,-0.49198896,-0.49757272,0.5024078,0.5078924
801750687,3,-0.49198282,-0.49758276,0.5023979,0.5078983
801750697,3,-0.49198112,-0.49758288,0.5023977,0.50789994
801750707,3,-0.49197873,-0.49758315,0.5023975,0.50790226
801750717,3,-0.49198362,-0.49758393,0.50239664,0.5078975
801750727,3,-0.49198598,-0.49759126,0.5023896,0.5078951
801750737,3,-0.49198827,-0.49759406,0.5023869,0.50789285
801750747,3,-0.49198806,-0.4975947,0.5023862,0.507893
801750757,3,-0.49199036,-0.49759102,0.50238997,0.50789076
801750767,3,-0.49198747,-0.49758962,0.50239116,0.5078936
