gravity  Non-wakeup,QTI,2025-03-06_18-50-19.416_TGW
imuTimestamp,accuracy(more=better),grav_x[m/s^2],grav_y[m/s^2],grav_z[m/s^2]
801749079,3,0.10414718,-9.804242,0.19069067
801749089,3,0.10500305,-9.804189,0.19305786
801749099,3,0.10597685,-9.804183,0.19273344
801749109,3,0.10589186,-9.804186,0.19268124
801749119,3,0.10580078,-9.80417,0.19351286
801749129,3,0.10530084,-9.804163,0.19412355
801749139,3,0.10660202,-9.804132,0.19498886
801749149,3,0.10674345,-9.804124,0.19534673
801749159,3,0.107004344,-9.804112,0.19568753
801749169,3,0.10606164,-9.804128,0.19545357
801749179,3,0.105675586,-9.804102,0.19697839
801749189,3,0.1060408,-9.804104,0.19670668
801749199,3,0.10557611,-9.804113,0.19650556
801749209,3,0.1053235,-9.804107,0.19697294
801749219,3,0.10609831,-9.804097,0.1970185
801749229,3,0.106346,-9.80409,0.19725998
801749239,3,0.10560443,-9.8040905,0.19756156
801749249,3,0.105820835,-9.804089,0.19758193
801749259,3,0.10606959,-9.804081,0.19777696
801749269,3,0.105927944,-9.804078,0.19804683
801749279,3,0.10621045,-9.8040695,0.19830589
801749289,3,0.106303826,-9.804061,0.19872954
801749299,3,0.106887534,-9.804043,0.19928882
801749309,3,0.107279114,-9.80403,0.19963866
801749319,3,0.107156046,-9.80403,0.19973096
801749329,3,0.10697867,-9.80403,0.1998195
801749339,3,0.10662063,-9.804035,0.1998114
801749349,3,0.10657736,-9.804033,0.19989169
801749359,3,0.10665035,-9.804029,0.20004526
801749369,3,0.10705747,-9.804028,0.19993879
801749379,3,0.107134335,-9.804028,0.19987684
801749389,3,0.10728455,-9.804026,0.19985735
801749399,3,0.10721713,-9.804028,0.19979592
801749409,3,0.10738556,-9.804021,0.20006616
801749419,3,0.10742432,-9.804028,0.19976722
801749429,3,0.10753019,-9.804023,0.1999328
801749439,3,0.10770899,-9.804023,0.19976397
801749449,3,0.10772952,-9.80402,0.19996156
801749459,3,0.10790379,-9.804017,0.20000759
801749469,3,0.108023405,-9.804009,0.20029593
801749479,3,0.10789277,-9.8040085,0.20039555
801749489,3,0.10811213,-9.804007,0.20036621
801749498,3,0.10825794,-9.804003,0.20049328
801749508,3,0.108323075,-9.803998,0.20069759
801749518,3,0.10831891,-9.803999,0.20069842
801749528,3,0.108350016,-9.803995,0.20083207
801749538,3,0.10838142,-9.803998,0.20070495
801749548,3,0.10838473,-9.803999,0.20061842
801749558,3,0.108528085,-9.803992,0.20085847
801749568,3,0.1086034,-9.803995,0.2006551
801749578,3,0.10861454,-9.804,0.20046744
801749588,3,0.10864283,-9.803997,0.20055321
801749598,3,0.108755015,-9.803994,0.20064008
801749608,3,0.10885201,-9.80399,0.20074873
801749618,3,0.108750485,-9.803991,0.20080207
801749628,3,0.10877064,-9.803988,0.2009069
801749638,3,0.10877651,-9.803985,0.20110992
801749648,3,0.10879884,-9.803982,0.20119402
801749658,3,0.10883591,-9.803981,0.20124088
801749668,3,0.108638495,-9.803981,0.20136407
801749678,3,0.10863923,-9.803977,0.20153132
801749688,3,0.108617015,-9.80398,0.20142311
801749698,3,0.108681194,-9.803979,0.20141496
801749708,3,0.10883059,-9.803978,0.2013712
801749718,3,0.10871803,-9.803974,0.20167857
