gyro_s001_004 Gyroscope Non-wakeup,STMicro,2025-03-06_18-50-19.416_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s]
801748981,3,1741276222808933092,0.0010690134,1.527162E-4,-3.054324E-4
801748991,3,1741276222818917936,-9.162972E-4,9.162972E-4,-1.527162E-4
801749001,3,1741276222828902936,0.0,-1.527162E-4,-0.0
801749011,3,1741276222838888509,-0.0,4.581486E-4,4.581486E-4
801749021,3,1741276222848873353,-3.054324E-4,4.581486E-4,-3.054324E-4
801749031,3,1741276222858858196,7.6358096E-4,0.0,-4.581486E-4
801749041,3,1741276222868843196,7.6358096E-4,1.527162E-4,-4.581486E-4
801749051,3,1741276222878828769,3.054324E-4,-1.527162E-4,-4.581486E-4
801749061,3,1741276222888813613,-9.162972E-4,0.0,-3.054324E-4
801749071,3,1741276222898798300,-3.054324E-4,0.0,1.527162E-4
801749081,3,1741276222908782571,-1.527162E-4,-3.054324E-4,1.527162E-4
801749091,3,1741276222918768873,1.527162E-4,0.0,-1.527162E-4
801749101,3,1741276222928753717,6.108648E-4,1.527162E-4,-6.108648E-4
801749111,3,1741276222938738405,0.0010690134,-4.581486E-4,4.581486E-4
801749121,3,1741276222948722675,-1.527162E-4,-0.0,-3.054324E-4
801749131,3,1741276222958708978,9.162972E-4,-1.527162E-4,-4.581486E-4
801749141,3,1741276222968693978,3.054324E-4,-7.6358096E-4,0.0
801749151,3,1741276222978679550,0.0,1.527162E-4,-1.527162E-4
801749161,3,1741276222988664394,3.054324E-4,1.527162E-4,-6.108648E-4
801749171,3,1741276222998649238,1.527162E-4,-1.527162E-4,-3.054324E-4
801749181,3,1741276223008634238,7.6358096E-4,-3.054324E-4,-9.162972E-4
801749191,3,1741276223018619811,-3.054324E-4,4.581486E-4,-6.108648E-4
801749201,3,1741276223028604655,-6.108648E-4,6.108648E-4,-9.162972E-4
801749211,3,1741276223038589498,3.054324E-4,-4.581486E-4,-0.0010690134
801749221,3,1741276223048574498,6.108648E-4,-1.527162E-4,-7.6358096E-4
801749231,3,1741276223058560071,1.527162E-4,-4.581486E-4,-6.108648E-4
801749241,3,1741276223068544915,-4.581486E-4,-0.0010690134,-1.527162E-4
801749251,3,1741276223078529915,-0.0,-3.054324E-4,-7.6358096E-4
801749261,3,1741276223088515488,1.527162E-4,-7.6358096E-4,-0.0
801749271,3,1741276223098500332,4.581486E-4,3.054324E-4,1.527162E-4
801749281,3,1741276223108485019,-3.054324E-4,7.6358096E-4,-7.6358096E-4
801749291,3,1741276223118468978,-4.581486E-4,1.527162E-4,6.108648E-4
801749301,3,1741276223128455280,6.108648E-4,-1.527162E-4,-6.108648E-4
801749311,3,1741276223138440280,7.6358096E-4,-9.162972E-4,-6.108648E-4
801749321,3,1741276223148425853,-0.0,1.527162E-4,6.108648E-4
801749331,3,1741276223158410696,-1.527162E-4,4.581486E-4,-0.0
801749340,3,1741276223168395540,4.581486E-4,-9.162972E-4,-6.108648E-4
801749350,3,1741276223178380540,9.162972E-4,-4.581486E-4,-6.108648E-4
801749360,3,1741276223188366113,4.581486E-4,-3.054324E-4,-4.581486E-4
801749370,3,1741276223198350957,4.581486E-4,-3.054324E-4,-9.162972E-4
801749380,3,1741276223208335957,7.6358096E-4,-6.108648E-4,-3.054324E-4
801749390,3,1741276223218321373,4.581486E-4,-3.054324E-4,-6.108648E-4
801749400,3,1741276223228305540,4.581486E-4,-3.054324E-4,-0.0010690134
801749410,3,1741276223238291113,7.6358096E-4,-4.581486E-4,3.054324E-4
801749420,3,1741276223248276113,1.527162E-4,-1.527162E-4,-4.581486E-4
801749430,3,1741276223258261686,4.581486E-4,-6.108648E-4,-0.0010690134
801749440,3,1741276223268246530,1.527162E-4,-0.0,0.0
801749450,3,1741276223278231530,4.581486E-4,0.0,-7.6358096E-4
801749460,3,1741276223288217103,3.054324E-4,-3.054324E-4,4.581486E-4
801749470,3,1741276223298201946,6.108648E-4,-4.581486E-4,-0.0010690134
801749480,3,1741276223308186790,4.581486E-4,-1.527162E-4,-9.162972E-4
801749490,3,1741276223318171790,-1.527162E-4,-6.108648E-4,-6.108648E-4
801749500,3,1741276223328157363,7.6358096E-4,-7.6358096E-4,3.054324E-4
801749510,3,1741276223338142207,0.0,0.0010690134,-7.6358096E-4
801749520,3,1741276223348126894,-3.054324E-4,1.527162E-4,-4.581486E-4
801749530,3,1741276223358111165,1.527162E-4,-3.054324E-4,-9.162972E-4
801749540,3,1741276223368097467,-1.527162E-4,-4.581486E-4,-0.0
801749550,3,1741276223378082311,-3.054324E-4,0.0,-9.162972E-4
801749560,3,1741276223388067311,6.108648E-4,-0.0,-4.581486E-4
801749570,3,1741276223398052884,-7.6358096E-4,-7.6358096E-4,-3.054324E-4
801749580,3,1741276223408037728,3.054324E-4,-4.581486E-4,-9.162972E-4
801749590,3,1741276223418022571,-0.0,1.527162E-4,-3.054324E-4
801749600,3,1741276223428007571,-1.527162E-4,-1.527162E-4,0.0
801749610,3,1741276223437993144,6.108648E-4,-1.527162E-4,-7.6358096E-4
801749620,3,1741276223447977988,-3.054324E-4,-6.108648E-4,-9.162972E-4
801749630,3,1741276223457962988,3.054324E-4,1.527162E-4,-4.581486E-4
801749640,3,1741276223467948561,9.162972E-4,-1.527162E-4,-3.054324E-4
801749650,3,1741276223477933405,0.0013744457,-0.0010690134,-4.581486E-4
801749660,3,1741276223487918248,-1.527162E-4,-6.108648E-4,-3.054324E-4
801749670,3,1741276223497903248,3.054324E-4,0.0,3.054324E-4
801749680,3,1741276223507888821,4.581486E-4,-0.0,-0.0010690134
801749690,3,1741276223517873665,-0.0010690134,1.527162E-4,-0.0
801749700,3,1741276223527858509,7.6358096E-4,-3.054324E-4,-0.0010690134
801749710,3,1741276223537843509,-0.0,-1.527162E-4,6.108648E-4
801749720,3,1741276223547829082,1.527162E-4,-0.0,-3.054324E-4
801749730,3,1741276223557813925,-0.0,-0.0010690134,-0.0
801749740,3,1741276223567798925,-3.054324E-4,7.6358096E-4,7.6358096E-4
801749750,3,1741276223577784498,-1.527162E-4,-3.054324E-4,-6.108648E-4
801749760,3,1741276223587769342,3.054324E-4,7.6358096E-4,-4.581486E-4
