linear_acceleration,QTI,2025-03-06_18-50-19.416_TGW
imuTimestamp,accuracy(more=better),acc_lin_x[m/s^2],acc_lin_y[m/s^2],acc_lin_z[m/s^2]
801749089,3,0.0027155206,-0.0031309128,0.007119879
801749099,3,0.0034711137,0.013708115,-0.0017792732
801749109,3,-5.0669163E-4,0.0089588165,-9.881556E-4
801749119,3,-7.066205E-4,-0.0049886703,0.005204454
801749129,3,-0.0034415796,0.00289917,0.0036189407
801749139,3,0.010043681,0.00182724,0.0068428367
801749149,3,0.0014554635,-0.0016508102,0.0025414377
801749159,3,0.0019039065,0.004257202,0.0033362955
801749169,3,-0.011081435,0.010352135,-0.0027455091
801749179,3,-0.0054891035,2.002716E-4,0.017411843
801749189,3,0.0039979666,-0.0024299622,-0.0034343898
801749199,3,-0.0073621124,4.930496E-4,-0.0018256754
801749209,3,-0.0057020336,0.0013847351,0.007000342
801749219,3,0.010845609,0.009778976,-7.7430904E-4
801749229,3,0.003281042,0.0021877289,0.0036325604
801749239,3,-0.014276139,0.0039396286,0.00657396
801749249,3,0.0030972287,-0.009495735,2.0962954E-4
801749259,3,0.005097963,-0.0064964294,0.003949806
801749269,3,-0.0027814358,0.0049495697,0.0043895394
801749279,3,0.004818447,-0.0018625259,0.0053964406
801749289,3,0.0038819239,0.002398491,0.011591837
801749299,3,0.0118917,0.01162529,0.011888891
801749309,3,0.009806111,-0.014809608,0.007164806
801749319,3,-0.0034410805,0.0045785904,0.0022908747
801749329,3,-0.0036861077,0.0014286041,0.0023444593
801749339,3,-0.013183981,-0.004466057,-0.0011693984
801749349,3,-0.003142558,0.012687683,-0.0010996759
801749359,3,0.0012886673,-5.2547455E-4,0.0046586692
801749369,3,0.009188682,0.0027599335,-0.0056493133
801749379,3,0.0022186711,0.010182381,-0.003892079
801749389,3,0.002212748,0.008788109,-0.0026004016
801749399,3,-0.005462207,-0.0019931793,-0.0031033754
801749409,3,0.006051123,-0.0048131943,0.006618187
801749419,3,0.0013658032,-0.0063295364,-0.011807904
801749429,3,0.0016836748,0.003704071,0.0059049726
801749439,3,0.0037572086,-0.0017404556,-0.007580921
801749449,3,-2.0180643E-4,0.009144783,0.0067246705
801749459,3,0.007084906,0.0010938644,-7.686019E-5
801749469,3,0.002042681,0.012469292,0.0099172145
801749479,3,-0.009225771,0.0097026825,0.0026442707
801749489,3,0.006319575,-0.0027608871,-0.0016912371
801749498,3,0.006457329,0.005970001,0.0031113774
801749508,3,5.7585537E-5,-0.003663063,0.0076918155
801749518,3,-0.0012042746,0.0031671524,0.0019214749
801749528,3,-0.0048956797,-0.003378868,0.0065725595
801749538,3,0.0014063865,-0.0027580261,-0.00625138
801749548,3,-0.002961494,-0.0054636,-0.0029301047
801749558,3,0.004498452,0.009270668,0.010065436
801749568,3,9.0350956E-4,-0.005265236,-0.0085951835
801749578,3,-0.0010772198,0.0040864944,-0.009251133
801749588,3,-0.0012454763,0.003317833,0.0030510873
801749598,3,0.005539149,-0.002960205,0.0060600042
801749608,3,0.0020656213,0.005797386,0.0015905648
801749618,3,-0.0106410235,0.0044517517,0.0032281727
801749628,3,-0.004046373,-0.0036506653,0.0065005273
801749638,3,8.763522E-4,0.011632919,0.007850736
801749648,3,-9.765923E-4,-0.004755974,-9.614676E-4
801749658,3,-1.680553E-4,0.0048713684,8.2337856E-4
801749668,3,-0.010104924,0.004512787,0.0054879487
801749678,3,-0.005038388,8.363724E-4,0.007855222
801749688,3,-0.005017519,-0.0067863464,-0.0018921345
801749698,3,0.0044886395,-0.0065364838,-0.003997594
801749708,3,0.0044809654,0.0017356873,-0.002827406
801749718,3,-0.0045575574,-0.008119583,0.017836004
801749728,3,-0.013585664,-0.0045261383,-6.1766803E-4
801749738,3,-0.0029791147,0.0035791397,-0.0067798197
801749748,3,-0.0022600517,-0.0024309158,0.0029206127
801749758,3,-0.0046115816,0.0052194595,0.010720581
801749768,3,-0.005540259,1.1444092E-5,0.0058172643
801749778,3,-0.0077902228,-4.0340424E-4,0.0047403574
801749788,3,-0.0010251477,-0.0063476562,0.0019153059
801749798,3,0.003537275,5.38826E-4,0.00766927
801749808,3,0.00357946,0.007173538,0.011565819
801749818,3,0.0036345422,-0.0029125214,9.392351E-4
801749828,3,5.7281554E-4,-0.00466156,0.0017514676
801749838,3,0.0015710816,-0.004445076,0.0037785918
801749848,3,0.0045593902,-0.0027103424,-0.0053945333
801749858,3,-0.0024481192,0.010483742,-0.005072266
801749868,3,0.0031489283,-0.0022850037,6.329268E-4
801749878,3,-0.0048091263,-0.008198738,-0.0010430366
801749888,3,0.0040157735,0.012421608,2.1839142E-4
801749898,3,0.00463704,-0.0027341843,0.0029022694
801749908,3,-3.2036006E-4,-0.0050411224,0.0025782734
801749918,3,0.007412307,-0.0026073456,0.008937448
801749928,3,0.0012301207,0.013629913,-0.0051063597
801749938,3,2.0901114E-4,-0.0029315948,0.0016528368
801749948,3,-1.1749566E-5,0.013170242,0.0050759315
801749958,3,-0.01078219,7.724762E-4,0.00691998
801749968,3,-0.0062645227,-0.010591507,-2.1629035E-4
801749978,3,-0.001766935,0.0024547577,-0.0158941
801749988,3,0.0040105805,-0.0054779053,-0.015017852
801749998,3,0.009376004,0.00554657,0.010839373
801750008,3,-0.0047698617,0.0078058243,-0.0028125197
801750018,3,-0.006382607,0.01044178,-0.0064089745
801750028,3,-0.011401348,-0.006340027,0.009452805
801750038,3,0.008183271,-0.0131549835,0.0056785047
801750048,3,-0.011659645,0.005747795,9.6575916E-4
801750058,3,0.0016694218,0.008006096,-0.002170831
801750068,3,0.001565814,0.0033035278,0.0028761476
801750078,3,-0.0027808174,-2.0980835E-4,-0.0039299577
801750088,3,-0.010086164,0.0036697388,-0.005406022
801750098,3,0.005607076,0.0054063797,0.0022514164
801750108,3,-0.0018806532,-0.0047912598,-0.0092086345
801750118,3,0.005063288,0.008992195,0.008260027
801750128,3,0.002914101,0.003168106,0.0049693733
801750138,3,-0.0028396323,-0.013216972,-0.0016223043
801750148,3,-0.010932028,0.002366066,0.0029541552
801750158,3,0.0060711354,0.0070314407,0.0034484118
801750167,3,-0.011116751,-0.00872612,-0.006954029
801750177,3,-0.0030572042,-0.003460884,-0.003696695
801750187,3,-0.0034628212,-0.0039567947,0.004164502
801750197,3,3.8550794E-4,6.790161E-4,0.007736087
801750207,3,-0.0060542,-0.0059804916,0.0018610656
801750217,3,-0.0011387616,0.010035515,-0.010979161
801750227,3,-0.009542502,0.006822586,-0.0012438148
801750237,3,-0.0019597858,-0.008378983,7.2440505E-4
801750247,3,0.0034272,0.008231163,0.0183675
801750257,3,-0.0058281347,0.008508682,-0.009838894
801750267,3,9.3109906E-5,0.0028305054,0.009836197
801750277,3,0.003744945,-0.004137039,0.0051487237
801750287,3,-0.002029039,-0.014588356,0.001985252
801750297,3,-0.0015766695,-0.005624771,-0.002079025
801750307,3,-0.0025618523,-0.005256653,-0.002611056
801750317,3,-0.012023568,0.011575699,-0.0012069792
801750327,3,-0.015658997,-2.4318695E-4,0.001010254
801750337,3,-0.017775752,-0.009098053,0.0012188554
801750347,3,-0.005759388,-0.007147789,0.007693872
801750357,3,-0.010703467,-0.0052318573,-0.002009958
801750367,3,-0.005448088,0.01007843,0.012130529
801750377,3,-0.0043349043,0.0036821365,0.0021118522
801750387,3,0.0068834797,0.009157181,0.0024747103
801750397,3,0.0063101053,-0.007883072,0.0028157234
801750407,3,-0.0025114492,0.0031795502,0.0046820045
801750417,3,-0.008064203,-0.0069799423,-0.0055876076
801750427,3,-8.5298717E-4,0.010436058,-0.0043245554
801750437,3,0.002556473,-0.0051021576,-0.007985279
801750447,3,-0.0032946914,0.008545876,-0.005401507
801750457,3,-0.0055180937,0.0010681152,-0.0026865005
801750467,3,-0.0067636296,-0.0011672974,0.0010492504
801750477,3,-0.0069504306,0.0034189224,1.5369058E-4
801750487,3,0.004029371,0.006129265,8.237213E-4
801750497,3,-0.0054721534,-0.0014448166,0.0062097013
801750507,3,-1.16191804E-4,-0.012357712,0.0047301203
801750517,3,0.007342793,0.0062589645,0.0063372105
801750527,3,-0.009135842,-0.0063028336,-0.0011566579
801750537,3,-1.1403859E-4,-0.0035676956,-0.008471131
801750547,3,-7.4511766E-4,0.005625725,-6.969273E-5
801750557,3,-5.902648E-4,-0.005402565,0.0036713034
801750567,3,-0.0037718266,0.0017442703,-0.010674059
801750577,3,0.0037495121,-0.0039596558,-2.028048E-4
801750587,3,0.0011318773,-0.013583183,-0.0061699003
801750597,3,7.1652234E-4,0.0056056976,-0.0018925369
801750607,3,-0.009289362,0.005927086,-0.0011897832
801750617,3,-0.005938299,0.00762558,-9.5026195E-4
801750627,3,-0.0014680699,-0.008419037,-0.0070419908
801750637,3,0.0018419176,-0.0017728806,3.7033856E-4
801750647,3,0.0014364943,0.00434494,0.0013496876
801750657,3,-0.0049628913,-0.0014009476,-0.01150094
801750667,3,-0.0011459514,-0.010511398,-0.006710589
801750677,3,-0.0029767305,0.001704216,-0.011841103
801750687,3,0.013038494,0.003891945,-0.0020507425
801750697,3,0.0014615282,0.0036859512,-0.0036275089
801750707,3,0.0021148548,0.0026550293,6.9478154E-4
801750717,3,-0.007236935,-0.00472641,-0.0076405257
801750727,3,0.0039275736,-0.0039539337,-0.008300275
801750737,3,-0.0029777735,0.0062122345,-0.00820072
801750747,3,-0.002430886,-0.004134178,-0.002139464
801750757,3,-0.013575494,-0.0053129196,-5.929172E-5
801750767,3,8.9110434E-4,-0.005501747,0.0040815175
801750777,3,0.0055043474,-2.9087067E-4,-0.0023574978
801750787,3,-0.001115635,0.006081581,-0.008377254
801750797,3,-0.011417061,-2.48909E-4,-0.0064566582
801750807,3,0.0054756775,0.0016918182,0.009384766
801750817,3,0.005237557,0.0019407272,-0.0029506087
801750827,3,0.004205458,-0.005290985,0.0028193742
801750836,3,0.005400263,0.0014419556,0.00411053
801750846,3,0.012271225,0.0011367798,-0.004788801
801750856,3,0.0021959394,-0.008153915,-0.0021721125
801750866,3,-9.6417964E-4,0.00554657,-0.0015603304
801750876,3,-0.0036082417,-0.0029878616,0.001222983
801750886,3,0.005945727,-0.0036306381,-0.009279668
801750896,3,7.355884E-4,5.8078766E-4,-0.008727014
801750906,3,0.0029422268,0.005832672,0.005822286
801750916,3,-0.0039539486,-4.9591064E-4,-0.0019466132
801750926,3,-0.014714047,0.0029716492,-0.007454574
801750936,3,-0.004229404,0.0047216415,0.0022014081
801750946,3,-9.0197474E-4,-0.0043525696,-0.0013056546
801750956,3,-0.018119998,-0.0038671494,-0.004866272
801750966,3,-0.0029359385,-0.009478569,-0.009921566
801750976,3,0.008563988,0.002029419,-0.011282876
801750986,3,0.005155094,0.008775711,0.006525561
801750996,3,-0.0038238317,-0.0023031235,-0.00626038
801751006,3,-0.00440675,-0.0018491745,0.0021008104
801751016,3,-0.0019054785,0.010500908,0.00155662
801751026,3,0.0049414113,0.0028505325,-0.0112314075
801751036,3,0.0048355833,0.0016956329,1.5592575E-4
801751046,3,-0.006361373,-0.0022115707,-0.014032394
801751056,3,0.0013611466,-0.0067424774,-1.4293194E-4
801751066,3,-0.010167301,-0.005247116,-0.0079500675
801751076,3,-9.1392547E-4,-5.931854E-4,0.0052782
801751086,3,0.0039005578,-0.0025224686,-0.002438441
801751096,3,-0.0101873055,-0.0037269592,-0.004222721
801751106,3,-0.0017764568,0.001455307,-0.001318574
801751116,3,0.0046805143,0.0061330795,-0.014286146
801751126,3,-0.017987378,0.007552147,-0.003424406
801751136,3,-0.010271087,-3.2424927E-4,0.009106889
801751146,3,0.013711125,0.0057697296,-0.008553743
801751156,3,9.897873E-4,5.502701E-4,4.749E-5
801751166,3,-0.0032360703,0.0063533783,-0.009909064
801751176,3,-0.0019664988,-0.008008957,-0.005631402
801751186,3,2.8713793E-4,-0.003583908,-0.003157124
801751196,3,-0.011527337,0.0015954971,0.0022841692
801751206,3,1.2142211E-4,-0.0034122467,-0.0048007965
801751216,3,-0.008367337,-4.5013428E-4,-0.004302487
801751226,3,-0.01209867,0.0038480759,-0.0016488433
801751236,3,-0.0010126606,-0.0029993057,-0.009757161
801751246,3,0.0056050792,0.0072898865,-0.0110269785
801751256,3,-0.007832058,0.005091667,-0.018635035
801751266,3,-0.002816826,0.0059747696,-0.0040942132
801751276,3,0.0013811067,-2.1457672E-4,0.0037819892
