mag_s004_001 Magnetometer-Uncalibrated Non-wakeup,QST,2025-03-06_18-50-19.416_TGW
imuTimestamp,accuracy(more=better),mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
801748951,3,3.05,9.4875,151.375,-27.0,-69.0,177.0
801748960,3,3.05,9.125,151.7875,-27.0,-69.0,177.0
801748970,3,3.125,9.1,151.825,-27.0,-69.0,177.0
801748979,3,3.1000001,9.125,151.83751,-27.0,-69.0,177.0
801748989,3,3.05,9.1125,151.85,-27.0,-69.0,177.0
801748998,3,3.0125,9.1125,151.875,-27.0,-69.0,177.0
801749008,3,3.0,9.1,151.90001,-27.0,-69.0,177.0
801749017,3,2.9875,9.1125,151.90001,-27.0,-69.0,177.0
801749027,3,2.9875,9.075,151.9375,-27.0,-69.0,177.0
801749036,3,2.9875,9.1375,151.8625,-27.0,-69.0,177.0
801749046,3,2.9625,9.1625,151.83751,-27.0,-69.0,177.0
801749055,3,2.9750001,9.1625,151.8,-27.0,-69.0,177.0
801749065,3,3.0125,9.150001,151.7875,-27.0,-69.0,177.0
801749074,3,3.0625,9.125,151.77501,-27.0,-69.0,177.0
801749084,3,3.1375,9.087501,151.7625,-27.0,-69.0,177.0
801749093,3,3.175,9.0375,151.7625,-27.0,-69.0,177.0
801749103,3,3.1875,8.9875,151.7875,-27.0,-69.0,177.0
801749112,3,3.1875,8.9375,151.83751,-27.0,-69.0,177.0
801749122,3,3.1875,8.8875,151.9125,-27.0,-69.0,177.0
801749131,3,3.175,8.85,151.96251,-27.0,-69.0,177.0
801749141,3,3.15,8.837501,152.0,-27.0,-69.0,177.0
801749150,3,3.1125,8.85,151.9875,-27.0,-69.0,177.0
801749160,3,3.05,8.8625,152.0,-27.0,-69.0,177.0
801749169,3,3.0375001,8.8875,151.975,-27.0,-69.0,177.0
801749179,3,3.0625,8.900001,151.9375,-27.0,-69.0,177.0
801749188,3,3.1000001,8.9125,151.90001,-27.0,-69.0,177.0
801749198,3,3.1375,8.95,151.8125,-27.0,-69.0,177.0
801749207,3,3.175,8.9875,151.7625,-27.0,-69.0,177.0
801749217,3,3.2250001,9.0125,151.725,-27.0,-69.0,177.0
801749226,3,3.25,9.0125,151.7625,-27.0,-69.0,177.0
801749236,3,3.2875001,9.0375,151.7625,-27.0,-69.0,177.0
801749245,3,3.3,9.05,151.8,-27.0,-69.0,177.0
801749255,3,3.2875001,9.1,151.85,-27.0,-69.0,177.0
801749264,3,3.275,9.1375,151.8625,-27.0,-69.0,177.0
801749274,3,3.2250001,9.150001,151.9375,-27.0,-69.0,177.0
801749283,3,3.175,9.1625,151.9875,-27.0,-69.0,177.0
801749293,3,3.125,9.175,152.02501,-27.0,-69.0,177.0
801749302,3,3.1125,9.212501,152.0125,-27.0,-69.0,177.0
801749312,3,3.075,9.212501,152.0125,-27.0,-69.0,177.0
801749321,3,3.0375001,9.212501,152.02501,-27.0,-69.0,177.0
801749331,3,2.9875,9.1875,152.05,-27.0,-69.0,177.0
801749340,3,2.9375,9.150001,152.1375,-27.0,-69.0,177.0
801749350,3,2.95,9.1375,152.1375,-27.0,-69.0,177.0
801749359,3,2.95,9.1125,152.125,-27.0,-69.0,177.0
801749369,3,2.95,9.1125,152.1125,-27.0,-69.0,177.0
801749378,3,2.925,9.1,152.075,-27.0,-69.0,177.0
801749388,3,2.9,9.125,152.075,-27.0,-69.0,177.0
801749397,3,2.875,9.150001,152.075,-27.0,-69.0,177.0
801749407,3,2.8625,9.1625,152.05,-27.0,-69.0,177.0
801749416,3,2.875,9.2,151.975,-27.0,-69.0,177.0
801749426,3,2.875,9.2,151.90001,-27.0,-69.0,177.0
801749435,3,2.9,9.225,151.8625,-27.0,-69.0,177.0
801749445,3,2.9125001,9.225,151.83751,-27.0,-69.0,177.0
801749454,3,2.9375,9.225,151.8625,-27.0,-69.0,177.0
801749464,3,2.9625,9.212501,151.85,-27.0,-69.0,177.0
801749473,3,2.9875,9.1875,151.825,-27.0,-69.0,177.0
801749483,3,3.0125,9.175,151.8125,-27.0,-69.0,177.0
801749492,3,3.0125,9.1375,151.8125,-27.0,-69.0,177.0
801749502,3,3.0125,9.1,151.925,-27.0,-69.0,177.0
801749511,3,3.0125,9.075,151.975,-27.0,-69.0,177.0
801749521,3,3.025,9.075,151.975,-27.0,-69.0,177.0
801749530,3,3.05,9.05,151.9875,-27.0,-69.0,177.0
801749540,3,3.0625,9.0375,151.9875,-27.0,-69.0,177.0
801749549,3,3.075,9.0375,151.975,-27.0,-69.0,177.0
801749559,3,3.075,9.0,151.96251,-27.0,-69.0,177.0
801749568,3,3.05,9.0,151.9375,-27.0,-69.0,177.0
801749578,3,3.0375001,9.025001,151.85,-27.0,-69.0,177.0
801749587,3,3.0,9.025001,151.8,-27.0,-69.0,177.0
801749597,3,2.9625,9.0125,151.7875,-27.0,-69.0,177.0
801749606,3,2.925,9.025001,151.75,-27.0,-69.0,177.0
801749616,3,2.9125001,9.0125,151.7625,-27.0,-69.0,177.0
801749625,3,2.8875,9.0,151.8125,-27.0,-69.0,177.0
801749635,3,2.875,9.0375,151.85,-27.0,-69.0,177.0
801749644,3,2.875,9.05,151.90001,-27.0,-69.0,177.0
801749654,3,2.8500001,9.0625,151.96251,-27.0,-69.0,177.0
801749663,3,2.8375,9.087501,151.96251,-27.0,-69.0,177.0
801749673,3,2.8125,9.1,151.975,-27.0,-69.0,177.0
801749682,3,2.8,9.1125,151.9875,-27.0,-69.0,177.0
801749692,3,2.8,9.125,151.975,-27.0,-69.0,177.0
801749701,3,2.8125,9.150001,151.9375,-27.0,-69.0,177.0
801749711,3,2.825,9.175,151.8625,-27.0,-69.0,177.0
801749720,3,2.8500001,9.1875,151.8125,-27.0,-69.0,177.0
801749730,3,2.8625,9.212501,151.75,-27.0,-69.0,177.0
801749739,3,2.875,9.225,151.7375,-27.0,-69.0,177.0
801749749,3,2.9,9.2375,151.7375,-27.0,-69.0,177.0
801749758,3,2.8875,9.25,151.75,-27.0,-69.0,177.0
801749768,3,2.875,9.275001,151.7625,-27.0,-69.0,177.0
801749777,3,2.8500001,9.275001,151.8125,-27.0,-69.0,177.0
801749787,3,2.825,9.2625,151.85,-27.0,-69.0,177.0
801749796,3,2.8125,9.25,151.9125,-27.0,-69.0,177.0
801749806,3,2.825,9.2,151.96251,-27.0,-69.0,177.0
801749815,3,2.8375,9.1625,152.02501,-27.0,-69.0,177.0
801749825,3,2.8375,9.1375,152.1,-27.0,-69.0,177.0
801749834,3,2.875,9.125,152.15001,-27.0,-69.0,177.0
801749844,3,2.8875,9.1,152.1875,-27.0,-69.0,177.0
801749853,3,2.9125001,9.1,152.2,-27.0,-69.0,177.0
801749863,3,2.9625,9.1125,152.2375,-27.0,-69.0,177.0
801749872,3,2.9875,9.125,152.21251,-27.0,-69.0,177.0
801749882,3,2.9875,9.1625,152.21251,-27.0,-69.0,177.0
801749891,3,2.9875,9.175,152.1875,-27.0,-69.0,177.0
801749901,3,3.0,9.175,152.15001,-27.0,-69.0,177.0
801749910,3,2.9625,9.1625,152.125,-27.0,-69.0,177.0
801749920,3,2.9750001,9.175,152.08751,-27.0,-69.0,177.0
801749929,3,2.9875,9.1625,152.05,-27.0,-69.0,177.0
801749939,3,2.9750001,9.150001,152.02501,-27.0,-69.0,177.0
801749948,3,2.9750001,9.1625,151.9875,-27.0,-69.0,177.0
801749958,3,2.9750001,9.150001,151.9375,-27.0,-69.0,177.0
801749967,3,2.9750001,9.150001,151.90001,-27.0,-69.0,177.0
801749977,3,2.9750001,9.150001,151.85,-27.0,-69.0,177.0
801749986,3,3.0125,9.150001,151.8,-27.0,-69.0,177.0
801749996,3,2.9875,9.125,151.77501,-27.0,-69.0,177.0
801750005,3,2.9875,9.1,151.7375,-27.0,-69.0,177.0
801750015,3,2.9875,9.0625,151.71251,-27.0,-69.0,177.0
801750024,3,2.9875,9.025001,151.7375,-27.0,-69.0,177.0
801750034,3,3.0125,9.025001,151.77501,-27.0,-69.0,177.0
801750043,3,3.025,9.0375,151.825,-27.0,-69.0,177.0
801750053,3,3.025,9.0625,151.9375,-27.0,-69.0,177.0
801750062,3,3.0125,9.075,152.0,-27.0,-69.0,177.0
801750072,3,3.0375001,9.1,152.0625,-27.0,-69.0,177.0
801750081,3,3.025,9.125,152.1375,-27.0,-69.0,177.0
801750091,3,3.0125,9.150001,152.175,-27.0,-69.0,177.0
801750100,3,2.9875,9.1875,152.21251,-27.0,-69.0,177.0
801750110,3,2.95,9.2,152.25,-27.0,-69.0,177.0
801750119,3,2.9375,9.212501,152.2875,-27.0,-69.0,177.0
801750129,3,2.9375,9.212501,152.2625,-27.0,-69.0,177.0
801750138,3,2.9375,9.212501,152.27501,-27.0,-69.0,177.0
801750148,3,2.9375,9.2,152.2625,-27.0,-69.0,177.0
801750157,3,2.925,9.1875,152.2625,-27.0,-69.0,177.0
801750167,3,2.925,9.1875,152.27501,-27.0,-69.0,177.0
801750176,3,2.925,9.1625,152.27501,-27.0,-69.0,177.0
801750186,3,2.925,9.150001,152.2625,-27.0,-69.0,177.0
801750195,3,2.8875,9.125,152.225,-27.0,-69.0,177.0
801750205,3,2.8625,9.1,152.2,-27.0,-69.0,177.0
801750214,3,2.825,9.1,152.125,-27.0,-69.0,177.0
801750224,3,2.7875001,9.1,152.0625,-27.0,-69.0,177.0
801750233,3,2.775,9.1125,151.975,-27.0,-69.0,177.0
801750243,3,2.75,9.125,151.96251,-27.0,-69.0,177.0
801750252,3,2.75,9.1375,151.975,-27.0,-69.0,177.0
801750262,3,2.75,9.150001,151.975,-27.0,-69.0,177.0
801750271,3,2.7875001,9.175,152.0,-27.0,-69.0,177.0
801750281,3,2.8125,9.212501,152.0375,-27.0,-69.0,177.0
801750290,3,2.8375,9.2375,152.075,-27.0,-69.0,177.0
801750300,3,2.8500001,9.2625,152.125,-27.0,-69.0,177.0
801750309,3,2.875,9.275001,152.1625,-27.0,-69.0,177.0
801750319,3,2.9,9.275001,152.1375,-27.0,-69.0,177.0
801750328,3,2.9125001,9.2625,152.125,-27.0,-69.0,177.0
801750338,3,2.925,9.2375,152.125,-27.0,-69.0,177.0
801750347,3,2.925,9.2,152.1125,-27.0,-69.0,177.0
801750357,3,2.9375,9.175,152.1125,-27.0,-69.0,177.0
801750366,3,2.9625,9.1625,152.1125,-27.0,-69.0,177.0
801750376,3,2.9875,9.150001,152.1,-27.0,-69.0,177.0
801750385,3,3.0,9.150001,152.125,-27.0,-69.0,177.0
801750395,3,3.0,9.1375,152.1375,-27.0,-69.0,177.0
801750404,3,3.0,9.150001,152.1125,-27.0,-69.0,177.0
801750414,3,3.0,9.1625,152.08751,-27.0,-69.0,177.0
801750423,3,2.9875,9.175,152.0625,-27.0,-69.0,177.0
801750433,3,2.9625,9.175,152.0375,-27.0,-69.0,177.0
801750442,3,2.925,9.1625,152.0125,-27.0,-69.0,177.0
801750452,3,2.9,9.1625,152.0125,-27.0,-69.0,177.0
801750461,3,2.8625,9.150001,151.9875,-27.0,-69.0,177.0
801750471,3,2.8500001,9.1625,152.0,-27.0,-69.0,177.0
801750480,3,2.825,9.1625,152.0375,-27.0,-69.0,177.0
801750490,3,2.8125,9.175,152.05,-27.0,-69.0,177.0
801750499,3,2.8125,9.2,152.075,-27.0,-69.0,177.0
801750509,3,2.825,9.225,152.08751,-27.0,-69.0,177.0
801750518,3,2.8500001,9.25,152.1125,-27.0,-69.0,177.0
801750528,3,2.8375,9.2625,152.125,-27.0,-69.0,177.0
801750537,3,2.8375,9.275001,152.1125,-27.0,-69.0,177.0
801750547,3,2.8125,9.2875,152.0625,-27.0,-69.0,177.0
801750556,3,2.825,9.2625,152.0,-27.0,-69.0,177.0
801750566,3,2.8375,9.25,151.96251,-27.0,-69.0,177.0
801750575,3,2.8500001,9.2,151.925,-27.0,-69.0,177.0
801750585,3,2.8375,9.175,151.95,-27.0,-69.0,177.0
801750594,3,2.825,9.1375,151.9875,-27.0,-69.0,177.0
801750604,3,2.8375,9.125,152.02501,-27.0,-69.0,177.0
801750613,3,2.8500001,9.1375,152.0625,-27.0,-69.0,177.0
801750623,3,2.8875,9.125,152.08751,-27.0,-69.0,177.0
801750632,3,2.9,9.1375,152.1125,-27.0,-69.0,177.0
801750642,3,2.8875,9.125,152.1125,-27.0,-69.0,177.0
801750651,3,2.8625,9.125,152.08751,-27.0,-69.0,177.0
801750661,3,2.875,9.1,152.02501,-27.0,-69.0,177.0
801750670,3,2.9125001,9.1,151.9875,-27.0,-69.0,177.0
801750680,3,2.9375,9.087501,151.975,-27.0,-69.0,177.0
801750689,3,2.95,9.0625,152.0125,-27.0,-69.0,177.0
801750699,3,2.9375,9.075,152.02501,-27.0,-69.0,177.0
801750708,3,2.9,9.075,151.9875,-27.0,-69.0,177.0
801750718,3,2.875,9.1,151.9875,-27.0,-69.0,177.0
801750727,3,2.875,9.1375,151.975,-27.0,-69.0,177.0
801750737,3,2.8625,9.1625,151.975,-27.0,-69.0,177.0
801750746,3,2.825,9.1875,151.96251,-27.0,-69.0,177.0
801750756,3,2.7875001,9.212501,151.9375,-27.0,-69.0,177.0
801750765,3,2.7625,9.2375,151.925,-27.0,-69.0,177.0
801750775,3,2.7375,9.275001,151.925,-27.0,-69.0,177.0
801750784,3,2.75,9.3125,151.975,-27.0,-69.0,177.0
801750794,3,2.7625,9.325,152.0125,-27.0,-69.0,177.0
801750803,3,2.8,9.325,152.05,-27.0,-69.0,177.0
801750813,3,2.8,9.3125,152.1,-27.0,-69.0,177.0
801750822,3,2.8125,9.3,152.125,-27.0,-69.0,177.0
801750832,3,2.8375,9.2625,152.15001,-27.0,-69.0,177.0
801750841,3,2.825,9.25,152.1875,-27.0,-69.0,177.0
801750851,3,2.8500001,9.25,152.225,-27.0,-69.0,177.0
801750860,3,2.8500001,9.2375,152.25,-27.0,-69.0,177.0
801750870,3,2.8625,9.225,152.27501,-27.0,-69.0,177.0
801750879,3,2.825,9.212501,152.3125,-27.0,-69.0,177.0
801750889,3,2.8375,9.225,152.3,-27.0,-69.0,177.0
801750898,3,2.8375,9.212501,152.25,-27.0,-69.0,177.0
801750908,3,2.8125,9.212501,152.2,-27.0,-69.0,177.0
801750917,3,2.825,9.212501,152.1125,-27.0,-69.0,177.0
801750927,3,2.8125,9.1875,151.9875,-27.0,-69.0,177.0
