baro_s002_001 Pressure Sensor Non-wakeup,Goertek,2025-03-06_18-50-19.416_TGW
imuTimestamp,accuracy(more=better),pressure[millibar]
801749059,3,977.3131
801749091,3,977.3046
801749122,3,977.3072
801749153,3,977.31635
801749184,3,977.31635
801749215,3,977.3227
801749247,3,977.31635
801749278,3,977.3057
801749309,3,977.32
801749340,3,977.31744
801749372,3,977.32916
801749403,3,977.31744
801749434,3,977.3227
801749466,3,977.31744
801749497,3,977.30676
801749528,3,977.3227
801749559,3,977.3313
801749590,3,977.31635
801749622,3,977.3227
801749653,3,977.3233
801749684,3,977.3297
801749715,3,977.3169
801749747,3,977.32916
801749778,3,977.30774
801749809,3,977.3062
801749840,3,977.32214
801749872,3,977.32214
801749903,3,977.30774
801749934,3,977.31305
801749966,3,977.3013
801749997,3,977.32214
801750028,3,977.319
801750059,3,977.2991
801750090,3,977.304
801750122,3,977.32104
801750153,3,977.32477
801750184,3,977.31836
801750216,3,977.3013
801750247,3,977.3062
801750278,3,977.31464
801750309,3,977.31836
801750340,3,977.30774
801750372,3,977.31836
801750403,3,977.3125
801750434,3,977.3062
801750465,3,977.304
801750497,3,977.2997
801750528,3,977.31573
801750559,3,977.31195
801750590,3,977.31195
801750622,3,977.31195
801750653,3,977.30347
801750684,3,977.31305
801750716,3,977.29175
801750747,3,977.2971
801750778,3,977.29645
801750809,3,977.3136
801750840,3,977.3104
801750872,3,977.31525
801750903,3,977.3076
801750934,3,977.3136
801750965,3,977.3071
801750997,3,977.30347
801751028,3,977.31726
801751059,3,977.2986
801751090,3,977.3029
801751122,3,977.30347
801751153,3,977.31305
801751185,3,977.3076
801751215,3,977.29803
801751247,3,977.30347
801751278,3,977.29175
801751309,3,977.2997
801751340,3,977.28577
801751372,3,977.30347
801751403,3,977.3029
801751434,3,977.29645
801751465,3,977.28577
801751497,3,977.29175
801751528,3,977.29065
801751559,3,977.288
801751590,3,977.28577
801751622,3,977.288
801751653,3,977.2901
801751684,3,977.28906
801751715,3,977.2773
801751747,3,977.2933
801751778,3,977.28204
801751809,3,977.2924
801751840,3,977.29987
801751872,3,977.2832
801751903,3,977.2918
801751934,3,977.28595
801751965,3,977.2924
801751997,3,977.29767
801752028,3,977.2993
801752059,3,977.29877
801752090,3,977.29504
801752122,3,977.2881
801752153,3,977.3014
801752184,3,977.2913
801752215,3,977.27795
801752247,3,977.2769
801752278,3,977.2828
801752309,3,977.2775
801752340,3,977.27905
801752372,3,977.28485
801752403,3,977.2887
801752434,3,977.28595
801752465,3,977.2828
801752497,3,977.27905
801752528,3,977.27844
801752559,3,977.27905
801752590,3,977.2892
801752622,3,977.27844
801752653,3,977.2961
801752684,3,977.2881
801752716,3,977.2881
801752747,3,977.2854
801752778,3,977.27954
801752809,3,977.2944
801752840,3,977.2848
801752872,3,977.2826
801752903,3,977.2885
801752934,3,977.2949
801752965,3,977.29706
801752997,3,977.2837
801753028,3,977.2949
801753059,3,977.2955
801753090,3,977.28314
801753122,3,977.2997
801753153,3,977.2859
801753184,3,977.2799
801753216,3,977.2859
801753247,3,977.2837
801753278,3,977.2859
801753309,3,977.29706
801753340,3,977.2981
801753372,3,977.2955
801753403,3,977.2863
801753434,3,977.2885
801753465,3,977.28314
801753497,3,977.27734
801753528,3,977.2863
801753559,3,977.2885
801753590,3,977.2826
801753622,3,977.29706
801753653,3,977.2837
801753684,3,977.2837
801753715,3,977.2863
801753747,3,977.2981
801753778,3,977.28955
801753809,3,977.2859
801753840,3,977.2961
801753872,3,977.2955
801753903,3,977.2865
801753934,3,977.29395
801753966,3,977.29016
801753997,3,977.29285
801754028,3,977.2966
801754059,3,977.2961
801754090,3,977.2961
801754122,3,977.29974
801754153,3,977.2966
801754184,3,977.2934
801754215,3,977.2934
801754247,3,977.29974
801754278,3,977.2865
801754309,3,977.3057
801754340,3,977.2955
801754372,3,977.3007
801754403,3,977.29016
801754434,3,977.2913
801754465,3,977.2907
801754497,3,977.29395
801754528,3,977.2961
801754559,3,977.2961
801754590,3,977.3057
801754622,3,977.2987
801754653,3,977.2966
801754684,3,977.3007
801754716,3,977.2934
801754747,3,977.3062
801754778,3,977.2817
801754809,3,977.3007
801754840,3,977.30725
801754872,3,977.30725
801754903,3,977.29504
801754934,3,977.2987
801754966,3,977.28754
801754997,3,977.2961
801755028,3,977.2955
801755059,3,977.2747
801755090,3,977.29974
801755122,3,977.2987
801755153,3,977.2955
801755184,3,977.29395
801755215,3,977.311
801755247,3,977.29395
801755278,3,977.2934
801755309,3,977.2961
801755340,3,977.2966
801755372,3,977.3057
801755403,3,977.29767
801755434,3,977.2907
801755466,3,977.2865
801755497,3,977.2961
801755528,3,977.2966
801755559,3,977.3046
801755590,3,977.3115
801755622,3,977.28906
801755653,3,977.2961
801755684,3,977.2961
801755716,3,977.2966
801755747,3,977.303
801755778,3,977.303
801755809,3,977.2934
801755840,3,977.29974
801755872,3,977.2861
801755903,3,977.30426
801755934,3,977.3079
801755966,3,977.2935
801755997,3,977.292
801756028,3,977.2977
801756059,3,977.3021
801756090,3,977.2909
801756122,3,977.29034
801756153,3,977.2909
801756185,3,977.2935
801756216,3,977.29034
801756247,3,977.2977
801756278,3,977.2931
801756309,3,977.29517
801756340,3,977.2909
801756372,3,977.3027
801756403,3,977.2971
801756434,3,977.3079
801756466,3,977.3053
801756497,3,977.2935
801756528,3,977.29407
801756559,3,977.2909
801756590,3,977.30316
801756622,3,977.2931
801756653,3,977.2946
801756684,3,977.2983
801756716,3,977.2983
801756747,3,977.2931
801756778,3,977.3085
801756809,3,977.2935
801756840,3,977.3027
801756872,3,977.2909
801756903,3,977.301
801756934,3,977.2931
801756966,3,977.2999
801756997,3,977.31384
801757028,3,977.30426
801757059,3,977.2935
801757090,3,977.3053
801757122,3,977.3021
801757153,3,977.30426
801757184,3,977.309
801757216,3,977.29675
801757247,3,977.2999
801757278,3,977.2999
801757309,3,977.28656
801757340,3,977.29675
801757372,3,977.2935
801757403,3,977.29034
801757434,3,977.2971
801757465,3,977.3038
801757497,3,977.3079
801757528,3,977.3079
801757559,3,977.3016
801757590,3,977.2999
801757622,3,977.2935
801757653,3,977.2999
801757684,3,977.3027
801757715,3,977.3053
801757747,3,977.30316
801757778,3,977.3064
801757809,3,977.29614
801757840,3,977.3101
801757872,3,977.3107
801757903,3,977.3033
801757934,3,977.29895
801757965,3,977.3038
801757997,3,977.30115
801758028,3,977.29254
801758059,3,977.3118
801758090,3,977.29895
801758122,3,977.3096
801758153,3,977.2969
801758184,3,977.29517
801758215,3,977.3096
801758247,3,977.29517
801758278,3,977.29895
801758309,3,977.3022
801758340,3,977.30695
801758372,3,977.3027
801758403,3,977.3022
801758434,3,977.3053
801758465,3,977.2888
801758497,3,977.2899
801758528,3,977.2877
801758559,3,977.3118
801758590,3,977.30695
801758622,3,977.2979
801758653,3,977.2946
801758684,3,977.29254
801758715,3,977.2904
801758747,3,977.30853
801758778,3,977.30054
801758809,3,977.3053
801758840,3,977.2979
801758872,3,977.29626
801758903,3,977.29877
801758934,3,977.30194
801758965,3,977.2897
801758997,3,977.2966
801759028,3,977.3036
801759059,3,977.2865
801759090,3,977.29236
801759122,3,977.29767
801759153,3,977.29767
801759184,3,977.2955
801759215,3,977.3025
801759247,3,977.29236
801759278,3,977.2854
801759309,3,977.2843
801759340,3,977.3025
801759372,3,977.3036
801759403,3,977.2961
801759434,3,977.2945
801759466,3,977.2961
801759497,3,977.2859
801759528,3,977.29346
801759559,3,977.3052
801759590,3,977.3036
801759622,3,977.29285
801759653,3,977.29236
801759684,3,977.2955
801759716,3,977.2945
801759747,3,977.3036
801759778,3,977.2945
801759809,3,977.2865
801759840,3,977.2913
801759872,3,977.29987
801759903,3,977.29285
801759934,3,977.29346
801759965,3,977.29877
801759997,3,977.2812
801760028,3,977.2854
801760059,3,977.3014
801760090,3,977.29767
801760122,3,977.29877
801760153,3,977.29504
801760184,3,977.3014
801760215,3,977.29767
801760247,3,977.30725
801760278,3,977.3025
801760309,3,977.2945
801760340,3,977.30035
801760372,3,977.30035
801760403,3,977.2892
801760434,3,977.2961
801760466,3,977.30035
801760497,3,977.2865
801760528,3,977.28705
801760559,3,977.2907
801760590,3,977.2892
801760622,3,977.29877
801760653,3,977.29346
801760684,3,977.29236
801760716,3,977.29346
801760747,3,977.29767
801760778,3,977.2913
801760809,3,977.2854
801760840,3,977.3014
801760872,3,977.29926
801760903,3,977.2865
801760935,3,977.28656
801760966,3,977.29254
801760997,3,977.29614
801761028,3,977.28613
801761059,3,977.2851
801761090,3,977.28656
801761122,3,977.2984
801761153,3,977.28656
801761184,3,977.28876
801761216,3,977.2909
801761247,3,977.28613
801761278,3,977.29144
801761309,3,977.29614
801761340,3,977.29517
801761372,3,977.2941
801761403,3,977.29517
801761434,3,977.29675
801761466,3,977.2941
801761497,3,977.29254
801761528,3,977.3021
801761559,3,977.29517
801761590,3,977.2984
801761622,3,977.2958
801761653,3,977.3021
801761684,3,977.2803
801761715,3,977.2941
801761747,3,977.2935
801761778,3,977.284
801761809,3,977.28656
801761840,3,977.2973
801761872,3,977.28876
801761903,3,977.28986
801761934,3,977.3014
801761965,3,977.28656
801761997,3,977.2897
801762028,3,977.2887
801762059,3,977.2887
801762090,3,977.28546
801762122,3,977.28015
801762153,3,977.2897
801762184,3,977.2955
801762216,3,977.2977
801762247,3,977.2924
801762278,3,977.2999
801762309,3,977.2818
801762340,3,977.28284
801762372,3,977.29877
801762403,3,977.27954
801762434,3,977.2833
801762465,3,977.294
801762497,3,977.294
801762528,3,977.29285
801762559,3,977.2999
801762590,3,977.2918
801762622,3,977.28284
801762653,3,977.2833
801762684,3,977.2999
801762716,3,977.28015
801762747,3,977.29285
801762778,3,977.28284
801762809,3,977.2918
801762840,3,977.28656
801762872,3,977.2908
801762903,3,977.28925
801762934,3,977.2913
801762966,3,977.28925
801762997,3,977.2833
801763028,3,977.28284
801763059,3,977.28705
801763090,3,977.2908
801763122,3,977.2876
801763153,3,977.28815
801763184,3,977.28284
801763215,3,977.2833
801763247,3,977.2833
801763278,3,977.28284
801763309,3,977.2876
801763340,3,977.28284
801763372,3,977.2887
801763403,3,977.2833
801763434,3,977.3014
801763466,3,977.2951
801763497,3,977.29877
801763528,3,977.2833
801763559,3,977.2833
801763591,3,977.294
801763622,3,977.2999
801763653,3,977.2897
801763684,3,977.2924
801763716,3,977.29877
801763747,3,977.2861
801763778,3,977.3025
801763809,3,977.3005
801763840,3,977.3052
801763872,3,977.3014
801763903,3,977.2971
801763934,3,977.2983
801763965,3,977.2803
801763997,3,977.29034
801764028,3,977.28723
801764059,3,977.29736
801764090,3,977.2909
801764122,3,977.284
801764153,3,977.2985
801764184,3,977.28925
801764215,3,977.2818
801764247,3,977.28723
801764278,3,977.2803
801764309,3,977.2856
801764340,3,977.2947
801764372,3,977.29144
801764403,3,977.3038
801764434,3,977.2866
801764465,3,977.2909
801764497,3,977.28925
801764528,3,977.3
801764559,3,977.3032
801764590,3,977.2909
801764622,3,977.2909
801764653,3,977.3032
801764684,3,977.2818
801764715,3,977.29144
801764747,3,977.28925
801764778,3,977.29517
801764809,3,977.29034
801764840,3,977.29254
801764872,3,977.2935
801764903,3,977.3027
801764934,3,977.29034
801764965,3,977.30743
801764997,3,977.29877
801765028,3,977.294
801765059,3,977.3014
801765090,3,977.2951
801765122,3,977.3052
801765153,3,977.2945
801765184,3,977.29663
801765215,3,977.2951
801765247,3,977.2951
801765278,3,977.29285
801765309,3,977.2918
801765340,3,977.29877
801765372,3,977.3036
801765403,3,977.28656
801765434,3,977.2951
801765466,3,977.2951
801765497,3,977.28925
801765528,3,977.2951
801765559,3,977.2897
801765590,3,977.294
801765622,3,977.2876
801765653,3,977.2822
801765684,3,977.28064
801765715,3,977.2822
801765747,3,977.28546
801765778,3,977.2818
801765809,3,977.2951
801765840,3,977.2924
801765872,3,977.29877
801765903,3,977.2833
801765934,3,977.2924
801765965,3,977.2833
801765997,3,977.28235
801766028,3,977.2899
801766059,3,977.2792
801766090,3,977.2877
801766122,3,977.2797
801766153,3,977.2797
801766184,3,977.28827
801766215,3,977.2941
801766247,3,977.28235
801766278,3,977.2877
801766309,3,977.28564
801766340,3,977.2941
801766372,3,977.2909
801766403,3,977.28186
801766434,3,977.28723
801766465,3,977.2941
801766497,3,977.2797
801766528,3,977.30164
801766559,3,977.2888
801766590,3,977.2909
