Rotation Vector  Non-wakeup,QTI,2025-03-06_18-50-19.416_TGW
imuTimestamp,accuracy(more=better),x*sin(a/2)[],y*sin(a/2)[],z*sin(a/2)[],cos(a/2)[],heading_accuracy[rad]
801749129,3,-0.30915838,-0.6281111,0.6372465,0.32220247,-1.0
801749139,3,-0.30919278,-0.628059,0.6372065,0.32235003,-1.0
801749149,3,-0.30920413,-0.62803894,0.63720447,0.32238233,-1.0
801749159,3,-0.30921543,-0.6280195,0.63719815,0.32242182,-1.0
801749169,3,-0.3091989,-0.62803715,0.6372321,0.3223362,-1.0
801749179,3,-0.30924365,-0.62795323,0.6372578,0.32240596,-1.0
801749189,3,-0.3092336,-0.6279692,0.6372445,0.3224107,-1.0
801749199,3,-0.3092278,-0.62798023,0.63725805,0.3223681,-1.0
801749209,3,-0.3092385,-0.627956,0.6372719,0.32237768,-1.0
801749219,3,-0.3092363,-0.62795526,0.63724864,0.3224273,-1.0
801749229,3,-0.30924103,-0.6279431,0.63724375,0.32245603,-1.0
801749239,3,-0.30924505,-0.62792885,0.63727313,0.3224217,-1.0
801749249,3,-0.30924428,-0.62792844,0.63726693,0.32243565,-1.0
801749259,3,-0.30925015,-0.6279176,0.6372603,0.3224641,-1.0
801749269,3,-0.30925593,-0.6279038,0.63726836,0.32246953,-1.0
801749279,3,-0.30926684,-0.6278879,0.6372596,0.32250738,-1.0
801749289,3,-0.30929163,-0.6278585,0.63725376,0.32255235,-1.0
801749299,3,-0.30930695,-0.62782824,0.6372399,0.322624,-1.0
801749309,3,-0.30931497,-0.62781006,0.6372311,0.32266897,-1.0
801749319,3,-0.3093192,-0.6278043,0.63723516,0.32266825,-1.0
801749329,3,-0.30932415,-0.6277982,0.6372405,0.32266462,-1.0
801749339,3,-0.30931222,-0.62780446,0.6372583,0.32262897,-1.0
801749349,3,-0.3093042,-0.6278051,0.6372657,0.32262063,-1.0
801749359,3,-0.309309,-0.62779653,0.63726443,0.32263526,-1.0
801749369,3,-0.30929893,-0.6278058,0.6372537,0.32264802,-1.0
801749379,3,-0.30929217,-0.6278117,0.6372532,0.32264414,-1.0
801749389,3,-0.3092862,-0.62781537,0.63725084,0.32264724,-1.0
801749399,3,-0.3092767,-0.6278226,0.6372565,0.32263118,-1.0
801749409,3,-0.30928218,-0.62780887,0.63725454,0.32265648,-1.0
801749419,3,-0.30926964,-0.6278272,0.6372526,0.32263654,-1.0
801749429,3,-0.30927208,-0.6278193,0.6372518,0.3226513,-1.0
