acc_s003_002 QTI-Accelerometer Non-wakeup,TDK-Invensense,2025-03-06_18-50-19.416_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc2_x[m/s^2],acc2_y[m/s^2],acc2_z[m/s^2]
801749320,3,1741276223148239394,-0.11361571,-9.793417,0.06738556
801749330,3,1741276223158044811,-0.10882731,-9.798205,0.06738556
801749340,3,1741276223167850228,-0.11361571,-9.793417,0.07217397
801749350,3,1741276223177656165,-0.10882731,-9.779052,0.07217397
801749360,3,1741276223187464134,-0.10882731,-9.78384,0.07696237
801749369,3,1741276223197275071,-0.10882731,-9.793417,0.07217397
801749379,3,1741276223207090592,-0.10882731,-9.779052,0.057808757
801749389,3,1741276223216896009,-0.11840411,-9.78384,0.048231952
801749393,3,1741276223220919707,-0.10882731,-9.78384,0.048231952
801749403,3,1741276223230751530,-0.11361571,-9.788629,0.08175077
801749413,3,1741276223240608613,-0.11840411,-9.793417,0.062597156
801749423,3,1741276223250491217,-0.11361571,-9.78384,0.048231952
801749433,3,1741276223260399707,-0.1040389,-9.788629,0.057808757
801749442,3,1741276223270334759,-0.0944621,-9.788629,0.062597156
801749452,3,1741276223280298144,-0.1040389,-9.788629,0.057808757
801749462,3,1741276223290289550,-0.10882731,-9.793417,0.043443546
801749472,3,1741276223300308925,-0.10882731,-9.779052,0.043443546
801749482,3,1741276223310357780,-0.1040389,-9.78384,0.05302035
801749493,3,1741276223320434550,-0.10882731,-9.779052,0.062597156
801749503,3,1741276223330538300,-0.10882731,-9.788629,0.057808757
801749513,3,1741276223340667103,-0.10882731,-9.798205,0.057808757
801749523,3,1741276223350819238,-0.1040389,-9.78384,0.07696237
801749533,3,1741276223360994290,-0.10882731,-9.793417,0.057808757
801749543,3,1741276223371191582,-0.10882731,-9.802994,0.05302035
801749553,3,1741276223381391582,-0.1040389,-9.798205,0.057808757
801749564,3,1741276223391591582,-0.0992505,-9.788629,0.043443546
801749574,3,1741276223401791582,-0.1040389,-9.779052,0.06738556
801749584,3,1741276223411596998,-0.0944621,-9.78384,0.048231952
801749593,3,1741276223420844290,-0.1040389,-9.793417,0.048231952
801749603,3,1741276223430676113,-0.11361571,-9.798205,0.048231952
801749613,3,1741276223440532467,-0.10882731,-9.78384,0.03865514
801749623,3,1741276223450415644,-0.10882731,-9.78384,0.029078335
801749632,3,1741276223460325853,-0.10882731,-9.793417,0.057808757
801749642,3,1741276223470263144,-0.1040389,-9.793417,0.057808757
801749652,3,1741276223480229655,-0.1040389,-9.78384,0.048231952
801749662,3,1741276223490225384,-0.1040389,-9.793417,0.057808757
801749672,3,1741276223500250175,-0.11361571,-9.788629,0.043443546
801749682,3,1741276223510275228,-0.1040389,-9.788629,0.05302035
801749692,3,1741276223520300280,-0.1040389,-9.788629,0.062597156
801749702,3,1741276223530351373,-0.11361571,-9.793417,0.057808757
801749713,3,1741276223540427207,-0.10882731,-9.793417,0.062597156
801749723,3,1741276223550527467,-0.11361571,-9.793417,0.057808757
801749733,3,1741276223560651634,-0.10882731,-9.78384,0.048231952
801749743,3,1741276223570799655,-0.1040389,-9.788629,0.05302035
801749753,3,1741276223580971113,-0.1040389,-9.774263,0.05302035
801749763,3,1741276223591167467,-0.11361571,-9.78384,0.048231952
801749773,3,1741276223601367467,-0.0992505,-9.798205,0.03865514
801749784,3,1741276223611567467,-0.0992505,-9.788629,0.03865514
801749794,3,1741276223621767467,-0.11361571,-9.78384,0.06738556
801749804,3,1741276223631967467,-0.10882731,-9.788629,0.057808757
801749814,3,1741276223642167467,-0.1040389,-9.788629,0.048231952
801749824,3,1741276223652367467,-0.11361571,-9.78384,0.057808757
801749835,3,1741276223662567467,-0.11361571,-9.793417,0.062597156
801749845,3,1741276223672767467,-0.0992505,-9.788629,0.06738556
801749855,3,1741276223682967467,-0.0992505,-9.78384,0.06738556
801749865,3,1741276223693167467,-0.0944621,-9.793417,0.05302035
801749875,3,1741276223703367467,-0.1040389,-9.793417,0.03386674
801749885,3,1741276223713172884,-0.0992505,-9.793417,0.043443546
801749894,3,1741276223721813300,-0.1040389,-9.779052,0.05302035
801749904,3,1741276223731639342,-0.1040389,-9.78384,0.057808757
801749914,3,1741276223741486738,-0.0992505,-9.788629,0.057808757
801749923,3,1741276223751356165,-0.1040389,-9.779052,0.048231952
801749933,3,1741276223761247780,-0.0992505,-9.788629,0.043443546
801749943,3,1741276223771162728,-0.1040389,-9.793417,0.048231952
801749953,3,1741276223781102623,-0.1040389,-9.788629,0.043443546
801749963,3,1741276223791067988,-0.1040389,-9.793417,0.03386674
801749973,3,1741276223801058509,-0.1040389,-9.793417,0.03386674
801749983,3,1741276223811079759,-0.11361571,-9.788629,0.048231952
801749993,3,1741276223821125696,-0.1040389,-9.779052,0.048231952
801750003,3,1741276223831196582,-0.1040389,-9.798205,0.03386674
801750013,3,1741276223841292415,-0.10882731,-9.788629,0.03386674
801750024,3,1741276223851413717,-0.10882731,-9.793417,0.03386674
801750034,3,1741276223861560540,-0.11361571,-9.788629,0.03865514
801750044,3,1741276223871731842,-0.1040389,-9.788629,0.05302035
801750054,3,1741276223881925332,-0.1040389,-9.793417,0.048231952
801750064,3,1741276223892125332,-0.11361571,-9.788629,0.03386674
801750074,3,1741276223902325332,-0.10882731,-9.78384,0.043443546
801750085,3,1741276223912525332,-0.1040389,-9.793417,0.057808757
801750095,3,1741276223922725332,-0.0992505,-9.78384,0.057808757
801750105,3,1741276223932925332,-0.1040389,-9.793417,0.062597156
801750115,3,1741276223943125332,-0.11840411,-9.793417,0.05302035
801750125,3,1741276223953325332,-0.11361571,-9.793417,0.05302035
801750136,3,1741276223963525332,-0.11361571,-9.788629,0.048231952
801750146,3,1741276223973725332,-0.1040389,-9.788629,0.06738556
801750156,3,1741276223983925332,-0.11361571,-9.793417,0.05302035
801750166,3,1741276223994125332,-0.10882731,-9.802994,0.029078335
801750176,3,1741276224004325332,-0.10882731,-9.788629,0.057808757
801750187,3,1741276224014525332,-0.0992505,-9.793417,0.05302035
801750197,3,1741276224024725332,-0.10882731,-9.78384,0.05302035
801750207,3,1741276224034925332,-0.1040389,-9.788629,0.05302035
801750217,3,1741276224045125332,-0.1040389,-9.788629,0.05302035
801750227,3,1741276224055325332,-0.1040389,-9.793417,0.05302035
801750238,3,1741276224065525332,-0.10882731,-9.793417,0.03865514
801750248,3,1741276224075725332,-0.1040389,-9.788629,0.048231952
801750258,3,1741276224085925332,-0.0992505,-9.793417,0.043443546
801750268,3,1741276224096125332,-0.1040389,-9.793417,0.057808757
801750278,3,1741276224106325332,-0.1040389,-9.793417,0.05302035
801750289,3,1741276224116525332,-0.1040389,-9.798205,0.05302035
801750299,3,1741276224126725332,-0.11361571,-9.788629,0.057808757
801750309,3,1741276224136925332,-0.11361571,-9.788629,0.07217397
801750319,3,1741276224147125332,-0.11361571,-9.78384,0.048231952
801750329,3,1741276224157325332,-0.1040389,-9.788629,0.043443546
801750340,3,1741276224167525332,-0.1040389,-9.788629,0.057808757
801750350,3,1741276224177725332,-0.10882731,-9.798205,0.05302035
801750360,3,1741276224187925332,-0.1040389,-9.788629,0.03865514
801750370,3,1741276224197892623,-0.0992505,-9.779052,0.048231952
801750380,3,1741276224207860019,-0.1040389,-9.793417,0.048231952
801750390,3,1741276224217834394,-0.10882731,-9.802994,0.043443546
801750400,3,1741276224227710488,-0.10882731,-9.793417,0.043443546
801750410,3,1741276224237588613,-0.0992505,-9.788629,0.05302035
801750420,3,1741276224247471425,-0.11361571,-9.78384,0.057808757
801750429,3,1741276224257358405,-0.1040389,-9.788629,0.03865514
801750439,3,1741276224267249550,-0.12319252,-9.78384,0.01950153
801750449,3,1741276224277144967,-0.1040389,-9.779052,0.03386674
801750459,3,1741276224287044915,-0.0944621,-9.779052,0.043443546
801750469,3,1741276224296949394,-0.1040389,-9.793417,0.048231952
801750479,3,1741276224306857988,-0.1040389,-9.788629,0.03865514
801750489,3,1741276224316774655,-0.10882731,-9.788629,0.03386674
801750499,3,1741276224326696946,-0.11840411,-9.793417,0.029078335
801750509,3,1741276224336623248,-0.1040389,-9.788629,0.048231952
801750519,3,1741276224346554863,-0.10882731,-9.793417,0.03865514
801750529,3,1741276224356491165,-0.1040389,-9.793417,0.029078335
801750539,3,1741276224366432311,-0.11840411,-9.793417,0.03386674
801750548,3,1741276224376377988,-0.1040389,-9.793417,0.029078335
801750558,3,1741276224386328144,-0.10882731,-9.793417,0.03386674
801750568,3,1741276224396283300,-0.11840411,-9.793417,0.043443546
801750578,3,1741276224406243405,-0.11361571,-9.78384,0.043443546
801750588,3,1741276224416213300,-0.1040389,-9.788629,0.03386674
801750598,3,1741276224426190123,-0.10882731,-9.78384,0.05302035
801750608,3,1741276224436173769,-0.11840411,-9.798205,0.048231952
801750618,3,1741276224446164238,-0.11361571,-9.793417,0.048231952
801750628,3,1741276224456162207,-0.11361571,-9.788629,0.05302035
801750638,3,1741276224466168196,-0.1040389,-9.78384,0.03386674
801750648,3,1741276224476182155,-0.1040389,-9.798205,0.048231952
801750658,3,1741276224486202936,-0.0944621,-9.788629,0.043443546
801750668,3,1741276224496229134,-0.11840411,-9.793417,0.057808757
801750678,3,1741276224506260748,-0.11840411,-9.793417,0.043443546
801750688,3,1741276224516303509,-0.10882731,-9.78384,0.05302035
801750698,3,1741276224526351894,-0.11361571,-9.793417,0.03386674
801750709,3,1741276224536406946,-0.11361571,-9.788629,0.048231952
801750719,3,1741276224546467155,-0.10882731,-9.798205,0.03386674
801750729,3,1741276224556531842,-0.10882731,-9.798205,0.048231952
801750739,3,1741276224566601165,-0.1040389,-9.788629,0.03386674
801750749,3,1741276224576674186,-0.11361571,-9.788629,0.029078335
801750759,3,1741276224586750540,-0.1040389,-9.78384,0.048231952
801750769,3,1741276224596830228,-0.0992505,-9.788629,0.03386674
801750779,3,1741276224606912728,-0.1040389,-9.788629,0.05302035
801750789,3,1741276224617004134,-0.11840411,-9.793417,0.05302035
801750799,3,1741276224627099655,-0.11840411,-9.788629,0.048231952
801750809,3,1741276224637197988,-0.11840411,-9.788629,0.057808757
801750819,3,1741276224647298925,-0.1040389,-9.788629,0.05302035
801750830,3,1741276224657403405,-0.10882731,-9.793417,0.048231952
801750840,3,1741276224667510019,-0.1040389,-9.798205,0.043443546
801750850,3,1741276224677618353,-0.0992505,-9.793417,0.057808757
801750860,3,1741276224687726946,-0.10882731,-9.793417,0.048231952
801750870,3,1741276224697835800,-0.11361571,-9.78384,0.048231952
801750880,3,1741276224707945019,-0.11840411,-9.78384,0.05302035
801750890,3,1741276224718062155,-0.10882731,-9.793417,0.043443546
801750900,3,1741276224728088613,-0.11361571,-9.793417,0.03865514
801750910,3,1741276224737894030,-0.10882731,-9.793417,0.048231952
801750920,3,1741276224747699655,-0.0992505,-9.788629,0.029078335
801750930,3,1741276224757506373,-0.1040389,-9.779052,0.024289936
801750939,3,1741276224767314915,-0.10882731,-9.788629,0.048231952
801750949,3,1741276224777125748,-0.10882731,-9.788629,0.03865514
801750959,3,1741276224786939446,-0.10882731,-9.793417,0.03865514
801750969,3,1741276224796756425,-0.1040389,-9.779052,0.024289936
801750979,3,1741276224806578821,-0.11361571,-9.793417,0.029078335
801750989,3,1741276224816412415,-0.10882731,-9.788629,0.043443546
801750998,3,1741276224826254707,-0.11840411,-9.779052,0.05302035
801751008,3,1741276224836105175,-0.10882731,-9.793417,0.05302035
801751018,3,1741276224845964759,-0.11361571,-9.798205,0.029078335
801751028,3,1741276224855831061,-0.1040389,-9.793417,0.043443546
801751038,3,1741276224865705592,-0.10882731,-9.788629,0.024289936
801751048,3,1741276224875587155,-0.11361571,-9.78384,0.03386674
801751058,3,1741276224885477728,-0.11361571,-9.78384,0.057808757
801751067,3,1741276224895377415,-0.0944621,-9.798205,0.043443546
801751077,3,1741276224905286217,-0.10882731,-9.788629,0.048231952
801751087,3,1741276224915210644,-0.11361571,-9.78384,0.024289936
801751097,3,1741276224925144759,-0.10882731,-9.788629,0.05302035
801751107,3,1741276224935087988,-0.10882731,-9.78384,0.03386674
801751117,3,1741276224945041634,-0.11361571,-9.788629,0.043443546
801751127,3,1741276224955004707,-0.11361571,-9.788629,0.048231952
801751137,3,1741276224964977259,-0.1040389,-9.793417,0.05302035
801751147,3,1741276224974959238,-0.10882731,-9.788629,0.043443546
801751157,3,1741276224984951009,-0.10882731,-9.793417,0.05302035
801751167,3,1741276224994953353,-0.10882731,-9.793417,0.05302035
801751177,3,1741276225004967571,-0.1040389,-9.78384,0.05302035
801751187,3,1741276225015000696,-0.0992505,-9.78384,0.043443546
801751197,3,1741276225025045175,-0.1040389,-9.788629,0.05302035
801751207,3,1741276225035101217,-0.0992505,-9.793417,0.03865514
801751217,3,1741276225045167623,-0.10882731,-9.798205,0.03865514
801751227,3,1741276225055242571,-0.1040389,-9.78384,0.029078335
801751237,3,1741276225065326321,-0.10882731,-9.793417,0.03386674
801751248,3,1741276225075417780,-0.1040389,-9.793417,0.03865514
801751258,3,1741276225085518457,-0.11361571,-9.793417,0.062597156
801751268,3,1741276225095626217,-0.10882731,-9.774263,0.03386674
801751278,3,1741276225105741634,-0.1040389,-9.793417,0.029078335
801751288,3,1741276225115869446,-0.0992505,-9.798205,0.03865514
801751298,3,1741276225126003196,-0.1040389,-9.788629,0.048231952
801751308,3,1741276225136142155,-0.10882731,-9.788629,0.048231952
801751318,3,1741276225146286894,-0.1040389,-9.788629,0.057808757
801751329,3,1741276225156436217,-0.1040389,-9.78384,0.043443546
801751339,3,1741276225166589603,-0.10882731,-9.788629,0.043443546
801751349,3,1741276225176746582,-0.0992505,-9.802994,0.043443546
801751359,3,1741276225186907623,-0.10882731,-9.793417,0.048231952
801751369,3,1741276225197070957,-0.11361571,-9.78384,0.043443546
801751379,3,1741276225207238040,-0.11361571,-9.793417,0.043443546
801751390,3,1741276225217415175,-0.1040389,-9.793417,0.05302035
801751400,3,1741276225227595384,-0.1040389,-9.78384,0.05302035
801751410,3,1741276225237777363,-0.1040389,-9.78384,0.05302035
801751420,3,1741276225247960540,-0.1040389,-9.788629,0.03865514
801751430,3,1741276225258143873,-0.1040389,-9.793417,0.05302035
801751440,3,1741276225268038405,-0.10882731,-9.793417,0.03865514
801751450,3,1741276225277843821,-0.11361571,-9.793417,0.043443546
801751460,3,1741276225287649863,-0.10882731,-9.788629,0.043443546
801751470,3,1741276225297457571,-0.1040389,-9.793417,0.057808757
801751479,3,1741276225307267780,-0.1040389,-9.798205,0.043443546
801751489,3,1741276225317088613,-0.1040389,-9.798205,0.03865514
801751499,3,1741276225326914863,-0.1040389,-9.793417,0.03865514
801751509,3,1741276225336745019,-0.1040389,-9.78384,0.057808757
801751519,3,1741276225346579915,-0.1040389,-9.788629,0.05302035
801751529,3,1741276225356419550,-0.1040389,-9.788629,0.03386674
801751538,3,1741276225366264394,-0.10882731,-9.793417,0.029078335
801751548,3,1741276225376116373,-0.1040389,-9.798205,0.03386674
801751558,3,1741276225385975592,-0.1040389,-9.793417,0.057808757
801751568,3,1741276225395843300,-0.1040389,-9.793417,0.03865514
801751578,3,1741276225405719655,-0.0992505,-9.793417,0.043443546
801751588,3,1741276225415611842,-0.1040389,-9.788629,0.03386674
801751598,3,1741276225425512780,-0.10882731,-9.793417,0.048231952
801751608,3,1741276225435422571,-0.1040389,-9.793417,0.03386674
801751617,3,1741276225445341530,-0.10882731,-9.793417,0.03865514
801751627,3,1741276225455269863,-0.10882731,-9.788629,0.03386674
801751637,3,1741276225465207884,-0.1040389,-9.788629,0.043443546
801751647,3,1741276225475154498,-0.10882731,-9.793417,0.048231952
801751657,3,1741276225485111478,-0.10882731,-9.793417,0.024289936
801751667,3,1741276225495078144,-0.10882731,-9.798205,0.03865514
801751677,3,1741276225505054082,-0.1040389,-9.798205,0.048231952
801751687,3,1741276225515048353,-0.10882731,-9.793417,0.057808757
801751697,3,1741276225525052207,-0.1040389,-9.793417,0.03865514
801751707,3,1741276225535065540,-0.11361571,-9.788629,0.062597156
801751717,3,1741276225545088144,-0.11361571,-9.793417,0.03865514
801751727,3,1741276225555119863,-0.12319252,-9.798205,0.03386674
801751737,3,1741276225565160853,-0.0992505,-9.793417,0.043443546
801751747,3,1741276225575211946,-0.1040389,-9.788629,0.05302035
801751757,3,1741276225585272675,-0.11361571,-9.788629,0.048231952
801751767,3,1741276225595343821,-0.11361571,-9.798205,0.048231952
801751778,3,1741276225605425592,-0.11361571,-9.788629,0.048231952
801751788,3,1741276225615523144,-0.10882731,-9.788629,0.048231952
801751798,3,1741276225625628457,-0.11361571,-9.793417,0.048231952
801751808,3,1741276225635742728,-0.10882731,-9.793417,0.03865514
801751818,3,1741276225645864863,-0.10882731,-9.788629,0.048231952
801751828,3,1741276225655993196,-0.0992505,-9.793417,0.05302035
801751838,3,1741276225666128613,-0.10882731,-9.793417,0.03386674
801751848,3,1741276225676271165,-0.1040389,-9.793417,0.048231952
801751859,3,1741276225686419082,-0.0992505,-9.793417,0.029078335
801751869,3,1741276225696571842,-0.1040389,-9.798205,0.024289936
801751879,3,1741276225706728873,-0.10882731,-9.788629,0.03865514
801751889,3,1741276225716892675,-0.10882731,-9.788629,0.048231952
801751899,3,1741276225727058978,-0.10882731,-9.793417,0.05302035
801751909,3,1741276225737227363,-0.10882731,-9.793417,0.048231952
801751920,3,1741276225747399134,-0.11361571,-9.788629,0.03865514
801751930,3,1741276225757572519,-0.10882731,-9.793417,0.043443546
801751940,3,1741276225767748561,-0.10882731,-9.788629,0.05302035
801751950,3,1741276225777927780,-0.0992505,-9.793417,0.057808757
801751960,3,1741276225788079603,-0.10882731,-9.793417,0.029078335
801751970,3,1741276225798234342,-0.10882731,-9.788629,0.029078335
801751980,3,1741276225808222259,-0.1040389,-9.78384,0.05302035
801751990,3,1741276225818218040,-0.1040389,-9.78384,0.048231952
801752000,3,1741276225828023457,-0.10882731,-9.78384,0.03865514
801752010,3,1741276225837829915,-0.10882731,-9.798205,0.043443546
801752020,3,1741276225847637519,-0.10882731,-9.802994,0.05302035
801752030,3,1741276225857447571,-0.10882731,-9.788629,0.062597156
