gyro_s003_002 QTI-Gyroscope Non-wakeup,TDK-Invensense,2025-03-06_18-50-19.416_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel2_x[rad/s],ang_vel2_y[rad/s],ang_vel2_z[rad/s]
801749340,3,1741276223167850228,-1.661852E-4,9.161277E-4,0.0035025843
801749350,3,1741276223177656165,-1.661852E-4,-1.4913583E-4,3.0679372E-4
801749360,3,1741276223187464134,-1.661852E-4,-1.4913583E-4,3.0679372E-4
801749369,3,1741276223197275071,8.990783E-4,-1.4913583E-4,-7.584698E-4
801749379,3,1741276223207090592,-1.661852E-4,-0.0012143994,3.0679372E-4
801749389,3,1741276223216896009,8.990783E-4,-1.4913583E-4,3.0679372E-4
801749393,3,1741276223220919707,-1.661852E-4,-1.4913583E-4,-7.584698E-4
801749403,3,1741276223230751530,8.990783E-4,-1.4913583E-4,3.0679372E-4
801749413,3,1741276223240608613,0.0019643418,-1.4913583E-4,-7.584698E-4
801749423,3,1741276223250491217,8.990783E-4,-1.4913583E-4,3.0679372E-4
801749433,3,1741276223260399707,-1.661852E-4,-0.0012143994,3.0679372E-4
801749442,3,1741276223270334759,-1.661852E-4,-1.4913583E-4,3.0679372E-4
801749452,3,1741276223280298144,-1.661852E-4,-1.4913583E-4,-7.584698E-4
801749462,3,1741276223290289550,-1.661852E-4,-1.4913583E-4,3.0679372E-4
801749472,3,1741276223300308925,-1.661852E-4,-0.0012143994,-7.584698E-4
801749482,3,1741276223310357780,-1.661852E-4,-1.4913583E-4,3.0679372E-4
801749493,3,1741276223320434550,-1.661852E-4,-0.0012143994,3.0679372E-4
801749503,3,1741276223330538300,-1.661852E-4,-1.4913583E-4,3.0679372E-4
801749513,3,1741276223340667103,-1.661852E-4,-0.0012143994,3.0679372E-4
801749523,3,1741276223350819238,8.990783E-4,-1.4913583E-4,-7.584698E-4
801749533,3,1741276223360994290,-1.661852E-4,-0.0012143994,-7.584698E-4
801749543,3,1741276223371191582,-1.661852E-4,-1.4913583E-4,-7.584698E-4
801749553,3,1741276223381391582,8.990783E-4,9.161277E-4,-7.584698E-4
801749564,3,1741276223391591582,8.990783E-4,-1.4913583E-4,-7.584698E-4
801749574,3,1741276223401791582,8.990783E-4,-1.4913583E-4,3.0679372E-4
801749584,3,1741276223411596998,-1.661852E-4,-1.4913583E-4,3.0679372E-4
801749593,3,1741276223420844290,-1.661852E-4,-1.4913583E-4,3.0679372E-4
801749603,3,1741276223430676113,-1.661852E-4,-1.4913583E-4,-7.584698E-4
801749613,3,1741276223440532467,-1.661852E-4,-0.0012143994,3.0679372E-4
801749623,3,1741276223450415644,8.990783E-4,-1.4913583E-4,-0.0018237333
801749632,3,1741276223460325853,-1.661852E-4,9.161277E-4,3.0679372E-4
801749642,3,1741276223470263144,-1.661852E-4,9.161277E-4,-7.584698E-4
801749652,3,1741276223480229655,8.990783E-4,-1.4913583E-4,-7.584698E-4
801749662,3,1741276223490225384,-1.661852E-4,-1.4913583E-4,-7.584698E-4
801749672,3,1741276223500250175,8.990783E-4,-1.4913583E-4,3.0679372E-4
801749682,3,1741276223510275228,-0.0012314487,-0.0012143994,3.0679372E-4
801749692,3,1741276223520300280,-1.661852E-4,-1.4913583E-4,-7.584698E-4
801749702,3,1741276223530351373,8.990783E-4,-1.4913583E-4,3.0679372E-4
801749713,3,1741276223540427207,8.990783E-4,-0.0012143994,3.0679372E-4
801749723,3,1741276223550527467,8.990783E-4,-1.4913583E-4,3.0679372E-4
801749733,3,1741276223560651634,-1.661852E-4,9.161277E-4,3.0679372E-4
801749743,3,1741276223570799655,-1.661852E-4,9.161277E-4,0.0013720572
801749753,3,1741276223580971113,8.990783E-4,-1.4913583E-4,-7.584698E-4
801749763,3,1741276223591167467,-1.661852E-4,-1.4913583E-4,-7.584698E-4
801749773,3,1741276223601367467,-1.661852E-4,9.161277E-4,3.0679372E-4
801749784,3,1741276223611567467,8.990783E-4,-1.4913583E-4,-7.584698E-4
801749794,3,1741276223621767467,-1.661852E-4,-1.4913583E-4,-7.584698E-4
801749804,3,1741276223631967467,-1.661852E-4,-1.4913583E-4,-7.584698E-4
801749814,3,1741276223642167467,8.990783E-4,-1.4913583E-4,-7.584698E-4
801749824,3,1741276223652367467,8.990783E-4,-1.4913583E-4,-7.584698E-4
801749835,3,1741276223662567467,-1.661852E-4,-1.4913583E-4,3.0679372E-4
801749845,3,1741276223672767467,-1.661852E-4,-1.4913583E-4,3.0679372E-4
801749855,3,1741276223682967467,-1.661852E-4,-0.0012143994,-7.584698E-4
801749865,3,1741276223693167467,-1.661852E-4,-1.4913583E-4,-7.584698E-4
801749875,3,1741276223703367467,-1.661852E-4,-1.4913583E-4,-7.584698E-4
801749885,3,1741276223713172884,8.990783E-4,-1.4913583E-4,0.0013720572
801749894,3,1741276223721813300,-1.661852E-4,-1.4913583E-4,3.0679372E-4
801749904,3,1741276223731639342,-1.661852E-4,-1.4913583E-4,3.0679372E-4
801749914,3,1741276223741486738,8.990783E-4,-1.4913583E-4,-7.584698E-4
801749923,3,1741276223751356165,8.990783E-4,-1.4913583E-4,3.0679372E-4
801749933,3,1741276223761247780,-1.661852E-4,-1.4913583E-4,3.0679372E-4
801749943,3,1741276223771162728,8.990783E-4,-0.0012143994,-7.584698E-4
801749953,3,1741276223781102623,-1.661852E-4,-0.0012143994,-7.584698E-4
801749963,3,1741276223791067988,8.990783E-4,-1.4913583E-4,-7.584698E-4
801749973,3,1741276223801058509,-1.661852E-4,-0.0012143994,-7.584698E-4
801749983,3,1741276223811079759,8.990783E-4,-1.4913583E-4,-7.584698E-4
801749993,3,1741276223821125696,8.990783E-4,9.161277E-4,-0.0018237333
801750003,3,1741276223831196582,-1.661852E-4,-1.4913583E-4,3.0679372E-4
801750013,3,1741276223841292415,-1.661852E-4,-1.4913583E-4,-7.584698E-4
801750024,3,1741276223851413717,8.990783E-4,-1.4913583E-4,3.0679372E-4
801750034,3,1741276223861560540,8.990783E-4,-0.0012143994,3.0679372E-4
801750044,3,1741276223871731842,-1.661852E-4,-0.0012143994,-7.584698E-4
801750054,3,1741276223881925332,-1.661852E-4,-0.0012143994,3.0679372E-4
801750064,3,1741276223892125332,-1.661852E-4,-1.4913583E-4,3.0679372E-4
801750074,3,1741276223902325332,8.990783E-4,-1.4913583E-4,-7.584698E-4
801750085,3,1741276223912525332,-1.661852E-4,-1.4913583E-4,3.0679372E-4
801750095,3,1741276223922725332,-1.661852E-4,-1.4913583E-4,3.0679372E-4
801750105,3,1741276223932925332,-0.0012314487,-1.4913583E-4,3.0679372E-4
801750115,3,1741276223943125332,-1.661852E-4,-1.4913583E-4,3.0679372E-4
801750125,3,1741276223953325332,8.990783E-4,-1.4913583E-4,-7.584698E-4
801750136,3,1741276223963525332,0.0019643418,-0.0012143994,-7.584698E-4
801750146,3,1741276223973725332,8.990783E-4,-1.4913583E-4,3.0679372E-4
801750156,3,1741276223983925332,8.990783E-4,-1.4913583E-4,-7.584698E-4
801750166,3,1741276223994125332,-1.661852E-4,-1.4913583E-4,-7.584698E-4
801750176,3,1741276224004325332,8.990783E-4,-1.4913583E-4,-7.584698E-4
801750187,3,1741276224014525332,8.990783E-4,-1.4913583E-4,3.0679372E-4
801750197,3,1741276224024725332,-1.661852E-4,-1.4913583E-4,-7.584698E-4
801750207,3,1741276224034925332,8.990783E-4,-1.4913583E-4,3.0679372E-4
801750217,3,1741276224045125332,-1.661852E-4,9.161277E-4,-7.584698E-4
801750227,3,1741276224055325332,8.990783E-4,-1.4913583E-4,3.0679372E-4
801750238,3,1741276224065525332,-1.661852E-4,-1.4913583E-4,-7.584698E-4
801750248,3,1741276224075725332,8.990783E-4,-0.0012143994,3.0679372E-4
801750258,3,1741276224085925332,8.990783E-4,9.161277E-4,3.0679372E-4
801750268,3,1741276224096125332,8.990783E-4,9.161277E-4,-7.584698E-4
801750278,3,1741276224106325332,-1.661852E-4,-1.4913583E-4,3.0679372E-4
801750289,3,1741276224116525332,8.990783E-4,-1.4913583E-4,-7.584698E-4
801750299,3,1741276224126725332,8.990783E-4,9.161277E-4,-7.584698E-4
801750309,3,1741276224136925332,8.990783E-4,-1.4913583E-4,-7.584698E-4
801750319,3,1741276224147125332,-1.661852E-4,-1.4913583E-4,3.0679372E-4
801750329,3,1741276224157325332,-1.661852E-4,-0.0012143994,3.0679372E-4
801750340,3,1741276224167525332,8.990783E-4,-1.4913583E-4,3.0679372E-4
801750350,3,1741276224177725332,0.0019643418,-1.4913583E-4,3.0679372E-4
801750360,3,1741276224187925332,-1.661852E-4,9.161277E-4,-7.584698E-4
801750370,3,1741276224197892623,-1.661852E-4,-1.4913583E-4,3.0679372E-4
801750380,3,1741276224207860019,-0.0012314487,-1.4913583E-4,3.0679372E-4
801750390,3,1741276224217834394,-1.661852E-4,-1.4913583E-4,3.0679372E-4
801750400,3,1741276224227710488,8.990783E-4,-1.4913583E-4,3.0679372E-4
801750410,3,1741276224237588613,-1.661852E-4,-0.0012143994,-0.0018237333
801750420,3,1741276224247471425,8.990783E-4,-0.0012143994,-0.0018237333
801750429,3,1741276224257358405,-1.661852E-4,-1.4913583E-4,-0.0018237333
801750439,3,1741276224267249550,8.990783E-4,9.161277E-4,3.0679372E-4
801750449,3,1741276224277144967,-1.661852E-4,9.161277E-4,-7.584698E-4
801750459,3,1741276224287044915,8.990783E-4,-1.4913583E-4,-7.584698E-4
801750469,3,1741276224296949394,8.990783E-4,-1.4913583E-4,-7.584698E-4
801750479,3,1741276224306857988,8.990783E-4,-1.4913583E-4,3.0679372E-4
801750489,3,1741276224316774655,-1.661852E-4,9.161277E-4,-7.584698E-4
801750499,3,1741276224326696946,-1.661852E-4,-0.0012143994,-7.584698E-4
801750509,3,1741276224336623248,-1.661852E-4,-1.4913583E-4,3.0679372E-4
801750519,3,1741276224346554863,8.990783E-4,-1.4913583E-4,3.0679372E-4
801750529,3,1741276224356491165,8.990783E-4,9.161277E-4,0.0013720572
801750539,3,1741276224366432311,-1.661852E-4,9.161277E-4,3.0679372E-4
801750548,3,1741276224376377988,-1.661852E-4,-1.4913583E-4,-7.584698E-4
801750558,3,1741276224386328144,8.990783E-4,-1.4913583E-4,-7.584698E-4
801750568,3,1741276224396283300,-1.661852E-4,-1.4913583E-4,3.0679372E-4
801750578,3,1741276224406243405,-1.661852E-4,-1.4913583E-4,-7.584698E-4
801750588,3,1741276224416213300,8.990783E-4,-1.4913583E-4,-7.584698E-4
801750598,3,1741276224426190123,8.990783E-4,-0.0012143994,-7.584698E-4
801750608,3,1741276224436173769,-1.661852E-4,-1.4913583E-4,-7.584698E-4
801750618,3,1741276224446164238,-0.0012314487,-1.4913583E-4,3.0679372E-4
801750628,3,1741276224456162207,-0.0012314487,-1.4913583E-4,-7.584698E-4
801750638,3,1741276224466168196,8.990783E-4,-0.0012143994,-7.584698E-4
801750648,3,1741276224476182155,8.990783E-4,9.161277E-4,3.0679372E-4
801750658,3,1741276224486202936,8.990783E-4,9.161277E-4,3.0679372E-4
801750668,3,1741276224496229134,8.990783E-4,9.161277E-4,-7.584698E-4
801750678,3,1741276224506260748,-1.661852E-4,-1.4913583E-4,-0.0018237333
801750688,3,1741276224516303509,-1.661852E-4,-0.0012143994,3.0679372E-4
801750698,3,1741276224526351894,-1.661852E-4,-1.4913583E-4,3.0679372E-4
801750709,3,1741276224536406946,-1.661852E-4,-0.0012143994,3.0679372E-4
