acc_s001_004 Accelerometer Non-wakeup,STMicro,2025-03-06_18-37-32.144_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc_x[m/s^2],acc_y[m/s^2],acc_z[m/s^2]
800981480,3,1741275455308038075,0.112761766,-9.762417,0.23449662
800981490,3,1741275455318021148,0.118145615,-9.767502,0.22941187
800981500,3,1741275455328005107,0.116351,-9.767801,0.23330021
800981510,3,1741275455337988179,0.122931264,-9.768699,0.24526432
800981520,3,1741275455347972138,0.11066805,-9.766604,0.24227329
800981530,3,1741275455357954325,0.1160519,-9.760024,0.23928227
800981540,3,1741275455367939013,0.119042926,-9.76152,0.23569304
800981550,3,1741275455377922971,0.11934203,-9.765707,0.23898315
800981560,3,1741275455387906929,0.11874382,-9.764511,0.24137598
800981570,3,1741275455397890002,0.11485548,-9.761819,0.24556342
800981580,3,1741275455407873961,0.119042926,-9.768399,0.22971097
800981590,3,1741275455417856148,0.12323037,-9.758529,0.22671995
800981600,3,1741275455427841252,0.11485548,-9.76152,0.23659034
800981610,3,1741275455437823440,0.12502499,-9.752248,0.24705894
800981620,3,1741275455447808127,0.1058824,-9.757631,0.24047868
800981630,3,1741275455457792086,0.11006984,-9.762118,0.22941187
800981640,3,1741275455467775159,0.118145615,-9.760623,0.23898315
800981650,3,1741275455477759117,0.111864455,-9.752846,0.24077778
800981660,3,1741275455487742190,0.11874382,-9.769297,0.23808585
800981670,3,1741275455497726148,0.11844472,-9.770792,0.2428715
800981680,3,1741275455507710107,0.11246266,-9.769895,0.23988047
800981690,3,1741275455517693179,0.119940236,-9.757631,0.23898315
800981700,3,1741275455527677138,0.115752794,-9.754043,0.24047868
800981710,3,1741275455537659325,0.124426775,-9.767502,0.23569304
800981720,3,1741275455547643857,0.11515459,-9.768699,0.23599213
800981730,3,1741275455557627815,0.12023934,-9.7704935,0.23090738
800981739,3,1741275455567610002,0.11485548,-9.7654085,0.23030917
800981749,3,1741275455577415627,0.11515459,-9.767502,0.232702
800981759,3,1741275455587573804,0.12323037,-9.763016,0.23928227
800981769,3,1741275455597567711,0.1271187,-9.765109,0.232702
800981780,3,1741275455607749117,0.112761766,-9.759128,0.232702
800981790,3,1741275455617930627,0.12532409,-9.763016,0.2428715
800981800,3,1741275455628112919,0.11246266,-9.758529,0.24137598
800981810,3,1741275455638295211,0.119042926,-9.763614,0.23629123
800981820,3,1741275455648477502,0.12771691,-9.7704935,0.23629123
800981831,3,1741275455658636669,0.10707881,-9.770194,0.24137598
800981841,3,1741275455668622086,0.116650105,-9.762716,0.23599213
800981850,3,1741275455678605263,0.10767702,-9.773783,0.23868406
800981860,3,1741275455688589221,0.09421739,-9.763314,0.24825534
800981870,3,1741275455698573075,0.116351,-9.766904,0.23718855
800981880,3,1741275455708556252,0.10707881,-9.764811,0.23419751
800981890,3,1741275455718540107,0.11964113,-9.760024,0.23629123
800981900,3,1741275455728523284,0.122931264,-9.772587,0.24047868
800981910,3,1741275455738507242,0.111864455,-9.766006,0.2434697
800981920,3,1741275455748491096,0.11694921,-9.765707,0.23958136
800981930,3,1741275455758474273,0.116351,-9.761221,0.23090738
800981940,3,1741275455768458127,0.12352947,-9.763614,0.23629123
800981950,3,1741275455778441096,0.117547415,-9.763314,0.23928227
800981960,3,1741275455788423284,0.1160519,-9.763614,0.24047868
800981970,3,1741275455798252450,0.116650105,-9.772287,0.23898315
800981980,3,1741275455808398700,0.119940236,-9.764511,0.23479572
800981990,3,1741275455818380888,0.11306087,-9.771989,0.24556342
800982000,3,1741275455828538857,0.12263216,-9.782457,0.24227329
800982011,3,1741275455838720419,0.1160519,-9.758828,0.25393832
800982021,3,1741275455848875836,0.11216356,-9.7704935,0.23659034
800982031,3,1741275455858897711,0.12023934,-9.768399,0.24436702
800982041,3,1741275455868881513,0.11395818,-9.766604,0.24077778
800982051,3,1741275455878864742,0.118145615,-9.7609215,0.23808585
800982061,3,1741275455888848544,0.118145615,-9.763913,0.23449662
800982071,3,1741275455898831773,0.116351,-9.768699,0.22761725
800982081,3,1741275455908815419,0.11934203,-9.76152,0.24975087
800982091,3,1741275455918797607,0.12233306,-9.771989,0.24227329
800982101,3,1741275455928783075,0.116351,-9.7704935,0.2425724
800982111,3,1741275455938766304,0.12113664,-9.768699,0.23479572
800982121,3,1741275455948750107,0.12263216,-9.768399,0.2440679
800982131,3,1741275455958733336,0.11425728,-9.759726,0.23958136
800982141,3,1741275455968716982,0.10707881,-9.762417,0.2416751
800982151,3,1741275455978687398,0.11335997,-9.767203,0.23659034
800982160,3,1741275455988540054,0.11934203,-9.757631,0.23479572
800982171,3,1741275455998721461,0.10767702,-9.757631,0.23868406
800982181,3,1741275456008855992,0.10827523,-9.769895,0.23958136
800982191,3,1741275456018838179,0.11216356,-9.764811,0.24945176
800982201,3,1741275456028996148,0.12592229,-9.762716,0.23778675
800982211,3,1741275456039144846,0.124426775,-9.765707,0.24197419
800982221,3,1741275456049173492,0.11455639,-9.760623,0.24197419
800982231,3,1741275456059157242,0.10827523,-9.770194,0.24436702
800982241,3,1741275456069140523,0.12143575,-9.763314,0.23539393
800982251,3,1741275456079124273,0.12562318,-9.764212,0.23539393
800982261,3,1741275456089107554,0.11425728,-9.763314,0.23838496
800982271,3,1741275456099091513,0.116650105,-9.77139,0.23898315
800982281,3,1741275456109075054,0.118145615,-9.764811,0.23479572
800982291,3,1741275456119057242,0.10827523,-9.760024,0.24436702
