timestamp_global[ms],timestampImu[ms],ang_vel_uncal_x[rad/s],ang_vel_uncal_y[rad/s],ang_vel_uncal_z[rad/s],acc_uncal_x[m/s^2],acc_uncal_y[m/s^2],acc_uncal_z[m/s^2],mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],ang_vel_drift_x[rad/s],ang_vel_drift_y[rad/s],ang_vel_drift_z[rad/s],acc_bias_x[m/s^2],acc_bias_y[m/s^2],acc_bias_z[m/s^2],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
259,800981600,0.0056504994,-0.002290743,0.0021380268,0.11485548,-9.76152,0.23659034,4.8125,7.7125,149.6625,0.0041796416,-0.0010617414,0.002740393,0.0,0.0,0.0,-28.0,-47.0,180.0
269,800981610,0.0042760535,-0.0013744457,0.0019853106,0.12502499,-9.752248,0.24705894,4.9625,7.65,149.2375,0.0041796416,-0.0010617414,0.002740393,0.0,0.0,0.0,-28.0,-47.0,180.0
279,800981620,0.0048869182,-0.0010690134,0.0012217296,0.1058824,-9.757631,0.24047868,4.85,7.6,149.27501,0.0041796416,-0.0010617414,0.002740393,0.0,0.0,0.0,-28.0,-47.0,180.0
289,800981630,0.0050396346,-0.002290743,0.0019853106,0.11006984,-9.762118,0.22941187,4.8375,7.5750003,149.35,0.0041796416,-0.0010617414,0.002740393,0.0,0.0,0.0,-28.0,-47.0,180.0
299,800981640,0.005497783,-0.0010690134,0.0015271619,0.118145615,-9.760623,0.23898315,4.8125,7.5625,149.3625,0.0041796416,-0.0010617414,0.002740393,0.0,0.0,0.0,-28.0,-47.0,180.0
309,800981650,0.0050396346,-0.0024434591,0.0018325944,0.111864455,-9.752846,0.24077778,4.8375,7.5375,149.4375,0.0041796416,-0.0010617414,0.002740393,0.0,0.0,0.0,-28.0,-47.0,180.0
319,800981660,0.0050396346,-0.0018325944,0.0019853106,0.11874382,-9.769297,0.23808585,4.8250003,7.4875,149.4875,0.0041796416,-0.0010617414,0.002740393,0.0,0.0,0.0,-28.0,-47.0,180.0
329,800981670,0.005345067,-0.0013744457,0.0015271619,0.11844472,-9.770792,0.2428715,4.8125,7.4625,149.5125,0.0041796416,-0.0010617414,0.002740393,0.0,0.0,0.0,-28.0,-47.0,180.0
338,800981679,0.0042760535,-0.0012217296,0.002290743,0.11844472,-9.770792,0.2428715,4.8125,7.4375,149.5125,0.0041796416,-0.0010617414,0.002740393,0.0,0.0,0.0,-28.0,-47.0,180.0
348,800981689,0.0051923506,-0.0018325944,0.0010690134,0.11246266,-9.769895,0.23988047,4.7625003,7.4500003,149.6125,0.0041796416,-0.0010617414,0.002740393,0.0,0.0,0.0,-28.0,-47.0,180.0
358,800981699,0.0048869182,-0.0010690134,0.0018325944,0.119940236,-9.757631,0.23898315,4.8125,7.4875,149.625,0.0041796416,-0.0010617414,0.002740393,0.0,0.0,0.0,-28.0,-47.0,180.0
368,800981709,0.0051923506,-0.0015271619,0.0018325944,0.115752794,-9.754043,0.24047868,4.8250003,7.5125003,149.6,0.0041796416,-0.0010617414,0.002740393,0.0,0.0,0.0,-28.0,-47.0,180.0
378,800981719,0.004123337,-0.0010690134,0.0016798781,0.124426775,-9.767502,0.23569304,4.85,7.5375,149.625,0.0041796416,-0.0010617414,0.002740393,0.0,0.0,0.0,-28.0,-47.0,180.0
388,800981729,0.005497783,-0.0019853106,0.0021380268,0.11515459,-9.768699,0.23599213,4.8250003,7.5625,149.625,0.0041796416,-0.0010617414,0.002740393,0.0,0.0,0.0,-28.0,-47.0,180.0
