Game Rotation Vector  Non-wakeup,QTI,2025-03-06_18-37-32.144_TGW
imuTimestamp,accuracy(more=better), w, x, y, z
800981719,3,-0.4907014,-0.49714315,0.50284064,0.5091288
800981729,3,-0.49081698,-0.4970193,0.5029629,0.50901747
800981739,3,-0.49085465,-0.49707,0.5029139,0.5089801
800981749,3,-0.49090987,-0.4970604,0.502924,0.5089263
800981759,3,-0.49093124,-0.49704394,0.5029403,0.5089056
800981769,3,-0.49087876,-0.49703977,0.50294375,0.5089569
800981780,3,-0.49085027,-0.49707332,0.50291073,0.5089843
800981790,3,-0.49087405,-0.49705625,0.50292766,0.50896126
800981800,3,-0.4908293,-0.49704584,0.50293714,0.5090051
800981810,3,-0.49082962,-0.49701002,0.5029722,0.50900525
800981820,3,-0.49082586,-0.4970103,0.5029718,0.50900894
800981830,3,-0.49080318,-0.4970276,0.50295466,0.5090309
800981840,3,-0.4908155,-0.49699026,0.5029913,0.5090193
800981850,3,-0.4908167,-0.4969842,0.50299716,0.50901824
800981860,3,-0.49082792,-0.49696139,0.50301945,0.5090075
800981870,3,-0.4908466,-0.49690396,0.5030758,0.50899
800981880,3,-0.4908441,-0.49690503,0.5030747,0.50899243
800981890,3,-0.4908601,-0.49689537,0.5030844,0.50897694
800981900,3,-0.49085593,-0.49689975,0.50308007,0.50898093
800981910,3,-0.49084103,-0.49690515,0.5030747,0.5089955
800981920,3,-0.49083817,-0.4968948,0.50308466,0.5089984
800981930,3,-0.49083316,-0.49689585,0.5030834,0.5090032
800981940,3,-0.49083772,-0.49690354,0.50307614,0.50899863
800981950,3,-0.49082798,-0.49691314,0.5030666,0.5090081
800981960,3,-0.49082375,-0.4969116,0.5030681,0.5090122
800981970,3,-0.49082062,-0.49690762,0.5030719,0.5090153
800981980,3,-0.49081925,-0.49690646,0.503073,0.50901663
800981990,3,-0.49081406,-0.4969131,0.5030666,0.50902164
800982000,3,-0.490806,-0.4969039,0.50307536,0.5090296
800982010,3,-0.49079573,-0.49690402,0.5030752,0.5090397
800982021,3,-0.49078226,-0.49688765,0.5030909,0.50905305
800982031,3,-0.49078518,-0.49688926,0.5030893,0.5090502
800982041,3,-0.49077314,-0.4968859,0.50309247,0.509062
800982051,3,-0.4907699,-0.49688217,0.50309604,0.50906515
800982061,3,-0.4907653,-0.49688512,0.5030932,0.5090696
800982071,3,-0.4907656,-0.49689192,0.50308645,0.50906926
800982081,3,-0.4907716,-0.4968999,0.5030788,0.5090633
800982091,3,-0.49076077,-0.49689457,0.5030839,0.5090739
800982101,3,-0.49075055,-0.49689698,0.5030813,0.5090839
800982111,3,-0.4907477,-0.49689412,0.5030842,0.5090867
800982121,3,-0.49074915,-0.49689916,0.50307924,0.50908524
800982131,3,-0.49074036,-0.49689966,0.5030787,0.5090938
800982140,3,-0.49073884,-0.4968968,0.5030815,0.5090953
800982150,3,-0.49073893,-0.49689007,0.50308794,0.5090953
800982160,3,-0.4907403,-0.49689078,0.50308734,0.509094
800982171,3,-0.4907414,-0.49689814,0.5030801,0.5090928
800982181,3,-0.49074668,-0.49689224,0.5030859,0.5090877
800982191,3,-0.49074614,-0.49688876,0.5030893,0.5090883
800982201,3,-0.49074,-0.4968797,0.5030982,0.50909436
800982211,3,-0.4907352,-0.49688548,0.50309247,0.509099
800982221,3,-0.49072638,-0.49689204,0.5030859,0.50910753
800982231,3,-0.49072316,-0.4968916,0.5030863,0.5091107
800982241,3,-0.49072596,-0.49688402,0.5030937,0.50910807
800982251,3,-0.49072173,-0.49688655,0.50309134,0.5091121
800982261,3,-0.49072048,-0.49689433,0.5030835,0.50911325
800982271,3,-0.49071896,-0.49689323,0.5030847,0.50911474
800982281,3,-0.49071634,-0.49689546,0.50308245,0.50911725
800982291,3,-0.49071503,-0.49689507,0.5030828,0.50911856
800982301,3,-0.49071473,-0.49688822,0.5030895,0.5091189
800982311,3,-0.49071428,-0.49689052,0.50308734,0.5091194
800982321,3,-0.4907042,-0.4968925,0.5030852,0.50912917
800982331,3,-0.49071133,-0.49690312,0.503075,0.5091221
800982341,3,-0.49070245,-0.49690714,0.50307083,0.5091307
800982351,3,-0.49070036,-0.49690822,0.50306976,0.50913274
800982361,3,-0.4906932,-0.49690574,0.50307214,0.5091397
800982371,3,-0.49069172,-0.49689528,0.5030823,0.5091413
800982381,3,-0.49068183,-0.49689773,0.5030797,0.5091509
800982391,3,-0.4906834,-0.49690387,0.50307375,0.5091493
800982401,3,-0.49067694,-0.4969031,0.5030745,0.50915563
800982411,3,-0.4906767,-0.4969068,0.503071,0.50915587
800982421,3,-0.49067953,-0.49690992,0.50306803,0.50915307
800982431,3,-0.49067634,-0.49690855,0.5030692,0.50915617
800982442,3,-0.4906762,-0.49691385,0.5030641,0.5091562
800982452,3,-0.49067637,-0.49691176,0.50306594,0.5091561
800982462,3,-0.4906689,-0.49690992,0.50306785,0.50916344
800982472,3,-0.49067298,-0.49691436,0.50306356,0.5091594
800982482,3,-0.49067062,-0.49691653,0.5030614,0.50916165
800982492,3,-0.49066874,-0.4969209,0.50305706,0.50916344
800982502,3,-0.49067378,-0.49692634,0.5030518,0.5091585
800982512,3,-0.49067205,-0.49692395,0.503054,0.50916016
800982522,3,-0.49066973,-0.49693352,0.5030448,0.5091623
800982532,3,-0.49067438,-0.49693155,0.5030469,0.50915784
800982542,3,-0.49066848,-0.49692503,0.50305295,0.5091636
