gravity  Non-wakeup,QTI,2025-03-06_18-37-32.144_TGW
imuTimestamp,accuracy(more=better),grav_x[m/s^2],grav_y[m/s^2],grav_z[m/s^2]
800981739,3,0.12044762,-9.803094,0.23502803
800981749,3,0.11918468,-9.80313,0.2341527
800981759,3,0.1184512,-9.803141,0.23406239
800981769,3,0.1193939,-9.803103,0.23515426
800981780,3,0.12059636,-9.803091,0.23504953
800981790,3,0.11980354,-9.803103,0.23492336
800981800,3,0.120475866,-9.80307,0.23598625
800981810,3,0.119779706,-9.8030615,0.23668055
800981820,3,0.11985904,-9.80306,0.2367463
800981830,3,0.12063538,-9.803047,0.23684607
800981840,3,0.11967518,-9.803048,0.2373377
800981850,3,0.119535364,-9.803047,0.23743255
800981860,3,0.11887699,-9.80305,0.23765913
800981870,3,0.11740687,-9.803049,0.23842025
800981880,3,0.117475726,-9.803047,0.23844758
800981890,3,0.116979174,-9.803057,0.23832856
800981900,3,0.117142886,-9.803053,0.23832327
800981910,3,0.11753992,-9.803045,0.23850693
800981920,3,0.11739627,-9.8030405,0.23876138
800981930,3,0.11751346,-9.803038,0.23883529
800981940,3,0.11757102,-9.803041,0.23860122
800981950,3,0.11794817,-9.803037,0.23860121
800981960,3,0.117998876,-9.803034,0.23871234
800981970,3,0.117983915,-9.803031,0.23884918
800981980,3,0.117987856,-9.803029,0.23889787
800981990,3,0.11821752,-9.803027,0.23887008
800982000,3,0.118197255,-9.80302,0.23920314
800982010,3,0.118400216,-9.803013,0.23940063
800982021,3,0.11834902,-9.802999,0.23997876
800982031,3,0.11832357,-9.803001,0.23988858
800982041,3,0.118492864,-9.802992,0.2401866
800982051,3,0.11848373,-9.802989,0.24032134
800982061,3,0.11863025,-9.802986,0.24035357
800982071,3,0.11875506,-9.802989,0.2402134
800982081,3,0.11879186,-9.802995,0.23994339
800982091,3,0.11889947,-9.802985,0.24025607
800982101,3,0.11914707,-9.802979,0.24040514
800982111,3,0.11914763,-9.802977,0.2405168
800982121,3,0.11921611,-9.8029785,0.24039021
800982131,3,0.119397864,-9.802973,0.24054985
800982140,3,0.11937148,-9.802971,0.24063523
800982150,3,0.11924038,-9.802969,0.24076347
800982160,3,0.11922724,-9.802971,0.24072443
800982171,3,0.119346745,-9.802973,0.24055922
800982181,3,0.11912973,-9.802976,0.24057172
800982191,3,0.11907397,-9.802974,0.24064974
800982201,3,0.11901885,-9.802966,0.24094617
800982211,3,0.119224094,-9.802964,0.24092585
800982221,3,0.11952191,-9.80296,0.24096745
800982231,3,0.11957601,-9.802958,0.24103883
800982241,3,0.11937607,-9.8029585,0.24113171
800982251,3,0.11950686,-9.802957,0.24116598
800982261,3,0.11968141,-9.802957,0.24103434
800982271,3,0.11969018,-9.802956,0.24108736
800982281,3,0.119783595,-9.802954,0.24109414
800982291,3,0.11980146,-9.802953,0.24112667
800982301,3,0.11967519,-9.802951,0.24126574
800982311,3,0.11972955,-9.802951,0.24123135
800982321,3,0.11996388,-9.802945,0.24138463
800982331,3,0.12002882,-9.802952,0.2410421
800982341,3,0.12028003,-9.802947,0.24113262
800982351,3,0.12034186,-9.802946,0.24115248
800982361,3,0.12043254,-9.802941,0.24133843
800982371,3,0.12026111,-9.802937,0.24157037
800982381,3,0.12050081,-9.80293,0.24171276
800982391,3,0.12058742,-9.802933,0.2415622
800982401,3,0.12069837,-9.802928,0.24170397
800982411,3,0.12077479,-9.802929,0.24163763
800982421,3,0.120780565,-9.802931,0.24152239
800982431,3,0.12081562,-9.802929,0.24160965
800982442,3,0.12092044,-9.80293,0.24150907
800982452,3,0.12087793,-9.802929,0.24154387
800982462,3,0.120988116,-9.802924,0.24172702
800982472,3,0.12099259,-9.802928,0.24156202
800982482,3,0.12108067,-9.802927,0.24156453
800982492,3,0.121201836,-9.802926,0.24151435
800982502,3,0.12120852,-9.802931,0.2413111
800982512,3,0.1211961,-9.802929,0.24138978
800982522,3,0.121425375,-9.80293,0.24125002
800982532,3,0.12129651,-9.802933,0.24120036
800982542,3,0.12128577,-9.802927,0.24143754
800982552,3,0.12122772,-9.802924,0.24156934
800982562,3,0.121288285,-9.802925,0.24151808
800982572,3,0.12118965,-9.802925,0.24157365
800982582,3,0.12136793,-9.802923,0.2415674
800982592,3,0.121418245,-9.802919,0.24169023
800982602,3,0.121435575,-9.802922,0.24158365
800982613,3,0.12149044,-9.802924,0.24146807
800982623,3,0.1215979,-9.802923,0.24146266
800982633,3,0.121687815,-9.802925,0.24134961
800982643,3,0.12131563,-9.802934,0.24117231
800982653,3,0.121446505,-9.802935,0.24105431
800982663,3,0.12153281,-9.802934,0.24106012
800982674,3,0.12140505,-9.802936,0.24106981
800982684,3,0.12138356,-9.8029375,0.24096717
800982694,3,0.12135203,-9.802942,0.24078149
800982704,3,0.12153952,-9.802938,0.24084888
800982714,3,0.12177326,-9.802934,0.24093367
800982724,3,0.12187159,-9.802934,0.24090062
800982734,3,0.12166518,-9.802935,0.2409394
800982744,3,0.12181151,-9.802937,0.24081656
800982754,3,0.12168371,-9.802938,0.24079712
800982764,3,0.12164312,-9.802937,0.24087135
800982774,3,0.121756665,-9.802936,0.24087659
800982784,3,0.121917106,-9.802936,0.24077202
800982794,3,0.121909745,-9.802941,0.24054946
800982804,3,0.12184584,-9.802945,0.2404483
800982814,3,0.121835254,-9.80294,0.24059294
800982824,3,0.121631905,-9.802942,0.24067515
800982834,3,0.12177644,-9.802943,0.24053779
800982844,3,0.12182847,-9.802939,0.24066411
800982854,3,0.12180439,-9.802939,0.24070066
800982864,3,0.121743225,-9.802939,0.24071734
800982874,3,0.12166316,-9.802941,0.24067882
800982884,3,0.12189416,-9.802938,0.24071299
800982894,3,0.121942595,-9.802939,0.24062525
800982904,3,0.12198199,-9.8029375,0.24066377
800982914,3,0.121841446,-9.80295,0.2402438
800982924,3,0.12165333,-9.802959,0.23993963
800982934,3,0.1215804,-9.802963,0.23981257
800982944,3,0.12144866,-9.802968,0.23971501
800982954,3,0.12157486,-9.802964,0.23978648
800982964,3,0.12176896,-9.802963,0.23972711
800982974,3,0.12179014,-9.802963,0.23971519
800982984,3,0.121818244,-9.802965,0.23962432
800982994,3,0.121781915,-9.802964,0.23966789
800983004,3,0.12188829,-9.802961,0.23975022
800983014,3,0.12207347,-9.802961,0.23966701
800983024,3,0.122237295,-9.802961,0.23959927
800983034,3,0.122303516,-9.802959,0.23961864
800983044,3,0.12228217,-9.802961,0.23954712
800983054,3,0.12224804,-9.802959,0.2396207
800983064,3,0.12230106,-9.8029585,0.23965421
800983074,3,0.12237924,-9.802962,0.2394394
800983084,3,0.122438,-9.802964,0.2393401
800983094,3,0.122430205,-9.802965,0.2392904
800983104,3,0.122386806,-9.802966,0.23927848
800983114,3,0.122373775,-9.802969,0.2391822
800983124,3,0.12247837,-9.802974,0.23892674
800983134,3,0.12256395,-9.802976,0.2387973
800983144,3,0.122602284,-9.802976,0.23879278
800983154,3,0.12266479,-9.802972,0.23893477
800983164,3,0.12271015,-9.802975,0.23877032
800983174,3,0.12260174,-9.802974,0.23886776
800983185,3,0.12253587,-9.802978,0.23873924
800983195,3,0.12246021,-9.8029785,0.23875128
800983205,3,0.12237017,-9.802977,0.23888975
800983215,3,0.122460015,-9.802974,0.23894884
800983225,3,0.122642234,-9.802975,0.23883572
800983235,3,0.122501485,-9.802977,0.23883659
800983245,3,0.122472934,-9.802979,0.23869522
800983255,3,0.12235925,-9.802984,0.23855871
800983265,3,0.12223855,-9.802993,0.2382859
800983275,3,0.12231349,-9.802996,0.23812981
800983285,3,0.12224159,-9.802998,0.23806743
800983295,3,0.12235975,-9.802997,0.23805355
800983305,3,0.122360274,-9.802998,0.23802845
800983315,3,0.1224409,-9.802997,0.23803003
800983325,3,0.122601554,-9.802997,0.23793459
800983335,3,0.12250297,-9.803001,0.23778923
800983345,3,0.12265654,-9.802999,0.23782125
800983355,3,0.12274695,-9.803,0.23768802
800983365,3,0.122672915,-9.803006,0.23750466
800983375,3,0.122607045,-9.803008,0.23744589
800983386,3,0.122451834,-9.803013,0.23733999
800983396,3,0.12254661,-9.803011,0.23736557
800983406,3,0.122638665,-9.803015,0.2371791
800983416,3,0.12266938,-9.803015,0.2371911
800983426,3,0.12268455,-9.803019,0.23695296
800983437,3,0.12283145,-9.803021,0.23683687
800983447,3,0.12280729,-9.803025,0.23670235
800983457,3,0.12264306,-9.803027,0.23666865
800983467,3,0.122952096,-9.803028,0.23647404
800983477,3,0.12276489,-9.803037,0.2361979
800983487,3,0.12271615,-9.803038,0.23622201
800983497,3,0.122718774,-9.803036,0.23623426
800983506,3,0.12276571,-9.803038,0.23614465
800983516,3,0.12259236,-9.803042,0.23604062
800983526,3,0.12242429,-9.803045,0.23598467
800983536,3,0.12231889,-9.803052,0.23579219
800983546,3,0.122211225,-9.803053,0.23578578
800983557,3,0.12232302,-9.803058,0.23555163
800983567,3,0.1222684,-9.8030615,0.23543055
800983577,3,0.122206144,-9.803066,0.2352808
800983587,3,0.12223616,-9.803072,0.23502535
800983597,3,0.12207028,-9.803078,0.23485938
800983607,3,0.12185058,-9.803089,0.23446229
800983617,3,0.122045934,-9.803093,0.2341962
800983627,3,0.12207559,-9.803095,0.23417328
800983637,3,0.12220184,-9.803095,0.23406033
800983647,3,0.122463964,-9.803091,0.23409078
800983657,3,0.12242962,-9.803099,0.23379427
800983667,3,0.12237674,-9.803102,0.2336968
800983677,3,0.122475095,-9.8031025,0.23360112
800983687,3,0.12246345,-9.803111,0.23326108
800983697,3,0.12243927,-9.80311,0.23328151
800983707,3,0.12253459,-9.803114,0.23309681
800983717,3,0.12250361,-9.803115,0.23306262
800983728,3,0.12256113,-9.803121,0.23281497
800983738,3,0.12280506,-9.803117,0.23278812
800983748,3,0.1228957,-9.803119,0.23271348
800983758,3,0.12275478,-9.803118,0.23281147
800983768,3,0.12274857,-9.803122,0.23267177
800983779,3,0.122624286,-9.803126,0.23253027
800983789,3,0.122651815,-9.803129,0.23231553
800983799,3,0.12269568,-9.803133,0.23222335
800983809,3,0.122629315,-9.803137,0.23206595
800983819,3,0.1224398,-9.803143,0.23195694
800983829,3,0.122513965,-9.803144,0.23181428
800983840,3,0.12261932,-9.803147,0.23162082
800983850,3,0.12250235,-9.803155,0.23137602
800983860,3,0.12241989,-9.803162,0.23115352
800983870,3,0.12243086,-9.803162,0.23111601
800983880,3,0.12234242,-9.8031645,0.23107639
800983891,3,0.12247791,-9.803165,0.23094927
800983901,3,0.12265033,-9.803165,0.23084916
800983911,3,0.12273497,-9.80317,0.23062046
800983921,3,0.12267506,-9.80317,0.23066466
800983931,3,0.122641616,-9.803174,0.23049426
800983941,3,0.12271193,-9.803173,0.2304712
800983951,3,0.1227514,-9.803173,0.23046678
800983962,3,0.12283712,-9.80318,0.23015451
800983972,3,0.12294735,-9.803181,0.23004678
800983982,3,0.12301417,-9.803184,0.2298851
800983992,3,0.12326543,-9.803185,0.22968948
800984002,3,0.1231909,-9.80319,0.22953857
800984012,3,0.12298694,-9.803198,0.22932069
800984022,3,0.122832626,-9.803202,0.22918901
800984032,3,0.1228387,-9.803207,0.22895268
800984041,3,0.12278336,-9.803209,0.22891898
800984051,3,0.12265286,-9.803212,0.2288477
800984061,3,0.12275269,-9.803219,0.22851022
800984071,3,0.12287856,-9.803223,0.22826532
800984081,3,0.12276952,-9.803229,0.22808646
800984091,3,0.12270689,-9.803233,0.22788714
800984101,3,0.12265564,-9.803241,0.22758093
800984111,3,0.12263171,-9.8032465,0.2273799
800984121,3,0.12241187,-9.803251,0.22733738
800984131,3,0.12238596,-9.803254,0.22720262
800984141,3,0.1225968,-9.803259,0.22690019
800984151,3,0.1225007,-9.803264,0.22671607
800984161,3,0.12250775,-9.803266,0.22667232
800984171,3,0.12241893,-9.803265,0.22673616
800984181,3,0.12242988,-9.80327,0.22644147
800984191,3,0.12227681,-9.80327,0.22656514
800984201,3,0.12218093,-9.803275,0.22639358
800984211,3,0.12225702,-9.803277,0.22630788
800984221,3,0.122163646,-9.80328,0.22621018
800984231,3,0.12209365,-9.803286,0.22599705
800984241,3,0.12196934,-9.803291,0.22583768
800984251,3,0.1219748,-9.803293,0.22571097
800984261,3,0.122138344,-9.803295,0.22554766
800984271,3,0.122036755,-9.803295,0.225626
800984281,3,0.12206356,-9.803297,0.22551635
800984291,3,0.1219525,-9.803303,0.22533147
800984301,3,0.1219383,-9.803308,0.2250752
800984311,3,0.12175718,-9.803314,0.22491296
800984321,3,0.12161085,-9.803318,0.2248355
800984331,3,0.12153504,-9.803324,0.22461654
800984341,3,0.12148221,-9.803331,0.22436775
800984351,3,0.12145376,-9.803338,0.22402371
800984361,3,0.12145083,-9.803338,0.22403654
800984371,3,0.1213361,-9.803347,0.2237347
800984381,3,0.12127258,-9.803349,0.22370103
800984391,3,0.12125201,-9.803355,0.22340794
800984401,3,0.12130096,-9.803357,0.22329317
800984411,3,0.12137149,-9.803359,0.2231697
800984421,3,0.121496625,-9.803363,0.22294249
800984431,3,0.12155789,-9.803366,0.22283173
800984441,3,0.12140189,-9.803369,0.22275306
800984451,3,0.121442795,-9.803367,0.22279817
800984461,3,0.12157358,-9.803368,0.22268167
800984471,3,0.12158054,-9.803369,0.22262402
800984481,3,0.121733405,-9.80337,0.22246599
800984491,3,0.121789485,-9.803368,0.22257851
800984501,3,0.12177905,-9.8033695,0.22248837
800984511,3,0.12160655,-9.803369,0.22263236
800984521,3,0.12166656,-9.803372,0.22242355
800984531,3,0.12172637,-9.803372,0.2223999
800984541,3,0.12175747,-9.803373,0.22233196
800984551,3,0.12171942,-9.803379,0.22211021
800984561,3,0.121747784,-9.803381,0.22198224
800984571,3,0.121709794,-9.803385,0.22187275
800984581,3,0.12159515,-9.8033905,0.22169253
800984591,3,0.12152124,-9.803394,0.221511
800984601,3,0.121507384,-9.803398,0.22136343
800984611,3,0.12148339,-9.803401,0.2212612
800984621,3,0.121447936,-9.803405,0.22113386
800984631,3,0.12159384,-9.80341,0.22081736
800984641,3,0.121449955,-9.803412,0.22076431
800984650,3,0.1214861,-9.803415,0.22059973
800984660,3,0.12143262,-9.80342,0.2204309
800984670,3,0.12137789,-9.80342,0.2204654
800984680,3,0.1213024,-9.803424,0.22036031
800984690,3,0.12133654,-9.803427,0.22019692
800984700,3,0.121351294,-9.803429,0.22011937
800984710,3,0.121343605,-9.803432,0.21994023
800984720,3,0.12144882,-9.80343,0.22003117
800984730,3,0.12148594,-9.803426,0.22014062
800984740,3,0.12143803,-9.803427,0.2201524
800984750,3,0.121334836,-9.803425,0.22027138
800984760,3,0.121252865,-9.803422,0.22044705
800984770,3,0.121315785,-9.803424,0.22034788
800984780,3,0.12134375,-9.803427,0.22021478
800984790,3,0.1214962,-9.803427,0.22009164
800984800,3,0.12144824,-9.8034315,0.21995783
800984810,3,0.12153956,-9.803434,0.21973445
800984820,3,0.12159734,-9.803433,0.2197698
800984830,3,0.12162496,-9.8034315,0.21980998
800984840,3,0.12152986,-9.80343,0.21997842
800984850,3,0.12143305,-9.803433,0.21983804
800984860,3,0.121263795,-9.803438,0.21973683
800984870,3,0.121552475,-9.803435,0.21970397
800984880,3,0.12158299,-9.8034315,0.21983816
800984890,3,0.12150431,-9.803438,0.21961284
800984900,3,0.121656165,-9.803436,0.21957275
800984910,3,0.12164234,-9.803435,0.21962848
800984920,3,0.12164819,-9.803437,0.21955657
800984930,3,0.12157127,-9.803441,0.21942666
800984940,3,0.12149974,-9.80344,0.21949635
800984950,3,0.12140588,-9.803442,0.2194869
800984960,3,0.12162198,-9.803441,0.2194188
800984970,3,0.1215077,-9.80344,0.21954505
800984980,3,0.12153484,-9.803438,0.21959083
800984990,3,0.12171024,-9.803437,0.21951576
800985000,3,0.12153969,-9.803438,0.21958616
800985010,3,0.121572696,-9.803442,0.21939372
800985020,3,0.12147828,-9.803441,0.21945585
800985030,3,0.12136276,-9.803449,0.21921031
800985040,3,0.12128839,-9.803453,0.21902223
800985050,3,0.12139528,-9.803453,0.21895272
800985060,3,0.121381685,-9.803453,0.21895951
800985070,3,0.12126751,-9.803458,0.21886267
800985080,3,0.121228665,-9.803456,0.21890064
800985090,3,0.12127852,-9.803454,0.21899939
800985100,3,0.12125265,-9.80346,0.21881555
800985110,3,0.121118106,-9.803461,0.21877386
800985120,3,0.12104106,-9.803463,0.21873708
800985130,3,0.12106581,-9.803462,0.21875879
800985140,3,0.12120531,-9.803462,0.21866189
800985150,3,0.120937675,-9.803464,0.21873404
800985160,3,0.12113314,-9.803463,0.21873727
800985170,3,0.12121681,-9.803463,0.21867782
800985180,3,0.12108798,-9.803466,0.21861105
800985190,3,0.12111067,-9.803465,0.21858148
800985200,3,0.121142626,-9.803468,0.21847375
800985210,3,0.12119177,-9.803468,0.21849619
800985220,3,0.121147804,-9.80347,0.21840784
800985230,3,0.12099329,-9.8034725,0.21836922
800985240,3,0.120993316,-9.803471,0.21842696
800985250,3,0.120976366,-9.80347,0.21846503
800985259,3,0.12107853,-9.803468,0.2185088
800985269,3,0.12088,-9.803472,0.218481
800985279,3,0.12089785,-9.803468,0.21857442
800985289,3,0.12087654,-9.803468,0.2186408
800985299,3,0.12105633,-9.803464,0.21867962
800985309,3,0.12100494,-9.803466,0.21866629
800985319,3,0.12136148,-9.803462,0.21866454
800985329,3,0.121571854,-9.80346,0.2185389
800985339,3,0.12163309,-9.803461,0.2185313
800985349,3,0.121664755,-9.803456,0.21865381
800985359,3,0.12171672,-9.803455,0.21870212
800985369,3,0.12174766,-9.803457,0.21862595
800985379,3,0.12179539,-9.803454,0.21869421
800985389,3,0.121926226,-9.803453,0.21866158
800985399,3,0.122010045,-9.803453,0.21859834
800985409,3,0.12206004,-9.803453,0.21859641
800985419,3,0.12215227,-9.80345,0.2187358
800985429,3,0.12212299,-9.803452,0.21867418
800985439,3,0.12199199,-9.80345,0.21880727
800985449,3,0.12197445,-9.803454,0.21859917
800985459,3,0.12192559,-9.803459,0.2184436
800985469,3,0.12201087,-9.803458,0.2184253
800985479,3,0.122180305,-9.803456,0.21844415
800985489,3,0.12205608,-9.803453,0.21863881
800985499,3,0.12201665,-9.803455,0.21856257
800985509,3,0.12205315,-9.8034525,0.21860375
800985519,3,0.121966355,-9.803459,0.21839362
800985529,3,0.122004755,-9.803461,0.21831533
800985539,3,0.12195603,-9.803464,0.21823408
800985549,3,0.12225845,-9.803456,0.21831527
800985559,3,0.12228217,-9.803459,0.21821433
800985569,3,0.12234552,-9.803455,0.21834683
800985579,3,0.12228822,-9.803456,0.2183354
800985589,3,0.12217116,-9.803458,0.21831091
800985599,3,0.12219874,-9.803459,0.21827862
800985609,3,0.12259596,-9.803455,0.21824759
800985619,3,0.122724906,-9.803454,0.2182048
800985629,3,0.12273379,-9.803452,0.21833655
800985639,3,0.12252511,-9.803454,0.2182563
800985649,3,0.12252511,-9.803457,0.21821621
800985659,3,0.12255932,-9.803453,0.21834433
800985669,3,0.12260661,-9.803452,0.2184118
800985679,3,0.12268928,-9.803451,0.21841092
800985689,3,0.12271164,-9.80345,0.21846192
800985699,3,0.12284911,-9.803446,0.21853073
800985709,3,0.12283235,-9.803445,0.21851692
800985719,3,0.12291144,-9.803444,0.21858773
800985729,3,0.122939095,-9.80344,0.21870247
800985739,3,0.1228207,-9.803445,0.21859773
800985749,3,0.12277434,-9.803445,0.2185694
800985759,3,0.122697,-9.803442,0.21873653
800985769,3,0.12292243,-9.803438,0.21881783
800985779,3,0.12287047,-9.803439,0.2188382
800985789,3,0.122989334,-9.803435,0.21888201
800985799,3,0.122856885,-9.803439,0.2187821
800985809,3,0.12286311,-9.803439,0.21877122
800985819,3,0.12307704,-9.803438,0.21867968
800985829,3,0.12304887,-9.803438,0.21876623
800985839,3,0.123045154,-9.803437,0.21876428
800985849,3,0.12300912,-9.803436,0.21885458
800985859,3,0.123221494,-9.803437,0.21872295
800985869,3,0.12345201,-9.803431,0.21883896
800985878,3,0.12353307,-9.803431,0.21883777
800985888,3,0.12354927,-9.80343,0.21882872
800985898,3,0.12353205,-9.8034315,0.21873154
800985908,3,0.12348866,-9.803435,0.21857446
800985918,3,0.1233134,-9.803437,0.21860169
800985928,3,0.12336048,-9.803438,0.21856509
800985938,3,0.12326929,-9.803438,0.21858074
800985948,3,0.12334615,-9.803437,0.21864678
800985958,3,0.12340479,-9.8034315,0.21883757
800985968,3,0.12338322,-9.8034315,0.2188389
800985978,3,0.12333884,-9.8034315,0.21887171
800985988,3,0.123384155,-9.803433,0.21879995
800985998,3,0.12340179,-9.80343,0.21891688
800986008,3,0.12347088,-9.803431,0.2188774
800986018,3,0.123278424,-9.80343,0.21898593
800986028,3,0.12321771,-9.803431,0.21896563
800986038,3,0.12319592,-9.803433,0.21885109
800986048,3,0.12323585,-9.8034315,0.21891816
800986058,3,0.12326483,-9.8034315,0.21887736
800986068,3,0.12330795,-9.803433,0.21883835
800986078,3,0.1233126,-9.80343,0.21897836
800986088,3,0.12322297,-9.803432,0.21888348
800986098,3,0.123111516,-9.803432,0.2189774
800986108,3,0.12389297,-9.803422,0.2189923
800986118,3,0.12456126,-9.803418,0.21877398
800986128,3,0.12385406,-9.803433,0.21851513
800986138,3,0.1235925,-9.803446,0.21806115
800986148,3,0.12275619,-9.803451,0.21837789
800986158,3,0.122287564,-9.803435,0.2193477
800986168,3,0.121720605,-9.803459,0.21855274
800986178,3,0.12155805,-9.803445,0.21928243
800986188,3,0.12216982,-9.803451,0.2186518
800986198,3,0.122421265,-9.803427,0.21960092
800986208,3,0.12270997,-9.803426,0.21948858
800986218,3,0.12285333,-9.803425,0.21948916
800986228,3,0.12295314,-9.803414,0.219846
800986238,3,0.12280332,-9.803416,0.2198932
800986248,3,0.123125,-9.803409,0.2200525
800986258,3,0.12329401,-9.803407,0.21999508
800986268,3,0.1234483,-9.803407,0.21990623
800986278,3,0.12342592,-9.80341,0.21977164
800986288,3,0.12349548,-9.803407,0.21988241
800986298,3,0.12345423,-9.803404,0.22000971
800986308,3,0.12357661,-9.8034,0.22015104
800986318,3,0.123585925,-9.803402,0.22003888
800986328,3,0.12345775,-9.803401,0.22015798
800986338,3,0.12333181,-9.803404,0.22013813
800986348,3,0.123284414,-9.803402,0.22021942
800986358,3,0.12311762,-9.803404,0.22022936
800986368,3,0.123051435,-9.803402,0.22034205
800986378,3,0.12296976,-9.803402,0.22041544
800986388,3,0.12285558,-9.803409,0.22019565
800986398,3,0.122979596,-9.803408,0.22014655
800986408,3,0.12288614,-9.80341,0.22011232
800986418,3,0.12286503,-9.80341,0.22008494
800986428,3,0.12267415,-9.803411,0.22016235
800986438,3,0.122614026,-9.803411,0.22022234
800986448,3,0.122326165,-9.803416,0.22012667
800986458,3,0.12228614,-9.803415,0.22016571
800986468,3,0.12209941,-9.803418,0.22014798
800986478,3,0.12201173,-9.803417,0.220241
800986487,3,0.121879935,-9.803421,0.22014377
800986497,3,0.12212845,-9.803422,0.22001812
800986507,3,0.12204026,-9.803422,0.21999967
800986517,3,0.1221936,-9.803424,0.21987468
800986527,3,0.122211285,-9.803425,0.21981725
800986537,3,0.122101314,-9.803426,0.21981603
800986547,3,0.12204163,-9.803429,0.21973151
800986557,3,0.12188351,-9.80343,0.21981683
800986567,3,0.12193679,-9.80343,0.21973157
800986577,3,0.12185403,-9.803429,0.21985817
800986587,3,0.12175465,-9.803432,0.2197078
800986597,3,0.12181395,-9.803431,0.21975726
800986607,3,0.12184082,-9.80343,0.2198288
800986617,3,0.12184178,-9.803426,0.21995178
800986627,3,0.121804096,-9.803427,0.21993345
800986637,3,0.12170641,-9.803428,0.21997848
800986647,3,0.12165582,-9.80343,0.21988063
800986657,3,0.12178318,-9.803429,0.21986686
800986667,3,0.1216832,-9.803429,0.21995966
800986677,3,0.12162828,-9.80343,0.21990606
800986687,3,0.1217133,-9.803429,0.21996114
800986697,3,0.12161595,-9.803426,0.22006921
800986707,3,0.121585995,-9.803427,0.22004269
800986717,3,0.121481776,-9.803431,0.21994928
800986727,3,0.12136683,-9.803436,0.21980491
800986737,3,0.121482834,-9.803436,0.21971811
800986747,3,0.12145797,-9.803435,0.21978615
800986757,3,0.1215732,-9.803433,0.2197374
800986767,3,0.1213866,-9.803432,0.21990627
800986777,3,0.12127814,-9.803432,0.21997726
800986787,3,0.12140461,-9.80343,0.22008286
800986797,3,0.121465534,-9.803426,0.22014123
800986807,3,0.12118021,-9.803433,0.21999693
800986817,3,0.12106239,-9.803437,0.21987388
800986827,3,0.12100763,-9.803436,0.21991365
800986837,3,0.12114925,-9.803434,0.22001421
800986847,3,0.120977454,-9.803436,0.21996452
800986857,3,0.12101907,-9.803435,0.22001922
800986867,3,0.12110063,-9.8034315,0.22009636
800986877,3,0.12103479,-9.803427,0.22033307
800986887,3,0.12094112,-9.803423,0.22056065
800986897,3,0.12066243,-9.803427,0.22054721
800986907,3,0.12042272,-9.803434,0.22037669
800986917,3,0.12045171,-9.803429,0.22058573
800986927,3,0.12030304,-9.803433,0.22045052
800986937,3,0.120090365,-9.803435,0.22048236
800986947,3,0.11979355,-9.80344,0.22048078
