gyro_s001_004 Gyroscope Non-wakeup,STMicro,2025-03-06_18-37-32.144_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s]
800981530,3,1741275455357844325,3.054324E-4,-6.108648E-4,-0.0013744457
800981540,3,1741275455367829013,6.108648E-4,-4.581486E-4,-0.0012217296
800981550,3,1741275455377812971,7.6358096E-4,-9.162972E-4,-0.0015271619
800981560,3,1741275455387796929,3.054324E-4,0.0,-7.6358096E-4
800981570,3,1741275455397780002,0.0012217296,3.054324E-4,-9.162972E-4
800981580,3,1741275455407763961,-1.527162E-4,-4.581486E-4,-7.6358096E-4
800981590,3,1741275455417746148,7.6358096E-4,-6.108648E-4,-9.162972E-4
800981600,3,1741275455427731252,0.0015271619,-0.0012217296,-6.108648E-4
800981610,3,1741275455437713440,1.527162E-4,-3.054324E-4,-6.108648E-4
800981620,3,1741275455447698127,6.108648E-4,-0.0,-0.0015271619
800981630,3,1741275455457682086,9.162972E-4,-0.0012217296,-7.6358096E-4
800981640,3,1741275455467665159,0.0013744457,-1.527162E-4,-0.0012217296
800981650,3,1741275455477649117,9.162972E-4,-0.0013744457,-7.6358096E-4
800981660,3,1741275455487632190,7.6358096E-4,-7.6358096E-4,-7.6358096E-4
800981670,3,1741275455497616148,0.0012217296,-3.054324E-4,-0.0012217296
800981679,3,1741275455507600107,1.527162E-4,-1.527162E-4,-4.581486E-4
800981689,3,1741275455517583179,0.0010690134,-7.6358096E-4,-0.0016798781
800981699,3,1741275455527567138,6.108648E-4,-0.0,-7.6358096E-4
800981709,3,1741275455537549325,0.0010690134,-4.581486E-4,-9.162972E-4
800981719,3,1741275455547533857,-0.0,-0.0,-0.0010690134
800981729,3,1741275455557517815,0.0013744457,-9.162972E-4,-6.108648E-4
800981739,3,1741275455567500002,3.054324E-4,-0.0010690134,-0.0010690134
800981749,3,1741275455577305627,0.0010690134,-0.0015271619,-4.581486E-4
800981759,3,1741275455587463804,6.108648E-4,-6.108648E-4,0.0
