gyro_s001_004 Gyroscope-Uncalibrated Non-wakeup,STMicro,2025-03-06_18-37-32.144_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel_uncal_x[rad/s],ang_vel_uncal_y[rad/s],ang_vel_uncal_z[rad/s],ang_vel_drift_x[rad/s],ang_vel_drift_y[rad/s],ang_vel_drift_z[rad/s]
800981550,3,1741275455377812971,0.0048869182,-0.0019853106,0.0012217296,0.0053590126,-0.0021735828,0.0014290002
800981560,3,1741275455387796929,0.004581486,-9.162972E-4,0.0018325944,0.0041796416,-0.0010617414,0.002740393
800981570,3,1741275455397780002,0.005345067,-7.6358096E-4,0.0016798781,0.0041796416,-0.0010617414,0.002740393
800981580,3,1741275455407763961,0.003970621,-0.0015271619,0.0019853106,0.0041796416,-0.0010617414,0.002740393
800981590,3,1741275455417746148,0.0048869182,-0.0016798781,0.0018325944,0.0041796416,-0.0010617414,0.002740393
800981600,3,1741275455427731252,0.0056504994,-0.002290743,0.0021380268,0.0041796416,-0.0010617414,0.002740393
800981610,3,1741275455437713440,0.0042760535,-0.0013744457,0.0019853106,0.0041796416,-0.0010617414,0.002740393
800981620,3,1741275455447698127,0.0048869182,-0.0010690134,0.0012217296,0.0041796416,-0.0010617414,0.002740393
800981630,3,1741275455457682086,0.0050396346,-0.002290743,0.0019853106,0.0041796416,-0.0010617414,0.002740393
800981640,3,1741275455467665159,0.005497783,-0.0010690134,0.0015271619,0.0041796416,-0.0010617414,0.002740393
800981650,3,1741275455477649117,0.0050396346,-0.0024434591,0.0018325944,0.0041796416,-0.0010617414,0.002740393
800981660,3,1741275455487632190,0.0050396346,-0.0018325944,0.0019853106,0.0041796416,-0.0010617414,0.002740393
800981670,3,1741275455497616148,0.005345067,-0.0013744457,0.0015271619,0.0041796416,-0.0010617414,0.002740393
800981679,3,1741275455507600107,0.0042760535,-0.0012217296,0.002290743,0.0041796416,-0.0010617414,0.002740393
800981689,3,1741275455517583179,0.0051923506,-0.0018325944,0.0010690134,0.0041796416,-0.0010617414,0.002740393
800981699,3,1741275455527567138,0.0048869182,-0.0010690134,0.0018325944,0.0041796416,-0.0010617414,0.002740393
800981709,3,1741275455537549325,0.0051923506,-0.0015271619,0.0018325944,0.0041796416,-0.0010617414,0.002740393
800981719,3,1741275455547533857,0.004123337,-0.0010690134,0.0016798781,0.0041796416,-0.0010617414,0.002740393
800981729,3,1741275455557517815,0.005497783,-0.0019853106,0.0021380268,0.0041796416,-0.0010617414,0.002740393
800981739,3,1741275455567500002,0.004581486,-0.0021380268,0.0016798781,0.0041796416,-0.0010617414,0.002740393
800981749,3,1741275455577305627,0.0051923506,-0.0025961753,0.002290743,0.0041796416,-0.0010617414,0.002740393
800981759,3,1741275455587463804,0.0048869182,-0.0016798781,0.0027488915,0.0041796416,-0.0010617414,0.002740393
800981769,3,1741275455597457711,0.0050396346,-0.0010690134,0.0018325944,0.0041796416,-0.0010617414,0.002740393
800981780,3,1741275455607639117,0.005497783,-0.0015271619,0.002290743,0.0041796416,-0.0010617414,0.002740393
800981790,3,1741275455617820627,0.004734202,-0.0015271619,0.0015271619,0.0041796416,-0.0010617414,0.002740393
800981800,3,1741275455628002919,0.0050396346,-0.0018325944,0.0025961753,0.0041796416,-0.0010617414,0.002740393
800981810,3,1741275455638185211,0.004734202,-0.0016798781,0.0021380268,0.0041796416,-0.0010617414,0.002740393
800981820,3,1741275455648367502,0.0044287695,-0.0016798781,0.0016798781,0.0041796416,-0.0010617414,0.002740393
