linear_acceleration,QTI,2025-03-06_18-37-32.144_TGW
imuTimestamp,accuracy(more=better),acc_lin_x[m/s^2],acc_lin_y[m/s^2],acc_lin_z[m/s^2]
800981749,3,-0.0039375797,0.0025997162,-0.0029699206
800981759,3,-0.0029238686,3.8909912E-4,-6.252378E-4
800981769,3,0.0041693,0.0040750504,0.0049209893
800981780,3,0.006915733,0.0016803741,-0.0014428198
800981790,3,-0.0064987764,0.0066404343,-0.0014347881
800981800,3,0.005221322,0.0025234222,0.007788241
800981810,3,-0.0068853125,0.0063228607,0.0055651665
800981820,3,-3.4766644E-4,0.0010099411,4.349649E-4
800981830,3,0.0074591786,-0.0051403046,3.2402575E-4
800981840,3,-0.011998348,-0.004617691,0.00489223
800981850,3,-0.0022851676,0.0027666092,-4.0496886E-4
800981860,3,-0.010644384,-0.007930756,0.001889348
800981870,3,-0.022830918,0.0025920868,0.0107066035
800981880,3,-6.6109E-4,-0.0010070801,-3.0098855E-4
800981890,3,-0.009455323,0.0010414124,-0.003136471
800981900,3,0.0029123425,0.0055189133,-0.0010125041
800981910,3,0.005749911,-0.006658554,0.0030185133
800981920,3,-0.004945226,-1.7547607E-4,0.0055797696
800981930,3,5.297363E-6,2.3269653E-4,0.0015652329
800981940,3,-7.5339526E-4,0.004260063,-0.006782666
800981950,3,0.0059095025,0.0017871857,-0.0012914538
800981960,3,8.905679E-5,0.00198555,0.0015556812
800981970,3,-0.0015842542,0.0017709732,0.00254713
800981980,3,-8.8752806E-4,-0.0066986084,0.0010847449
800981990,3,0.0022622645,0.001004219,-0.0032500029
800982000,3,-0.0046171844,-0.006102562,0.0072508752
800982010,3,0.0046044067,-0.016105652,0.0036623627
800982021,3,-0.0018165633,0.0071582794,0.014774546
800982031,3,-0.005733937,-0.0042467117,-0.0023108423
800982041,3,0.0022602752,-0.0022125244,0.005131915
800982051,3,-0.0042054206,-2.374649E-4,0.0014786273
800982061,3,1.3917685E-5,0.0053720474,-0.0012238771
800982071,3,-2.503544E-4,0.0022096634,-0.0048829466
800982081,3,-0.002117589,-0.0025072098,-0.011371687
800982091,3,8.7322295E-4,0.004545212,0.010418028
800982101,3,0.0037212372,-0.0058603287,0.0028057098
800982111,3,-0.002333045,-0.0040693283,0.002832681
800982121,3,0.00224296,-0.0023212433,-0.0046433657
800982131,3,0.0037502795,-0.0019950867,0.0043453425
800982140,3,-0.004666798,0.006436348,-9.930134E-5
800982150,3,-0.011854328,0.003809929,0.0017457008
800982160,3,-0.005366735,-9.54628E-4,-0.0031422079
800982171,3,5.688891E-4,0.008292198,-0.004943624
800982181,3,-0.010895312,0.008252144,-0.0010105371
800982191,3,-0.0104185045,-0.004052162,-1.0497868E-4
800982201,3,-0.006422259,9.899139E-4,0.009452939
800982211,3,0.007027231,0.0031757355,-0.0022078305
800982221,3,0.0054637864,2.1457672E-4,0.0018326193
800982231,3,-0.0044416785,0.005176544,0.0019047856
800982241,3,-0.010577492,-0.0044488907,0.0042029917
800982251,3,0.0023829192,0.0022611618,-0.0048383623
800982261,3,0.0064320043,0.0015277863,-0.004706502
800982271,3,-0.004836537,0.0023288727,-0.0018023849
800982281,3,-0.0025379881,-0.0055980682,-0.0012485683
800982291,3,-0.0012887716,8.573532E-4,-0.005503148
800982301,3,-0.011014573,0.0056819916,0.0039320886
800982311,3,-0.0013565868,3.271103E-4,-0.004338011
800982321,3,0.010233074,-0.0010662079,0.0047985464
800982331,3,-0.004329048,7.4863434E-4,-0.022588268
800982341,3,0.0087913275,-0.0049419403,0.0016699135
800982351,3,0.0023963675,0.0027513504,-0.0046826005
800982361,3,-0.0010722429,-4.7779083E-4,0.013570607
800982371,3,-0.014133699,-0.0064229965,0.0070029497
800982381,3,0.008289345,0.0021219254,0.005454302
800982391,3,-5.2407384E-4,-0.002064705,-0.010442451
800982401,3,-0.0017592832,0.006545067,0.0033536851
800982411,3,-8.515641E-4,-0.0068531036,-0.006576538
800982421,3,-0.005079031,0.004055023,-0.011104822
800982431,3,-4.6792626E-4,0.00537014,3.5238266E-4
800982442,3,0.0023838505,0.0016813278,-0.004473135
800982452,3,-0.0068627894,0.003586769,-0.0023949295
800982462,3,0.0016120002,-0.0068559647,0.0064279735
800982472,3,-0.007964455,-0.0036993027,-0.011003301
800982482,3,5.343035E-4,0.0021715164,-0.005093217
800982492,3,0.003371276,0.008637428,-0.0077138543
800982502,3,-0.005364768,-0.012823105,-0.012161508
800982512,3,-0.004226722,-0.0016736984,0.0046499223
800982522,3,0.0072284117,0.0043029785,-0.011254996
800982532,3,-0.012350202,-0.0068416595,-0.0023407787
800982542,3,-0.008116998,-5.0354004E-4,0.00910531
800982552,3,-0.012000993,-0.0034036636,0.0010903627
800982562,3,-0.001079835,0.012568474,-0.0032166392
800982572,3,-0.007876031,0.011942863,8.148849E-4
800982582,3,0.004193656,0.008004189,-0.0050872266
800982592,3,-0.0010646954,-0.0015449524,0.00351654
800982602,3,-0.0015034303,0.0034599304,-0.012280941
800982613,3,-0.0031052232,0.005200386,-0.010193005
800982623,3,-0.0016627088,0.005804062,-0.001599133
800982633,3,-2.0173937E-4,0.010550499,-0.0072529167
800982643,3,-0.021365665,0.0028972626,-0.015238598
800982653,3,-9.4504654E-4,0.0039548874,-0.006955594
800982663,3,0.0013621151,0.0013952255,-0.001330629
800982674,3,-0.009208351,-0.002090454,-0.0030301213
800982684,3,-0.001868479,-0.0038547516,-0.007292792
800982694,3,-0.0033845454,0.003684044,-0.0106250495
800982704,3,0.0044506863,-0.004685402,-4.1905046E-4
800982714,3,0.008440487,9.727478E-5,0.0038598478
800982724,3,0.0018642843,-0.01693058,-0.0047002584
800982734,3,-0.015245438,-0.012360573,-0.0027733743
800982744,3,0.00628487,-6.6947937E-4,-0.013067022
800982754,3,-0.011182435,-0.0019073486,-0.0030548126
800982764,3,-0.006074786,1.9836426E-4,0.001516223
800982774,3,-2.7570873E-4,0.002407074,-0.0014437437
800982784,3,0.006602615,0.001950264,-0.005702123
800982794,3,-0.00662075,5.3215027E-4,-0.0154735595
