location due to GPS and WiFi+Cell,2025-03-06_18-37-32.144_TGW
time,provider,lat (deg),long (deg),has accuracy,accuracy (m),has altitude,altitude (m above sea level),has bearing,bearing (degrees),has speed,speed (m/s over ground),UTC,realtime
800981902,network,55.69938620558029,37.36080781995485,1,1.872915,0,0.0,0,0.0,0,0.0,1741275455528,800981699925737
800982249,gps,55.69938620558029,37.36080781995485,1,1.872915,1,0.0,1,0.0,1,0.0,1741275455535,800982191840633
800992261,gps,55.69938620558029,37.36080781995485,1,1.872915,1,0.0,1,0.0,1,0.0,1741275455535,800992198679952
801002255,gps,55.69938620558029,37.36080781995485,1,1.872915,1,0.0,1,0.0,1,0.0,1741275455535,801002195993646
801003965,network,55.6993860617803,37.36081462831663,1,1.5585573,0,0.0,0,0.0,0,0.0,1741275477776,801003948044739
801012289,gps,55.6993860617803,37.36081462831663,1,1.5585573,1,0.0,1,0.0,1,0.0,1741275477786,801012216758850
801022293,gps,55.6993860617803,37.36081462831663,1,1.5585573,1,0.0,1,0.0,1,0.0,1741275477786,801022214917857
801024077,network,55.69938693250003,37.36081796738653,1,1.6266639,0,0.0,0,0.0,0,0.0,1741275497884,801024056655617
801032299,gps,55.69938693250003,37.36081796738653,1,1.6266639,1,0.0,1,0.0,1,0.0,1741275497898,801032227295249
801042308,gps,55.69938693250003,37.36081796738653,1,1.6266639,1,0.0,1,0.0,1,0.0,1741275497898,801042229924985
801043923,network,55.69938628467951,37.360818164172635,1,1.5335349,0,0.0,0,0.0,0,0.0,1741275517739,801043911284255
801052317,gps,55.69938628467951,37.360818164172635,1,1.5335349,1,0.0,1,0.0,1,0.0,1741275517746,801052243975502
801062317,gps,55.69938628467951,37.360818164172635,1,1.5335349,1,0.0,1,0.0,1,0.0,1741275517746,801062239178935
801064149,network,55.699386406675174,37.360818105174836,1,1.5763296,0,0.0,0,0.0,0,0.0,1741275537961,801064133613831
801072323,gps,55.699386406675174,37.360818105174836,1,1.5763296,1,0.0,1,0.0,1,0.0,1741275537970,801072244904869
801082319,gps,55.699386406675174,37.360818105174836,1,1.5763296,1,0.0,1,0.0,1,0.0,1741275537970,801082249471428
801084195,network,55.69938655108823,37.36081187930106,1,1.651499,0,0.0,0,0.0,0,0.0,1741275558009,801084181534865
801092338,gps,55.69938655108823,37.36081187930106,1,1.651499,1,0.0,1,0.0,1,0.0,1741275558018,801092265099393
801102332,gps,55.69938655108823,37.36081187930106,1,1.651499,1,0.0,1,0.0,1,0.0,1741275558018,801102257179441
801104077,network,55.69938651590333,37.360812186648,1,1.6585747,0,0.0,0,0.0,0,0.0,1741275577890,801104062675222
801112338,gps,55.69938651590333,37.360812186648,1,1.6585747,1,0.0,1,0.0,1,0.0,1741275577899,801112265727093
801122350,gps,55.69938651590333,37.360812186648,1,1.6585747,1,0.0,1,0.0,1,0.0,1741275577899,801122275930215
801124349,network,55.69938651590333,37.360812186648,1,1.6585747,0,0.0,0,0.0,0,0.0,1741275598159,801124331083078
801132342,gps,55.69938651590333,37.360812186648,1,1.6585747,1,0.0,1,0.0,1,0.0,1741275598171,801132282130419
