mag_s004_001 Magnetometer-Uncalibrated Non-wakeup,QST,2025-03-06_18-37-32.144_TGW
imuTimestamp,accuracy(more=better),mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
800981600,3,4.8125,7.7125,149.6625,-28.0,-47.0,180.0
800981609,3,4.9625,7.65,149.2375,-28.0,-47.0,180.0
800981619,3,4.85,7.6,149.27501,-28.0,-47.0,180.0
800981628,3,4.8375,7.5750003,149.35,-28.0,-47.0,180.0
800981638,3,4.8125,7.5625,149.3625,-28.0,-47.0,180.0
800981647,3,4.8375,7.5375,149.4375,-28.0,-47.0,180.0
800981657,3,4.8250003,7.4875,149.4875,-28.0,-47.0,180.0
800981666,3,4.8125,7.4625,149.5125,-28.0,-47.0,180.0
800981676,3,4.8125,7.4375,149.5125,-28.0,-47.0,180.0
800981685,3,4.7625003,7.4500003,149.6125,-28.0,-47.0,180.0
800981695,3,4.8125,7.4875,149.625,-28.0,-47.0,180.0
800981704,3,4.8250003,7.5125003,149.6,-28.0,-47.0,180.0
800981714,3,4.85,7.5375,149.625,-28.0,-47.0,180.0
800981723,3,4.8250003,7.5625,149.625,-28.0,-47.0,180.0
800981733,3,4.8125,7.6125,149.58751,-28.0,-47.0,180.0
800981742,3,4.8375,7.675,149.58751,-28.0,-47.0,180.0
800981752,3,4.8375,7.7125,149.58751,-28.0,-47.0,180.0
800981761,3,4.8625,7.6875,149.58751,-28.0,-47.0,180.0
800981771,3,4.85,7.6625,149.625,-28.0,-47.0,180.0
800981780,3,4.8375,7.65,149.6875,-28.0,-47.0,180.0
800981790,3,4.8250003,7.625,149.71251,-28.0,-47.0,180.0
800981799,3,4.8625,7.6125,149.7625,-28.0,-47.0,180.0
800981809,3,4.8875003,7.5875,149.90001,-28.0,-47.0,180.0
800981818,3,4.8875003,7.55,149.9875,-28.0,-47.0,180.0
800981828,3,4.8875003,7.525,150.08751,-28.0,-47.0,180.0
800981837,3,4.85,7.525,150.15001,-28.0,-47.0,180.0
800981847,3,4.8250003,7.525,150.1625,-28.0,-47.0,180.0
800981856,3,4.7875,7.525,150.125,-28.0,-47.0,180.0
800981866,3,4.775,7.5375,150.08751,-28.0,-47.0,180.0
800981875,3,4.7625003,7.525,150.0125,-28.0,-47.0,180.0
800981885,3,4.75,7.5375,149.925,-28.0,-47.0,180.0
800981894,3,4.7375,7.55,149.83751,-28.0,-47.0,180.0
800981904,3,4.7000003,7.55,149.75,-28.0,-47.0,180.0
800981913,3,4.6625,7.5375,149.6875,-28.0,-47.0,180.0
800981923,3,4.625,7.525,149.6375,-28.0,-47.0,180.0
800981932,3,4.6125,7.525,149.6125,-28.0,-47.0,180.0
800981942,3,4.5875,7.5,149.58751,-28.0,-47.0,180.0
800981951,3,4.5875,7.5125003,149.575,-28.0,-47.0,180.0
800981961,3,4.6,7.5,149.55,-28.0,-47.0,180.0
800981970,3,4.6,7.475,149.5375,-28.0,-47.0,180.0
800981980,3,4.6625,7.475,149.575,-28.0,-47.0,180.0
800981989,3,4.7125,7.475,149.625,-28.0,-47.0,180.0
800981999,3,4.75,7.4875,149.7,-28.0,-47.0,180.0
800982008,3,4.7875,7.4875,149.8,-28.0,-47.0,180.0
800982018,3,4.8125,7.5125003,149.8625,-28.0,-47.0,180.0
800982027,3,4.8,7.5375,149.8625,-28.0,-47.0,180.0
800982037,3,4.775,7.5750003,149.875,-28.0,-47.0,180.0
800982046,3,4.7625003,7.625,149.875,-28.0,-47.0,180.0
800982056,3,4.725,7.675,149.825,-28.0,-47.0,180.0
800982065,3,4.7125,7.7125,149.7875,-28.0,-47.0,180.0
800982075,3,4.7125,7.725,149.725,-28.0,-47.0,180.0
800982084,3,4.7125,7.7375,149.71251,-28.0,-47.0,180.0
800982094,3,4.725,7.7375,149.75,-28.0,-47.0,180.0
800982103,3,4.7375,7.7000003,149.8125,-28.0,-47.0,180.0
800982113,3,4.7625003,7.675,149.83751,-28.0,-47.0,180.0
800982122,3,4.7875,7.625,149.825,-28.0,-47.0,180.0
800982132,3,4.8250003,7.5875,149.8125,-28.0,-47.0,180.0
800982141,3,4.8375,7.55,149.77501,-28.0,-47.0,180.0
800982151,3,4.85,7.5375,149.77501,-28.0,-47.0,180.0
800982160,3,4.8625,7.525,149.75,-28.0,-47.0,180.0
800982170,3,4.8375,7.5125003,149.65001,-28.0,-47.0,180.0
800982179,3,4.8250003,7.5375,149.6,-28.0,-47.0,180.0
800982189,3,4.7875,7.5375,149.55,-28.0,-47.0,180.0
800982198,3,4.7625003,7.5375,149.55,-28.0,-47.0,180.0
800982208,3,4.7375,7.525,149.575,-28.0,-47.0,180.0
800982217,3,4.75,7.5125003,149.6125,-28.0,-47.0,180.0
800982227,3,4.775,7.5,149.625,-28.0,-47.0,180.0
800982236,3,4.7875,7.5,149.58751,-28.0,-47.0,180.0
800982246,3,4.8125,7.525,149.6,-28.0,-47.0,180.0
800982255,3,4.8125,7.5375,149.6125,-28.0,-47.0,180.0
800982265,3,4.8250003,7.5625,149.6375,-28.0,-47.0,180.0
800982274,3,4.8,7.5750003,149.65001,-28.0,-47.0,180.0
800982284,3,4.7875,7.6,149.625,-28.0,-47.0,180.0
800982293,3,4.775,7.6125,149.55,-28.0,-47.0,180.0
800982303,3,4.75,7.6125,149.4875,-28.0,-47.0,180.0
800982312,3,4.75,7.625,149.52501,-28.0,-47.0,180.0
800982322,3,4.7375,7.65,149.575,-28.0,-47.0,180.0
800982331,3,4.725,7.6625,149.6,-28.0,-47.0,180.0
800982341,3,4.725,7.675,149.6,-28.0,-47.0,180.0
800982350,3,4.725,7.7000003,149.6,-28.0,-47.0,180.0
800982360,3,4.7000003,7.7125,149.6,-28.0,-47.0,180.0
800982369,3,4.6625,7.725,149.6375,-28.0,-47.0,180.0
800982379,3,4.625,7.725,149.65001,-28.0,-47.0,180.0
