baro_s002_001 Pressure Sensor Non-wakeup,Goertek,2025-03-06_18-37-32.144_TGW
imuTimestamp,accuracy(more=better),pressure[millibar]
800981684,3,977.33655
800981715,3,977.3356
800981747,3,977.3451
800981778,3,977.3169
800981809,3,977.32916
800981841,3,977.3303
800981872,3,977.327
800981903,3,977.3451
800981934,3,977.3414
800981965,3,977.33606
800981997,3,977.3318
800982028,3,977.3558
800982059,3,977.3526
800982090,3,977.34937
800982122,3,977.3382
800982153,3,977.3409
800982184,3,977.3526
800982215,3,977.3393
800982247,3,977.3488
800982278,3,977.34937
800982309,3,977.34674
800982340,3,977.3558
800982372,3,977.34937
800982403,3,977.3328
800982434,3,977.35315
800982465,3,977.3638
800982497,3,977.3633
800982528,3,977.3569
800982559,3,977.3633
800982590,3,977.36
800982622,3,977.34937
800982653,3,977.36
800982684,3,977.3569
800982715,3,977.3841
800982747,3,977.3633
800982778,3,977.36584
800982809,3,977.38245
800982840,3,977.3782
800982872,3,977.3579
800982903,3,977.36
800982934,3,977.36
800982965,3,977.3713
800982997,3,977.3569
800983028,3,977.37555
800983059,3,977.3569
800983090,3,977.3627
800983122,3,977.3622
800983153,3,977.3552
800983184,3,977.3569
800983215,3,977.33923
800983247,3,977.35736
800983278,3,977.3569
800983309,3,977.3526
800983340,3,977.3569
800983372,3,977.33923
800983403,3,977.35736
800983434,3,977.3569
800983465,3,977.34033
800983497,3,977.35535
800983528,3,977.3569
800983559,3,977.3537
800983590,3,977.3435
800983622,3,977.3569
800983653,3,977.33875
800983684,3,977.35535
800983715,3,977.33344
800983747,3,977.3281
800983778,3,977.35114
800983809,3,977.3484
800983840,3,977.33875
800983872,3,977.3383
800983903,3,977.334
800983934,3,977.3287
800983965,3,977.3516
800983997,3,977.3404
800984028,3,977.3372
800984060,3,977.3287
800984090,3,977.3446
800984122,3,977.32715
800984153,3,977.3265
800984184,3,977.3217
800984215,3,977.3372
800984247,3,977.3372
800984278,3,977.32605
800984309,3,977.3227
800984340,3,977.32385
800984372,3,977.2993
800984403,3,977.3309
800984434,3,977.32495
800984465,3,977.33136
800984497,3,977.344
800984528,3,977.3414
800984559,3,977.34564
800984590,3,977.33344
800984622,3,977.33234
800984653,3,977.32916
800984684,3,977.3222
800984715,3,977.3169
800984747,3,977.3356
800984778,3,977.32495
800984809,3,977.3132
800984840,3,977.34564
800984872,3,977.3313
800984903,3,977.33234
800984934,3,977.3313
800984965,3,977.35315
800984997,3,977.31213
800985028,3,977.32806
800985060,3,977.31213
800985090,3,977.3184
800985122,3,977.3169
800985153,3,977.3515
800985184,3,977.33234
800985215,3,977.3275
800985247,3,977.31213
800985278,3,977.3158
800985309,3,977.3217
800985340,3,977.31104
800985372,3,977.3052
800985403,3,977.3275
800985434,3,977.318
800985466,3,977.32104
800985497,3,977.3169
800985528,3,977.3394
800985560,3,977.3368
800985590,3,977.3359
800985622,3,977.3359
800985653,3,977.32983
800985684,3,977.34375
800985715,3,977.341
800985747,3,977.34375
800985778,3,977.3314
800985809,3,977.34375
800985841,3,977.31116
800985872,3,977.3481
800985903,3,977.3454
800985934,3,977.3234
800985965,3,977.32935
800985997,3,977.3325
800986028,3,977.3245
800986059,3,977.3454
800986090,3,977.3454
800986122,3,977.32935
800986153,3,977.324
800986184,3,977.3234
800986215,3,977.32245
800986247,3,977.3359
800986278,3,977.3481
800986309,3,977.32825
800986340,3,977.341
800986372,3,977.341
800986403,3,977.32245
800986434,3,977.32825
800986465,3,977.3054
800986497,3,977.3309
800986528,3,977.34784
800986559,3,977.3447
800986591,3,977.35425
800986622,3,977.34515
800986653,3,977.3425
800986684,3,977.3425
800986715,3,977.33295
800986747,3,977.3447
800986778,3,977.33997
800986810,3,977.3383
800986840,3,977.33136
800986872,3,977.34033
800986903,3,977.33136
800986934,3,977.32715
800986965,3,977.3447
800986997,3,977.33136
800987028,3,977.3308
800987059,3,977.3195
800987090,3,977.32007
800987122,3,977.3217
800987153,3,977.3217
800987184,3,977.342
800987215,3,977.33295
800987247,3,977.33136
800987278,3,977.33563
800987309,3,977.3308
800987340,3,977.3266
800987372,3,977.3287
800987403,3,977.33136
800987434,3,977.3287
800987465,3,977.3287
800987497,3,977.3191
800987528,3,977.3244
800987559,3,977.3367
800987590,3,977.32715
800987622,3,977.3244
800987653,3,977.3127
800987684,3,977.3101
800987715,3,977.3101
800987747,3,977.3127
800987778,3,977.3153
800987809,3,977.3153
800987840,3,977.3202
800987872,3,977.30414
800987903,3,977.3153
800987934,3,977.3234
800987965,3,977.30414
800987997,3,977.31433
800988028,3,977.3197
800988059,3,977.309
800988090,3,977.3101
800988122,3,977.3255
800988153,3,977.3287
800988184,3,977.31433
800988216,3,977.3281
800988247,3,977.3101
800988278,3,977.3079
800988309,3,977.3298
800988340,3,977.32715
800988372,3,977.3227
800988403,3,977.3202
800988434,3,977.3227
800988465,3,977.3234
800988497,3,977.3345
800988528,3,977.3164
800988559,3,977.3174
800988590,3,977.3356
800988622,3,977.32806
800988653,3,977.3227
800988684,3,977.3307
800988715,3,977.3104
800988747,3,977.3307
800988778,3,977.3356
800988809,3,977.31525
800988840,3,977.3244
800988872,3,977.311
800988903,3,977.3333
800988934,3,977.3227
800988965,3,977.311
800988997,3,977.3244
800989028,3,977.3147
800989059,3,977.3062
800989090,3,977.311
800989122,3,977.32056
800989153,3,977.3195
800989184,3,977.3163
800989215,3,977.3163
800989247,3,977.2997
800989278,3,977.3163
800989309,3,977.3057
800989340,3,977.311
800989372,3,977.29767
800989403,3,977.3051
800989434,3,977.311
800989465,3,977.3029
800989497,3,977.3029
800989528,3,977.3019
800989559,3,977.3158
800989590,3,977.3078
800989622,3,977.3051
800989653,3,977.3062
800989684,3,977.29877
800989715,3,977.2971
800989747,3,977.3051
800989778,3,977.2892
800989809,3,977.3009
800989840,3,977.3025
800989872,3,977.2897
800989903,3,977.29877
800989934,3,977.29285
800989965,3,977.2828
800989997,3,977.27795
800990028,3,977.27795
800990059,3,977.2837
800990090,3,977.2828
800990122,3,977.27527
800990153,3,977.2837
800990184,3,977.2695
800990215,3,977.2854
800990247,3,977.2897
800990278,3,977.2641
800990309,3,977.26575
800990340,3,977.2695
800990372,3,977.263
800990403,3,977.2695
800990434,3,977.26465
800990465,3,977.25336
800990497,3,977.26575
800990528,3,977.25336
800990560,3,977.26245
800990590,3,977.25745
800990622,3,977.25543
800990653,3,977.2527
800990684,3,977.24475
800990716,3,977.2485
800990747,3,977.2426
800990778,3,977.24945
800990809,3,977.2548
