Rotation Vector  Non-wakeup,QTI,2025-03-06_18-37-32.144_TGW
imuTimestamp,accuracy(more=better),x*sin(a/2)[],y*sin(a/2)[],z*sin(a/2)[],cos(a/2)[],heading_accuracy[rad]
800981780,3,-0.28720573,-0.6368113,0.6485941,0.30217528,-1.0
800981790,3,-0.2872029,-0.6368177,0.6486167,0.3021161,-1.0
800981800,3,-0.28720927,-0.6367722,0.6486197,0.30219933,-1.0
800981810,3,-0.28721938,-0.63673985,0.6486538,0.30218464,-1.0
800981820,3,-0.2872142,-0.6367396,0.6486555,0.3021866,-1.0
800981830,3,-0.2871995,-0.63674223,0.64864105,0.30222604,-1.0
800981840,3,-0.28720793,-0.63671875,0.648679,0.302186,-1.0
800981850,3,-0.28720462,-0.6367164,0.6486873,0.30217627,-1.0
800981860,3,-0.28720453,-0.6367074,0.64871335,0.3021395,-1.0
800981870,3,-0.28722066,-0.63666964,0.6487701,0.30208173,-1.0
800981880,3,-0.2872142,-0.6366715,0.64877176,0.3020805,-1.0
800981890,3,-0.287212,-0.6366772,0.6487851,0.30204183,-1.0
800981900,3,-0.28720906,-0.63667876,0.6487813,0.3020495,-1.0
800981910,3,-0.2872026,-0.63667434,0.64877677,0.30207473,-1.0
800981920,3,-0.28720146,-0.6366646,0.64878815,0.3020718,-1.0
800981930,3,-0.2871979,-0.6366633,0.6487881,0.30207816,-1.0
800981940,3,-0.28718844,-0.63667697,0.64878494,0.30206525,-1.0
800981950,3,-0.28717875,-0.6366813,0.6487779,0.30208036,-1.0
800981960,3,-0.28717828,-0.6366771,0.64877933,0.3020866,-1.0
800981970,3,-0.28717506,-0.63667303,0.64878476,0.30208647,-1.0
800981980,3,-0.28717196,-0.6366725,0.6487873,0.30208507,-1.0
800981990,3,-0.2871636,-0.6366774,0.64878356,0.30209088,-1.0
800982000,3,-0.28716218,-0.6366647,0.6487932,0.3020982,-1.0
800982010,3,-0.28715616,-0.6366595,0.6487948,0.3021115,-1.0
800982021,3,-0.28715983,-0.6366347,0.6488092,0.3021294,-1.0
800982031,3,-0.2871504,-0.6366425,0.6488122,0.30211538,-1.0
800982041,3,-0.28714305,-0.63663393,0.64881796,0.3021281,-1.0
800982051,3,-0.2871368,-0.63663137,0.6488246,0.30212525,-1.0
800982061,3,-0.28713173,-0.6366323,0.64882326,0.30213076,-1.0
800982071,3,-0.287124,-0.63664144,0.64881957,0.30212685,-1.0
800982081,3,-0.28711417,-0.6366567,0.6488163,0.3021111,-1.0
800982091,3,-0.28711367,-0.6366444,0.6488211,0.3021272,-1.0
800982101,3,-0.28710932,-0.63664037,0.64881927,0.3021437,-1.0
800982111,3,-0.28710613,-0.6366374,0.64882356,0.30214384,-1.0
800982121,3,-0.2871006,-0.6366449,0.6488209,0.30213892,-1.0
800982131,3,-0.287095,-0.636641,0.64882195,0.3021501,-1.0
800982140,3,-0.2870899,-0.63663995,0.6488274,0.30214575,-1.0
800982150,3,-0.28708717,-0.636636,0.64883596,0.30213815,-1.0
800982160,3,-0.28708073,-0.6366405,0.6488384,0.30212954,-1.0
800982171,3,-0.28707507,-0.63664967,0.6488333,0.30212668,-1.0
800982181,3,-0.2870754,-0.636649,0.6488401,0.302113,-1.0
800982191,3,-0.2870678,-0.6366493,0.6488474,0.30210397,-1.0
800982201,3,-0.28706396,-0.6366392,0.64885837,0.30210537,-1.0
800982211,3,-0.2870611,-0.63664126,0.6488529,0.30211544,-1.0
800982221,3,-0.28705353,-0.63664305,0.64884835,0.3021287,-1.0
800982231,3,-0.28704575,-0.6366437,0.64885217,0.3021265,-1.0
800982241,3,-0.28704616,-0.6366398,0.64886045,0.3021165,-1.0
800982251,3,-0.2870358,-0.6366431,0.64886224,0.30211565,-1.0
800982261,3,-0.2870295,-0.63665116,0.6488565,0.3021168,-1.0
800982271,3,-0.28702447,-0.63665134,0.64886,0.30211386,-1.0
800982281,3,-0.28701565,-0.63665503,0.64886147,0.30211127,-1.0
800982291,3,-0.28701103,-0.6366558,0.6488639,0.3021087,-1.0
800982301,3,-0.28700683,-0.6366521,0.64887327,0.3021003,-1.0
800982311,3,-0.28699857,-0.63665724,0.64887464,0.30209443,-1.0
800982321,3,-0.28699598,-0.6366523,0.64887255,0.30211195,-1.0
800982331,3,-0.28698447,-0.6366712,0.64886737,0.30209413,-1.0
800982341,3,-0.42319998,-0.55552447,0.5639919,0.44068977,-1.0
800982351,3,-0.44282383,-0.5400108,0.54784465,0.46061,-1.0
800982361,3,-0.45459574,-0.53013,0.5375763,0.47256377,-1.0
800982371,3,-0.46241483,-0.5233124,0.5305118,0.48049337,-1.0
800982381,3,-0.46796963,-0.51834404,0.5253458,0.48614374,-1.0
800982391,3,-0.47210562,-0.5145872,0.5214311,0.4903324,-1.0
800982401,3,-0.47531793,-0.5116145,0.51834583,0.4936001,-1.0
800982411,3,-0.4778728,-0.5092323,0.51586473,0.49618915,-1.0
800982421,3,-0.47995788,-0.5072733,0.5138244,0.49829578,-1.0
800982431,3,-0.48168632,-0.50562793,0.51211905,0.50005275,-1.0
800982442,3,-0.4831417,-0.50424254,0.51067024,0.50152713,-1.0
800982452,3,-0.48439163,-0.5030402,0.5094262,0.5027925,-1.0
800982462,3,-0.4854682,-0.501992,0.50834215,0.5038977,-1.0
800982472,3,-0.48640823,-0.5010896,0.50739664,0.50484145,-1.0
800982482,3,-0.48723513,-0.50028545,0.50655764,0.5056834,-1.0
800982492,3,-0.487968,-0.49957323,0.50580955,0.50642914,-1.0
800982502,3,-0.48862243,-0.49894357,0.50514513,0.5070817,-1.0
800982512,3,-0.48975074,-0.49783206,0.50399643,0.5082274,-1.0
800982522,3,-0.4902293,-0.49736798,0.50349563,0.50871646,-1.0
800982532,3,-0.4906765,-0.49692935,0.5030446,0.50916004,-1.0
800982542,3,-0.4910877,-0.4965108,0.50262314,0.50958794,-1.0
800982552,3,-0.49146572,-0.49612987,0.50223774,0.50997436,-1.0
800982562,3,-0.4918084,-0.4957928,0.50188214,0.51032174,-1.0
800982572,3,-0.49213094,-0.49546978,0.501555,0.51064605,-1.0
800982582,3,-0.49242148,-0.49518135,0.5012461,0.51094896,-1.0
800982592,3,-0.49269676,-0.49490115,0.5009591,0.5112365,-1.0
800982602,3,-0.49295193,-0.49465245,0.50069463,0.5114902,-1.0
800982613,3,-0.49319035,-0.4944207,0.5004453,0.51172835,-1.0
800982623,3,-0.49341413,-0.49419767,0.500208,0.5119601,-1.0
800982633,3,-0.4936227,-0.4939952,0.4999874,0.5121699,-1.0
800982643,3,-0.49383044,-0.49379665,0.49979168,0.51235205,-1.0
800982653,3,-0.49401388,-0.49361923,0.4995947,0.5125383,-1.0
800982663,3,-0.49418935,-0.49344325,0.4994079,0.5127206,-1.0
800982674,3,-0.49451867,-0.4931127,0.49907216,0.5130479,-1.0
800982684,3,-0.49466783,-0.49296838,0.49891824,0.5131925,-1.0
800982694,3,-0.49480823,-0.49283707,0.4987741,0.5133233,-1.0
800982704,3,-0.49493942,-0.49270183,0.49862745,0.5134691,-1.0
800982714,3,-0.4950636,-0.49257267,0.49848557,0.5136111,-1.0
800982724,3,-0.49518368,-0.49245366,0.49835527,0.51373583,-1.0
800982734,3,-0.4953073,-0.49232733,0.498237,0.5138525,-1.0
800982744,3,-0.49541345,-0.49222684,0.4981188,0.513961,-1.0
800982754,3,-0.4955235,-0.49211708,0.49801058,0.51406485,-1.0
