acc_s003_002 QTI-Accelerometer Non-wakeup,TDK-Invensense,2025-03-06_18-37-32.144_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc2_x[m/s^2],acc2_y[m/s^2],acc2_z[m/s^2]
800981956,3,1741275455784211096,-0.0992505,-9.798205,0.08653918
800981966,3,1741275455794016513,-0.1040389,-9.793417,0.115269594
800981976,3,1741275455803825367,-0.0992505,-9.793417,0.12484641
800981986,3,1741275455813637607,-0.1040389,-9.788629,0.110481195
800981995,3,1741275455823453023,-0.1040389,-9.798205,0.096115984
800982005,3,1741275455833258440,-0.1040389,-9.788629,0.10090439
800982008,3,1741275455836326200,-0.1040389,-9.798205,0.10569279
800982018,3,1741275455846157607,-0.0992505,-9.78384,0.10569279
800982028,3,1741275455856015419,-0.1040389,-9.793417,0.096115984
800982038,3,1741275455865900107,-0.1040389,-9.788629,0.10569279
800982048,3,1741275455875811877,-0.10882731,-9.788629,0.09132758
800982058,3,1741275455885752138,-0.0992505,-9.798205,0.096115984
800982068,3,1741275455895721096,-0.1040389,-9.798205,0.10569279
800982078,3,1741275455905719690,-0.1040389,-9.788629,0.10090439
800982088,3,1741275455915745471,-0.10882731,-9.793417,0.09132758
800982098,3,1741275455925799638,-0.1040389,-9.793417,0.09132758
800982108,3,1741275455935880679,-0.10882731,-9.788629,0.07696237
800982118,3,1741275455945989429,-0.10882731,-9.793417,0.110481195
800982128,3,1741275455956125419,-0.11361571,-9.78384,0.08653918
800982138,3,1741275455966287867,-0.10882731,-9.788629,0.08653918
800982148,3,1741275455976475471,-0.10882731,-9.798205,0.08175077
800982159,3,1741275455986675471,-0.1040389,-9.798205,0.09132758
800982169,3,1741275455996875471,-0.11840411,-9.793417,0.08653918
800982179,3,1741275456007075471,-0.10882731,-9.788629,0.08653918
800982189,3,1741275456017275471,-0.0944621,-9.798205,0.10090439
800982199,3,1741275456027475471,-0.10882731,-9.788629,0.115269594
800982210,3,1741275456037675471,-0.08967369,-9.798205,0.10569279
800982220,3,1741275456047875471,-0.0992505,-9.788629,0.110481195
800982230,3,1741275456058075471,-0.10882731,-9.788629,0.110481195
800982240,3,1741275456068275471,-0.1040389,-9.779052,0.07696237
800982250,3,1741275456078475471,-0.10882731,-9.793417,0.07696237
800982261,3,1741275456088675471,-0.1040389,-9.793417,0.10090439
800982271,3,1741275456098875471,-0.0992505,-9.793417,0.09132758
800982281,3,1741275456109075471,-0.10882731,-9.793417,0.08653918
800982291,3,1741275456119275471,-0.10882731,-9.788629,0.10090439
800982301,3,1741275456129475471,-0.0992505,-9.78384,0.096115984
800982312,3,1741275456139675471,-0.0992505,-9.78384,0.10569279
800982322,3,1741275456149875471,-0.11361571,-9.78384,0.08175077
800982332,3,1741275456160075471,-0.10882731,-9.798205,0.08653918
800982342,3,1741275456170275471,-0.10882731,-9.788629,0.096115984
800982352,3,1741275456180475471,-0.11361571,-9.793417,0.096115984
800982363,3,1741275456190675471,-0.1040389,-9.798205,0.10569279
800982373,3,1741275456200875471,-0.0944621,-9.78384,0.10569279
800982383,3,1741275456211075471,-0.0944621,-9.78384,0.10569279
800982393,3,1741275456221275471,-0.08488529,-9.788629,0.10090439
800982403,3,1741275456231475471,-0.0944621,-9.78384,0.10090439
800982414,3,1741275456241675471,-0.0992505,-9.788629,0.09132758
800982424,3,1741275456251875471,-0.0992505,-9.788629,0.09132758
800982434,3,1741275456262075471,-0.08488529,-9.779052,0.096115984
800982444,3,1741275456272275471,-0.0992505,-9.788629,0.096115984
800982454,3,1741275456282475471,-0.0944621,-9.798205,0.08653918
800982465,3,1741275456292675471,-0.0992505,-9.793417,0.09132758
800982475,3,1741275456302875471,-0.0944621,-9.793417,0.09132758
800982485,3,1741275456313075471,-0.0944621,-9.793417,0.08653918
