acc_s001_004 Accelerometer-Uncalibrated Non-wakeup,STMicro,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc_uncal_x[m/s^2],acc_uncal_y[m/s^2],acc_uncal_z[m/s^2],acc_bias_x[m/s^2],acc_bias_y[m/s^2],acc_bias_z[m/s^2]
801243144,3,1741275716971564333,0.09421739,-9.759726,0.14446667,0.0,0.0,0.0
801243154,3,1741275716981782510,0.093918286,-9.780962,0.14207384,0.0,0.0,0.0
801243164,3,1741275716991823343,0.096909314,-9.7609215,0.1369891,0.0,0.0,0.0
801243174,3,1741275717001853343,0.10917253,-9.768399,0.13160525,0.0,0.0,0.0
801243184,3,1741275717011883343,0.09720842,-9.775279,0.11874382,0.0,0.0,0.0
801243194,3,1741275717021863551,0.10857433,-9.772886,0.1363909,0.0,0.0,0.0
801243204,3,1741275717031959228,0.10737792,-9.766604,0.14985052,0.0,0.0,0.0
801243214,3,1741275717042020530,0.102592275,-9.769596,0.1480559,0.0,0.0,0.0
801243224,3,1741275717052003239,0.09272188,-9.766006,0.15104693,0.0,0.0,0.0
801243234,3,1741275717061986833,0.09840483,-9.755538,0.14416756,0.0,0.0,0.0
801243244,3,1741275717071971312,0.10289137,-9.761221,0.14416756,0.0,0.0,0.0
801243254,3,1741275717081955635,0.10707881,-9.76152,0.14327025,0.0,0.0,0.0
801243264,3,1741275717091939593,0.10229317,-9.763314,0.15284155,0.0,0.0,0.0
801243274,3,1741275717101923551,0.102592275,-9.765707,0.15074782,0.0,0.0,0.0
801243284,3,1741275717111906989,0.11335997,-9.768699,0.15463616,0.0,0.0,0.0
801243294,3,1741275717121891468,0.11306087,-9.750752,0.15074782,0.0,0.0,0.0
801243304,3,1741275717131876155,0.10677971,-9.772886,0.15613168,0.0,0.0,0.0
801243314,3,1741275717141860635,0.10199407,-9.773484,0.14566308,0.0,0.0,0.0
801243324,3,1741275717151844958,0.10109676,-9.768399,0.148355,0.0,0.0,0.0
801243334,3,1741275717161828916,0.10079765,-9.7681,0.15284155,0.0,0.0,0.0
801243344,3,1741275717171813395,0.104087785,-9.766604,0.16719848,0.0,0.0,0.0
801243354,3,1741275717181797718,0.0951147,-9.770792,0.15493527,0.0,0.0,0.0
801243364,3,1741275717191781676,0.09272188,-9.767801,0.14237295,0.0,0.0,0.0
