timestamp_global[ms],timestampImu[ms],ang_vel_uncal_x[rad/s],ang_vel_uncal_y[rad/s],ang_vel_uncal_z[rad/s],acc_uncal_x[m/s^2],acc_uncal_y[m/s^2],acc_uncal_z[m/s^2],mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],ang_vel_drift_x[rad/s],ang_vel_drift_y[rad/s],ang_vel_drift_z[rad/s],acc_bias_x[m/s^2],acc_bias_y[m/s^2],acc_bias_z[m/s^2],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
343,801243310,0.003817905,-0.004734202,0.0036651888,0.10677971,-9.772886,0.15613168,4.0375,8.4125,150.2,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
353,801243320,0.004581486,-0.002290743,0.0013744457,0.10199407,-9.773484,0.14566308,4.0750003,8.375,150.2375,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
363,801243330,0.0048869182,-0.0016798781,0.0012217296,0.10109676,-9.768399,0.148355,4.0750003,8.337501,150.3,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
373,801243340,0.0050396346,-0.0021380268,0.0015271619,0.10079765,-9.7681,0.15284155,4.1125,8.2875,150.35,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
383,801243350,0.005497783,-0.0018325944,0.0019853106,0.104087785,-9.766604,0.16719848,4.175,8.2625,150.40001,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
393,801243360,0.004581486,-0.002290743,0.0018325944,0.0951147,-9.770792,0.15493527,4.125,8.2,150.5625,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
403,801243370,0.005497783,-0.0012217296,0.0016798781,0.09272188,-9.767801,0.14237295,4.2875,8.125,150.5625,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
413,801243380,0.0051923506,-0.0013744457,0.0016798781,0.10199407,-9.772886,0.15553348,4.3375,8.1125,150.6125,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
423,801243390,0.005497783,-0.0012217296,0.0018325944,0.10677971,-9.77468,0.15493527,4.3875003,8.1125,150.6875,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
433,801243400,0.0056504994,-0.0019853106,7.6358096E-4,0.10199407,-9.766604,0.15074782,4.425,8.125,150.8,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
443,801243410,0.005345067,-0.0024434591,0.0010690134,0.10378868,-9.769596,0.15613168,4.5,8.1625,150.875,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
454,801243421,0.004123337,-0.0013744457,0.0015271619,0.10199407,-9.762417,0.1477568,4.4875,8.175,150.8875,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
464,801243431,0.0051923506,-0.0024434591,0.0024434591,0.091525465,-9.7704935,0.15553348,4.4875,8.1875,150.8875,0.0053031044,-0.0022775796,0.0014542363,0.0,0.0,0.0,-27.0,-59.0,178.0
