Game Rotation Vector  Non-wakeup,QTI,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better), w, x, y, z
801243378,3,-0.49371925,-0.49851477,0.5014808,0.5062028
801243388,3,-0.49345484,-0.49856997,0.501424,0.5064625
801243398,3,-0.49349114,-0.49869758,0.5012986,0.5064256
801243408,3,-0.49347493,-0.49866042,0.501335,0.5064419
801243418,3,-0.49345565,-0.49866375,0.5013316,0.50646085
801243428,3,-0.49348682,-0.4986878,0.5013082,0.50643
801243438,3,-0.49351785,-0.49866125,0.5013347,0.5063997
801243448,3,-0.4934979,-0.49865022,0.50134534,0.50641936
801243458,3,-0.49349362,-0.49860817,0.5013867,0.506424
801243468,3,-0.49345753,-0.49866146,0.50133395,0.50645906
801243478,3,-0.49346247,-0.49865785,0.5013375,0.5064542
801243488,3,-0.49346247,-0.49864596,0.5013492,0.5064543
801243498,3,-0.4934491,-0.49863136,0.50136346,0.5064676
801243508,3,-0.4934169,-0.4986384,0.5013562,0.5064992
801243518,3,-0.49341545,-0.49863228,0.5013624,0.5065007
801243529,3,-0.49339077,-0.49865034,0.50134426,0.5065248
801243539,3,-0.49337608,-0.4986512,0.5013432,0.5065392
801243549,3,-0.49337322,-0.49865264,0.5013418,0.506542
801243559,3,-0.4933895,-0.49864388,0.5013507,0.5065261
801243569,3,-0.4933921,-0.49863538,0.50135905,0.5065236
801243579,3,-0.4933936,-0.49863055,0.50136375,0.5065222
801243589,3,-0.49337688,-0.49862215,0.5013719,0.5065387
801243599,3,-0.49335575,-0.49863032,0.50136375,0.50655943
801243609,3,-0.49335364,-0.49861974,0.50137395,0.5065616
801243619,3,-0.4933465,-0.49862364,0.5013702,0.50656855
801243629,3,-0.49334547,-0.49862674,0.5013671,0.50656956
801243639,3,-0.49334857,-0.49862134,0.5013724,0.5065665
801243649,3,-0.49334916,-0.49862334,0.50137043,0.5065659
801243659,3,-0.493358,-0.49862355,0.5013703,0.5065573
801243669,3,-0.49334696,-0.49862322,0.50137055,0.50656813
801243679,3,-0.4933493,-0.4986145,0.50137925,0.50656587
801243689,3,-0.493353,-0.4986055,0.50138795,0.5065623
801243699,3,-0.49334282,-0.4985938,0.50139934,0.5065724
801243709,3,-0.49333045,-0.49859974,0.5013935,0.5065845
801243719,3,-0.49332666,-0.49860385,0.50138944,0.5065883
801243729,3,-0.49330658,-0.49859878,0.5013943,0.506608
801243739,3,-0.49330255,-0.4986042,0.5013889,0.50661194
801243749,3,-0.49329117,-0.49860853,0.50138444,0.5066231
801243759,3,-0.49328813,-0.4986109,0.50138205,0.50662607
801243769,3,-0.49328765,-0.49861902,0.5013742,0.5066264
801243779,3,-0.49328092,-0.49861863,0.50137454,0.5066331
801243789,3,-0.49327925,-0.498612,0.5013811,0.5066348
801243799,3,-0.4932744,-0.49858636,0.5014062,0.5066398
801243809,3,-0.49326956,-0.4985913,0.5014012,0.5066445
801243819,3,-0.49326125,-0.49859056,0.5014019,0.50665265
801243829,3,-0.49325836,-0.49859375,0.50139874,0.5066555
801243839,3,-0.49325547,-0.4985915,0.5014009,0.5066583
801243849,3,-0.4932542,-0.49857777,0.5014145,0.5066597
801243859,3,-0.4932527,-0.49857324,0.5014188,0.50666124
801243869,3,-0.4932519,-0.49856478,0.50142723,0.50666213
801243879,3,-0.49324998,-0.4985611,0.5014308,0.50666404
801243889,3,-0.49324915,-0.4985498,0.50144196,0.50666493
801243899,3,-0.49325177,-0.49855348,0.5014383,0.5066623
801243909,3,-0.49324816,-0.4985443,0.5014472,0.50666595
801243919,3,-0.49324465,-0.49854156,0.50145,0.50666946
801243929,3,-0.49325034,-0.49854183,0.5014499,0.50666386
801243939,3,-0.49325255,-0.49853948,0.5014521,0.5066617
801243949,3,-0.4932593,-0.49853793,0.5014537,0.5066551
801243959,3,-0.49326423,-0.49854603,0.5014458,0.50665015
801243969,3,-0.49326733,-0.49854556,0.50144625,0.50664705
801243979,3,-0.49326253,-0.49855152,0.50144047,0.50665176
801243989,3,-0.4932571,-0.49855092,0.501441,0.5066571
801243999,3,-0.49325335,-0.49854353,0.50144804,0.5066608
801244009,3,-0.49324417,-0.4985459,0.50144565,0.5066699
