gravity  Non-wakeup,QTI,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better),grav_x[m/s^2],grav_y[m/s^2],grav_z[m/s^2]
801243398,3,0.10133754,-9.804943,0.1523404
801243408,3,0.1009346,-9.804932,0.15338133
801243418,3,0.10137655,-9.804922,0.15368924
801243428,3,0.10123369,-9.804939,0.15261571
801243438,3,0.100112095,-9.804953,0.1525355
801243448,3,0.10028676,-9.804941,0.15313517
801243458,3,0.09955673,-9.8049345,0.15404154
801243468,3,0.10129629,-9.804923,0.15369943
801243478,3,0.1011298,-9.804925,0.15367341
801243488,3,0.10089733,-9.804923,0.15390503
801243498,3,0.10087613,-9.804914,0.15444954
801243508,3,0.1016418,-9.804899,0.15493459
801243518,3,0.10155206,-9.804897,0.15508561
801243529,3,0.10238433,-9.804888,0.15520778
801243539,3,0.10268767,-9.804879,0.15547463
801243549,3,0.102771536,-9.804878,0.1555032
801243559,3,0.102283455,-9.804887,0.15536185
801243569,3,0.10206808,-9.804887,0.1554752
801243579,3,0.10194584,-9.804887,0.15553929
801243589,3,0.10210853,-9.804877,0.15602869
801243599,3,0.10268015,-9.804868,0.15627864
801243609,3,0.102516025,-9.804865,0.15652409
801243619,3,0.10273166,-9.804861,0.1565875
801243629,3,0.10281284,-9.804861,0.15654626
801243639,3,0.10264651,-9.804862,0.15659143
801243649,3,0.102672994,-9.804864,0.15654148
801243659,3,0.10250566,-9.804869,0.15636547
801243669,3,0.10271547,-9.804862,0.15658684
801243679,3,0.10249927,-9.804862,0.15671287
801243689,3,0.10225183,-9.804863,0.15681385
801243699,3,0.10222583,-9.804857,0.15723966
801243709,3,0.102581084,-9.804852,0.15736417
801243719,3,0.10273682,-9.80485,0.15735815
801243729,3,0.10302921,-9.804839,0.15784569
801243739,3,0.1032141,-9.804837,0.15781777
801243749,3,0.10351981,-9.8048315,0.15795144
801243759,3,0.10362596,-9.80483,0.15796433
801243769,3,0.10379109,-9.804831,0.15781754
801243779,3,0.10391588,-9.804827,0.15795575
801243789,3,0.1038194,-9.804826,0.15811819
801243799,3,0.10341721,-9.804821,0.15871128
801243809,3,0.10360791,-9.804818,0.15870698
801243819,3,0.10375658,-9.804813,0.15888345
801243829,3,0.10387589,-9.804812,0.15887602
801243839,3,0.103886634,-9.804811,0.15897547
801243849,3,0.10364572,-9.804809,0.15927038
801243859,3,0.103588045,-9.804808,0.1593862
801243869,3,0.103439555,-9.804806,0.15956986
801243879,3,0.10340638,-9.804805,0.1596785
801243889,3,0.10320274,-9.804803,0.15991478
801243899,3,0.10322207,-9.804805,0.15979126
801243909,3,0.10311577,-9.804802,0.16003878
801243919,3,0.103131436,-9.8048,0.16016358
801243929,3,0.103025526,-9.804803,0.16004817
801243939,3,0.102937184,-9.804805,0.16005053
801243949,3,0.102775306,-9.804807,0.15995042
801243959,3,0.102835834,-9.8048115,0.15969661
801243969,3,0.10276466,-9.8048115,0.1596449
801243979,3,0.10297348,-9.80481,0.15962347
801243989,3,0.1030694,-9.804807,0.15974079
801243999,3,0.1029986,-9.804806,0.15995444
801244009,3,0.10322525,-9.8048,0.16008665
801244019,3,0.10324602,-9.804801,0.16004682
801244029,3,0.103285976,-9.8048,0.16002615
801244039,3,0.10339941,-9.804797,0.16013749
801244049,3,0.1032542,-9.8048,0.16006988
801244059,3,0.10314625,-9.804799,0.1602025
801244069,3,0.103264086,-9.804797,0.16024147
801244079,3,0.103379555,-9.804794,0.16030703
801244089,3,0.10342584,-9.804795,0.16025399
801244099,3,0.103199124,-9.804798,0.1603049
801244109,3,0.103355415,-9.80479,0.16062593
801244119,3,0.10352684,-9.804785,0.16078602
801244129,3,0.1036155,-9.804782,0.16095237
801244139,3,0.10371154,-9.80478,0.16102533
801244148,3,0.103579976,-9.804779,0.1611432
801244158,3,0.103413135,-9.804779,0.1612386
801244168,3,0.1033993,-9.804779,0.16123337
801244178,3,0.10322549,-9.80478,0.16127674
801244188,3,0.103272654,-9.804782,0.16115871
801244198,3,0.103403315,-9.804778,0.16132493
801244208,3,0.10337285,-9.804778,0.16134948
801244218,3,0.103545025,-9.804777,0.16127755
801244228,3,0.10349803,-9.804777,0.16128178
801244238,3,0.10346506,-9.804779,0.16122727
801244248,3,0.10343309,-9.804782,0.16108085
801244258,3,0.103331864,-9.80478,0.16124298
801244268,3,0.10323357,-9.80478,0.16125283
801244278,3,0.10336675,-9.80478,0.1612
801244288,3,0.10342557,-9.804779,0.16124718
801244298,3,0.103519306,-9.804777,0.16128075
801244308,3,0.10357995,-9.804773,0.1615012
801244318,3,0.10356007,-9.804772,0.16150872
801244328,3,0.10353888,-9.804774,0.16141973
801244338,3,0.10376732,-9.804773,0.16141723
801244348,3,0.103881724,-9.804772,0.16134092
801244358,3,0.103759654,-9.804771,0.16147125
801244368,3,0.10392026,-9.8047695,0.16150108
801244378,3,0.10394019,-9.8047695,0.16149063
