gyro_s001_004 Gyroscope Non-wakeup,STMicro,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s]
801243310,1,1741275717138226572,-0.0015271619,-0.0024434591,0.0021380268
801243320,3,1741275717148211208,-7.6358096E-4,0.0,-1.527162E-4
801243330,3,1741275717158195166,-4.581486E-4,6.108648E-4,-1.527162E-4
801243340,3,1741275717168179333,-1.527162E-4,1.527162E-4,1.527162E-4
801243350,3,1741275717178163968,3.054324E-4,4.581486E-4,4.581486E-4
801243360,3,1741275717188147926,-7.6358096E-4,0.0,3.054324E-4
801243370,3,1741275717198131885,1.527162E-4,0.0010690134,1.527162E-4
801243380,3,1741275717208115635,-1.527162E-4,9.162972E-4,1.527162E-4
801243390,3,1741275717218098708,3.054324E-4,9.162972E-4,4.581486E-4
801243400,3,1741275717228093603,3.054324E-4,3.054324E-4,-7.6358096E-4
801243410,3,1741275717238275895,1.527162E-4,-1.527162E-4,-4.581486E-4
801243421,3,1741275717248458447,-0.0012217296,9.162972E-4,1.527162E-4
801243431,3,1741275717258595270,-0.0,-1.527162E-4,9.162972E-4
801243441,3,1741275717268608864,-6.108648E-4,3.054324E-4,0.0012217296
801243451,3,1741275717278593447,4.581486E-4,4.581486E-4,-3.054324E-4
801243461,3,1741275717288577405,0.0,0.0010690134,-4.581486E-4
801243471,3,1741275717298561364,6.108648E-4,0.0013744457,-6.108648E-4
801243481,3,1741275717308545062,-6.108648E-4,0.0,7.6358096E-4
801243491,3,1741275717318528135,1.527162E-4,1.527162E-4,3.054324E-4
801243501,3,1741275717328511312,-0.0,0.0016798781,1.527162E-4
801243511,3,1741275717338541364,-7.6358096E-4,0.0012217296,-3.054324E-4
801243521,3,1741275717348723655,6.108648E-4,1.527162E-4,6.108648E-4
801243531,3,1741275717358906312,-6.108648E-4,0.0013744457,1.527162E-4
801243541,3,1741275717369089489,-3.054324E-4,6.108648E-4,9.162972E-4
801243551,3,1741275717379272666,-6.108648E-4,4.581486E-4,-1.527162E-4
801243562,3,1741275717389455843,-1.527162E-4,3.054324E-4,4.581486E-4
801243572,3,1741275717399565739,7.6358096E-4,4.581486E-4,1.527162E-4
801243582,3,1741275717409562562,-1.527162E-4,9.162972E-4,-7.6358096E-4
801243592,3,1741275717419547041,6.108648E-4,0.0013744457,-4.581486E-4
801243602,3,1741275717429530999,-1.527162E-4,3.054324E-4,4.581486E-4
801243612,3,1741275717439515322,-3.054324E-4,6.108648E-4,1.527162E-4
801243622,3,1741275717449499801,-4.581486E-4,0.0010690134,-4.581486E-4
801243632,3,1741275717459483760,-6.108648E-4,9.162972E-4,0.0012217296
801243642,3,1741275717469467718,0.0,9.162972E-4,-0.0
801243652,3,1741275717479452041,-3.054324E-4,6.108648E-4,1.527162E-4
801243662,3,1741275717489436520,-4.581486E-4,6.108648E-4,-0.0
801243672,3,1741275717499420478,6.108648E-4,1.527162E-4,-9.162972E-4
801243682,3,1741275717509404801,-3.054324E-4,3.054324E-4,0.0
801243692,3,1741275717519389280,-1.527162E-4,9.162972E-4,9.162972E-4
801243702,3,1741275717529373239,-6.108648E-4,1.527162E-4,-4.581486E-4
801243712,3,1741275717539357197,-7.6358096E-4,9.162972E-4,4.581486E-4
801243722,3,1741275717549341520,-0.0010690134,4.581486E-4,1.527162E-4
801243731,3,1741275717559325999,-1.527162E-4,6.108648E-4,-1.527162E-4
801243741,3,1741275717569309958,-1.527162E-4,1.527162E-4,-1.527162E-4
801243751,3,1741275717579294280,-1.527162E-4,3.054324E-4,-9.162972E-4
801243761,3,1741275717589278760,-9.162972E-4,3.054324E-4,3.054324E-4
801243771,3,1741275717599262718,-4.581486E-4,7.6358096E-4,3.054324E-4
801243781,3,1741275717609247041,-3.054324E-4,1.527162E-4,-6.108648E-4
801243791,3,1741275717619231520,-3.054324E-4,7.6358096E-4,0.0012217296
801243801,3,1741275717629215478,-1.527162E-4,1.527162E-4,9.162972E-4
801243811,3,1741275717639199437,1.527162E-4,4.581486E-4,-6.108648E-4
801243821,3,1741275717649183760,-7.6358096E-4,-1.527162E-4,7.6358096E-4
801243831,3,1741275717659168239,0.0,1.527162E-4,-1.527162E-4
801243841,3,1741275717669152197,-6.108648E-4,1.527162E-4,6.108648E-4
