linear_acceleration,QTI,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better),acc_lin_x[m/s^2],acc_lin_y[m/s^2],acc_lin_z[m/s^2]
801243408,3,-0.0013900176,0.004293442,0.0031735152
801243418,3,0.0017003939,0.0046749115,0.0013365597
801243428,3,-2.6325881E-4,0.0024881363,-0.0051864833
801243438,3,-0.005901061,4.453659E-4,-4.6031177E-4
801243448,3,8.248463E-4,0.0021133423,0.00443615
801243458,3,-0.006026812,0.017140388,0.0065224916
801243468,3,0.01505056,0.0070648193,-0.0035403818
801243478,3,-0.0011075065,0.0034828186,1.5057623E-4
801243488,3,-0.002426371,-0.0022277832,0.0028725415
801243498,3,-1.4466047E-4,0.010027885,0.006284356
801243508,3,0.009652637,0.00434494,0.006791562
801243518,3,-6.762743E-4,-0.0033006668,0.0019925088
801243529,3,0.013416462,0.0025815964,0.0021548867
801243539,3,0.005509861,-0.005651474,0.004276216
801243549,3,0.0020500794,0.0030374527,0.0018577427
801243559,3,-0.009143986,0.0040769577,-0.0023611188
801243569,3,-0.0034426525,-0.004685402,0.0011816919
801243579,3,-0.0031819567,-0.0035238266,8.3357096E-4
801243589,3,0.0028504878,0.0028162003,0.009356394
801243599,3,0.012416236,0.0017518997,0.0060119927
801243609,3,-0.003886968,0.0035676956,0.006473705
801243619,3,0.0058925897,0.0018033981,0.0020483434
801243629,3,0.00468044,-0.012475014,1.1086464E-4
801243639,3,-0.0048695654,-0.009031296,0.0010456294
801243649,3,0.0011565387,1.1539459E-4,-4.528612E-4
801243659,3,-0.0041668564,-0.001791954,-0.003797382
801243669,3,0.004492119,0.0012607574,0.0056948066
801243679,3,-0.0066910833,0.007349968,0.003602609
801243689,3,-0.0063018426,0.0060281754,0.0042089373
801243699,3,-7.8543276E-4,0.0036649704,0.015046909
801243709,3,0.010259382,-0.007508278,0.007177651
801243719,3,0.0065852776,-4.5490265E-4,0.0018347651
801243729,3,0.011221632,0.0043468475,0.017819226
801243739,3,0.0058268383,-0.009328842,-4.5523047E-4
801243749,3,0.0066496134,0.0044841766,0.0061697215
801243759,3,0.0058434606,0.012189865,0.0023616105
801243769,3,0.0068055913,0.0020046234,-0.0039660335
801243779,3,0.0035867766,0.007997513,0.0067375004
801243789,3,3.0248612E-4,-0.008678436,0.010091141
801243799,3,-0.015341178,0.0071954727,0.022452548
801243809,3,0.009804495,-5.340576E-4,0.0027509928
801243819,3,0.007544957,-5.207062E-4,0.01017566
801243829,3,0.003906034,-0.0051908493,-9.383857E-4
801243839,3,0.0037564412,0.008284569,0.008536711
801243849,3,-0.008813538,-0.0055322647,0.014434218
801243859,3,0.0013782158,2.3555756E-4,0.009533256
801243869,3,-8.68544E-4,-0.008319855,0.007799238
801243879,3,-0.0032287762,-0.0022230148,0.006001249
801243889,3,-0.0065471083,-0.011014938,0.012377843
801243899,3,0.003287211,0.0038318634,-0.008188784
801243909,3,-0.0037827268,0.013428688,0.01000759
801243919,3,0.0016908124,-0.0013256073,0.0035489649
801243929,3,-0.002567239,-8.8596344E-4,-0.0029518157
801243939,3,-0.0012135804,-0.005847931,8.445233E-4
801243949,3,-0.006259866,0.0019989014,-0.006796673
