location due to GPS and WiFi+Cell,2025-03-06_18-41-53.764_TGW
time,provider,lat (deg),long (deg),has accuracy,accuracy (m),has altitude,altitude (m above sea level),has bearing,bearing (degrees),has speed,speed (m/s over ground),UTC,realtime
801243573,network,55.69938651590333,37.360812186648,1,1.6585747,0,0.0,0,0.0,0,0.0,1741275717180,801243352626314
801243902,gps,55.69938651590333,37.360812186648,1,1.6585747,1,0.0,1,0.0,1,0.0,1741275717190,801243845191783
801253905,gps,55.69938651590333,37.360812186648,1,1.6585747,1,0.0,1,0.0,1,0.0,1741275717190,801253843761258
801263906,gps,55.69938651590333,37.360812186648,1,1.6585747,1,0.0,1,0.0,1,0.0,1741275717190,801263844615109
801265546,network,55.699386677756365,37.3608175830351,1,1.5343887,0,0.0,0,0.0,0,0.0,1741275739363,801265534896618
801273932,gps,55.699386677756365,37.3608175830351,1,1.5343887,1,0.0,1,0.0,1,0.0,1741275739373,801273863367396
801283946,gps,55.699386677756365,37.3608175830351,1,1.5343887,1,0.0,1,0.0,1,0.0,1741275739373,801283871245153
801285803,network,55.6993866105742,37.360814477216714,1,1.7396045,0,0.0,0,0.0,0,0.0,1741275759617,801285789220361
801293941,gps,55.6993866105742,37.360814477216714,1,1.7396045,1,0.0,1,0.0,1,0.0,1741275759627,801293872732285
801303942,gps,55.6993866105742,37.360814477216714,1,1.7396045,1,0.0,1,0.0,1,0.0,1741275759627,801303869467020
801305708,network,55.699386381911346,37.360818673484346,1,1.5478895,0,0.0,0,0.0,0,0.0,1741275779521,801305693022072
801313940,gps,55.699386381911346,37.360818673484346,1,1.5478895,1,0.0,1,0.0,1,0.0,1741275779531,801313872391444
801323945,gps,55.699386381911346,37.360818673484346,1,1.5478895,1,0.0,1,0.0,1,0.0,1741275779531,801323878659877
801325683,network,55.69938657761274,37.360816149325565,1,1.6039498,0,0.0,0,0.0,0,0.0,1741275799491,801325663757845
801333962,gps,55.69938657761274,37.360816149325565,1,1.6039498,1,0.0,1,0.0,1,0.0,1741275799503,801333888385446
801343973,gps,55.69938657761274,37.360816149325565,1,1.6039498,1,0.0,1,0.0,1,0.0,1741275799503,801343897277630
801345748,network,55.69938710763467,37.36081750001589,1,1.6402009,0,0.0,0,0.0,0,0.0,1741275819565,801345737400859
