mag_s004_001 Magnetometer-Uncalibrated Non-wakeup,QST,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better),mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
801243277,3,4.8,8.525001,149.2375,-27.0,-59.0,178.0
801243287,3,3.9875,8.6,149.9875,-27.0,-59.0,178.0
801243296,3,4.025,8.475,150.1625,-27.0,-59.0,178.0
801243306,3,4.0375,8.4125,150.2,-27.0,-59.0,178.0
801243315,3,4.0750003,8.375,150.2375,-27.0,-59.0,178.0
801243325,3,4.0750003,8.337501,150.3,-27.0,-59.0,178.0
801243334,3,4.1125,8.2875,150.35,-27.0,-59.0,178.0
801243344,3,4.175,8.2625,150.40001,-27.0,-59.0,178.0
801243353,3,4.125,8.2,150.5625,-27.0,-59.0,178.0
801243363,3,4.2875,8.125,150.5625,-27.0,-59.0,178.0
801243372,3,4.3375,8.1125,150.6125,-27.0,-59.0,178.0
801243382,3,4.3875003,8.1125,150.6875,-27.0,-59.0,178.0
801243391,3,4.425,8.125,150.8,-27.0,-59.0,178.0
801243401,3,4.475,8.1375,150.83751,-27.0,-59.0,178.0
801243410,3,4.5,8.1625,150.875,-27.0,-59.0,178.0
801243420,3,4.4875,8.175,150.8875,-27.0,-59.0,178.0
801243429,3,4.4875,8.1875,150.8875,-27.0,-59.0,178.0
801243439,3,4.4875,8.1875,150.875,-27.0,-59.0,178.0
801243448,3,4.475,8.2,150.83751,-27.0,-59.0,178.0
801243458,3,4.4625,8.2,150.83751,-27.0,-59.0,178.0
801243467,3,4.4375,8.175,150.8,-27.0,-59.0,178.0
801243477,3,4.4125,8.1625,150.7875,-27.0,-59.0,178.0
801243486,3,4.3625,8.150001,150.7625,-27.0,-59.0,178.0
801243496,3,4.35,8.1375,150.725,-27.0,-59.0,178.0
801243505,3,4.3625,8.125,150.71251,-27.0,-59.0,178.0
801243515,3,4.3625,8.1,150.7375,-27.0,-59.0,178.0
801243524,3,4.375,8.0625,150.7625,-27.0,-59.0,178.0
801243534,3,4.3875003,8.0375,150.77501,-27.0,-59.0,178.0
