baro_s002_001 Pressure Sensor Non-wakeup,Goertek,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better),pressure[millibar]
801243372,3,977.39954
801243403,3,977.3777
801243434,3,977.38354
801243465,3,977.39105
801243497,3,977.39905
801243528,3,977.39636
801243559,3,977.4023
801243590,3,977.3975
801243622,3,977.3906
801243653,3,977.39636
801243684,3,977.3804
801243715,3,977.4023
801243747,3,977.38354
801243778,3,977.39526
801243809,3,977.38837
801243840,3,977.38574
801243872,3,977.40594
801243903,3,977.4023
801243934,3,977.40063
801243965,3,977.40015
801243997,3,977.4012
801244028,3,977.414
801244059,3,977.4118
801244090,3,977.40283
801244122,3,977.3927
801244153,3,977.4102
801244184,3,977.3985
801244215,3,977.3975
801244247,3,977.4076
801244278,3,977.39954
801244309,3,977.40393
801244340,3,977.41284
801244372,3,977.4023
801244403,3,977.39
801244434,3,977.40594
801244465,3,977.4023
801244497,3,977.39636
801244528,3,977.3739
801244559,3,977.39905
801244590,3,977.3947
801244622,3,977.4044
801244653,3,977.41284
801244684,3,977.40015
801244715,3,977.4023
801244747,3,977.3937
801244778,3,977.4012
801244809,3,977.3975
801244840,3,977.3959
801244872,3,977.39105
801244903,3,977.38727
801244934,3,977.38837
801244965,3,977.3975
801244997,3,977.4051
801245028,3,977.4062
801245059,3,977.4116
801245090,3,977.3864
801245122,3,977.411
801245153,3,977.3993
801245184,3,977.38916
801245215,3,977.3971
801245247,3,977.40344
801245278,3,977.40247
801245309,3,977.40247
801245340,3,977.404
801245372,3,977.4051
801245403,3,977.411
801245434,3,977.38916
801245465,3,977.4137
801245497,3,977.40247
801245528,3,977.39496
801245559,3,977.4051
801245590,3,977.3897
801245622,3,977.3864
801245653,3,977.3838
801245684,3,977.3864
801245715,3,977.3966
801245747,3,977.3908
801245778,3,977.38275
801245809,3,977.38275
801245840,3,977.3918
801245872,3,977.3902
801245903,3,977.3694
801245934,3,977.38165
801245965,3,977.36835
801245997,3,977.3784
801246028,3,977.4112
801246059,3,977.3995
801246090,3,977.4
801246122,3,977.41644
801246153,3,977.39307
801246184,3,977.4085
801246215,3,977.4017
801246247,3,977.39624
801246278,3,977.4032
801246309,3,977.3979
801246340,3,977.3947
801246372,3,977.4
801246403,3,977.40643
801246434,3,977.39624
801246465,3,977.39734
801246497,3,977.3899
801246528,3,977.3867
801246559,3,977.3861
801246590,3,977.38245
801246622,3,977.4048
801246653,3,977.39624
801246684,3,977.38885
801246715,3,977.3995
801246747,3,977.3563
801246778,3,977.36957
801246809,3,977.34875
801246840,3,977.3552
801246872,3,977.37067
801246903,3,977.37604
801246934,3,977.36957
801246965,3,977.36957
801246997,3,977.37067
801247028,3,977.3844
801247059,3,977.3833
801247091,3,977.3908
801247122,3,977.56885
801247153,3,977.5753
801247184,3,977.40625
801247215,3,977.32574
801247247,3,977.2868
801247278,3,977.33417
801247309,3,977.4308
801247340,3,977.2974
801247372,3,977.3556
801247403,3,977.3369
801247434,3,977.3454
801247465,3,977.35504
801247497,3,977.34705
801247528,3,977.3758
801247559,3,977.44885
801247590,3,977.45734
801247622,3,977.43555
801247653,3,977.44037
801247684,3,977.41425
801247715,3,977.4158
801247747,3,977.4467
801247778,3,977.4692
801247809,3,977.4665
801247840,3,977.4622
801247872,3,977.474
801247903,3,977.474
801247934,3,977.4622
801247965,3,977.482
801247997,3,977.4644
801248028,3,977.43445
801248059,3,977.4275
801248090,3,977.40985
801248122,3,977.40137
801248153,3,977.41315
801248184,3,977.3902
801248215,3,977.3987
801248247,3,977.4126
801248278,3,977.4093
801248309,3,977.40735
801248340,3,977.40735
801248372,3,977.3987
801248403,3,977.4216
801248434,3,977.43176
801248465,3,977.4147
801248497,3,977.4179
801248528,3,977.4062
801248559,3,977.4179
801248590,3,977.4216
801248622,3,977.40985
801248653,3,977.42694
801248684,3,977.42487
801248715,3,977.4264
801248747,3,977.40735
801248778,3,977.40137
801248809,3,977.3987
801248840,3,977.3789
801248872,3,977.3672
801248903,3,977.3662
801248934,3,977.3758
801248965,3,977.3672
801248997,3,977.388
801249028,3,977.40454
801249059,3,977.4127
801249090,3,977.4138
801249122,3,977.4112
801249153,3,977.4069
801249184,3,977.39685
801249215,3,977.4011
801249247,3,977.4208
801249278,3,977.4213
801249309,3,977.40955
801249340,3,977.3782
801249372,3,977.3526
801249403,3,977.3403
801249434,3,977.3174
801249465,3,977.34985
801249497,3,977.3728
801249528,3,977.3664
801249559,3,977.3376
801249590,3,977.32367
801249622,3,977.3334
801249653,3,977.3573
801249684,3,977.361
801249715,3,977.3541
801249747,3,977.3713
801249778,3,977.3728
801249809,3,977.34924
801249840,3,977.3392
801249872,3,977.3403
801249903,3,977.30035
801249934,3,977.281
801249965,3,977.25116
801249997,3,977.26984
801250028,3,977.26984
801250059,3,977.24854
801250090,3,977.27234
801250122,3,977.2707
801250153,3,977.2527
801250184,3,977.2494
801250215,3,977.2633
801250247,3,977.28827
801250278,3,977.28033
801250309,3,977.28564
801250340,3,977.27234
801250372,3,977.28564
801250403,3,977.28296
801250434,3,977.28564
801250465,3,977.30115
801250497,3,977.3054
801250528,3,977.2979
801250559,3,977.31067
801250590,3,977.31067
801250622,3,977.3
801250653,3,977.3122
801250684,3,977.3122
801250715,3,977.3043
801250747,3,977.32135
801250778,3,977.3299
801250809,3,977.33734
801250840,3,977.34265
801250872,3,977.3432
801250903,3,977.3294
801250934,3,977.35016
801250965,3,977.3417
801250997,3,977.3273
801251028,3,977.3432
801251059,3,977.33527
801251090,3,977.3518
801251122,3,977.35016
801251153,3,977.34644
801251184,3,977.34375
801251215,3,977.3624
801251247,3,977.35016
801251278,3,977.3357
801251309,3,977.3177
801251340,3,977.2787
801251372,3,977.2713
801251403,3,977.24884
801251434,3,977.2637
801251465,3,977.23975
801251497,3,977.2371
801251528,3,977.2521
801251559,3,977.2494
801251590,3,977.2382
801251622,3,977.24884
801251653,3,977.27014
801251684,3,977.2627
801251715,3,977.26807
801251747,3,977.2574
801251778,3,977.24457
801251809,3,977.2334
801251841,3,977.2312
801251872,3,977.2323
801251903,3,977.19977
801251934,3,977.1981
801251965,3,977.17255
801251997,3,977.14105
801252028,3,977.1571
801252059,3,977.1651
801252090,3,977.1746
801252122,3,977.1797
801252153,3,977.2016
801252184,3,977.2079
801252215,3,977.2016
801252247,3,977.1956
801252278,3,977.1876
801252309,3,977.1835
801252340,3,977.17804
801252372,3,977.1738
801252403,3,977.1988
801252434,3,977.1685
801252465,3,977.1727
801252497,3,977.17596
801252528,3,977.17224
801252560,3,977.2042
801252590,3,977.21387
801252622,3,977.185
801252653,3,977.1947
801252684,3,977.1712
801252715,3,977.15894
801252747,3,977.1685
801252778,3,977.1514
801252809,3,977.1573
801252840,3,977.16956
801252872,3,977.1712
801252903,3,977.1988
801252934,3,977.2042
801252965,3,977.224
801252997,3,977.24316
801253028,3,977.21277
801253059,3,977.21387
801253090,3,977.2368
801253122,3,977.20465
801253153,3,977.2237
801253184,3,977.20087
801253215,3,977.20197
801253247,3,977.2237
801253278,3,977.282
801253309,3,977.5459
801253340,3,977.7985
801253372,3,977.90894
801253403,3,978.0587
801253434,3,977.93134
801253465,3,977.9014
801253497,3,978.03577
801253528,3,978.0885
801253559,3,977.9777
801253590,3,977.8002
801253622,3,977.6914
801253653,3,977.3944
801253684,3,977.2504
801253715,3,977.28564
801253747,3,977.3325
801253778,3,977.45197
801253809,3,977.57465
801253840,3,977.45306
801253872,3,977.2184
801253903,3,977.2067
801253934,3,977.0158
801253965,3,976.8152
801253997,3,976.79803
801254028,3,976.78687
801254059,3,976.9449
801254090,3,977.02374
801254122,3,977.0101
801254153,3,977.11774
801254184,3,977.20416
801254215,3,977.281
801254247,3,977.1807
801254278,3,977.0393
801254309,3,977.05005
801254340,3,977.0788
801254372,3,977.08954
801254403,3,977.07245
801254434,3,977.0762
801254465,3,977.10126
801254497,3,977.1183
801254528,3,977.1333
801254559,3,977.20526
801254590,3,977.22125
801254622,3,977.21
801254653,3,977.2489
801254684,3,977.2474
801254715,3,977.1327
801254747,3,977.01685
801254778,3,977.0729
801254809,3,977.1146
801254840,3,977.1226
801254872,3,977.21277
801254903,3,977.25165
801254934,3,977.1109
801254965,3,977.0217
801254997,3,976.9833
801255028,3,976.98865
801255059,3,976.9919
801255090,3,977.00256
801255122,3,977.0089
801255153,3,977.029
801255184,3,977.0472
801255215,3,977.0787
801255247,3,977.0787
801255278,3,977.0984
801255309,3,977.1192
801255340,3,977.15546
801255372,3,977.15924
801255403,3,977.2136
801255434,3,977.21265
801255465,3,977.2232
801255497,3,977.1944
801255528,3,977.2019
801255559,3,977.2274
801255590,3,977.2407
801255622,3,977.2344
801255653,3,977.2377
801255684,3,977.2397
801255715,3,977.1864
801255747,3,977.15924
801255778,3,977.15704
801255809,3,977.1464
801255840,3,977.1453
801255872,3,977.15924
801255903,3,977.1672
801255934,3,977.16174
801255965,3,977.16077
801255997,3,977.13995
801256028,3,977.15814
801256059,3,977.18744
801256090,3,977.18744
801256122,3,977.1891
801256153,3,977.2039
801256184,3,977.21405
801256215,3,977.20764
801256247,3,977.221
801256278,3,977.2179
801256309,3,977.20764
801256340,3,977.213
801256372,3,977.2189
801256403,3,977.21625
801256434,3,977.2189
801256465,3,977.2066
801256497,3,977.2066
801256528,3,977.2226
801256559,3,977.2247
801256591,3,977.2263
801256622,3,977.2183
801256653,3,977.22845
801256684,3,977.2386
801256715,3,977.3255
801256747,3,977.3671
801256778,3,977.32605
801256809,3,977.2669
801256840,3,977.30475
801256872,3,977.34424
801256903,3,977.34955
801256934,3,977.3079
801256965,3,977.2945
801256997,3,977.28613
801257028,3,977.28345
801257059,3,977.28546
801257090,3,977.2882
801257122,3,977.2935
801257153,3,977.2845
801257184,3,977.2711
801257215,3,977.2652
801257247,3,977.25885
801257278,3,977.27844
801257309,3,977.334
801257340,3,977.37665
801257372,3,977.3677
801257403,3,977.3244
801257434,3,977.2844
801257465,3,977.2919
801257497,3,977.2854
801257528,3,977.28015
801257560,3,977.2252
801257590,3,977.21027
801257622,3,977.1607
801257653,3,977.17346
801257684,3,977.15155
801257715,3,977.167
801257747,3,977.1436
801257778,3,977.14514
801257809,3,977.14307
801257840,3,977.1398
801257872,3,977.1436
801257903,3,977.16815
801257934,3,977.167
801257965,3,977.1826
801257997,3,977.173
801258028,3,977.1799
801258059,3,977.19965
801258090,3,977.17725
801258122,3,977.212
801258153,3,977.2002
801258184,3,977.2778
801258215,3,977.2623
801258247,3,977.2517
801258278,3,977.2511
801258309,3,977.26495
801258340,3,977.28625
801258372,3,977.27405
801258403,3,977.2623
801258434,3,977.2458
801258465,3,977.2271
801258497,3,977.23566
801258528,3,977.26495
801258559,3,977.33154
801258590,3,977.2633
801258622,3,977.2687
801258653,3,977.2692
801258684,3,977.2559
801258715,3,977.2837
801258747,3,977.37476
801258778,3,977.3449
801258809,3,977.3445
801258840,3,977.44635
801258872,3,977.45166
801258903,3,977.3876
801258934,3,977.3076
801258965,3,977.26495
801258997,3,977.2031
801259028,3,977.20416
801259060,3,977.2111
801259090,3,977.20416
801259122,3,977.2069
801259153,3,977.22064
801259184,3,977.19714
801259215,3,977.16235
801259247,3,977.18805
801259278,3,977.1853
801259309,3,977.20337
801259340,3,977.2157
801259372,3,977.2194
801259403,3,977.23065
801259434,3,977.23175
801259465,3,977.29254
801259497,3,977.31647
801259528,3,977.43176
801259559,3,977.5714
801259590,3,977.5709
801259622,3,977.5943
801259653,3,977.6386
801259684,3,977.7063
801259715,3,977.6945
801259747,3,977.66205
801259778,3,977.6721
801259809,3,977.51697
801259840,3,977.3228
801259872,3,977.2067
801259903,3,977.11707
801259934,3,977.1059
801259965,3,977.07495
801259997,3,977.0546
801260028,3,977.04877
801260059,3,977.0893
801260090,3,977.1111
801260122,3,977.13464
801260153,3,977.0839
801260184,3,977.0546
801260215,3,977.0748
801260247,3,977.08923
801260278,3,977.1186
801260309,3,977.1165
801260340,3,977.1383
801260372,3,977.14105
801260403,3,977.164
801260434,3,977.19055
801260465,3,977.1826
801260497,3,977.197
801260528,3,977.2386
801260559,3,977.2312
801260590,3,977.20984
801260622,3,977.2312
801260653,3,977.2333
801260684,3,977.2722
801260715,3,977.2722
801260747,3,977.2946
801260778,3,977.33563
801260809,3,977.349
801260840,3,977.3064
801260872,3,977.2882
801260903,3,977.2946
801260934,3,977.27057
801260965,3,977.3186
801260997,3,977.3064
801261028,3,977.2866
801261059,3,977.3026
801261090,3,977.3458
801261122,3,977.3453
801261153,3,977.3394
801261184,3,977.3079
801261215,3,977.29987
801261247,3,977.2681
801261278,3,977.2837
801261309,3,977.29065
801261340,3,977.3301
801261372,3,977.337
801261403,3,977.3039
801261434,3,977.29706
801261465,3,977.35297
801261497,3,977.3956
801261528,3,977.3995
801261559,3,977.44257
801261590,3,977.34656
801261622,3,977.2954
801261653,3,977.3017
801261684,3,977.34595
801261715,3,977.39185
801261747,3,977.42444
801261778,3,977.3744
801261809,3,977.3066
801261840,3,977.305
801261872,3,977.33057
801261903,3,977.36426
801261934,3,977.3888
801261965,3,977.37054
801261997,3,977.28204
801262028,3,977.2485
801262059,3,977.2623
801262090,3,977.28467
801262122,3,977.2628
801262153,3,977.2954
801262184,3,977.3429
801262215,3,977.3088
801262247,3,977.22797
801262278,3,977.24133
801262310,3,977.28986
801262340,3,977.3544
801262372,3,977.36346
801262403,3,977.30383
801262434,3,977.27496
801262465,3,977.28186
801262497,3,977.3966
801262528,3,977.46906
801262559,3,977.4466
801262590,3,977.43494
801262622,3,977.4376
801262653,3,977.4861
801262684,3,977.50275
801262715,3,977.4989
801262747,3,977.49835
801262778,3,977.44885
801262809,3,977.4659
801262840,3,977.3641
801262872,3,977.3219
801262903,3,977.2771
