Rotation Vector  Non-wakeup,QTI,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better),x*sin(a/2)[],y*sin(a/2)[],z*sin(a/2)[],cos(a/2)[],heading_accuracy[rad]
801243448,3,-0.29709283,-0.6355534,0.6424364,0.3083556,-1.0
801243458,3,-0.29711667,-0.6355059,0.64247024,0.30836,-1.0
801243468,3,-0.2971101,-0.6355227,0.6424103,0.30845672,-1.0
801243478,3,-0.2971143,-0.63552177,0.6424128,0.30844927,-1.0
801243488,3,-0.29712093,-0.6355094,0.6424227,0.3084479,-1.0
801243498,3,-0.29713947,-0.63547885,0.6424278,0.30848217,-1.0
801243508,3,-0.29715788,-0.6354508,0.64240676,0.30856603,-1.0
801243518,3,-0.29716542,-0.63544124,0.6424097,0.30857244,-1.0
801243529,3,-0.29717416,-0.63543224,0.64238226,0.30863962,-1.0
801243539,3,-0.29718456,-0.6354167,0.6423743,0.30867827,-1.0
801243549,3,-0.29719132,-0.63541234,0.64236903,0.3086915,-1.0
801243559,3,-0.29718745,-0.63541985,0.6423828,0.3086512,-1.0
801243569,3,-0.2971915,-0.6354134,0.64239043,0.3086447,-1.0
801243579,3,-0.29719388,-0.6354097,0.6423947,0.30864114,-1.0
801243589,3,-0.2972076,-0.63538367,0.642395,0.30868086,-1.0
801243599,3,-0.29721665,-0.63536936,0.6423788,0.30873525,-1.0
801243609,3,-0.29722625,-0.63535506,0.6423854,0.3087418,-1.0
801243619,3,-0.2972335,-0.6353491,0.64237666,0.30876523,-1.0
801243629,3,-0.2972398,-0.63534784,0.64237,0.30877566,-1.0
801243639,3,-0.2972421,-0.6353449,0.64237523,0.30876848,-1.0
801243649,3,-0.29724357,-0.63534623,0.6423725,0.30877015,-1.0
801243659,3,-0.2972437,-0.63535327,0.6423733,0.30875385,-1.0
801243669,3,-0.29724833,-0.6353422,0.6423699,0.30877915,-1.0
801243679,3,-0.29725134,-0.63533574,0.6423784,0.30877194,-1.0
801243689,3,-0.29725933,-0.63532794,0.6423848,0.30876696,-1.0
801243699,3,-0.29727244,-0.63530475,0.6423898,0.30879173,-1.0
801243709,3,-0.29727983,-0.6352963,0.6423781,0.30882636,-1.0
801243719,3,-0.29728588,-0.63529366,0.6423701,0.30884248,-1.0
801243729,3,-0.29730153,-0.6352668,0.64236534,0.30889264,-1.0
801243739,3,-0.29730293,-0.63526726,0.6423581,0.3089053,-1.0
801243749,3,-0.2973041,-0.63526136,0.64235127,0.30893064,-1.0
801243759,3,-0.2973085,-0.6352588,0.6423461,0.30894247,-1.0
801243769,3,-0.2973102,-0.63526386,0.6423364,0.30895042,-1.0
801243779,3,-0.2973146,-0.6352563,0.64233375,0.30896735,-1.0
801243789,3,-0.29732686,-0.635244,0.6423349,0.30897847,-1.0
801243799,3,-0.29734272,-0.6352128,0.6423545,0.3089866,-1.0
801243809,3,-0.29734775,-0.63521063,0.64234596,0.30900404,-1.0
801243819,3,-0.2973549,-0.63520014,0.64234215,0.3090265,-1.0
801243829,3,-0.29735315,-0.6352013,0.64233905,0.30903232,-1.0
801243839,3,-0.29736206,-0.6351931,0.64233685,0.30904514,-1.0
801243849,3,-0.2973722,-0.63517654,0.6423468,0.30904877,-1.0
801243859,3,-0.29738033,-0.6351681,0.6423475,0.30905682,-1.0
801243869,3,-0.29739028,-0.63515604,0.64235187,0.30906287,-1.0
801243879,3,-0.29739484,-0.63514954,0.6423534,0.30906868,-1.0
801243889,3,-0.29740408,-0.63513577,0.64236116,0.30907205,-1.0
801243899,3,-0.29740423,-0.63514066,0.6423574,0.30906963,-1.0
801243909,3,-0.29741168,-0.63512725,0.64236325,0.3090779,-1.0
801243919,3,-0.2974135,-0.63512135,0.642365,0.30908465,-1.0
801243929,3,-0.2974156,-0.635125,0.64236444,0.30907625,-1.0
801243939,3,-0.29741907,-0.6351233,0.6423656,0.30907404,-1.0
801243949,3,-0.29742035,-0.6351267,0.6423676,0.30906162,-1.0
801243959,3,-0.2974164,-0.63513875,0.64236134,0.30905366,-1.0
801243969,3,-0.29741806,-0.63514006,0.6423615,0.30904907,-1.0
801243979,3,-0.29741648,-0.6351416,0.64235514,0.3090605,-1.0
801243989,3,-0.29742807,-0.63513154,0.64234936,0.30908215,-1.0
801243999,3,-0.29743633,-0.6351191,0.6423529,0.3090925,-1.0
801244009,3,-0.2974397,-0.63511217,0.6423474,0.30911487,-1.0
801244019,3,-0.29743868,-0.63511425,0.6423462,0.30911398,-1.0
801244029,3,-0.29743817,-0.6351153,0.6423447,0.30911544,-1.0
801244039,3,-0.297441,-0.63510954,0.6423425,0.30912918,-1.0
801244049,3,-0.29743928,-0.63511306,0.64234626,0.30911583,-1.0
801244059,3,-0.2974426,-0.63510615,0.6423513,0.30911624,-1.0
801244069,3,-0.2974436,-0.6351041,0.64234805,0.30912617,-1.0
801244079,3,-0.29744527,-0.6351007,0.64234525,0.30913746,-1.0
801244089,3,-0.29744393,-0.63510346,0.6423431,0.30913752,-1.0
801244099,3,-0.29744518,-0.63510084,0.6423509,0.3091255,-1.0
801244109,3,-0.29745328,-0.63508415,0.64234996,0.30915394,-1.0
801244119,3,-0.29745734,-0.63507587,0.64234656,0.30917424,-1.0
801244129,3,-0.29746154,-0.63506716,0.64234585,0.3091895,-1.0
801244139,3,-0.2974634,-0.6350634,0.6423437,0.30919993,-1.0
801244148,3,-0.29746634,-0.6350573,0.6423493,0.30919796,-1.0
801244158,3,-0.29746872,-0.6350523,0.6423558,0.3091924,-1.0
801244168,3,-0.29746857,-0.6350526,0.64235616,0.30919117,-1.0
801244178,3,-0.29746965,-0.63505036,0.6423622,0.30918223,-1.0
801244188,3,-0.29746667,-0.6350565,0.64235926,0.30917865,-1.0
801244198,3,-0.2974709,-0.63504785,0.6423572,0.30919662,-1.0
801244208,3,-0.2974715,-0.6350466,0.6423584,0.30919603,-1.0
801244218,3,-0.2974697,-0.6350503,0.6423521,0.30920327,-1.0
801244228,3,-0.29746982,-0.6350501,0.64235365,0.3092004,-1.0
801244238,3,-0.29746842,-0.6350529,0.642354,0.30919516,-1.0
801244248,3,-0.29746476,-0.63506055,0.6423532,0.30918476,-1.0
801244258,3,-0.2974688,-0.63505214,0.6423584,0.3091873,-1.0
801244268,3,-0.29746905,-0.6350516,0.64236164,0.3091814,-1.0
801244278,3,-0.29746774,-0.63505435,0.64235675,0.30918714,-1.0
801244288,3,-0.29746893,-0.6350519,0.6423555,0.3091937,-1.0
801244298,3,-0.2974698,-0.6350502,0.64235294,0.30920175,-1.0
801244308,3,-0.29747537,-0.6350387,0.6423538,0.3092182,-1.0
801244318,3,-0.29747555,-0.6350383,0.6423545,0.30921733,-1.0
801244328,3,-0.2974733,-0.6350429,0.6423541,0.3092109,-1.0
801244338,3,-0.29747328,-0.635043,0.6423468,0.30922577,-1.0
801244348,3,-0.29747137,-0.635047,0.6423422,0.30922896,-1.0
801244358,3,-0.29747462,-0.6350402,0.6423477,0.3092283,-1.0
801244368,3,-0.2974754,-0.6350387,0.642343,0.30924055,-1.0
801244378,3,-0.29747516,-0.6350392,0.64234227,0.30924127,-1.0
801244388,3,-0.2974752,-0.6350392,0.64233905,0.30924797,-1.0
801244398,3,-0.29747885,-0.63503164,0.6423324,0.30927375,-1.0
