acc_s003_002 QTI-Accelerometer-Uncalibrated Non-wakeup,TDK-Invensense,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc2_uncal_x[m/s^2],acc2_uncal_y[m/s^2],acc2_uncal_z[m/s^2]
801243629,3,1741275717457283187,-0.11361571,-9.788629,0.03386674
801243639,3,1741275717467088603,-0.11840411,-9.788629,0.043443546
801243649,3,1741275717476894124,-0.12319252,-9.793417,0.03386674
801243659,3,1741275717486702666,-0.11361571,-9.788629,0.048231952
801243669,3,1741275717496514958,-0.11361571,-9.793417,0.029078335
801243679,3,1741275717506330791,-0.11361571,-9.78384,0.03386674
801243688,3,1741275717516136208,-0.1040389,-9.788629,0.043443546
801243693,3,1741275717520870687,-0.1040389,-9.78384,0.029078335
801243703,3,1741275717530698603,-0.11361571,-9.78384,0.029078335
801243713,3,1741275717540548499,-0.10882731,-9.793417,0.024289936
801243723,3,1741275717550419437,-0.10882731,-9.788629,0.01950153
801243732,3,1741275717560315322,-0.0992505,-9.774263,0.01950153
801243742,3,1741275717570236312,-0.10882731,-9.779052,0.029078335
801243752,3,1741275717580182718,-0.10882731,-9.78384,0.03865514
801243762,3,1741275717590154437,-0.1040389,-9.779052,0.03386674
801243772,3,1741275717600151520,-0.1040389,-9.78384,0.01950153
801243782,3,1741275717610149541,-0.1040389,-9.788629,0.014713123
801243792,3,1741275717620147562,-0.1040389,-9.793417,0.01950153
801243802,3,1741275717630167510,-0.11361571,-9.788629,0.009924725
801243812,3,1741275717640208968,-0.11361571,-9.788629,0.0051363185
801243822,3,1741275717650272510,-0.11361571,-9.793417,0.03865514
801243833,3,1741275717660358030,-0.10882731,-9.78384,0.029078335
801243843,3,1741275717670465062,-0.10882731,-9.78384,3.479123E-4
801243853,3,1741275717680593187,-0.11361571,-9.788629,3.479123E-4
801243863,3,1741275717690740947,-0.11361571,-9.779052,0.01950153
801243873,3,1741275717700908916,-0.10882731,-9.793417,0.03865514
801243883,3,1741275717710714333,-0.10882731,-9.798205,0.0051363185
801243893,3,1741275717720487145,-0.10882731,-9.793417,3.479123E-4
801243902,3,1741275717730314541,-0.10882731,-9.788629,0.01950153
801243912,3,1741275717740167249,-0.10882731,-9.788629,0.0051363185
