Format Version,1.23,Take Name,Take 2025-03-06 06.38.58 PM_002,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-03-06 06.46.36.882 PM,Capture Start Frame,69474,Total Frames in Take,24703,Total Exported Frames,24703,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010
,ID,"EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.286231,-0.569996,-0.690486,0.341182,-0.569522,0.065205,0.014508
1,0.010000,0.286224,-0.570106,-0.690544,0.340888,-0.569534,0.065225,0.014523
2,0.020000,0.286195,-0.570087,-0.690480,0.341073,-0.569530,0.065221,0.014512
3,0.030000,0.286442,-0.569919,-0.690394,0.341320,-0.569623,0.065209,0.014555
4,0.040000,0.286267,-0.570034,-0.690566,0.340927,-0.569553,0.065216,0.014510
5,0.050000,0.286606,-0.569957,-0.690446,0.341014,-0.569631,0.065204,0.014549
6,0.060000,0.286514,-0.569949,-0.690402,0.341192,-0.569628,0.065196,0.014533
7,0.070000,0.286373,-0.569925,-0.690407,0.341341,-0.569616,0.065207,0.014544
8,0.080000,0.286404,-0.570003,-0.690480,0.341037,-0.569632,0.065199,0.014541
9,0.090000,0.286517,-0.569897,-0.690430,0.341221,-0.569628,0.065224,0.014551
10,0.100000,0.286184,-0.570081,-0.690476,0.341101,-0.569529,0.065223,0.014521
11,0.110000,0.286393,-0.569928,-0.690483,0.341165,-0.569635,0.065240,0.014539
12,0.120000,0.286253,-0.570062,-0.690541,0.340942,-0.569552,0.065214,0.014515
13,0.130000,0.286520,-0.569919,-0.690433,0.341175,-0.569630,0.065219,0.014545
14,0.140000,0.286530,-0.569969,-0.690429,0.341093,-0.569635,0.065225,0.014540
15,0.150000,0.286168,-0.570139,-0.690461,0.341047,-0.569548,0.065219,0.014504
16,0.160000,0.286457,-0.569904,-0.690430,0.341260,-0.569635,0.065234,0.014539
17,0.170000,0.286404,-0.569926,-0.690413,0.341302,-0.569649,0.065210,0.014533
18,0.180000,0.286305,-0.569895,-0.690432,0.341399,-0.569632,0.065228,0.014525
19,0.190000,0.286555,-0.569888,-0.690437,0.341189,-0.569645,0.065232,0.014527
20,0.200000,0.287175,-0.569637,-0.690090,0.341789,-0.569737,0.065102,0.014502
21,0.210000,0.286413,-0.569957,-0.690379,0.341312,-0.569639,0.065229,0.014541
22,0.220000,0.286459,-0.569914,-0.690423,0.341257,-0.569635,0.065226,0.014536
23,0.230000,0.286492,-0.569955,-0.690390,0.341226,-0.569654,0.065228,0.014543
24,0.240000,0.286260,-0.570154,-0.690502,0.340862,-0.569562,0.065230,0.014508
25,0.250000,0.286149,-0.570256,-0.690480,0.340828,-0.569573,0.065234,0.014518
