Format Version,1.23,Take Name,Take 2025-03-06 06.38.58 PM_004,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-03-06 07.04.03.103 PM,Capture Start Frame,174096,Total Frames in Take,20102,Total Exported Frames,20102,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010
,ID,"EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.287001,0.570663,0.689474,-0.341466,-0.569055,0.065157,0.014491
1,0.010000,-0.286979,0.570691,0.689431,-0.341526,-0.569078,0.065156,0.014493
2,0.020000,-0.287060,0.570665,0.689492,-0.341378,-0.569065,0.065165,0.014505
3,0.030000,-0.287097,0.570657,0.689421,-0.341504,-0.569092,0.065153,0.014504
4,0.040000,-0.287032,0.570685,0.689447,-0.341458,-0.569071,0.065182,0.014509
5,0.050000,-0.287025,0.570713,0.689469,-0.341375,-0.569064,0.065171,0.014505
6,0.060000,-0.287005,0.570684,0.689492,-0.341391,-0.569073,0.065160,0.014502
7,0.070000,-0.287058,0.570640,0.689451,-0.341503,-0.569084,0.065159,0.014507
8,0.080000,-0.287102,0.570692,0.689457,-0.341367,-0.569089,0.065150,0.014505
9,0.090000,-0.287055,0.570668,0.689426,-0.341510,-0.569066,0.065153,0.014507
10,0.100000,-0.287103,0.570740,0.689390,-0.341422,-0.569065,0.065157,0.014498
11,0.110000,-0.287249,0.570692,0.689395,-0.341369,-0.569082,0.065140,0.014503
12,0.120000,-0.287059,0.570659,0.689471,-0.341431,-0.569089,0.065144,0.014499
13,0.130000,-0.287056,0.570672,0.689464,-0.341427,-0.569082,0.065146,0.014502
14,0.140000,-0.287039,0.570660,0.689450,-0.341490,-0.569082,0.065150,0.014507
15,0.150000,-0.287046,0.570586,0.689487,-0.341531,-0.569078,0.065141,0.014502
16,0.160000,-0.287067,0.570622,0.689452,-0.341524,-0.569084,0.065134,0.014486
17,0.170000,-0.287059,0.570669,0.689420,-0.341517,-0.569072,0.065149,0.014498
18,0.180000,-0.287028,0.570686,0.689490,-0.341375,-0.569081,0.065155,0.014492
19,0.190000,-0.287181,0.570666,0.689401,-0.341458,-0.569073,0.065158,0.014494
20,0.200000,-0.287142,0.570668,0.689401,-0.341489,-0.569084,0.065169,0.014496
21,0.210000,-0.287056,0.570696,0.689435,-0.341445,-0.569097,0.065166,0.014495
22,0.220000,-0.287036,0.570618,0.689477,-0.341506,-0.569085,0.065147,0.014478
23,0.230000,-0.287060,0.570607,0.689514,-0.341430,-0.569071,0.065144,0.014477
24,0.240000,-0.287074,0.570713,0.689463,-0.341345,-0.569075,0.065148,0.014472
25,0.250000,-0.286954,0.570698,0.689475,-0.341447,-0.569089,0.065146,0.014487
