Format Version,1.23,Take Name,Take 2025-03-06 06.38.58 PM_003,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-03-06 06.51.46.260 PM,Capture Start Frame,100412,Total Frames in Take,37170,Total Exported Frames,37170,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010
,ID,"EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.286865,0.568099,0.691482,-0.341795,-0.570136,0.065007,0.014792
1,0.010000,-0.286764,0.568109,0.691402,-0.342026,-0.570137,0.065003,0.014788
2,0.020000,-0.286789,0.567971,0.691475,-0.342085,-0.570134,0.064992,0.014791
3,0.030000,-0.286687,0.568028,0.691434,-0.342161,-0.570152,0.064989,0.014789
4,0.040000,-0.286731,0.568103,0.691426,-0.342014,-0.570134,0.065003,0.014788
5,0.050000,-0.286796,0.568107,0.691434,-0.341938,-0.570133,0.064995,0.014788
6,0.060000,-0.286838,0.567950,0.691401,-0.342230,-0.570132,0.064988,0.014801
7,0.070000,-0.286866,0.568057,0.691490,-0.341849,-0.570147,0.065007,0.014803
8,0.080000,-0.286861,0.568065,0.691463,-0.341896,-0.570142,0.065000,0.014799
9,0.090000,-0.286734,0.567972,0.691394,-0.342296,-0.570123,0.064990,0.014796
10,0.100000,-0.286678,0.568118,0.691394,-0.342100,-0.570145,0.065009,0.014788
11,0.110000,-0.286743,0.568069,0.691421,-0.342071,-0.570146,0.065006,0.014795
12,0.120000,-0.286787,0.568029,0.691426,-0.342092,-0.570130,0.065003,0.014780
13,0.130000,-0.286789,0.568000,0.691439,-0.342111,-0.570135,0.064995,0.014788
14,0.140000,-0.286855,0.568008,0.691429,-0.342063,-0.570124,0.065001,0.014807
15,0.150000,-0.286737,0.568108,0.691516,-0.341820,-0.570143,0.065015,0.014793
16,0.160000,-0.286803,0.568077,0.691433,-0.341984,-0.570130,0.065008,0.014795
17,0.170000,-0.286873,0.568082,0.691381,-0.342022,-0.570139,0.064991,0.014806
18,0.180000,-0.286876,0.567965,0.691495,-0.341984,-0.570140,0.065005,0.014793
19,0.190000,-0.286726,0.567959,0.691441,-0.342228,-0.570123,0.065005,0.014788
20,0.200000,-0.286753,0.568002,0.691482,-0.342050,-0.570127,0.065001,0.014787
21,0.210000,-0.286786,0.568081,0.691464,-0.341928,-0.570129,0.065003,0.014792
22,0.220000,-0.286802,0.568146,0.691116,-0.342512,-0.570343,0.064856,0.014691
23,0.230000,-0.286828,0.567967,0.691426,-0.342159,-0.570128,0.065003,0.014794
24,0.240000,-0.286822,0.568024,0.691483,-0.341954,-0.570139,0.065009,0.014793
25,0.250000,-0.286795,0.568010,0.691530,-0.341905,-0.570139,0.065009,0.014796
