Format Version,1.23,Take Name,Take 2025-03-06 06.38.58 PM_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-03-06 06.43.21.088 PM,Capture Start Frame,49894,Total Frames in Take,11684,Total Exported Frames,11684,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010,RigidBody 010
,ID,"EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9","EFFCD228FAA011EF3E9BBB18792000B9"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.286172,-0.572001,-0.689046,0.340789,-0.569019,0.065164,0.014505
1,0.010000,0.286183,-0.572012,-0.689230,0.340388,-0.569005,0.065205,0.014464
2,0.020000,0.285908,-0.571996,-0.689042,0.341026,-0.568981,0.065204,0.014518
3,0.030000,0.285869,-0.572055,-0.689006,0.341032,-0.568978,0.065190,0.014522
4,0.040000,0.286836,-0.571884,-0.688726,0.341073,-0.569101,0.065073,0.014473
5,0.050000,0.286855,-0.571945,-0.688765,0.340876,-0.569091,0.065086,0.014481
6,0.060000,0.285832,-0.572087,-0.689071,0.340878,-0.568973,0.065245,0.014528
7,0.070000,0.286445,-0.571922,-0.688572,0.341646,-0.569031,0.065122,0.014519
8,0.080000,0.285893,-0.572033,-0.689075,0.340910,-0.568958,0.065220,0.014535
9,0.090000,0.286108,-0.572053,-0.689065,0.340716,-0.569001,0.065187,0.014498
10,0.100000,0.285965,-0.572095,-0.688997,0.340904,-0.568978,0.065206,0.014528
11,0.110000,0.286370,-0.572030,-0.688631,0.341410,-0.569064,0.065142,0.014496
12,0.120000,0.286081,-0.572008,-0.689159,0.340623,-0.569000,0.065185,0.014494
13,0.130000,0.286168,-0.572067,-0.689226,0.340315,-0.569022,0.065202,0.014505
14,0.140000,0.285954,-0.571954,-0.689112,0.340915,-0.568994,0.065213,0.014535
15,0.150000,0.286789,-0.571898,-0.688733,0.341073,-0.569093,0.065096,0.014471
16,0.160000,0.287015,-0.571983,-0.688888,0.340427,-0.569121,0.065109,0.014438
17,0.170000,0.285988,-0.572025,-0.689097,0.340801,-0.568994,0.065212,0.014529
18,0.180000,0.285939,-0.572205,-0.689030,0.340673,-0.568975,0.065211,0.014514
19,0.190000,0.285899,-0.571863,-0.688995,0.341352,-0.568974,0.065167,0.014539
20,0.200000,0.285834,-0.572210,-0.689036,0.340741,-0.568971,0.065210,0.014528
21,0.210000,0.286070,-0.571996,-0.689089,0.340794,-0.568991,0.065181,0.014499
22,0.220000,0.285988,-0.572009,-0.689074,0.340872,-0.568987,0.065218,0.014528
23,0.230000,0.287166,-0.571114,-0.689259,0.341008,-0.569067,0.065155,0.014371
24,0.240000,0.286850,-0.571947,-0.688878,0.340647,-0.569125,0.065090,0.014457
25,0.250000,0.286089,-0.572092,-0.689044,0.340708,-0.569012,0.065165,0.014493
